Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132
120001305000001;1;957;957;953;0;4;740;1;147;14;55;0;423;534;0;0;957;20;67;868;2;0;0;0;927;677;204;31;15;30;951;951;0;4;2;0;0;0;957;957;0;0;832;125;0;470;470;470;0;0;362;1;69;7;31;0;215;255;0;0;470;13;37;419;1;0;0;0;452;333;96;15;8;18;467;467;0;2;1;0;0;0;470;470;0;0;409;61;0;487;487;483;0;4;378;0;78;7;24;0;208;279;0;0;487;7;30;449;1;0;0;0;475;344;108;16;7;12;484;484;0;2;1;0;0;0;487;487;0;0;423;64;0
120001305000002;1;1211;1203;1192;0;0;873;6;218;18;82;6;785;401;0;17;1191;12;0;1136;0;0;43;12;1131;1017;103;11;0;72;1164;1164;0;35;4;0;0;0;1203;1203;0;0;1173;30;0;598;593;587;0;0;433;3;105;9;41;2;398;189;0;6;588;7;0;562;0;0;19;5;558;503;50;5;0;35;575;575;0;16;2;0;0;0;593;593;0;0;577;16;0;613;610;605;0;0;440;3;113;9;41;4;387;212;0;11;603;5;0;574;0;0;24;7;573;514;53;6;0;37;589;589;0;19;2;0;0;0;610;610;0;0;596;14;0
120001305000003;1;1705;1700;1687;5;1;1320;20;229;18;106;7;953;728;0;19;1700;3;416;940;10;3;328;0;1326;1202;89;26;9;374;1669;1669;0;25;0;2;0;4;1695;1689;6;5;1641;27;21;839;835;827;4;1;653;12;107;4;56;3;485;341;0;9;835;2;197;461;6;0;169;0;646;591;39;11;5;189;822;822;0;10;0;1;0;2;831;828;3;4;808;11;9;866;865;860;1;0;667;8;122;14;50;4;468;387;0;10;865;1;219;479;4;3;159;0;680;611;50;15;4;185;847;847;0;15;0;1;0;2;864;861;3;1;833;16;12
120001305000004;5;182;182;182;0;0;156;0;6;17;3;0;51;107;0;24;171;0;4;167;0;0;0;11;148;133;15;0;0;34;170;170;0;12;0;0;0;0;182;182;0;0;165;17;0;90;90;90;0;0;75;0;3;10;2;0;25;52;0;13;85;0;3;82;0;0;0;5;75;66;9;0;0;15;84;84;0;6;0;0;0;0;90;90;0;0;80;10;0;92;92;92;0;0;81;0;3;7;1;0;26;55;0;11;86;0;1;85;0;0;0;6;73;67;6;0;0;19;86;86;0;6;0;0;0;0;92;92;0;0;85;7;0
120001305000005;8;305;305;305;0;0;207;4;0;62;32;0;0;283;0;22;299;0;6;293;0;0;0;6;180;150;28;2;0;125;0;0;0;270;9;6;0;20;305;305;0;0;267;38;0;167;167;167;0;0;113;3;0;33;18;0;0;157;0;10;165;0;5;160;0;0;0;2;96;82;13;1;0;71;0;0;0;148;3;4;0;12;167;167;0;0;147;20;0;138;138;138;0;0;94;1;0;29;14;0;0;126;0;12;134;0;1;133;0;0;0;4;84;68;15;1;0;54;0;0;0;122;6;2;0;8;138;138;0;0;120;18;0
120001305000006;8;487;483;474;0;9;337;0;0;59;87;0;0;473;0;10;483;0;0;203;0;0;280;0;209;181;22;6;0;274;9;0;9;400;43;31;0;0;480;480;0;3;394;84;2;261;259;252;0;7;179;0;0;32;48;0;0;254;0;5;259;0;0;113;0;0;146;0;116;102;11;3;0;143;3;0;3;212;26;18;0;0;257;257;0;2;206;50;1;226;224;222;0;2;158;0;0;27;39;0;0;219;0;5;224;0;0;90;0;0;134;0;93;79;11;3;0;131;6;0;6;188;17;13;0;0;223;223;0;1;188;34;1
120001305000007;8;366;366;366;0;0;260;0;4;33;69;0;0;366;0;0;366;0;0;168;0;0;198;0;168;149;19;0;0;198;0;0;0;324;28;14;0;0;366;366;0;0;304;62;0;202;202;202;0;0;141;0;2;19;40;0;0;202;0;0;202;0;0;89;0;0;113;0;89;80;9;0;0;113;0;0;0;180;14;8;0;0;202;202;0;0;167;35;0;164;164;164;0;0;119;0;2;14;29;0;0;164;0;0;164;0;0;79;0;0;85;0;79;69;10;0;0;85;0;0;0;144;14;6;0;0;164;164;0;0;137;27;0
120001305000008;8;796;796;796;0;0;709;0;0;43;44;0;0;656;0;140;594;0;46;509;26;0;13;202;380;325;55;0;0;416;16;16;0;626;90;0;0;64;738;738;0;58;705;33;0;444;444;444;0;0;397;0;0;25;22;0;0;373;0;71;329;0;24;281;14;0;10;115;214;183;31;0;0;230;9;9;0;352;48;0;0;35;415;415;0;29;398;17;0;352;352;352;0;0;312;0;0;18;22;0;0;283;0;69;265;0;22;228;12;0;3;87;166;142;24;0;0;186;7;7;0;274;42;0;0;29;323;323;0;29;307;16;0
120001305000009;8;637;613;613;0;0;493;6;11;46;57;0;0;428;0;185;238;0;0;238;0;0;0;375;143;115;23;5;0;470;0;0;0;593;9;11;0;0;259;259;0;354;247;12;0;341;327;327;0;0;263;3;7;23;31;0;0;226;0;101;124;0;0;124;0;0;0;203;77;64;11;2;0;250;0;0;0;314;4;9;0;0;135;135;0;192;128;7;0;296;286;286;0;0;230;3;4;23;26;0;0;202;0;84;114;0;0;114;0;0;0;172;66;51;12;3;0;220;0;0;0;279;5;2;0;0;124;124;0;162;119;5;0
120001305000010;8;855;855;855;0;0;675;0;0;60;111;9;1;838;0;16;855;0;3;328;524;0;0;0;321;298;23;0;0;534;1;1;0;646;20;188;0;0;855;855;0;0;846;3;6;469;469;469;0;0;373;0;0;30;61;5;1;460;0;8;469;0;2;175;292;0;0;0;171;161;10;0;0;298;1;1;0;349;13;106;0;0;469;469;0;0;464;1;4;386;386;386;0;0;302;0;0;30;50;4;0;378;0;8;386;0;1;153;232;0;0;0;150;137;13;0;0;236;0;0;0;297;7;82;0;0;386;386;0;0;382;2;2
120001305000011;8;755;755;755;0;0;670;0;7;47;28;3;0;723;0;32;711;0;3;397;306;0;5;44;401;351;50;0;0;354;11;1;10;695;24;25;0;0;752;752;0;3;700;15;37;415;415;415;0;0;360;0;4;32;17;2;0;397;0;18;390;0;1;216;171;0;2;25;219;196;23;0;0;196;6;1;5;382;15;12;0;0;413;413;0;2;381;10;22;340;340;340;0;0;310;0;3;15;11;1;0;326;0;14;321;0;2;181;135;0;3;19;182;155;27;0;0;158;5;0;5;313;9;13;0;0;339;339;0;1;319;5;15
120001305000012;1;914;914;904;0;10;688;0;135;29;62;0;488;403;0;23;914;6;11;825;7;0;65;0;849;773;65;3;8;65;885;885;0;29;0;0;0;0;914;914;0;0;882;29;3;455;455;449;0;6;336;0;70;14;35;0;246;196;0;13;455;4;4;415;3;0;29;0;427;388;33;1;5;28;437;437;0;18;0;0;0;0;455;455;0;0;435;18;2;459;459;455;0;4;352;0;65;15;27;0;242;207;0;10;459;2;7;410;4;0;36;0;422;385;32;2;3;37;448;448;0;11;0;0;0;0;459;459;0;0;447;11;1
120001305000013;1;1129;1128;1098;13;1;859;29;132;0;106;2;839;265;0;24;1101;6;750;283;54;8;0;27;766;696;68;2;0;362;1041;1004;37;77;0;6;0;4;1128;1116;12;0;1023;93;0;584;583;566;8;1;453;13;65;0;51;1;429;141;0;13;570;4;387;146;29;4;0;13;400;363;36;1;0;183;535;513;22;43;0;3;0;2;583;576;7;0;533;43;0;545;545;532;5;0;406;16;67;0;55;1;410;124;0;11;531;2;363;137;25;4;0;14;366;333;32;1;0;179;506;491;15;34;0;3;0;2;545;540;5;0;490;50;0
120001305000014;8;829;829;829;0;0;700;0;0;56;73;0;0;779;3;47;659;0;7;425;24;0;203;170;373;312;52;9;0;456;0;0;0;708;77;35;0;9;820;820;0;9;763;57;0;454;454;454;0;0;387;0;0;31;36;0;0;425;2;27;362;0;3;235;11;0;113;92;204;168;30;6;0;250;0;0;0;385;43;20;0;6;450;450;0;4;415;35;0;375;375;375;0;0;313;0;0;25;37;0;0;354;1;20;297;0;4;190;13;0;90;78;169;144;22;3;0;206;0;0;0;323;34;15;0;3;370;370;0;5;348;22;0
120001305000015;8;598;596;596;0;0;473;3;0;65;55;0;0;550;0;46;464;0;0;230;234;0;0;132;223;216;7;0;0;373;3;3;0;530;30;30;0;3;594;594;0;2;563;17;14;340;338;338;0;0;269;2;0;35;32;0;0;310;0;28;265;0;0;135;130;0;0;73;131;126;5;0;0;207;2;2;0;302;18;14;0;2;336;336;0;2;321;10;5;258;258;258;0;0;204;1;0;30;23;0;0;240;0;18;199;0;0;95;104;0;0;59;92;90;2;0;0;166;1;1;0;228;12;16;0;1;258;258;0;0;242;7;9
120001305000016;8;812;812;812;0;0;698;0;0;17;93;4;0;677;0;135;812;0;0;89;0;0;723;0;94;79;13;2;0;718;0;0;0;753;31;28;0;0;503;479;24;309;455;24;0;463;463;463;0;0;397;0;0;11;51;4;0;383;0;80;463;0;0;49;0;0;414;0;53;43;9;1;0;410;0;0;0;430;17;16;0;0;281;273;8;182;262;11;0;349;349;349;0;0;301;0;0;6;42;0;0;294;0;55;349;0;0;40;0;0;309;0;41;36;4;1;0;308;0;0;0;323;14;12;0;0;222;206;16;127;193;13;0
120005405000001;1;941;939;916;0;4;661;11;97;4;145;21;761;131;0;47;845;95;502;29;40;35;144;94;723;553;117;47;6;216;854;846;8;53;0;14;0;18;882;880;2;57;790;64;26;463;462;451;0;2;320;8;52;3;67;12;373;66;0;23;420;53;252;14;20;19;62;42;362;272;65;22;3;100;425;423;2;22;0;7;0;8;434;433;1;28;392;29;12;478;477;465;0;2;341;3;45;1;78;9;388;65;0;24;425;42;250;15;20;16;82;52;361;281;52;25;3;116;429;423;6;31;0;7;0;10;448;447;1;29;398;35;14
120005405000002;1;1012;983;980;0;0;686;31;142;20;97;7;796;173;0;14;932;0;327;416;87;11;91;51;811;621;161;13;16;172;978;958;20;5;0;0;0;0;976;976;0;7;954;17;5;520;502;500;0;0;351;14;74;12;47;4;402;92;0;8;475;0;168;216;46;4;41;27;415;321;80;7;7;87;499;488;11;3;0;0;0;0;499;499;0;3;483;11;5;492;481;480;0;0;335;17;68;8;50;3;394;81;0;6;457;0;159;200;41;7;50;24;396;300;81;6;9;85;479;470;9;2;0;0;0;0;477;477;0;4;471;6;0
120005405000003;1;1747;1729;1717;0;0;1413;46;174;1;81;14;1265;159;0;305;1455;17;289;1050;93;0;6;274;1023;946;72;2;3;706;1616;1369;247;101;5;1;0;6;1650;1650;0;79;1376;54;220;847;839;832;0;0;683;23;87;0;39;7;618;78;0;143;708;5;154;501;44;0;4;131;509;469;37;1;2;330;792;667;125;42;1;1;0;3;798;798;0;41;665;27;106;900;890;885;0;0;730;23;87;1;42;7;647;81;0;162;747;12;135;549;49;0;2;143;514;477;35;1;1;376;824;702;122;59;4;0;0;3;852;852;0;38;711;27;114
120005405000004;8;247;247;247;0;0;247;0;0;0;0;0;0;0;0;247;4;0;0;4;0;0;0;243;0;0;0;0;0;247;0;0;0;247;0;0;0;0;39;0;39;208;0;0;0;123;123;123;0;0;123;0;0;0;0;0;0;0;0;123;3;0;0;3;0;0;0;120;0;0;0;0;0;123;0;0;0;123;0;0;0;0;23;0;23;100;0;0;0;124;124;124;0;0;124;0;0;0;0;0;0;0;0;124;1;0;0;1;0;0;0;123;0;0;0;0;0;124;0;0;0;124;0;0;0;0;16;0;16;108;0;0;0
120005405000007;8;152;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;71;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;81;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
