Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
120001305000001;1;0;601805;601805;0;7;20;63;88;52;24;11;6;1;10;
120001305000002;1;2;385433;385033;400;21;43;95;125;36;3;6;4;0;11;
120001305000003;1;1;532208;531794;414;24;62;143;156;64;5;3;1;3;22;
120001305000004;5;0;58853;58853;0;2;5;11;22;7;4;0;0;0;2;
120001305000005;8;0;112979;112979;0;4;15;22;31;17;3;2;0;0;2;
120001305000006;8;2;264538;263538;1000;16;21;40;35;15;2;0;0;1;1;
120001305000007;8;0;119591;119591;0;8;15;29;32;15;3;2;0;0;0;
120001305000008;8;0;134863;134863;0;37;28;45;40;12;3;1;1;0;51;
120001305000009;8;7;83701;82157;1544;39;37;45;32;4;0;0;0;0;20;
120001305000010;8;0;140217;140217;0;29;76;74;33;8;0;2;1;0;6;
120001305000011;8;0;183941;183941;0;13;40;49;49;20;2;3;1;1;32;
120001305000012;1;0;323655;323655;0;12;28;75;89;23;7;3;3;1;16;
120001305000013;1;1;418284;417484;800;11;38;98;87;51;11;6;2;2;7;
120001305000014;8;0;241031;241031;0;11;33;56;55;32;9;1;2;0;11;
120001305000015;8;1;101561;100451;1110;22;21;44;28;6;0;1;0;0;25;
120001305000016;8;0;115599;115599;0;51;62;46;39;9;3;1;0;0;8;
120005405000001;1;0;412059;412059;0;5;25;45;90;48;18;11;3;0;15;
120005405000002;1;0;498400;498400;0;13;20;51;64;69;31;13;4;1;8;
120005405000003;1;0;495542;495542;0;34;65;140;126;60;10;6;1;1;19;
120005405000004;8;0;21582;21582;0;23;8;8;7;0;0;0;0;0;3;
120005405000007;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
120005405000008;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
120005405000009;8;0;22596;22596;0;15;7;6;9;0;0;0;0;0;16;
120005405000010;8;0;70017;70017;0;29;21;22;20;3;0;0;0;1;129;
120005405000011;8;0;9676;9676;0;12;4;4;3;1;0;0;0;0;25;
120005405000012;8;0;102517;102517;0;27;22;33;21;11;2;1;1;1;24;
120010405000001;1;5;692091;686951;5140;3;19;56;85;88;33;14;12;4;8;
120010405000002;1;0;473052;473052;0;0;19;30;74;54;27;14;7;3;45;
120010405000003;1;0;708854;708854;0;10;23;76;105;95;29;23;8;1;35;
120010405000004;1;2;539189;538389;800;11;35;80;93;60;17;12;6;6;6;
120010405000005;1;0;305087;305087;0;14;39;75;100;37;7;3;3;0;23;
120010405000006;1;0;217809;217809;0;5;28;41;40;20;8;3;3;0;30;
120010405000007;1;0;162013;162013;0;33;56;69;45;12;2;2;0;0;13;
120010405000008;1;0;218871;218871;0;10;29;52;79;32;5;4;0;0;9;
120010405000009;8;0;220379;220379;0;62;61;75;61;15;2;3;3;0;33;
120010405000010;8;2;42128;41168;960;36;28;18;3;2;0;0;0;0;7;
120010405000011;8;0;83241;83241;0;47;22;25;13;5;1;1;0;0;14;
120010405000012;8;0;102303;102303;0;17;18;26;26;10;3;2;0;1;22;
120010405000013;8;1;215103;213603;1500;49;61;50;41;10;1;2;2;2;7;
120010405000014;8;0;65755;65755;0;12;15;20;29;6;1;0;0;0;6;
120010405000015;8;3;285492;282415;3077;30;58;80;77;28;7;1;1;1;13;
120010405000016;8;0;35368;35368;0;5;11;12;10;3;1;0;0;0;0;
120010405000017;8;0;111644;111644;0;22;27;35;40;11;2;1;0;0;26;
120010405000018;8;0;34649;34649;0;22;14;16;6;2;1;0;0;0;15;
120010405000019;8;0;66369;66369;0;10;19;29;13;9;1;2;0;0;12;
120010405000020;8;0;7300;7300;0;7;1;1;2;1;0;0;0;0;15;
120010405000021;1;4;501205;496725;4480;2;33;92;135;73;11;9;4;0;1;
120010405000022;1;1;415812;415762;50;28;47;108;115;40;10;6;2;0;19;
120010405000023;1;5;689174;679054;10120;13;37;96;165;101;23;12;4;3;11;
120010405000024;1;0;146764;146764;0;25;41;57;46;11;2;0;0;0;4;
120010405000025;1;0;352854;352854;0;16;27;82;73;42;7;7;4;1;41;
120010405000026;8;0;13172;13172;0;11;7;6;0;0;1;1;0;0;0;
120010405000027;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
120010405000028;5;1;53078;51548;1530;7;8;24;19;7;0;1;0;0;6;
120010405000029;2;0;106032;106032;0;5;23;32;28;11;4;1;1;0;2;
120010405000030;2;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
120010405000031;1;13;332695;320043;12652;1;3;15;34;36;20;12;6;3;0;
120013805000001;1;0;398287;398287;0;15;45;103;117;54;7;5;2;0;3;
120013805000002;1;0;550674;550674;0;6;30;59;99;58;23;10;6;2;7;
120013805000003;8;2;122224;121534;690;31;35;45;34;12;3;0;1;0;17;
120013805000004;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
120013805000005;8;1;84229;83569;660;1;11;21;22;8;2;0;0;1;4;
120013805000006;8;0;101046;101046;0;14;18;25;27;17;2;0;0;0;2;
120013805000007;8;0;236324;236324;0;12;59;87;67;26;5;2;2;0;5;
120013805000008;8;0;197291;197291;0;5;12;35;32;20;4;6;4;1;13;
120013805000009;8;0;113978;113978;0;36;31;50;28;13;2;1;1;0;21;
120013805000010;8;0;218164;218164;0;40;48;60;63;20;6;2;3;0;25;
120013805000011;1;2;251771;250541;1230;19;42;82;54;29;4;6;2;0;21;
120013805000012;8;0;57097;57097;0;10;23;18;17;3;1;0;0;0;4;
120013805000013;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
120013805000014;1;0;312544;312544;0;2;13;27;35;33;10;0;1;2;0;
120017905000001;1;2;439467;438477;990;21;50;103;97;49;12;7;4;1;7;
120017905000002;1;0;642320;642320;0;1;32;88;132;70;25;11;2;1;1;
120017905000003;8;0;96199;96199;0;21;23;18;23;14;3;2;1;0;23;
120017905000004;8;0;28311;28311;0;13;9;8;8;4;0;0;0;0;9;
120017905000005;8;1;265746;264706;1040;28;37;61;66;27;9;4;2;0;23;
120017905000006;8;0;10140;10140;0;0;3;4;5;0;0;0;0;0;1;
120017905000007;8;0;36987;36987;0;3;7;11;16;2;0;0;1;0;4;
120017905000008;1;0;440489;440489;0;18;42;84;109;40;14;5;4;1;9;
120017905000009;8;1;174494;174194;300;34;68;71;51;18;0;1;1;0;4;
120017905000010;8;0;57071;57071;0;10;12;16;21;8;0;1;0;0;7;
120017905000011;8;0;197617;197617;0;35;53;65;43;21;4;3;1;0;14;
120017905000012;8;0;32005;32005;0;8;13;12;8;4;2;0;0;0;7;
120017905000013;5;0;44796;44796;0;3;10;10;18;5;0;1;0;0;6;
120017905000014;2;0;15335;15335;0;0;2;0;5;3;0;0;0;0;0;
120017905000015;2;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
120017905000016;8;3;111816;110106;1710;10;14;28;35;16;3;1;0;0;14;
120017905000017;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
120017905000018;8;0;11292;11292;0;4;2;7;4;0;1;0;0;0;0;
120020305000001;1;0;1061172;1061172;0;3;6;25;46;57;39;20;24;14;2;
120020305000002;1;1;707332;706822;510;8;26;61;92;69;28;17;9;2;7;
120020305000003;1;0;644408;644408;0;7;29;64;106;52;32;14;1;2;6;
120020305000004;1;0;628241;628241;0;22;35;107;113;55;21;12;3;0;8;
120020305000005;1;0;516093;516093;0;11;46;72;118;59;18;8;1;1;4;
120020305000006;1;0;215093;215093;0;10;24;44;43;28;5;3;1;0;33;
120020305000007;1;0;500173;500173;0;48;68;109;93;48;6;8;2;0;11;
120020305000008;1;1;348866;348466;400;9;19;31;53;39;8;8;4;0;6;
120020305000009;1;0;812091;812091;0;4;11;31;39;51;26;25;27;9;5;
120020305000010;1;1;619478;618968;510;2;10;20;60;48;22;23;6;5;4;
120020305000011;1;0;938009;938009;0;8;20;52;91;108;30;14;11;4;10;
120020305000012;1;0;696055;696055;0;4;15;52;81;54;22;15;6;6;0;
120020305000013;1;3;253690;252628;1062;35;40;65;60;24;4;3;1;0;20;
120020305000014;1;0;449012;449012;0;19;39;88;82;60;13;8;1;0;35;
120020305000015;1;1;151406;150446;960;5;25;39;32;24;1;2;0;0;3;
120020305000016;1;0;360585;360585;0;29;79;133;93;30;2;1;1;0;8;
120020305000017;1;2;223741;223316;425;19;41;68;59;12;6;1;0;0;5;
120020305000018;1;0;551156;551156;0;4;14;47;68;47;21;14;3;6;5;
120020305000019;1;0;181460;181460;0;11;24;44;41;15;6;3;1;0;23;
120020305000020;1;0;791985;791985;0;23;47;85;75;59;21;16;11;2;24;
120020305000021;1;1;745999;745499;500;2;21;52;78;86;38;15;9;3;10;
120020305000022;1;0;434698;434698;0;7;25;61;80;51;18;7;2;0;2;
120020305000023;1;0;477976;477976;0;17;34;68;75;59;9;11;7;0;6;
120020305000024;1;2;782180;781180;1000;10;35;89;130;71;36;18;10;2;4;
120020305000025;1;0;340679;340679;0;8;17;52;60;40;12;11;0;1;2;
120020305000026;1;1;265333;264533;800;0;16;24;32;35;6;7;0;1;0;
120020305000027;1;0;496118;496118;0;44;79;102;84;41;15;4;4;1;23;
120020305000028;1;0;197454;197454;0;48;46;79;51;12;1;0;1;0;33;
120020305000029;1;0;199479;199479;0;21;65;78;51;18;0;1;0;0;6;
120020305000030;1;0;509617;509617;0;21;54;78;96;47;17;7;4;2;5;
120020305000031;1;0;314205;314205;0;0;2;21;50;33;7;7;2;1;3;
120020305000032;1;1;259735;258845;890;5;30;58;45;39;4;4;3;0;5;
120020305000033;1;0;319977;319977;0;17;29;36;38;28;10;6;2;1;3;
120020305000034;1;0;502290;502290;0;22;56;65;69;42;9;8;8;3;8;
120020305000035;1;1;825795;825595;200;9;31;110;114;69;26;23;15;1;4;
120020305000036;1;0;294128;294128;0;52;55;99;55;27;1;0;2;0;39;
120020305000037;1;0;273721;273721;0;30;38;87;65;20;4;4;2;0;18;
120020305000038;5;0;201205;201205;0;41;49;71;49;14;0;3;0;0;10;
120020305000039;8;0;211855;211855;0;11;45;49;63;24;5;1;1;0;119;
120020305000040;8;0;259576;259576;0;34;33;30;35;12;4;4;0;2;25;
120020305000041;5;0;169518;169518;0;15;32;55;48;14;4;3;0;0;8;
120020305000042;5;0;37032;37032;0;15;5;15;12;2;0;0;0;0;5;
120020305000043;8;2;215055;214755;300;37;55;66;53;18;2;1;1;0;12;
120020305000044;5;3;263154;262694;460;67;87;103;70;11;1;0;1;0;10;
120020305000045;5;0;91520;91520;0;27;39;28;18;4;1;1;0;0;33;
120020305000046;5;0;122924;122924;0;7;17;27;30;19;3;1;0;0;38;
120020305000047;8;2;104081;103381;700;99;29;23;22;11;3;2;0;0;126;
120020305000048;8;0;145368;145368;0;34;45;48;36;8;4;0;0;0;7;
120020305000049;8;1;23965;22965;1000;4;7;6;3;1;2;2;0;0;10;
120020305000050;8;0;22137;22137;0;24;6;10;4;1;0;0;0;0;62;
120020305000051;8;0;68830;68830;0;27;29;10;18;3;1;1;0;0;32;
120020305000052;8;0;5220;5220;0;4;3;1;2;0;0;0;0;0;1;
120020305000053;8;0;96690;96690;0;68;52;26;18;7;1;1;0;0;12;
120020305000054;8;0;45164;45164;0;15;17;15;7;1;1;0;0;0;6;
120020305000055;8;2;12744;12744;0;7;7;3;3;0;0;0;0;0;11;
120020305000056;8;1;56661;56161;500;42;25;25;13;2;0;0;0;0;17;
120020305000057;8;3;53139;53139;0;7;11;21;18;1;1;0;0;0;67;
120020305000058;8;0;9970;9970;0;0;0;3;4;2;0;0;0;0;8;
120020305000059;8;0;187995;187995;0;55;67;57;68;4;1;0;0;0;9;
120020305000060;8;0;1000;1000;0;2;1;0;0;0;0;0;0;0;2;
120020305000061;8;0;58961;58961;0;22;20;30;5;5;0;0;0;0;27;
120020305000062;8;0;32130;32130;0;28;18;20;6;1;0;0;0;0;31;
120020305000063;1;0;164591;164591;0;18;27;37;27;15;6;2;3;0;4;
120020305000064;1;0;1059466;1059466;0;6;20;41;68;32;25;25;28;8;3;
120020305000065;1;0;174589;174589;0;14;34;48;52;9;0;2;0;0;2;
120020305000066;1;0;932571;932571;0;10;29;54;82;94;48;26;7;5;2;
120020305000067;1;1;567896;566696;1200;14;47;89;90;67;11;16;5;0;4;
120020305000068;1;1;512608;511008;1600;43;96;170;113;35;10;7;1;1;9;
120020305000069;1;0;390032;390032;0;13;41;70;91;46;8;1;4;1;13;
120020305000070;8;0;235538;235538;0;22;40;54;45;18;3;4;3;1;8;
120020305000071;8;0;263969;263969;0;17;35;54;49;37;4;3;1;0;22;
120020305000072;8;0;130313;130313;0;10;33;45;43;12;1;0;0;0;2;
120020305000073;8;0;198522;198522;0;23;55;82;44;17;1;1;0;0;17;
120020305000074;8;0;70578;70578;0;18;25;23;18;2;2;0;0;0;68;
120020305000076;8;0;8590;8590;0;2;4;0;4;0;0;0;0;0;13;
120020305000077;8;0;15858;15858;0;11;5;8;4;1;0;0;0;0;3;
120020305000079;8;0;175293;175293;0;98;59;67;49;11;1;0;0;0;31;
120020305000080;8;0;20760;20760;0;25;10;10;3;1;0;0;0;0;39;
120020305000081;1;0;401991;401991;0;9;19;47;47;25;8;9;6;9;11;
120020305000082;1;0;207371;207371;0;1;6;18;34;22;8;4;2;0;0;
120020305000083;1;0;190336;190336;0;5;24;39;39;25;7;3;0;0;7;
120020305000084;1;0;613225;613225;0;3;17;31;59;56;28;16;10;2;10;
120020305000085;1;0;414435;414435;0;3;30;71;78;56;12;5;2;1;5;
