Cod_setor;Situacao_setor;V843;V844;V845;V846;V847;V848;V849;V850;V851;V852;V853;V854;V855;V856;V857;V858;V859;V860;V861;V862;V863;V864;V865;V866;V867;V868;V869;V870;V871;V872;V873;V874;V875;V876;V877;V878;V879;V880;V881;V882;V883;V884;V885;V886;V887;V888;V889;V890;V891;V892;V893;V894;V895;V896;V897;V898;V899;V900;V901;V902;V903;V904;V905;V906;V907;V908;V909;V910;V911;V912;V913;V914;V915;V916;V917;V918;V919;V920;V921;V922;V923;V924;V925;V926;V927;V928;V929;V930;V931;V932;V933;V934;V935;V936;V937;V938;V939;V940;V941;V942;V943;V944;V945;V946;V947;V948;V949;V950;V951;V952;V953;V954;V955;V956;V957;V958;V959;V960;V961;V962;V963;V964;V965;V966;V967;V968;V969;V970;V971;V972;V973;V974;V975;V976;V977;V978;V979;V980;V981;V982;V983;V984;V985;V986;V987;V988;V989;V990;V991;V992;V993;V994;V995;V996;V997;V998;V999;V1000;V1001;V1002;V1003;V1004;V1005;V1006;V1007;V1008;V1009;V1010;V1011;V1012;V1013;V1014;V1015;V1016;V1017;V1018;V1019;V1020;V1021;V1022;V1023;V1024;V1025;V1026;V1027;V1028;V1029;V1030;V1031;V1032;V1033;V1034;V1035;V1036;V1037;V1038;V1039;V1040;V1041;V1042;V1043;V1044;V1045;V1046;V1047;V1048;V1049;V1050;V1051;V1052;V1053;V1054;V1055;V1056;V1057;V1058;V1059;V1060;V1061;V1062
120001305000001;1;6;2;45;18;55;37;61;40;387;225;55;26;8;0;63;0;92;0;101;0;612;0;81;0;8;0;60;3;83;9;97;4;583;29;81;0;2;6;12;51;28;64;30;71;172;440;30;51;8;0;60;3;80;12;90;11;554;58;79;2;4;4;21;42;32;60;53;48;280;332;44;37;0;8;5;58;6;86;1;100;33;579;1;80;2;6;18;45;33;59;38;63;256;356;40;41;1;7;2;61;7;85;9;92;28;584;2;79;0;8;0;63;0;92;0;101;0;612;0;81;219;118;22;5;7;7;361;218;0;0;337;0;27;0;14;0;579;0;0;0;326;11;27;0;13;1;546;33;0;0;91;246;4;23;4;10;175;404;0;0;307;30;27;0;13;1;524;55;0;0;166;171;13;14;3;11;252;327;0;0;13;324;0;27;2;12;31;548;0;0;135;202;10;17;5;9;237;342;0;0;16;321;0;27;1;13;32;547;0;0;0;337;0;27;0;14;0;579;0;0
120001305000002;1;6;23;42;58;44;89;49;110;221;462;35;64;25;4;86;14;111;22;134;25;588;95;88;11;2;27;24;76;26;107;39;120;159;524;30;69;1;28;12;88;14;119;25;134;93;590;18;81;2;27;19;81;17;116;32;127;120;563;22;77;0;29;9;91;9;124;12;147;50;633;10;89;0;29;0;100;0;133;0;159;0;683;0;99;0;29;9;91;8;125;16;143;68;615;9;90;4;25;9;91;14;119;9;150;59;624;3;96;0;29;0;100;0;133;0;159;0;683;0;99;100;170;2;18;4;14;291;604;0;0;233;37;18;2;18;0;763;132;0;0;66;204;5;15;5;13;204;691;0;0;44;226;4;16;3;15;112;783;0;0;59;211;4;16;5;13;144;751;0;0;21;249;2;18;2;16;65;830;0;0;0;270;0;20;0;18;0;895;0;0;29;241;2;18;4;14;75;820;0;0;20;250;0;20;0;18;78;817;0;0;0;270;0;20;0;18;0;895;0;0
120001305000003;1;10;31;46;111;53;160;42;136;250;757;28;74;32;9;116;41;173;40;144;34;798;209;85;17;7;34;31;126;42;171;46;132;243;764;36;66;1;40;9;148;14;199;18;160;72;935;9;93;3;38;17;140;23;190;27;151;125;882;16;86;2;39;12;145;14;199;16;162;80;927;11;91;1;40;5;152;9;204;14;164;41;966;7;95;2;39;4;153;3;210;0;178;26;981;8;94;5;36;23;134;20;193;16;162;89;918;4;98;0;41;0;157;0;213;0;178;0;1007;0;102;112;280;1;8;6;35;310;945;0;1;323;69;8;1;26;15;990;265;1;0;119;273;6;3;3;38;276;979;1;0;23;369;0;9;0;41;100;1155;0;1;59;333;2;7;3;38;147;1108;0;1;41;351;0;9;0;41;94;1161;0;1;18;374;0;9;0;41;59;1196;0;1;17;375;1;8;0;41;25;1230;0;1;35;357;1;8;0;41;121;1134;0;1;0;392;0;9;0;41;0;1255;0;1
120001305000004;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120001305000005;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120001305000006;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120001305000007;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120001305000008;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120001305000009;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120001305000010;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120001305000011;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120001305000012;1;11;8;53;33;68;37;70;43;307;209;29;30;18;1;82;4;103;2;108;5;487;29;52;7;5;14;23;63;38;67;39;74;195;321;20;39;2;17;9;77;7;98;15;98;60;456;4;55;5;14;22;64;37;68;35;78;180;336;17;42;0;19;0;86;0;105;0;113;0;516;0;59;0;19;0;86;0;105;0;113;0;516;0;59;2;17;9;77;7;98;15;98;60;456;4;55;0;19;0;86;0;105;0;113;0;516;0;59;0;19;0;86;0;105;0;113;0;516;0;59;213;136;33;13;4;5;288;206;0;0;331;18;46;0;7;2;466;28;0;0;107;242;13;33;3;6;197;297;0;0;43;306;1;45;0;9;53;441;0;0;102;247;13;33;3;6;178;316;0;0;0;349;0;46;0;9;0;494;0;0;0;349;0;46;0;9;0;494;0;0;43;306;1;45;0;9;53;441;0;0;0;349;0;46;0;9;0;494;0;0;0;349;0;46;0;9;0;494;0;0
120001305000013;1;8;11;39;60;48;78;57;99;230;421;22;45;18;1;99;0;124;2;153;3;630;21;64;3;5;14;31;68;40;86;50;106;203;448;19;48;3;16;14;85;25;101;32;124;119;532;17;50;4;15;26;73;38;88;46;110;186;465;18;49;9;10;33;66;44;82;59;97;199;452;15;52;0;19;0;99;0;126;0;156;1;650;0;67;0;19;1;98;1;125;3;153;9;642;1;66;5;14;22;77;20;106;30;126;146;505;16;51;0;19;0;99;0;126;0;156;0;651;0;67;139;223;12;32;4;10;249;448;0;1;355;7;40;4;14;0;678;19;1;0;137;225;15;29;1;13;195;502;0;1;79;283;5;39;1;13;125;572;0;1;126;236;9;35;1;13;182;515;0;1;118;244;16;28;3;11;222;475;0;1;1;361;0;44;0;14;0;697;0;1;10;352;0;44;0;14;5;692;0;1;59;303;14;30;3;11;163;534;0;1;0;362;0;44;0;14;0;697;0;1
120001305000014;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120001305000015;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
