Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
120001305000001;1;787;4;13;13;16;14;16;22;20;26;16;23;22;14;17;14;17;21;18;10;16;23;20;15;25;10;15;18;13;6;13;14;12;15;16;17;6;10;10;11;10;7;6;6;11;16;12;11;10;10;6;8;9;5;8;8;3;6;1;6;2;3;5;1;4;1;1;0;1;3;3;0;1;0;0;0;2;242;182;236;5;21;9;26;1;
120001305000002;1;933;8;8;27;20;12;27;39;23;36;31;36;35;27;23;29;20;18;17;17;15;24;24;18;14;16;26;15;18;21;22;16;12;12;16;8;13;12;21;11;7;8;6;10;4;10;5;7;6;5;5;3;4;2;5;4;6;5;8;5;3;2;3;3;1;3;4;1;2;1;3;0;0;1;1;2;1;293;220;279;8;27;5;16;4;
120001305000003;1;1262;10;16;26;33;39;41;37;29;35;26;47;21;36;34;26;23;28;31;26;37;27;49;33;32;28;25;33;27;19;19;26;20;23;19;13;16;11;20;13;14;20;12;11;12;21;5;8;5;7;9;11;7;10;2;6;5;5;3;2;2;7;3;2;4;0;1;2;0;0;1;5;2;0;1;0;3;404;313;339;9;22;14;24;0;
120001305000004;5;133;0;1;3;5;5;3;6;4;4;3;2;2;4;7;3;0;4;3;1;3;2;4;4;2;2;4;3;1;4;2;1;1;4;0;2;0;2;2;3;3;2;1;1;1;2;1;0;0;2;0;1;1;1;0;0;2;0;2;0;0;0;0;0;0;1;2;0;0;0;1;0;1;0;1;0;1;42;33;38;0;5;0;0;1;
120001305000005;8;218;1;0;6;2;4;5;5;4;7;3;5;4;9;7;5;2;2;4;3;8;1;5;6;6;10;6;3;0;1;8;3;4;7;3;3;3;3;2;1;1;2;0;2;2;3;3;5;5;2;3;1;3;2;0;2;1;3;2;3;1;3;0;0;0;1;0;0;1;0;1;0;2;2;0;0;1;71;53;68;3;2;2;4;0;
120001305000006;8;362;1;4;11;9;13;15;10;9;10;10;11;9;16;4;7;14;8;6;5;7;5;6;8;13;8;5;9;4;8;8;6;7;6;5;5;7;1;3;4;3;1;1;4;0;1;6;2;2;5;2;3;2;2;5;2;1;6;2;2;0;1;1;1;1;1;2;1;2;0;0;1;1;1;0;0;0;105;86;106;2;10;7;8;0;
120001305000007;8;287;2;4;4;7;8;6;8;7;8;7;5;6;7;6;4;7;4;6;7;3;10;6;8;6;7;5;4;5;5;5;6;6;6;3;3;3;3;3;6;5;2;4;5;4;2;3;4;4;4;0;2;2;1;2;1;5;4;5;1;1;0;1;0;0;3;0;0;1;1;0;1;0;2;0;0;1;93;84;74;1;5;0;4;0;
120001305000008;8;581;3;8;13;17;14;21;16;20;23;29;16;13;20;13;14;8;13;12;14;7;13;12;11;12;12;9;9;8;11;3;14;6;1;5;4;19;4;7;9;9;10;8;10;4;7;10;5;3;2;3;8;3;4;3;5;3;2;2;2;0;1;2;1;0;0;1;0;3;0;1;3;0;0;0;1;2;155;132;197;6;19;1;14;0;
120001305000009;8;443;2;7;13;8;15;17;19;15;20;15;11;19;11;8;7;10;9;6;8;6;16;11;7;13;12;8;8;3;13;7;3;5;13;8;4;4;8;2;5;8;5;5;4;2;6;5;2;3;2;2;2;1;1;3;1;2;2;0;1;1;1;2;1;2;0;0;3;0;0;0;0;0;0;0;0;0;136;108;143;1;3;1;6;0;
120001305000010;8;592;3;5;11;7;12;26;17;26;23;26;24;21;22;11;17;10;16;5;6;9;10;11;16;11;9;12;14;8;10;12;12;12;7;10;6;12;11;4;6;7;10;7;6;4;3;6;4;5;7;1;4;4;2;3;4;2;1;5;0;0;1;3;3;0;1;1;0;2;0;0;2;0;1;1;2;0;170;138;212;3;17;1;13;0;
