Cod_setor;Situacao_setor;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194;V195;V196;V197;V198;V199;V200;V201;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216;V217;V218;V219;V220;V221;V222;V223;V224;V225;V226;V227;V228;V229;V230;V231;V232;V233;V234;V235;V236;V237;V238;V239;V240;V241;V242;V243;V244;V245;V246;V247;V248;V249;V250;V251;V252;V253;V254;V255
120001305000001;1;375;3;6;4;8;7;8;8;9;9;5;9;12;5;8;7;10;9;10;5;10;11;7;6;12;4;3;7;6;2;6;7;5;5;8;8;6;3;5;6;2;2;4;3;6;10;7;7;5;5;3;4;6;4;4;5;3;4;1;3;1;3;1;1;3;1;1;0;0;3;1;0;1;0;0;0;2;184;23;110;2;10;7;9;1;412;1;7;9;8;7;8;14;11;17;11;14;10;9;9;7;7;12;8;5;6;12;13;9;13;6;12;11;7;4;7;7;7;10;8;9;0;7;5;5;8;5;2;3;5;6;5;4;5;5;3;4;3;1;4;3;0;2;0;3;1;0;4;0;1;0;0;0;1;0;2;0;0;0;0;0;0;58;159;126;3;11;2;17;0
120001305000002;1;450;5;3;12;5;7;12;20;10;17;14;16;16;11;13;16;10;7;5;8;4;16;11;9;11;5;9;6;8;13;8;6;4;8;10;4;5;9;8;7;2;6;4;5;3;5;3;4;3;3;4;1;1;1;2;1;2;4;3;5;3;1;3;1;0;2;2;1;2;0;3;0;0;1;0;1;0;193;49;145;2;17;1;7;2;483;3;5;15;15;5;15;19;13;19;17;20;19;16;10;13;10;11;12;9;11;8;13;9;3;11;17;9;10;8;14;10;8;4;6;4;8;3;13;4;5;2;2;5;1;5;2;3;3;2;1;2;3;1;3;3;4;1;5;0;0;1;0;2;1;1;2;0;0;1;0;0;0;0;1;1;1;100;171;134;6;10;4;9;2
120001305000003;1;608;4;5;12;12;15;17;15;21;16;11;18;10;14;18;15;12;14;15;14;17;11;16;12;14;16;13;15;14;8;11;12;10;13;14;7;9;4;11;8;4;7;5;8;6;10;3;4;2;6;5;4;6;6;1;5;2;3;3;1;0;4;2;1;4;0;0;2;0;0;1;4;2;0;1;0;3;212;127;175;3;13;7;15;0;654;6;11;14;21;24;24;22;8;19;15;29;11;22;16;11;11;14;16;12;20;16;33;21;18;12;12;18;13;11;8;14;10;10;5;6;7;7;9;5;10;13;7;3;6;11;2;4;3;1;4;7;1;4;1;1;3;2;0;1;2;3;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;192;186;164;6;9;7;9;0
120001305000004;5;68;0;0;2;2;1;1;3;3;3;2;0;1;3;4;2;0;2;1;0;1;2;3;3;0;1;1;2;1;2;1;1;0;3;0;1;0;1;1;2;2;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;34;2;23;0;4;0;0;0;65;0;1;1;3;4;2;3;1;1;1;2;1;1;3;1;0;2;2;1;2;0;1;1;2;1;3;1;0;2;1;0;1;1;0;1;0;1;1;1;1;2;1;1;1;2;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;8;31;15;0;1;0;0;1
120001305000005;8;119;0;0;2;2;2;2;4;2;4;1;3;2;6;1;3;0;2;0;2;4;1;3;3;3;7;4;1;0;0;5;3;2;5;1;1;1;2;0;1;0;2;0;2;0;2;2;3;3;1;1;0;2;1;0;1;1;3;0;2;1;1;0;0;0;1;0;0;1;0;1;0;1;2;0;0;0;63;2;39;1;2;2;2;0;99;1;0;4;0;2;3;1;2;3;2;2;2;3;6;2;2;0;4;1;4;0;2;3;3;3;2;2;0;1;3;0;2;2;2;2;2;1;2;0;1;0;0;0;2;1;1;2;2;1;2;1;1;1;0;1;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;8;51;29;2;0;0;2;0
120001305000006;8;199;1;0;4;3;8;9;7;4;7;6;7;4;10;2;3;7;3;2;2;6;2;2;3;5;5;2;6;2;6;3;3;5;5;4;4;3;1;2;2;0;1;0;2;0;1;1;0;2;4;2;2;1;1;3;0;1;5;1;2;0;1;0;1;1;0;2;1;1;0;0;1;1;1;0;0;0;98;0;67;1;7;4;6;0;163;0;4;7;6;5;6;3;5;3;4;4;5;6;2;4;7;5;4;3;1;3;4;5;8;3;3;3;2;2;5;3;2;1;1;1;4;0;1;2;3;0;1;2;0;0;5;2;0;1;0;1;1;1;2;2;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;7;86;39;1;3;3;2;0
120001305000007;8;158;1;2;3;5;4;4;4;7;3;6;2;2;4;5;0;3;2;4;3;2;6;2;4;2;5;3;2;5;2;1;2;3;4;3;2;2;1;0;4;2;2;1;4;3;0;0;4;2;1;0;1;1;0;2;0;3;4;3;1;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;87;0;49;0;3;0;3;0;129;1;2;1;2;4;2;4;0;5;1;3;4;3;1;4;4;2;2;4;1;4;4;4;4;2;2;2;0;3;4;4;3;2;0;1;1;2;3;2;3;0;3;1;1;2;3;0;2;3;0;1;1;1;0;1;2;0;2;0;0;0;1;0;0;2;0;0;1;0;0;0;0;1;0;0;1;6;84;25;1;2;0;1;0
120001305000008;8;327;2;3;8;8;9;10;6;10;10;17;6;8;11;7;10;5;7;8;7;5;8;9;10;4;7;7;8;7;4;1;11;4;0;1;1;10;1;3;3;5;6;5;4;2;5;6;2;2;1;2;6;1;3;0;3;3;0;2;2;0;0;1;1;0;0;1;0;2;0;1;2;0;0;0;1;2;137;9;125;3;10;1;10;0;254;1;5;5;9;5;11;10;10;13;12;10;5;9;6;4;3;6;4;7;2;5;3;1;8;5;2;1;1;7;2;3;2;1;4;3;9;3;4;6;4;4;3;6;2;2;4;3;1;1;1;2;2;1;3;2;0;2;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;18;123;72;3;9;0;4;0
120001305000009;8;236;2;3;7;4;7;8;7;5;11;7;5;8;6;6;1;8;6;3;6;2;9;7;2;7;7;5;4;1;4;4;1;4;9;4;1;2;7;1;1;6;3;3;3;1;3;5;2;2;2;0;1;1;0;3;0;2;1;0;1;0;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;125;2;80;0;3;1;2;0;207;0;4;6;4;8;9;12;10;9;8;6;11;5;2;6;2;3;3;2;4;7;4;5;6;5;3;4;2;9;3;2;1;4;4;3;2;1;1;4;2;2;2;1;1;3;0;0;1;0;2;1;0;1;0;1;0;1;0;0;1;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;11;106;63;1;0;0;4;0
120001305000010;8;325;3;2;4;3;7;17;10;14;10;16;13;13;12;5;9;6;11;0;3;4;4;7;8;5;3;8;5;3;6;5;10;4;3;5;3;6;4;3;3;2;6;6;2;3;3;6;3;2;5;1;3;3;2;1;2;1;1;2;0;0;1;3;2;0;0;1;0;2;0;0;2;0;1;0;2;0;112;43;133;1;9;0;8;0;267;0;3;7;4;5;9;7;12;13;10;11;8;10;6;8;4;5;5;3;5;6;4;8;6;6;4;9;5;4;7;2;8;4;5;3;6;7;1;3;5;4;1;4;1;0;0;1;3;2;0;1;1;0;2;2;1;0;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;58;95;79;2;8;1;5;0
