Cod_setor;Situacao_setor;V001;V002;V003
120001305000001;1;179;0;0
120001305000002;1;293;1;0
120001305000003;1;459;1;0
120001305000004;5;46;2;0
120001305000005;8;55;2;0
120001305000006;8;127;3;0
120001305000007;8;83;1;0
120001305000008;8;167;0;0
120001305000009;8;172;2;0
120001305000010;8;198;1;0
120001305000011;8;152;1;0
120001305000012;1;232;3;0
120001305000013;1;280;0;0
120001305000014;8;192;6;0
120001305000015;8;137;1;0
120001305000016;8;206;2;0
120005405000001;1;216;0;9
120005405000002;1;207;2;0
120005405000003;1;475;1;0
120005405000004;8;111;4;0
120005405000007;8;59;"X";"X"
120005405000008;8;3;"X";"X"
120005405000009;8;72;0;0
120005405000010;8;277;0;0
120005405000011;8;59;5;0
120005405000012;8;142;1;0
120010405000001;1;169;2;0
120010405000002;1;152;0;0
120010405000003;1;261;0;0
120010405000004;1;232;1;0
120010405000005;1;239;0;0
120010405000006;1;120;0;0
120010405000007;1;238;6;0
120010405000008;1;158;1;0
120010405000009;8;246;4;0
120010405000010;8;138;0;0
120010405000011;8;236;1;1
120010405000012;8;104;3;0
120010405000013;8;220;0;0
120010405000014;8;63;1;0
120010405000015;8;238;1;0
120010405000016;8;39;3;0
120010405000017;8;103;4;0
120010405000018;8;123;0;0
120010405000019;8;85;1;0
120010405000020;8;30;0;0
120010405000021;1;238;1;1
120010405000022;1;339;1;0
120010405000023;1;360;2;2
120010405000024;1;183;1;0
120010405000025;1;217;2;0
120010405000026;8;41;0;0
120010405000027;8;24;"X";"X"
120010405000028;5;48;3;0
120010405000029;2;110;1;0
120010405000030;2;5;"X";"X"
120010405000031;1;62;0;0
120013805000001;1;295;0;0
120013805000002;1;210;2;0
120013805000003;8;170;1;0
120013805000004;8;25;"X";"X"
120013805000005;8;57;4;0
120013805000006;8;105;0;0
120013805000007;8;200;1;0
120013805000008;8;101;2;0
120013805000009;8;174;0;0
120013805000010;8;234;14;0
120013805000011;1;248;6;0
120013805000012;8;80;3;0
120013805000013;8;0;"X";"X"
120013805000014;1;111;2;0
120017905000001;1;360;6;0
120017905000002;1;345;2;0
120017905000003;8;121;0;0
120017905000004;8;47;3;0
120017905000005;8;207;1;0
120017905000006;8;14;0;0
120017905000007;8;38;0;0
120017905000008;1;297;3;0
120017905000009;8;257;7;0
120017905000010;8;60;0;0
120017905000011;8;230;6;0
120017905000012;8;55;2;0
120017905000013;5;62;3;0
120017905000014;2;8;0;0
120017905000015;2;0;"X";"X"
120017905000016;8;83;0;0
120017905000017;8;5;"X";"X"
120017905000018;8;11;0;0
120020305000001;1;120;0;0
120020305000002;1;253;1;0
120020305000003;1;258;5;1
120020305000004;1;330;2;1
120020305000005;1;321;6;2
120020305000006;1;186;0;0
120020305000007;1;469;3;0
120020305000008;1;138;0;0
120020305000009;1;119;0;0
120020305000010;1;104;0;0
120020305000011;1;221;4;0
120020305000012;1;182;1;0
120020305000013;1;287;2;0
120020305000014;1;309;10;1
120020305000015;1;124;2;1
120020305000016;1;468;1;0
120020305000017;1;241;2;0
120020305000018;1;138;1;0
120020305000019;1;164;2;0
120020305000020;1;355;18;1
120020305000021;1;216;0;0
120020305000022;1;217;3;0
120020305000023;1;261;9;0
