Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
120001305000001;1;67;0;0;0;0;0;0;0;1;0;0;1;1;2;1;1;2;1;0;3;2;2;4;1;1;2;4;1;2;2;1;0;1;1;0;1;1;0;0;3;1;1;3;1;1;1;1;0;0;2;1;1;2;0;2;0;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;58;0;1;6;7;10;10;3;5;7;3;4;2;0;0;0
120001305000002;1;120;0;0;0;0;0;0;0;1;1;2;1;0;1;3;2;3;3;1;1;5;7;3;2;2;4;7;2;2;2;1;3;4;5;3;3;1;2;0;0;3;1;1;4;1;0;1;3;1;5;1;4;2;4;0;1;1;1;2;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;4;7;13;17;14;16;5;6;7;6;3;1;0;1
120001305000003;1;237;0;1;0;0;0;3;1;6;2;1;3;4;4;7;10;7;14;9;9;5;8;6;9;6;3;8;5;6;4;3;6;3;6;5;6;7;8;1;3;6;1;2;2;0;2;5;0;4;1;1;3;2;1;1;1;4;3;0;1;1;2;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;192;1;12;27;43;28;21;19;18;5;9;4;4;1;0;0
120001305000004;5;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;1;1;1;0;2;1;0;0;0;1;1;0
120001305000005;8;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;3;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;2;1;0;0;1;2;0;1;1;0;0;0
120001305000006;8;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;1;1;1;1;0;0;2;1;0;0;0;0
120001305000007;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;1;0;2;0;0;1;1;0;0
120001305000008;8;30;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;1;1;0;1;1;1;1;0;3;1;0;1;1;2;0;1;2;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;1;0;0;1;2;0;2;3;6;2;1;0;0;0;0
120001305000009;8;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;1;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;5;1;2;1;1;1;0;0;0;0;0
120001305000010;8;78;0;0;0;0;0;0;0;0;0;1;0;2;1;2;0;4;2;5;3;3;0;3;3;1;2;0;5;1;2;1;3;3;2;3;4;1;0;1;0;1;0;1;2;0;1;1;2;0;3;0;0;1;2;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;1;4;16;9;8;10;1;2;4;2;1;0;0;0
