Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194;V195;V196;V197;V198;V199;V200;V201;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216
120001305000001;1;282;0;0;0;0;0;0;1;1;0;0;3;3;6;2;5;5;3;4;8;4;3;11;5;3;9;8;4;6;9;7;7;4;5;4;4;5;5;4;9;12;7;10;5;6;4;4;6;4;5;6;4;6;1;5;2;5;5;1;6;1;2;1;2;2;2;0;2;2;1;0;1;0;0;1;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;242;0;2;19;23;29;33;22;30;32;21;14;11;4;1;1;215;0;0;0;0;0;0;1;0;0;0;2;2;4;1;4;3;2;4;5;2;1;7;4;2;7;4;3;4;7;6;7;3;4;4;3;4;5;4;6;11;6;7;4;5;3;3;6;4;3;5;3;4;1;3;2;4;3;1;5;1;1;1;2;2;2;0;2;2;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;184;0;1;13;16;19;23;19;25;25;18;10;9;4;1;1
120001305000002;1;344;0;0;0;0;0;0;1;1;3;4;2;3;3;10;6;15;12;7;8;9;15;8;6;14;10;12;4;7;12;5;8;11;10;6;5;6;4;5;4;8;4;6;6;3;4;2;5;2;7;1;6;6;6;5;4;3;5;3;3;2;3;0;2;0;4;1;1;1;0;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;293;0;9;24;50;51;35;38;22;20;12;17;8;5;1;1;224;0;0;0;0;0;0;1;0;2;2;1;3;2;7;4;12;9;6;7;4;8;5;4;12;6;5;2;5;10;4;5;7;5;3;2;5;2;5;4;5;3;5;2;2;4;1;2;1;2;0;2;4;2;5;3;2;4;1;1;2;1;0;2;0;3;1;0;1;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;193;0;5;17;37;34;21;22;17;14;5;11;5;4;1;0
120001305000003;1;483;0;1;0;0;1;3;1;6;3;6;5;6;6;12;19;13;21;14;14;11;11;10;19;12;8;13;13;15;16;9;11;8;13;14;8;12;11;7;8;10;3;5;3;2;9;9;5;8;2;5;5;4;1;3;1;10;4;1;5;1;3;1;0;1;3;6;5;1;1;1;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;404;2;18;47;72;53;56;43;39;17;26;7;13;2;6;3;246;0;0;0;0;1;0;0;0;1;5;2;2;2;5;9;6;7;5;5;6;3;4;10;6;5;5;8;9;12;6;5;5;7;9;2;5;3;6;5;4;2;3;1;2;7;4;5;4;1;4;2;2;0;2;0;6;1;1;4;0;1;1;0;1;2;5;4;0;1;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;212;1;6;20;29;25;35;24;21;12;17;3;9;1;6;3
120001305000004;5;53;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;2;3;0;2;0;3;1;1;1;1;0;3;0;2;0;1;1;1;3;0;1;0;1;2;2;0;1;2;0;1;0;0;0;0;2;0;1;0;1;1;0;0;0;0;2;0;0;0;1;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;1;3;7;6;6;5;2;3;0;3;0;3;2;1;41;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;2;3;0;1;0;2;1;1;1;1;0;3;0;1;0;1;1;1;3;0;1;0;0;1;1;0;1;2;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;1;3;6;5;5;5;0;2;0;3;0;2;1;1
120001305000005;8;96;0;0;0;0;0;0;0;0;0;0;1;1;0;2;2;1;1;4;3;4;3;1;0;1;3;3;2;3;1;1;1;1;0;2;0;2;1;2;0;4;2;5;3;1;4;0;2;2;1;1;1;3;1;4;1;3;0;0;1;1;1;0;2;0;1;0;1;2;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;3;13;7;9;2;7;12;4;8;3;1;2;0;83;0;0;0;0;0;0;0;0;0;0;1;1;0;2;2;1;1;3;2;4;3;1;0;0;3;3;2;3;1;1;1;1;0;2;0;2;1;2;0;3;2;4;3;1;1;0;2;2;1;1;1;3;0;3;1;2;0;0;1;1;1;0;2;0;1;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;3;11;6;9;2;6;10;4;7;2;1;2;0
120001305000006;8;131;0;0;0;0;0;0;0;1;0;0;1;1;1;2;1;2;2;2;3;4;3;7;3;6;3;5;4;6;2;3;4;2;3;4;0;1;0;3;1;2;1;0;2;4;1;2;1;4;3;2;2;7;1;2;1;2;0;1;1;0;2;1;3;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;105;0;1;6;13;18;17;9;4;8;9;10;3;4;3;0;117;0;0;0;0;0;0;0;1;0;0;1;1;1;2;1;1;2;2;3;4;3;7;3;6;2;4;4;6;2;3;3;2;3;3;0;1;0;3;1;2;1;0;2;4;1;2;1;2;3;1;1;6;1;2;0;1;0;1;1;0;2;1;2;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;98;0;1;6;12;17;16;8;4;8;7;9;3;4;3;0
120001305000007;8;104;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;4;1;4;2;5;2;2;6;1;1;2;3;4;3;2;4;1;2;4;2;2;1;4;5;0;2;4;2;1;0;1;1;0;3;0;3;4;3;1;1;0;0;0;0;2;0;0;1;1;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;0;1;2;14;11;14;10;10;9;4;12;2;2;2;0;98;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;4;1;4;2;4;2;2;6;1;1;2;3;4;3;2;3;1;2;4;2;2;1;4;5;0;0;4;2;1;0;1;1;0;3;0;3;4;3;1;1;0;0;0;0;1;0;0;0;1;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;1;2;13;11;14;9;10;7;4;12;1;1;2;0
120001305000008;8;218;0;0;0;0;1;0;0;0;1;1;1;3;1;3;0;4;2;6;4;8;9;6;8;4;1;7;1;3;3;0;11;1;5;4;5;9;7;6;4;4;9;3;5;3;5;9;5;7;5;4;2;2;3;2;2;0;2;4;0;1;1;0;3;0;2;3;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155;1;1;8;20;23;9;23;23;19;13;5;2;4;3;1;188;0;0;0;0;0;0;0;0;1;0;1;3;1;3;0;4;2;6;4;7;9;5;8;3;0;7;1;3;3;0;10;1;4;3;5;8;6;5;3;4;6;2;5;2;4;7;5;6;3;4;2;1;3;1;1;0;2;3;0;0;1;0;3;0;2;2;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;0;1;8;19;21;9;21;20;13;11;4;2;4;3;1
120001305000009;8;177;0;0;0;0;0;0;1;0;1;1;2;2;4;5;1;8;5;2;5;6;6;6;1;6;5;1;5;9;6;2;3;6;1;5;8;4;4;5;4;4;6;2;3;4;0;2;1;3;5;2;3;1;2;1;0;2;2;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;0;2;13;24;21;19;17;14;11;6;4;4;1;0;0;163;0;0;0;0;0;0;1;0;1;1;2;2;4;5;1;8;5;2;5;6;6;4;1;3;5;1;4;8;6;2;3;6;1;4;7;4;4;4;3;4;6;2;2;4;0;2;1;2;5;2;2;1;2;1;0;2;2;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125;0;2;13;24;16;18;15;13;10;5;4;4;1;0;0
120001305000010;8;229;0;0;1;1;0;1;0;0;1;1;1;4;1;4;3;6;5;7;6;3;5;8;6;8;2;7;10;3;5;5;8;6;5;6;6;6;7;3;4;2;4;6;5;4;2;4;5;2;4;2;0;4;3;3;2;1;3;3;0;1;2;1;2;0;0;3;0;2;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;1;3;11;26;25;26;21;15;13;11;3;7;3;5;0;151;0;0;1;1;0;1;0;0;1;0;1;2;0;2;3;2;3;2;3;0;5;5;3;7;0;7;5;2;3;4;5;3;3;3;2;5;7;2;4;1;4;5;3;4;1;3;3;2;1;2;0;3;1;2;2;1;3;2;0;1;1;0;2;0;0;3;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;1;2;7;10;16;18;11;14;11;7;1;6;3;5;0
