Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132
270010205000001;1;1195;1188;1188;0;0;856;6;162;0;164;0;1167;0;0;21;1186;1140;0;44;2;0;0;2;1176;950;172;37;17;12;1176;1125;51;1;0;11;0;0;1185;1185;0;3;1117;14;54;590;588;588;0;0;430;2;81;0;75;0;578;0;0;10;587;562;0;24;1;0;0;1;582;468;87;16;11;6;581;556;25;0;0;7;0;0;587;587;0;1;553;6;28;605;600;600;0;0;426;4;81;0;89;0;589;0;0;11;599;578;0;20;1;0;0;1;594;482;85;21;6;6;595;569;26;1;0;4;0;0;598;598;0;2;564;8;26
270010205000002;1;886;886;886;0;0;786;0;72;0;28;0;877;2;1;6;886;766;5;109;0;0;6;0;886;624;209;24;29;0;862;862;0;21;0;0;0;3;886;886;0;0;808;62;16;434;434;434;0;0;382;0;38;0;14;0;430;1;0;3;434;373;3;54;0;0;4;0;434;305;100;13;16;0;424;424;0;8;0;0;0;2;434;434;0;0;391;34;9;452;452;452;0;0;404;0;34;0;14;0;447;1;1;3;452;393;2;55;0;0;2;0;452;319;109;11;13;0;438;438;0;13;0;0;0;1;452;452;0;0;417;28;7
270010205000003;1;1083;1083;1083;0;0;838;3;179;0;63;0;1036;0;0;47;1083;1042;5;30;6;0;0;0;1083;837;222;22;2;0;1078;1078;0;0;0;3;0;2;1083;1083;0;0;1030;26;27;523;523;523;0;0;404;1;87;0;31;0;504;0;0;19;523;503;3;14;3;0;0;0;523;413;103;7;0;0;521;521;0;0;0;1;0;1;523;523;0;0;499;12;12;560;560;560;0;0;434;2;92;0;32;0;532;0;0;28;560;539;2;16;3;0;0;0;560;424;119;15;2;0;557;557;0;0;0;2;0;1;560;560;0;0;531;14;15
270010205000004;5;265;265;265;0;0;252;4;0;0;9;0;234;0;0;31;263;202;0;61;0;0;0;2;263;222;41;0;0;2;261;261;0;4;0;0;0;0;265;265;0;0;249;9;7;130;130;130;0;0;125;2;0;0;3;0;119;0;0;11;129;98;0;31;0;0;0;1;129;106;23;0;0;1;127;127;0;3;0;0;0;0;130;130;0;0;121;5;4;135;135;135;0;0;127;2;0;0;6;0;115;0;0;20;134;104;0;30;0;0;0;1;134;116;18;0;0;1;134;134;0;1;0;0;0;0;135;135;0;0;128;4;3
270010205000005;8;1244;1244;1244;0;0;1229;0;4;6;5;0;407;0;259;578;1043;0;0;974;52;0;17;201;978;949;29;0;0;266;152;152;0;818;31;243;0;0;1185;1185;0;59;1143;16;26;624;624;624;0;0;618;0;1;3;2;0;204;0;127;293;519;0;0;485;27;0;7;105;487;471;16;0;0;137;72;72;0;405;19;128;0;0;588;588;0;36;568;7;13;620;620;620;0;0;611;0;3;3;3;0;203;0;132;285;524;0;0;489;25;0;10;96;491;478;13;0;0;129;80;80;0;413;12;115;0;0;597;597;0;23;575;9;13
270010205000006;8;608;608;608;0;0;560;0;0;0;27;21;0;109;276;223;527;0;0;379;73;0;75;81;503;465;38;0;0;105;0;0;0;494;6;106;2;0;591;582;9;17;531;9;42;316;316;316;0;0;292;0;0;0;13;11;0;52;145;119;271;0;0;198;39;0;34;45;260;240;20;0;0;56;0;0;0;259;2;54;1;0;309;303;6;7;282;5;16;292;292;292;0;0;268;0;0;0;14;10;0;57;131;104;256;0;0;181;34;0;41;36;243;225;18;0;0;49;0;0;0;235;4;52;1;0;282;279;3;10;249;4;26
270010205000007;8;112;112;112;0;0;106;0;0;1;0;5;0;0;63;49;104;0;0;68;15;0;21;8;104;104;0;0;0;8;0;0;0;94;7;11;0;0;112;112;0;0;112;0;0;59;59;59;0;0;57;0;0;1;0;1;0;0;32;27;56;0;0;36;9;0;11;3;56;56;0;0;0;3;0;0;0;49;5;5;0;0;59;59;0;0;59;0;0;53;53;53;0;0;49;0;0;0;0;4;0;0;31;22;48;0;0;32;6;0;10;5;48;48;0;0;0;5;0;0;0;45;2;6;0;0;53;53;0;0;53;0;0
270010205000008;8;573;573;573;0;0;462;69;3;1;30;8;417;10;37;109;264;26;11;189;6;0;32;309;169;163;6;0;0;404;0;0;0;365;0;208;0;0;550;550;0;23;493;0;57;307;307;307;0;0;241;40;2;1;18;5;222;5;23;57;138;11;5;104;3;0;15;169;86;83;3;0;0;221;0;0;0;197;0;110;0;0;294;294;0;13;266;0;28;266;266;266;0;0;221;29;1;0;12;3;195;5;14;52;126;15;6;85;3;0;17;140;83;80;3;0;0;183;0;0;0;168;0;98;0;0;256;256;0;10;227;0;29
270010205000009;8;1425;1425;1425;0;0;1185;8;0;21;198;13;550;117;69;689;1103;5;0;1070;0;0;28;322;994;923;63;8;0;431;100;100;0;1180;4;138;0;3;1398;1398;0;27;1244;17;137;733;733;733;0;0;614;4;0;12;94;9;281;59;36;357;566;1;0;552;0;0;13;167;509;470;38;1;0;224;49;49;0;597;2;83;0;2;719;719;0;14;644;5;70;692;692;692;0;0;571;4;0;9;104;4;269;58;33;332;537;4;0;518;0;0;15;155;485;453;25;7;0;207;51;51;0;583;2;55;0;1;679;679;0;13;600;12;67
270010205000010;8;1876;1860;1860;0;0;1708;0;0;2;150;0;978;0;0;882;1283;0;0;726;5;11;541;577;1283;1270;13;0;0;577;0;0;0;1512;29;319;0;0;1823;1695;128;37;1435;28;232;959;952;952;0;0;877;0;0;1;74;0;505;0;0;447;655;0;0;365;3;5;282;297;655;649;6;0;0;297;0;0;0;772;17;163;0;0;934;863;71;18;728;16;119;917;908;908;0;0;831;0;0;1;76;0;473;0;0;435;628;0;0;361;2;6;259;280;628;621;7;0;0;280;0;0;0;740;12;156;0;0;889;832;57;19;707;12;113
