Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
270010205000001;1;0;343926;343926;0;23;53;99;94;23;5;6;1;1;10;
270010205000002;1;0;295849;295849;0;19;34;53;75;26;6;1;3;1;4;
270010205000003;1;0;253724;253724;0;40;44;89;73;21;5;1;0;0;3;
270010205000004;5;0;68058;68058;0;9;7;15;29;7;1;0;0;0;9;
270010205000005;8;0;170268;170268;0;51;82;76;52;3;0;0;0;0;6;
270010205000006;8;0;101290;101290;0;31;26;36;44;5;0;1;0;0;8;
270010205000007;8;0;11164;11164;0;8;3;6;4;0;0;0;0;0;8;
270010205000008;8;0;50535;50535;0;46;18;17;16;0;1;0;0;0;21;
270010205000009;8;0;281617;281617;0;50;74;93;97;25;4;0;0;0;2;
270010205000010;8;6;206989;206137;852;149;69;82;74;5;2;0;0;0;13;
270010205000011;8;0;254481;254481;0;42;52;107;90;12;1;0;0;0;2;
270010205000012;8;0;103178;103178;0;59;30;36;38;4;0;0;0;0;14;
270010205000013;8;0;147654;147654;0;116;39;70;42;9;0;0;0;0;32;
270010205000014;8;1;101201;101067;134;74;34;36;41;3;1;0;0;0;19;
270010205000015;5;0;27830;27830;0;8;5;6;15;1;1;0;0;0;3;
270010205000016;5;0;93788;93788;0;26;15;30;36;7;3;0;1;0;13;
270010205000017;8;0;148139;148139;0;44;28;67;39;10;2;1;0;0;16;
270010205000018;8;1;164591;164479;112;75;37;61;55;10;1;0;0;1;50;
270010205000019;8;0;51446;51446;0;29;14;23;25;1;0;0;0;0;4;
270010205000020;1;0;292377;292377;0;17;31;78;79;31;6;3;1;1;2;
270010205000021;1;2;420641;419431;1210;10;32;69;108;50;12;11;6;0;1;
270010205000022;5;0;38069;38069;0;8;11;16;14;1;0;0;0;0;1;
270010205000023;8;0;88442;88442;0;69;19;32;32;5;0;0;0;0;15;
270020105000001;1;0;172399;172399;0;24;18;55;68;16;2;1;0;0;5;
270020105000002;1;0;442533;442533;0;8;17;52;66;56;16;11;5;0;5;
270020105000003;1;0;420061;420061;0;10;50;109;124;38;10;3;4;0;18;
270020105000004;1;0;348791;348791;0;29;67;107;130;33;5;3;3;0;8;
270020105000005;1;0;153478;153478;0;76;83;70;45;9;0;1;0;0;24;
270020105000006;1;2;252723;251313;1410;65;82;107;91;13;3;1;0;0;24;
270020105000007;1;0;162627;162627;0;39;46;74;51;4;0;2;0;0;18;
270020105000008;1;0;245371;245371;0;6;9;34;51;33;5;7;3;0;1;
270020105000009;8;0;192374;192374;0;69;72;95;61;7;1;0;1;0;38;
270020105000010;8;2;114429;113819;610;21;36;50;32;8;1;1;1;0;27;
270020105000011;8;0;53704;53704;0;36;27;30;13;1;0;1;0;0;51;
270020105000012;5;0;65309;65309;0;21;23;42;18;2;0;0;0;0;95;
270020105000013;5;0;75839;75839;0;12;30;39;18;8;0;0;0;0;12;
270020105000014;8;0;175361;175361;0;45;59;57;81;7;2;1;0;0;16;
270020105000015;5;0;97737;97737;0;29;26;22;37;14;0;2;1;0;10;
270020105000016;8;0;94437;94437;0;17;17;47;39;3;1;1;0;0;10;
270020105000017;8;0;99195;99195;0;21;28;35;32;7;1;1;2;0;1;
270020105000018;4;0;216668;216668;0;74;80;96;45;4;1;0;0;0;22;
270020105000019;1;0;199518;199518;0;18;30;90;77;19;1;1;0;0;24;
270020105000020;5;0;117274;117274;0;17;35;50;41;5;0;0;1;0;14;
270030005000001;1;3;348162;339782;8380;2;9;35;54;43;10;12;4;2;2;
270030005000002;1;0;471471;471471;0;1;5;18;39;42;18;16;14;2;2;
270030005000003;1;6;738982;724752;14230;0;5;34;82;78;22;34;21;6;5;
270030005000004;1;2;561038;559738;1300;1;8;28;72;64;30;21;6;5;3;
270030005000005;1;0;465663;465663;0;1;6;24;80;53;19;15;5;2;1;
270030005000006;1;1;692552;692402;150;3;23;66;125;83;30;14;7;0;0;
270030005000007;1;0;664061;664061;0;1;12;25;80;57;33;17;12;2;5;
270030005000008;1;0;187226;187226;0;7;37;81;68;16;0;0;0;0;15;
270030005000009;1;0;695885;695885;0;12;28;61;110;71;21;15;10;0;2;
270030005000010;1;1;228975;227210;1765;14;25;61;62;21;6;6;0;0;3;
270030005000011;1;0;332124;332124;0;27;51;120;100;18;2;4;1;0;4;
270030005000012;1;0;281742;281742;0;18;35;75;100;24;7;1;0;0;19;
270030005000013;1;0;109843;109843;0;4;16;17;23;9;2;1;1;0;9;
270030005000014;1;0;184190;184190;0;6;18;51;69;14;2;0;0;0;2;
270030005000015;1;0;334154;334154;0;8;31;95;100;40;8;2;0;0;3;
270030005000016;1;0;295079;295079;0;26;43;92;109;28;3;2;0;0;5;
270030005000017;1;2;305700;305326;374;32;59;109;104;24;1;3;0;0;5;
270030005000018;1;1;204459;203559;900;22;27;74;77;13;5;0;1;0;5;
270030005000019;1;0;153042;153042;0;12;21;56;49;16;3;0;0;0;2;
270030005000020;1;3;242467;240447;2020;14;34;66;84;14;1;3;2;0;5;
270030005000021;1;0;731215;731215;0;3;10;55;95;52;23;19;11;9;12;
270030005000022;1;0;178529;178529;0;10;11;46;55;22;3;3;0;0;6;
270030005000023;1;2;471679;467579;4100;1;8;42;87;82;12;11;5;1;1;
270030005000024;1;0;904181;904181;0;6;16;40;64;60;32;35;20;7;4;
270030005000025;1;0;656234;656234;0;5;25;54;108;49;26;15;11;3;7;
270030005000026;1;0;569954;569954;0;12;21;56;83;52;27;14;8;3;11;
270030005000027;1;2;1011084;1009834;1250;5;24;70;149;132;37;20;12;2;0;
270030005000028;1;0;839638;839638;0;7;19;46;73;60;28;27;12;3;5;
270030005000029;1;1;541672;540262;1410;8;25;64;79;60;12;14;7;2;8;
270030005000030;1;0;484706;484706;0;18;46;94;109;49;13;8;5;1;2;
270030005000031;1;1;402781;402531;250;47;60;123;113;38;7;3;0;0;28;
