Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
270010205000001;1;829;3;11;16;12;17;25;22;22;28;26;20;28;12;33;18;22;16;17;23;17;20;13;22;22;15;13;15;16;10;14;13;20;10;9;14;8;12;7;8;9;14;10;10;9;6;10;10;5;7;5;8;5;8;5;8;4;6;3;2;1;1;5;3;4;0;8;1;3;3;2;1;0;0;0;0;4;203;166;307;1;35;21;33;1;
270010205000002;1;669;1;9;11;16;20;15;23;13;23;16;18;14;20;16;15;14;15;16;11;10;16;15;15;17;21;16;12;7;10;10;11;11;9;8;11;9;5;7;11;5;7;13;7;7;7;10;8;4;6;3;7;4;1;1;10;3;1;4;3;2;3;4;3;4;1;3;2;2;1;2;0;3;2;2;1;6;170;120;254;5;26;9;23;0;
270010205000003;1;826;5;11;15;20;21;23;20;21;26;31;26;24;31;24;22;23;23;15;17;15;11;22;18;14;19;11;17;17;11;8;13;13;13;14;16;11;13;13;10;11;14;22;8;10;5;11;5;5;3;5;5;1;2;1;3;1;2;1;4;1;2;4;2;0;2;0;2;3;0;3;1;1;2;2;0;5;229;164;309;2;18;9;16;3;
270010205000004;5;192;0;1;3;3;5;4;3;2;6;9;9;5;4;3;3;4;3;1;7;3;7;2;6;5;1;2;4;2;1;2;0;3;2;4;7;4;3;3;3;2;5;3;0;0;6;2;1;1;2;1;1;1;1;3;0;1;0;1;3;1;3;3;2;0;3;2;0;0;0;1;0;0;0;0;1;3;50;38;80;1;7;0;4;0;
270010205000005;8;696;8;10;12;25;23;25;31;32;22;27;23;30;32;18;29;23;20;25;19;23;14;18;12;12;10;8;12;7;6;10;13;6;5;9;5;3;3;6;5;6;3;4;3;4;1;3;3;8;2;0;3;1;1;3;2;1;2;2;3;4;5;0;2;0;1;0;1;0;1;0;0;1;1;1;0;3;120;104;331;3;20;11;28;0;
270010205000006;8;383;0;0;1;5;9;13;14;10;19;19;12;15;15;16;12;12;10;13;13;5;10;9;7;4;11;12;3;2;5;4;4;5;3;1;4;2;6;4;4;6;3;2;0;2;0;4;0;3;3;1;0;1;3;1;0;0;2;3;1;6;3;5;1;1;4;1;3;1;0;4;1;0;2;1;0;2;92;76;171;1;14;6;8;0;
270010205000007;8;76;1;2;1;3;1;4;3;3;4;5;1;0;7;3;2;2;2;2;4;0;1;2;0;1;2;1;1;2;2;1;0;0;0;0;1;1;0;1;0;0;0;1;0;3;1;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;13;18;33;0;3;0;0;1;
270010205000008;8;263;0;0;3;2;7;8;13;23;21;14;7;13;8;11;9;4;9;8;5;5;13;6;4;6;3;6;3;5;2;4;6;0;2;1;3;0;3;1;3;0;0;2;2;1;1;2;0;0;2;0;3;1;0;2;1;0;0;0;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;51;46;134;1;8;6;3;0;
270010205000009;8;859;2;4;7;21;17;19;16;41;32;40;40;38;24;26;21;30;31;23;27;17;20;16;18;16;14;11;18;14;10;17;10;9;12;7;5;11;9;9;12;7;8;12;6;6;5;6;1;5;5;2;4;2;2;1;5;6;4;4;3;3;7;3;1;5;3;4;3;2;1;1;1;3;0;0;2;12;194;177;363;1;22;10;37;3;
270010205000010;8;862;0;3;6;25;30;39;44;49;48;42;41;42;31;30;38;31;28;20;25;22;20;7;17;18;19;18;3;11;5;12;9;13;5;3;8;5;5;5;6;3;4;5;5;2;3;6;3;5;3;4;2;1;1;1;2;3;2;1;2;1;0;3;2;1;5;0;1;2;0;1;0;0;1;0;0;4;139;142;445;3;38;4;26;0;
270010205000011;8;748;5;3;14;12;16;24;23;23;29;26;25;20;28;36;25;26;15;24;17;14;29;14;21;10;11;10;7;11;11;10;7;8;12;8;13;9;4;7;6;7;9;8;8;6;5;8;2;3;2;3;9;3;1;7;4;1;4;2;3;3;2;5;5;3;2;5;2;1;1;3;3;0;1;0;1;3;166;119;327;9;30;25;21;1;
270010205000012;8;569;2;5;12;14;15;16;19;16;22;20;30;20;19;17;21;11;17;11;10;7;10;10;7;8;4;3;6;11;6;6;5;7;1;6;5;11;11;11;8;10;6;4;7;5;3;4;3;3;6;2;5;9;2;4;2;3;3;0;3;6;5;5;2;3;2;5;1;1;1;0;1;2;1;0;1;9;129;119;234;1;15;2;15;4;
270010205000013;8;713;1;2;6;13;19;25;27;31;32;36;38;31;29;26;25;30;19;19;15;18;10;19;10;14;8;10;12;9;4;8;7;13;11;8;9;6;16;7;9;8;4;5;5;6;6;3;4;1;2;2;0;4;1;2;0;5;1;0;1;3;2;4;2;0;2;3;2;1;0;0;0;1;0;0;0;1;146;134;340;2;21;15;12;1;
