Cod_setor;Situacao_setor;V001;V002;V003
270010205000001;1;222;2;0
270010205000002;1;169;0;0
270010205000003;1;239;0;0
270010205000004;5;45;0;0
270010205000005;8;316;5;0
270010205000006;8;121;3;0
270010205000007;8;20;0;0
270010205000008;8;147;3;0
270010205000009;8;333;2;0
270010205000010;8;567;1;0
270010205000011;8;260;1;0
270010205000012;8;167;6;0
270010205000013;8;334;2;0
270010205000014;8;198;0;0
270010205000015;5;16;1;0
270010205000016;5;76;1;0
270010205000017;8;164;3;0
270010205000018;8;255;2;0
270010205000019;8;81;1;0
270010205000020;1;209;1;0
270010205000021;1;216;3;0
270010205000022;5;43;1;0
270010205000023;8;187;0;0
270020105000001;1;146;0;0
270020105000002;1;127;0;1
270020105000003;1;206;1;0
270020105000004;1;222;1;0
270020105000005;1;272;1;1
270020105000006;1;289;3;3
270020105000007;1;222;0;1
270020105000008;1;60;0;0
270020105000009;8;270;6;3
270020105000010;8;159;0;0
270020105000011;8;136;3;0
270020105000012;5;138;0;0
270020105000013;5;135;0;0
270020105000014;8;176;4;0
270020105000015;5;99;2;0
270020105000016;8;87;0;0
270020105000017;8;86;3;0
270020105000018;4;450;3;0
270020105000019;1;134;1;2
270020105000020;5;138;0;1
270030005000001;1;58;0;0
270030005000002;1;62;0;0
270030005000003;1;93;0;0
270030005000004;1;76;1;0
270030005000005;1;66;0;0
270030005000006;1;165;2;0
270030005000007;1;127;0;0
270030005000008;1;180;0;0
270030005000009;1;211;2;0
270030005000010;1;150;2;0
270030005000011;1;259;4;0
270030005000012;1;200;0;0
270030005000013;1;47;0;0
270030005000014;1;86;0;0
270030005000015;1;148;1;0
270030005000016;1;191;3;0
270030005000017;1;261;2;0
270030005000018;1;159;4;0
270030005000019;1;120;1;0
270030005000020;1;152;5;0
270030005000021;1;102;0;0
270030005000022;1;80;1;0
270030005000023;1;100;0;0
270030005000024;1;129;2;0
270030005000025;1;156;0;2
270030005000026;1;143;0;0
270030005000027;1;353;0;0
270030005000028;1;185;0;0
270030005000029;1;142;1;0
270030005000030;1;230;0;0
270030005000031;1;339;2;0
270030005000032;1;156;1;0
270030005000033;1;179;3;0
270030005000034;1;149;0;0
270030005000035;1;98;0;0
270030005000036;1;120;0;0
270030005000037;1;119;0;0
270030005000038;1;126;1;0
270030005000039;1;142;0;0
270030005000040;1;110;0;0
270030005000041;1;113;0;0
270030005000042;1;150;0;0
270030005000043;1;237;0;0
270030005000044;1;240;2;0
270030005000045;1;135;0;0
270030005000046;1;200;0;1
270030005000047;1;153;1;0
270030005000048;1;178;0;0
270030005000049;1;234;0;0
270030005000050;1;241;4;0
270030005000051;1;242;0;0
270030005000052;1;185;4;0
270030005000053;1;208;3;4
270030005000054;1;508;3;0
270030005000055;1;303;3;0
270030005000056;1;335;9;0
270030005000057;1;173;1;0
270030005000058;1;402;3;0
270030005000059;1;178;3;0
270030005000060;1;112;0;0
270030005000061;1;115;0;0
270030005000062;1;133;0;0
270030005000063;1;194;1;0
270030005000064;1;88;0;0
270030005000065;1;151;0;0
270030005000066;1;140;0;0
270030005000067;1;180;0;0
270030005000068;1;183;0;0
270030005000069;1;128;0;0
270030005000070;1;154;0;0
270030005000071;1;172;0;0
270030005000072;1;170;1;0
270030005000073;1;240;0;0
270030005000074;1;194;3;0
270030005000075;1;282;0;0
270030005000076;1;222;0;0
270030005000077;1;71;1;1
270030005000078;1;260;0;0
270030005000079;1;140;0;0
270030005000080;1;173;0;1
270030005000081;1;146;0;0
270030005000082;1;147;1;0
270030005000083;1;179;1;0
270030005000084;1;107;1;0
270030005000085;1;161;2;0
270030005000086;1;189;6;0
270030005000087;1;107;3;0
270030005000088;1;222;0;0
270030005000089;1;212;1;0
270030005000090;1;244;0;0
270030005000091;1;253;3;0
270030005000092;1;331;1;0
270030005000093;1;187;0;4
270030005000094;1;222;2;0
270030005000095;1;144;1;0
