Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134
270010205000001;1;590;588;201;52;183;67;10;8;1;1;40;2;14;0;8;0;1;0;0;0;2;11;0;0;2;2;0;1;0;1;0;1;2;2;13;10;7;10;21;11;14;5;10;11;12;16;10;18;9;14;9;17;8;7;8;13;13;6;10;4;14;13;10;11;5;6;7;9;8;9;7;6;8;8;7;3;3;5;9;7;6;3;10;10;5;4;5;3;5;7;7;7;7;2;7;3;0;1;4;2;6;3;0;3;2;3;3;1;5;0;2;0;1;1;0;2;4;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
270010205000002;1;434;434;111;53;160;48;5;7;3;1;32;1;9;0;3;0;1;0;0;0;0;3;0;0;0;0;1;0;0;1;1;0;0;0;3;5;12;5;4;9;13;9;12;10;12;7;11;10;12;11;11;8;10;5;8;5;10;7;10;8;6;10;9;8;8;3;9;4;5;11;7;2;3;5;2;4;10;2;3;10;5;5;2;4;4;3;3;3;3;2;1;2;7;3;1;2;2;1;1;3;1;4;3;1;0;1;1;0;1;1;3;1;1;2;1;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
270010205000003;1;523;523;108;102;218;47;4;4;2;0;27;0;7;0;4;0;0;0;0;0;0;9;0;1;0;3;0;1;0;1;1;0;2;0;13;9;12;11;11;12;6;12;13;11;7;18;11;17;13;14;17;13;13;12;14;9;7;4;6;16;7;10;7;7;9;4;7;6;8;6;2;8;7;3;8;7;6;6;7;17;3;5;4;5;5;3;3;5;5;1;2;1;2;0;1;1;2;3;3;2;1;1;1;1;1;3;1;1;1;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270010205000004;5;130;130;39;12;43;17;2;2;0;0;13;0;1;0;1;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;3;3;3;3;3;4;3;1;2;4;5;5;3;3;1;1;5;1;0;4;2;1;1;3;3;0;0;2;2;1;3;0;2;1;2;3;2;2;3;0;3;3;0;0;0;5;2;0;1;2;1;0;2;0;1;0;1;0;2;1;0;3;1;2;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
270010205000005;8;624;624;99;127;265;70;3;7;4;0;30;0;10;0;8;0;1;0;0;0;0;16;3;0;0;1;1;1;1;2;1;1;5;0;13;9;14;9;17;10;9;26;11;15;17;16;12;17;13;22;12;14;18;12;9;15;9;15;6;13;11;11;5;9;14;5;5;8;7;9;6;8;4;3;7;6;3;6;7;6;4;4;1;8;2;6;3;2;5;3;3;4;4;3;3;5;5;6;5;2;5;0;3;3;0;4;4;0;0;3;2;0;0;3;1;1;1;2;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0
270010205000006;8;316;316;107;22;130;22;2;3;1;0;19;0;8;0;2;0;0;0;0;0;0;6;1;0;0;1;1;0;2;0;1;0;0;0;5;7;6;8;4;5;6;4;4;7;8;6;7;10;9;10;10;7;8;7;7;9;1;2;7;5;4;2;9;10;4;2;4;1;4;6;5;1;3;4;6;5;3;2;2;3;0;1;2;2;1;4;3;1;0;3;2;2;2;0;2;2;6;3;1;3;2;1;1;1;1;2;1;3;0;3;1;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
270010205000007;8;59;59;25;0;28;2;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;1;1;0;2;3;1;1;2;3;1;0;3;2;2;1;3;0;2;0;1;1;0;0;1;1;1;2;2;0;0;0;0;0;0;0;0;3;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;3;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270010205000008;8;307;307;92;11;155;25;0;2;2;0;9;1;5;0;3;2;0;0;0;0;0;8;1;0;1;1;1;1;1;1;1;0;0;0;7;6;7;8;12;2;7;8;7;11;6;13;13;10;6;7;5;8;6;5;4;7;7;4;6;6;2;7;5;6;1;5;6;5;3;4;2;3;2;2;3;3;1;2;2;2;2;1;3;2;2;1;3;1;5;3;0;2;0;4;2;3;3;1;0;0;0;1;1;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270010205000009;8;733;733;251;41;301;63;9;4;0;1;36;0;8;0;15;1;3;0;0;0;0;19;4;3;2;1;1;3;1;0;0;1;2;1;13;14;14;14;12;17;15;18;16;13;13;23;19;19;23;22;12;13;10;20;16;16;24;12;14;13;9;6;8;6;10;14;6;6;12;8;9;4;8;8;9;8;11;7;7;9;5;5;5;8;2;6;5;5;4;2;3;6;4;10;3;4;5;5;4;4;0;2;3;2;3;2;3;1;2;3;2;0;3;2;0;1;3;1;0;0;0;1;0;2;0;1;1;0;0;0;1;0;0;0
270010205000010;8;959;952;186;137;451;89;12;7;4;2;64;0;3;0;3;1;0;0;0;0;0;25;2;0;3;3;3;0;2;1;2;3;3;3;23;21;31;23;28;27;26;33;32;34;31;29;24;28;20;19;17;24;24;18;22;15;7;15;14;8;15;10;16;16;9;9;14;9;10;13;5;2;9;5;6;11;6;7;8;10;6;5;6;7;4;4;3;7;4;3;5;4;7;14;5;3;7;4;4;5;5;3;2;3;5;3;3;4;4;2;1;1;1;1;0;1;1;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0
270010205000011;8;638;638;135;118;249;59;0;2;7;1;37;0;19;0;10;0;1;0;0;0;0;13;1;3;0;2;0;0;0;1;1;1;1;3;6;13;11;9;14;11;20;8;11;13;20;13;20;11;17;12;10;22;11;15;7;15;12;11;12;10;21;9;5;14;4;8;8;7;7;6;13;4;10;5;3;2;4;4;16;8;7;4;7;10;2;3;3;3;6;3;5;5;9;1;3;4;5;2;2;5;5;4;5;5;6;1;1;7;3;1;0;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270010205000012;8;393;393;146;6;178;24;1;3;0;0;19;0;1;0;11;1;3;0;0;0;0;6;0;1;0;0;0;1;0;1;1;1;0;1;6;9;7;10;4;8;11;7;10;8;8;7;11;17;13;10;12;9;8;8;12;7;5;3;4;8;5;5;2;3;2;4;5;6;3;2;2;3;4;4;5;6;2;8;7;4;4;2;1;3;2;4;5;2;3;6;1;2;2;2;1;0;1;2;5;4;5;2;2;6;2;2;0;1;2;0;1;0;1;3;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
270010205000013;8;672;672;212;47;286;57;5;5;3;1;33;0;10;1;11;0;1;0;0;0;0;16;2;2;1;1;4;0;1;2;1;0;1;1;13;17;16;9;12;16;14;16;20;18;20;22;14;20;24;19;11;14;12;21;16;6;10;13;4;8;7;9;9;8;11;6;10;6;6;12;8;6;7;6;14;10;7;9;4;5;11;9;7;5;2;2;6;2;5;5;2;3;0;6;2;4;3;6;2;3;3;1;2;3;0;2;0;3;2;1;1;2;1;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
