Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
270010205000001;1;116;328;83;14;15;11;1;0;1;428;15921;156970;68012;17688;30080;37965;7000;0;14010;997;569;347646;30;172;39;5;10;3;1;0;1;217;5142;82240;30901;6196;20080;9100;7000;0;14010;478;261;174669;86;156;44;9;5;8;0;0;0;211;10779;74730;37111;11492;10000;28865;0;0;0;519;308;172977;116;321;83;14;15;11;1;0;1;428;15921;153400;68012;17688;30080;37965;7000;0;14010;990;562;344076;30;170;39;5;10;3;1;0;1;217;5142;81220;30901;6196;20080;9100;7000;0;14010;476;259;173649;86;151;44;9;5;8;0;0;0;211;10779;72180;37111;11492;10000;28865;0;0;0;514;303;170427;
270010205000002;1;78;226;76;20;17;2;0;2;2;312;10047;108589;61227;25556;34580;7100;0;18000;31000;735;423;296099;19;110;28;10;6;1;0;2;2;181;2121;52125;22076;12730;11740;3500;0;18000;31000;359;178;153292;59;116;48;10;11;1;0;0;0;131;7926;56464;39151;12826;22840;3600;0;0;0;376;245;142807;78;226;76;20;17;2;0;2;2;312;10047;108589;61227;25556;34580;7100;0;18000;31000;735;423;296099;19;110;28;10;6;1;0;2;2;181;2121;52125;22076;12730;11740;3500;0;18000;31000;359;178;153292;59;116;48;10;11;1;0;0;0;131;7926;56464;39151;12826;22840;3600;0;0;0;376;245;142807;
270010205000003;1;140;236;80;17;14;3;0;0;0;378;19002;111943;64034;22095;27350;9950;0;0;0;868;490;254374;34;113;40;5;5;3;0;0;0;215;5465;53418;32561;6200;10130;9950;0;0;0;415;200;117724;106;123;40;12;9;0;0;0;0;163;13537;58525;31473;15895;17220;0;0;0;0;453;290;136650;140;236;80;17;14;3;0;0;0;378;19002;111943;64034;22095;27350;9950;0;0;0;868;490;254374;34;113;40;5;5;3;0;0;0;215;5465;53418;32561;6200;10130;9950;0;0;0;415;200;117724;106;123;40;12;9;0;0;0;0;163;13537;58525;31473;15895;17220;0;0;0;0;453;290;136650;
270010205000004;5;23;60;27;4;4;0;0;0;0;106;2944;29338;22268;5048;8460;0;0;0;0;224;118;68058;4;20;20;1;3;0;0;0;0;59;750;9350;16560;1300;6160;0;0;0;0;107;48;34120;19;40;7;3;1;0;0;0;0;47;2194;19988;5708;3748;2300;0;0;0;0;117;70;33938;23;60;27;4;4;0;0;0;0;106;2944;29338;22268;5048;8460;0;0;0;0;224;118;68058;4;20;20;1;3;0;0;0;0;59;750;9350;16560;1300;6160;0;0;0;0;107;48;34120;19;40;7;3;1;0;0;0;0;47;2194;19988;5708;3748;2300;0;0;0;0;117;70;33938;
270010205000005;8;189;245;30;4;0;0;0;0;0;488;27235;115269;22664;5100;0;0;0;0;0;956;468;170268;79;146;18;4;0;0;0;0;0;243;13298;66940;13110;5100;0;0;0;0;0;490;247;98448;110;99;12;0;0;0;0;0;0;245;13937;48329;9554;0;0;0;0;0;0;466;221;71820;189;245;30;4;0;0;0;0;0;488;27235;115269;22664;5100;0;0;0;0;0;956;468;170268;79;146;18;4;0;0;0;0;0;243;13298;66940;13110;5100;0;0;0;0;0;490;247;98448;110;99;12;0;0;0;0;0;0;245;13937;48329;9554;0;0;0;0;0;0;466;221;71820;
270010205000006;8;117;114;34;3;1;0;0;0;0;230;14211;55285;25814;3580;2400;0;0;0;0;499;269;101290;49;64;18;3;1;0;0;0;0;126;6085;30510;13519;3580;2400;0;0;0;0;261;135;56094;68;50;16;0;0;0;0;0;0;104;8126;24775;12295;0;0;0;0;0;0;238;134;45196;117;114;34;3;1;0;0;0;0;230;14211;55285;25814;3580;2400;0;0;0;0;499;269;101290;49;64;18;3;1;0;0;0;0;126;6085;30510;13519;3580;2400;0;0;0;0;261;135;56094;68;50;16;0;0;0;0;0;0;104;8126;24775;12295;0;0;0;0;0;0;238;134;45196;
270010205000007;8;14;17;1;0;0;0;0;0;0;65;1515;8629;1020;0;0;0;0;0;0;97;32;11164;1;7;0;0;0;0;0;0;0;43;100;3570;0;0;0;0;0;0;0;51;8;3670;13;10;1;0;0;0;0;0;0;22;1415;5059;1020;0;0;0;0;0;0;46;24;7494;14;17;1;0;0;0;0;0;0;65;1515;8629;1020;0;0;0;0;0;0;97;32;11164;1;7;0;0;0;0;0;0;0;43;100;3570;0;0;0;0;0;0;0;51;8;3670;13;10;1;0;0;0;0;0;0;22;1415;5059;1020;0;0;0;0;0;0;46;24;7494;
270010205000008;8;67;67;6;2;1;0;0;0;0;295;7967;33134;5340;2344;1750;0;0;0;0;438;143;50535;4;34;2;1;1;0;0;0;0;193;454;16987;2030;1300;1750;0;0;0;0;235;42;22521;63;33;4;1;0;0;0;0;0;102;7513;16147;3310;1044;0;0;0;0;0;203;101;28014;67;67;6;2;1;0;0;0;0;295;7967;33134;5340;2344;1750;0;0;0;0;438;143;50535;4;34;2;1;1;0;0;0;0;193;454;16987;2030;1300;1750;0;0;0;0;235;42;22521;63;33;4;1;0;0;0;0;0;102;7513;16147;3310;1044;0;0;0;0;0;203;101;28014;
270010205000009;8;291;287;107;17;6;0;0;0;0;406;37773;128783;82027;22064;10970;0;0;0;0;1114;708;281617;120;172;57;10;4;0;0;0;0;218;15665;75843;42102;12500;7800;0;0;0;0;581;363;153910;171;115;50;7;2;0;0;0;0;188;22108;52940;39925;9564;3170;0;0;0;0;533;345;127707;291;287;107;17;6;0;0;0;0;406;37773;128783;82027;22064;10970;0;0;0;0;1114;708;281617;120;172;57;10;4;0;0;0;0;218;15665;75843;42102;12500;7800;0;0;0;0;581;363;153910;171;115;50;7;2;0;0;0;0;188;22108;52940;39925;9564;3170;0;0;0;0;533;345;127707;
270010205000010;8;340;269;45;2;1;1;0;0;0;709;38093;131413;30028;2455;2000;3000;0;0;0;1367;658;206989;111;139;26;1;1;1;0;0;0;411;11484;66321;17745;1301;2000;3000;0;0;0;690;279;101851;229;130;19;1;0;0;0;0;0;298;26609;65092;12283;1154;0;0;0;0;0;677;379;105138;336;268;45;2;1;1;0;0;0;700;37751;130903;30028;2455;2000;3000;0;0;0;1353;653;206137;111;139;26;1;1;1;0;0;0;405;11484;66321;17745;1301;2000;3000;0;0;0;684;279;101851;225;129;19;1;0;0;0;0;0;295;26267;64582;12283;1154;0;0;0;0;0;669;374;104286;
