Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
270010205000001;1;114;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;3;4;2;1;1;3;3;1;0;0;0;2;1;1;4;1;0;1;3;1;6;2;1;6;1;2;2;2;3;2;1;2;3;4;1;2;0;3;3;2;0;4;2;2;0;4;0;2;1;2;1;3;2;1;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;5;9;5;6;5;13;9;7;5;5;5;0;1
270010205000002;1;111;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;1;1;2;3;0;0;2;1;3;3;1;2;4;3;1;0;2;3;2;3;3;2;2;3;2;2;1;3;2;3;1;1;1;3;3;1;2;4;2;2;2;5;2;2;1;2;1;0;3;0;3;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;0;1;1;8;6;12;5;11;8;7;6;7;5;3;2
270010205000003;1;168;0;0;0;0;0;0;0;1;1;2;1;3;3;5;5;2;1;5;1;3;2;7;7;2;1;4;7;5;2;8;6;5;5;3;5;4;5;1;4;4;3;1;2;1;2;0;1;0;0;2;2;3;2;3;1;2;4;1;1;1;1;2;0;0;2;1;1;1;2;0;1;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;142;0;4;17;11;19;24;21;14;6;1;7;7;3;4;4
270010205000004;5;38;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;1;0;0;1;1;1;1;0;1;2;0;2;2;1;1;2;1;0;0;0;0;1;0;2;1;0;1;0;1;2;0;0;1;0;0;0;2;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;1;2;1;1;3;5;0;2;2;1;2;0;2
270010205000005;8;171;0;0;0;0;0;0;1;0;0;4;2;3;4;2;6;3;7;7;5;5;2;4;3;5;2;4;3;3;6;6;3;2;2;3;4;0;1;3;4;4;3;2;2;3;1;6;2;2;0;1;3;2;3;3;1;4;2;0;0;2;2;1;2;0;1;0;0;0;1;1;0;1;2;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;82;0;5;16;23;8;11;5;4;2;3;1;3;0;1;0
270010205000006;8;44;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;1;0;1;1;0;0;1;0;0;0;1;1;0;1;3;1;0;3;0;2;0;1;1;3;1;0;1;0;0;0;0;0;0;0;2;2;0;0;0;2;1;0;4;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;30;0;1;2;3;2;2;5;2;3;0;2;5;1;1;1
270010205000007;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
270010205000008;8;27;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;1;0;1;0;1;1;1;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;1;2;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;12;0;1;3;2;2;0;1;1;1;1;0;0;0;0;0
270010205000009;8;94;0;0;0;0;0;0;0;0;0;1;2;1;0;1;2;0;0;1;0;2;0;4;0;0;1;0;0;1;1;1;3;1;1;3;1;3;4;1;2;2;1;1;2;4;1;3;1;2;0;4;4;0;3;0;1;3;2;0;2;1;3;0;1;0;0;2;3;1;0;0;2;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;60;0;1;5;2;5;2;7;10;6;6;5;3;3;1;4
270010205000010;8;208;0;0;0;0;1;1;2;2;0;3;4;0;0;3;5;6;4;2;5;6;10;1;9;1;7;6;7;4;5;3;4;3;3;0;1;5;3;3;3;1;4;1;3;2;3;2;4;1;0;4;6;4;4;2;2;4;1;4;1;6;1;2;2;4;5;1;0;4;2;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;82;1;7;8;16;18;8;4;9;4;1;2;2;0;0;2
270010205000011;8;171;0;0;0;0;0;0;1;0;0;3;4;2;0;0;3;9;1;6;3;4;1;2;4;4;8;5;1;5;6;2;0;3;7;2;5;3;3;3;2;4;2;3;3;1;1;2;2;2;3;4;2;1;4;3;3;1;2;1;2;3;3;1;2;2;0;3;1;1;1;1;2;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;110;0;4;9;21;12;14;13;12;6;5;5;5;2;1;1
270010205000012;8;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2;1;0;1;0;1;0;1;0;0;0;0;1;0;1;0;2;3;1;1;0;0;0;1;0;0;0;0;1;1;1;0;2;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;20;0;0;1;3;2;0;1;1;1;0;5;1;1;2;2
270010205000013;8;96;0;0;0;0;0;0;0;1;0;1;1;2;1;0;2;0;4;1;2;2;2;2;3;1;0;3;1;5;1;1;2;2;3;1;2;2;2;1;3;1;1;4;0;1;1;1;1;0;2;0;1;0;1;0;0;2;2;2;1;2;0;2;2;3;0;1;2;0;2;1;1;0;2;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;46;0;2;5;6;3;7;7;7;3;0;0;4;1;0;1
270010205000014;8;84;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;1;1;4;1;3;2;4;1;1;3;1;0;3;4;1;3;2;2;0;1;3;0;3;2;3;1;1;2;0;0;1;1;0;1;1;1;1;1;3;3;2;3;0;0;1;1;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;36;0;1;1;3;8;2;6;4;3;1;1;4;1;1;0
270010205000015;5;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;1;0;2;0;0;0;1;2;1;2;3
270010205000016;5;68;0;0;0;0;0;0;0;0;1;2;0;1;1;1;0;0;1;0;0;1;2;1;3;3;2;0;2;2;2;0;0;2;1;0;1;0;0;2;0;1;1;1;2;2;0;0;2;1;1;0;2;4;1;2;1;0;0;2;1;0;0;1;0;1;0;1;0;2;1;0;1;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;51;0;3;3;2;10;6;4;3;6;3;6;2;0;1;2
270010205000017;8;67;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;1;3;1;1;1;1;0;1;3;1;0;1;2;2;1;0;2;2;0;1;1;1;3;1;0;0;3;2;0;0;3;1;1;1;2;1;1;0;2;1;1;3;0;2;0;1;0;2;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;32;0;1;1;2;5;5;2;3;3;1;0;4;3;1;1
270010205000018;8;172;0;0;0;0;0;0;0;1;0;1;5;4;3;4;2;5;5;3;1;3;3;4;5;3;9;2;3;4;3;5;1;1;1;4;2;4;4;1;4;2;4;1;1;2;1;4;3;2;6;0;6;1;4;2;1;4;2;4;4;1;1;1;1;2;1;0;3;1;2;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;94;0;2;17;14;17;11;4;8;2;7;3;5;2;2;0
270010205000019;8;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;2;1;1;2;2;1;0;2;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1
270010205000020;1;89;0;0;0;0;0;0;0;0;0;0;1;1;2;0;3;1;0;3;0;0;5;1;1;1;2;1;1;0;1;2;2;2;1;4;4;4;2;1;1;0;0;0;0;4;2;3;1;3;3;1;2;3;1;1;0;3;0;3;0;2;0;1;0;0;0;0;0;2;1;0;0;2;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;69;0;0;7;4;7;5;11;4;6;6;5;6;1;2;5
270010205000021;1;90;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;1;1;2;2;0;1;0;4;2;2;1;1;0;2;1;3;3;0;1;0;0;2;4;3;1;2;2;0;0;1;2;1;2;2;1;1;2;3;1;0;0;7;2;1;2;3;0;0;3;1;2;0;3;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;64;0;0;3;3;6;7;4;4;12;4;4;3;10;1;3
270010205000022;5;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0
270010205000023;8;42;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;2;1;0;1;0;0;0;1;0;0;1;1;0;2;2;0;0;2;1;0;2;2;0;1;0;0;1;0;1;1;1;0;1;0;0;0;2;0;1;0;0;2;1;2;2;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;28;0;1;1;1;3;2;2;3;3;1;1;1;3;4;2
270020105000001;1;82;0;0;0;0;0;0;0;0;0;0;2;0;1;5;1;0;2;4;2;1;2;0;2;2;2;4;1;2;1;2;2;1;0;2;2;5;1;1;1;0;1;2;1;1;1;2;0;4;0;1;2;2;1;1;1;0;0;2;0;1;1;1;1;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;8;9;7;9;6;5;4;4;6;1;1;0;0
270020105000002;1;86;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;3;3;2;3;1;3;1;1;0;1;4;2;2;3;3;0;0;3;2;5;1;3;0;2;3;2;0;3;1;1;0;3;0;1;0;2;0;2;0;2;0;5;1;0;0;2;1;0;2;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;0;0;2;0;12;5;11;5;8;9;4;2;7;3;1
270020105000003;1;158;0;0;0;0;0;0;0;0;0;1;1;0;3;0;1;3;1;2;0;2;3;2;1;3;3;4;3;2;5;2;3;0;3;5;3;5;3;2;0;4;4;2;1;4;5;4;3;1;3;1;4;5;5;3;3;2;5;5;2;5;3;2;0;5;1;1;1;1;1;2;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;105;0;1;5;7;12;12;12;10;12;10;7;9;6;2;0
270020105000004;1;154;0;0;0;0;0;0;0;0;0;2;0;0;1;1;1;0;2;3;2;1;2;1;4;2;3;4;4;2;2;1;3;1;4;1;3;4;3;5;3;4;4;1;3;3;7;4;6;5;1;3;3;2;2;0;0;4;4;5;2;2;1;2;3;5;2;0;0;3;1;1;2;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;95;0;2;3;6;12;10;10;11;14;9;2;8;7;0;1
270020105000005;1;126;0;0;0;0;0;0;1;0;1;2;1;0;0;5;0;2;2;1;2;4;1;2;3;2;1;6;5;2;3;2;5;1;5;2;3;0;1;1;2;3;3;1;2;6;3;1;3;4;4;2;3;2;2;3;1;3;1;0;1;1;4;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;48;0;3;4;5;2;12;6;1;6;4;2;2;0;0;1
