Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194;V195;V196;V197;V198;V199;V200;V201;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216
270010205000001;1;315;0;0;0;0;0;0;0;0;1;1;3;1;4;3;2;8;4;8;8;6;8;7;3;1;5;5;8;5;5;9;4;4;3;6;6;12;8;4;8;8;7;7;6;8;3;5;8;7;7;7;3;6;6;3;3;1;5;8;4;0;6;2;4;4;3;5;3;2;1;3;1;0;3;3;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;203;0;2;11;29;18;26;17;26;19;21;9;9;12;1;3;201;0;0;0;0;0;0;0;0;1;1;1;1;3;2;1;5;0;6;7;5;5;4;2;1;5;5;6;4;4;5;3;4;2;3;5;6;6;3;2;7;5;5;4;5;1;4;6;4;3;6;1;6;3;0;1;1;1;6;2;0;2;2;2;3;1;4;0;0;0;1;0;0;2;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;128;0;2;6;20;13;20;12;13;10;14;4;4;7;1;2
270010205000002;1;222;0;0;0;0;0;1;0;0;0;1;0;0;0;3;1;5;3;1;6;7;6;5;4;4;6;5;6;5;5;6;3;2;3;8;2;5;6;5;5;5;4;4;3;5;4;4;3;2;1;8;5;1;4;5;2;2;4;5;3;3;2;2;2;1;3;1;4;1;1;1;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;170;0;2;4;20;22;21;15;23;15;14;9;8;7;5;5;111;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;2;2;0;4;4;6;5;2;3;3;2;5;3;1;3;2;2;1;5;0;2;3;3;3;2;2;2;2;2;2;1;2;1;0;5;2;0;2;1;0;0;2;0;1;1;1;0;1;1;0;1;1;1;1;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;88;0;1;3;12;16;9;10;12;7;7;3;1;2;2;3
270010205000003;1;276;0;0;0;0;0;1;0;1;1;2;2;4;3;5;5;2;7;10;4;6;3;11;9;3;2;7;9;6;5;10;7;8;9;8;9;7;16;1;8;7;4;5;4;2;5;4;2;2;1;3;2;4;3;3;2;4;4;1;2;2;2;2;1;1;2;1;1;1;2;0;1;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;229;0;5;19;28;27;34;36;31;13;8;7;9;4;4;4;108;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;6;5;3;3;1;4;2;1;1;3;2;1;3;2;1;3;4;5;4;3;11;0;4;3;1;4;2;1;3;4;1;2;1;1;0;1;1;0;1;2;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;1;2;17;8;10;15;17;7;7;0;2;1;0;0
270010205000004;5;77;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;1;1;2;1;1;2;0;0;2;1;2;1;1;3;2;3;3;2;1;1;5;2;0;1;1;1;1;2;2;1;0;1;0;3;3;0;3;2;2;0;1;2;0;2;0;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;50;0;0;2;4;4;3;7;9;3;3;4;7;2;0;2;39;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;1;2;0;3;1;0;0;0;3;1;0;1;1;1;0;2;0;0;0;0;0;2;1;0;3;1;2;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;28;0;0;1;2;3;2;4;4;3;1;2;6;0;0;0
270010205000005;8;270;0;0;0;0;0;0;1;1;0;5;4;4;5;3;6;4;11;10;6;7;3;6;4;7;4;5;6;3;8;6;4;3;2;3;6;5;5;5;4;4;5;2;3;3;2;8;3;4;2;4;5;4;5;6;3;6;3;4;0;5;3;1;5;2;1;0;2;0;1;1;2;2;2;2;1;0;1;5;1;0;0;0;1;0;0;0;0;0;0;0;0;120;0;7;20;29;13;14;8;8;3;6;4;5;1;1;1;99;0;0;0;0;0;0;0;1;0;1;2;1;1;1;0;1;4;3;1;2;1;2;1;2;2;1;3;0;2;0;1;1;0;0;2;5;4;2;0;0;2;0;1;0;1;2;1;2;2;3;2;2;2;3;2;2;1;4;0;3;1;0;3;2;0;0;2;0;0;0;2;1;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;38;0;2;4;6;5;3;3;4;1;3;3;2;1;0;1
270010205000006;8;151;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0;5;4;3;2;5;10;4;0;3;0;3;2;6;1;2;2;8;2;3;4;2;5;0;2;3;4;2;2;4;1;0;2;2;2;1;0;4;3;4;2;1;3;3;1;5;1;2;2;0;3;1;2;2;2;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;92;0;1;4;17;12;8;10;4;7;3;6;10;7;2;1;107;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;5;3;2;2;4;9;4;0;2;0;3;2;5;0;2;1;5;1;3;1;2;3;0;1;2;1;1;2;3;1;0;2;2;2;1;0;2;1;4;2;1;1;2;1;1;1;1;2;0;3;0;2;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;0;2;14;10;6;5;2;4;3;4;5;6;1;0
270010205000007;8;29;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;1;1;2;0;2;0;0;0;0;0;0;0;0;2;0;1;0;1;0;1;0;1;0;2;0;0;1;0;1;1;3;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;2;3;3;0;1;2;1;0;0;0;1;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;1;1;1;0;2;0;0;0;0;0;0;0;0;2;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;3;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;2;3;2;0;1;2;1;0;0;0;1;0;0
270010205000008;8;119;0;0;0;0;0;0;0;0;0;2;1;2;3;5;3;3;3;2;4;1;2;2;4;2;5;3;4;0;2;1;1;3;1;2;1;1;2;2;2;5;1;2;1;2;1;5;4;0;3;1;4;2;4;2;1;0;0;1;1;2;0;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;51;0;2;9;8;8;5;5;5;2;4;2;1;0;0;0;92;0;0;0;0;0;0;0;0;0;1;1;0;3;4;3;3;2;2;3;1;1;1;3;2;3;3;4;0;2;1;1;2;1;1;1;1;2;2;1;3;0;2;1;2;1;5;3;0;2;0;4;2;3;2;1;0;0;0;1;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;1;6;6;6;5;4;4;1;3;2;1;0;0;0
270010205000009;8;345;0;0;0;0;0;0;0;1;2;1;4;1;5;10;9;6;8;4;4;9;6;10;13;4;4;8;6;6;4;6;5;8;7;11;5;6;10;5;5;6;5;2;6;8;5;5;2;5;4;7;12;3;6;4;4;7;4;0;4;4;4;3;3;3;1;3;6;3;0;2;4;1;2;2;1;1;1;1;1;1;3;0;1;1;0;0;0;1;0;0;0;194;0;4;24;23;27;18;20;22;10;7;9;9;8;4;9;251;0;0;0;0;0;0;0;1;2;0;2;0;5;9;7;6;8;3;4;7;6;6;13;4;3;8;6;5;3;5;2;7;6;8;4;3;6;4;3;4;4;1;4;4;4;2;1;3;4;3;8;3;3;4;3;4;2;0;2;3;1;3;2;3;1;1;3;2;0;2;2;0;1;2;1;0;0;0;0;0;2;0;1;1;0;0;0;1;0;0;0;134;0;3;19;21;22;16;13;12;4;1;4;6;5;3;5
270010205000010;8;394;0;0;0;0;1;1;2;2;0;4;5;1;3;5;9;11;7;8;9;11;13;7;13;5;9;10;10;7;6;7;7;7;7;3;4;12;8;5;5;5;7;2;6;2;5;5;6;3;2;8;15;7;6;6;5;8;3;6;3;8;4;5;5;7;8;4;1;4;3;2;0;0;0;2;1;0;0;1;2;0;0;0;2;0;0;0;0;0;0;1;0;139;1;8;17;29;21;14;10;14;8;2;4;6;2;0;3;186;0;0;0;0;0;0;0;0;0;1;1;1;3;2;4;5;3;6;4;5;3;6;4;4;2;4;3;3;1;4;3;4;4;3;3;7;5;2;2;4;3;1;3;0;2;3;2;2;2;4;9;3;2;4;3;4;2;2;2;2;3;3;3;3;3;3;1;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;57;0;1;9;13;3;6;6;5;4;1;2;4;2;0;1
