Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
270010205000001;1;32;176;45;7;10;7;1;0;1;36;4830;83566;38089;9058;20300;22775;7000;0;14010;315;279;199628;19;113;25;3;8;3;1;0;1;28;3072;53200;20164;3896;16500;9100;7000;0;14010;201;173;126942;13;63;20;4;2;4;0;0;0;8;1758;30366;17925;5162;3800;13675;0;0;0;114;106;72686;32;176;45;7;10;7;1;0;1;36;4830;83566;38089;9058;20300;22775;7000;0;14010;315;279;199628;19;113;25;3;8;3;1;0;1;28;3072;53200;20164;3896;16500;9100;7000;0;14010;201;173;126942;13;63;20;4;2;4;0;0;0;8;1758;30366;17925;5162;3800;13675;0;0;0;114;106;72686;
270010205000002;1;22;109;42;12;12;1;0;1;2;21;2669;52907;33013;14874;24670;3500;0;9000;31000;222;201;171633;4;62;16;7;3;1;0;1;2;15;552;29385;12934;8530;6030;3500;0;9000;31000;111;96;100931;18;47;26;5;9;0;0;0;0;6;2117;23522;20079;6344;18640;0;0;0;0;111;105;70702;22;109;42;12;12;1;0;1;2;21;2669;52907;33013;14874;24670;3500;0;9000;31000;222;201;171633;4;62;16;7;3;1;0;1;2;15;552;29385;12934;8530;6030;3500;0;9000;31000;111;96;100931;18;47;26;5;9;0;0;0;0;6;2117;23522;20079;6344;18640;0;0;0;0;111;105;70702;
270010205000003;1;44;130;46;9;9;2;0;0;0;36;6311;61998;37769;11305;17530;7150;0;0;0;276;240;142063;8;57;19;2;3;2;0;0;0;17;1220;27498;15976;2400;6130;7150;0;0;0;108;91;60374;36;73;27;7;6;0;0;0;0;19;5091;34500;21793;8905;11400;0;0;0;0;168;149;81689;44;130;46;9;9;2;0;0;0;36;6311;61998;37769;11305;17530;7150;0;0;0;276;240;142063;8;57;19;2;3;2;0;0;0;17;1220;27498;15976;2400;6130;7150;0;0;0;108;91;60374;36;73;27;7;6;0;0;0;0;19;5091;34500;21793;8905;11400;0;0;0;0;168;149;81689;
270010205000004;5;10;34;11;4;3;0;0;0;0;15;1456;16508;9588;5048;6160;0;0;0;0;77;62;38760;3;15;6;1;3;0;0;0;0;11;550;7120;5500;1300;6160;0;0;0;0;39;28;20630;7;19;5;3;0;0;0;0;0;4;906;9388;4088;3748;0;0;0;0;0;38;34;18130;10;34;11;4;3;0;0;0;0;15;1456;16508;9588;5048;6160;0;0;0;0;77;62;38760;3;15;6;1;3;0;0;0;0;11;550;7120;5500;1300;6160;0;0;0;0;39;28;20630;7;19;5;3;0;0;0;0;0;4;906;9388;4088;3748;0;0;0;0;0;38;34;18130;
270010205000005;8;94;121;9;3;0;0;0;0;0;43;12784;58377;7152;3900;0;0;0;0;0;270;227;82213;23;63;2;3;0;0;0;0;0;8;3725;30230;1200;3900;0;0;0;0;0;99;91;39055;71;58;7;0;0;0;0;0;0;35;9059;28147;5952;0;0;0;0;0;0;171;136;43158;94;121;9;3;0;0;0;0;0;43;12784;58377;7152;3900;0;0;0;0;0;270;227;82213;23;63;2;3;0;0;0;0;0;8;3725;30230;1200;3900;0;0;0;0;0;99;91;39055;71;58;7;0;0;0;0;0;0;35;9059;28147;5952;0;0;0;0;0;0;171;136;43158;
270010205000006;8;43;63;20;3;1;0;0;0;0;21;5783;30395;15703;3580;2400;0;0;0;0;151;130;57861;30;46;11;3;1;0;0;0;0;16;4059;21980;8355;3580;2400;0;0;0;0;107;91;40374;13;17;9;0;0;0;0;0;0;5;1724;8415;7348;0;0;0;0;0;0;44;39;17487;43;63;20;3;1;0;0;0;0;21;5783;30395;15703;3580;2400;0;0;0;0;151;130;57861;30;46;11;3;1;0;0;0;0;16;4059;21980;8355;3580;2400;0;0;0;0;107;91;40374;13;17;9;0;0;0;0;0;0;5;1724;8415;7348;0;0;0;0;0;0;44;39;17487;
270010205000007;8;2;8;1;0;0;0;0;0;0;18;212;4080;1020;0;0;0;0;0;0;29;11;5312;1;6;0;0;0;0;0;0;0;18;100;3060;0;0;0;0;0;0;0;25;7;3160;1;2;1;0;0;0;0;0;0;0;112;1020;1020;0;0;0;0;0;0;4;4;2152;2;8;1;0;0;0;0;0;0;18;212;4080;1020;0;0;0;0;0;0;29;11;5312;1;6;0;0;0;0;0;0;0;18;100;3060;0;0;0;0;0;0;0;25;7;3160;1;2;1;0;0;0;0;0;0;0;112;1020;1020;0;0;0;0;0;0;4;4;2152;
270010205000008;8;14;34;3;2;0;0;0;0;0;66;1622;16987;3050;2344;0;0;0;0;0;119;53;24003;4;23;2;1;0;0;0;0;0;62;454;11660;2030;1300;0;0;0;0;0;92;30;15444;10;11;1;1;0;0;0;0;0;4;1168;5327;1020;1044;0;0;0;0;0;27;23;8559;14;34;3;2;0;0;0;0;0;66;1622;16987;3050;2344;0;0;0;0;0;119;53;24003;4;23;2;1;0;0;0;0;0;62;454;11660;2030;1300;0;0;0;0;0;92;30;15444;10;11;1;1;0;0;0;0;0;4;1168;5327;1020;1044;0;0;0;0;0;27;23;8559;
270010205000009;8;84;152;58;12;5;0;0;0;0;34;11998;68455;45172;15410;8970;0;0;0;0;345;311;150005;60;117;34;10;3;0;0;0;0;27;8701;52528;24570;12500;5800;0;0;0;0;251;224;104099;24;35;24;2;2;0;0;0;0;7;3297;15927;20602;2910;3170;0;0;0;0;94;87;45906;84;152;58;12;5;0;0;0;0;34;11998;68455;45172;15410;8970;0;0;0;0;345;311;150005;60;117;34;10;3;0;0;0;0;27;8701;52528;24570;12500;5800;0;0;0;0;251;224;104099;24;35;24;2;2;0;0;0;0;7;3297;15927;20602;2910;3170;0;0;0;0;94;87;45906;
270010205000010;8;145;147;17;2;1;1;0;0;0;81;16661;72033;11818;2455;2000;3000;0;0;0;394;313;107967;43;69;8;1;1;1;0;0;0;63;4579;33371;6115;1301;2000;3000;0;0;0;186;123;50366;102;78;9;1;0;0;0;0;0;18;12082;38662;5703;1154;0;0;0;0;0;208;190;57601;144;147;17;2;1;1;0;0;0;76;16549;72033;11818;2455;2000;3000;0;0;0;388;312;107855;43;69;8;1;1;1;0;0;0;60;4579;33371;6115;1301;2000;3000;0;0;0;183;123;50366;101;78;9;1;0;0;0;0;0;16;11970;38662;5703;1154;0;0;0;0;0;205;189;57489;
270010205000011;8;127;115;31;4;0;0;0;0;0;29;17619;57030;26419;5090;0;0;0;0;0;306;277;106158;44;64;13;1;0;0;0;0;0;13;7055;31310;10587;1300;0;0;0;0;0;135;122;50252;83;51;18;3;0;0;0;0;0;16;10564;25720;15832;3790;0;0;0;0;0;171;155;55906;127;115;31;4;0;0;0;0;0;29;17619;57030;26419;5090;0;0;0;0;0;306;277;106158;44;64;13;1;0;0;0;0;0;13;7055;31310;10587;1300;0;0;0;0;0;135;122;50252;83;51;18;3;0;0;0;0;0;16;10564;25720;15832;3790;0;0;0;0;0;171;155;55906;
270010205000012;8;28;75;11;3;0;0;0;0;0;64;3376;37364;8273;3900;0;0;0;0;0;181;117;52913;19;55;7;3;0;0;0;0;0;62;2340;27520;4983;3900;0;0;0;0;0;146;84;38743;9;20;4;0;0;0;0;0;0;2;1036;9844;3290;0;0;0;0;0;0;35;33;14170;28;75;11;3;0;0;0;0;0;64;3376;37364;8273;3900;0;0;0;0;0;181;117;52913;19;55;7;3;0;0;0;0;0;62;2340;27520;4983;3900;0;0;0;0;0;146;84;38743;9;20;4;0;0;0;0;0;0;2;1036;9844;3290;0;0;0;0;0;0;35;33;14170;
270010205000013;8;94;85;23;2;1;0;0;0;0;103;10957;42335;20028;2320;2220;0;0;0;0;308;205;77860;49;58;12;0;1;0;0;0;0;92;6032;28800;10523;0;2220;0;0;0;0;212;120;47575;45;27;11;2;0;0;0;0;0;11;4925;13535;9505;2320;0;0;0;0;0;96;85;30285;94;85;23;2;1;0;0;0;0;103;10957;42335;20028;2320;2220;0;0;0;0;308;205;77860;49;58;12;0;1;0;0;0;0;92;6032;28800;10523;0;2220;0;0;0;0;212;120;47575;45;27;11;2;0;0;0;0;0;11;4925;13535;9505;2320;0;0;0;0;0;96;85;30285;
270010205000014;8;59;83;8;0;1;1;0;0;0;56;6529;39711;6317;0;2000;3000;0;0;0;208;152;57557;13;55;5;0;1;1;0;0;0;49;1305;26287;3797;0;2000;3000;0;0;0;124;75;36389;46;28;3;0;0;0;0;0;0;7;5224;13424;2520;0;0;0;0;0;0;84;77;21168;59;83;8;0;1;1;0;0;0;55;6529;39711;6317;0;2000;3000;0;0;0;207;152;57557;13;55;5;0;1;1;0;0;0;48;1305;26287;3797;0;2000;3000;0;0;0;123;75;36389;46;28;3;0;0;0;0;0;0;7;5224;13424;2520;0;0;0;0;0;0;84;77;21168;
270010205000015;5;5;18;2;1;0;0;0;0;0;13;594;9070;1620;1200;0;0;0;0;0;39;26;12484;4;9;1;0;0;0;0;0;0;13;550;4480;600;0;0;0;0;0;0;27;14;5630;1;9;1;1;0;0;0;0;0;0;44;4590;1020;1200;0;0;0;0;0;12;12;6854;5;18;2;1;0;0;0;0;0;13;594;9070;1620;1200;0;0;0;0;0;39;26;12484;4;9;1;0;0;0;0;0;0;13;550;4480;600;0;0;0;0;0;0;27;14;5630;1;9;1;1;0;0;0;0;0;0;44;4590;1020;1200;0;0;0;0;0;12;12;6854;
270010205000016;5;21;59;12;2;1;2;0;0;0;34;2527;29160;9307;2780;2500;8200;0;0;0;131;97;54474;4;24;5;2;1;1;0;0;0;26;682;11920;4035;2780;2500;5000;0;0;0;63;37;26917;17;35;7;0;0;1;0;0;0;8;1845;17240;5272;0;0;3200;0;0;0;68;60;27557;21;59;12;2;1;2;0;0;0;34;2527;29160;9307;2780;2500;8200;0;0;0;131;97;54474;4;24;5;2;1;1;0;0;0;26;682;11920;4035;2780;2500;5000;0;0;0;63;37;26917;17;35;7;0;0;1;0;0;0;8;1845;17240;5272;0;0;3200;0;0;0;68;60;27557;
270010205000017;8;26;93;23;4;6;0;1;0;0;54;3926;46560;20610;5310;12100;0;7000;0;0;207;153;95506;10;62;11;3;6;0;1;0;0;47;1790;30750;8810;4010;12100;0;7000;0;0;140;93;64460;16;31;12;1;0;0;0;0;0;7;2136;15810;11800;1300;0;0;0;0;0;67;60;31046;26;93;23;4;6;0;1;0;0;54;3926;46560;20610;5310;12100;0;7000;0;0;207;153;95506;10;62;11;3;6;0;1;0;0;47;1790;30750;8810;4010;12100;0;7000;0;0;140;93;64460;16;31;12;1;0;0;0;0;0;7;2136;15810;11800;1300;0;0;0;0;0;67;60;31046;
