Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132
130002905000001;1;806;796;796;0;0;747;0;32;12;5;0;737;0;0;59;796;84;264;8;430;0;10;0;716;630;72;8;6;80;675;40;635;115;0;6;0;0;791;783;8;5;749;4;30;414;410;410;0;0;385;0;18;4;3;0;380;0;0;30;410;45;153;4;202;0;6;0;368;322;37;6;3;42;352;20;332;56;0;2;0;0;407;402;5;3;387;2;13;392;386;386;0;0;362;0;14;8;2;0;357;0;0;29;386;39;111;4;228;0;4;0;348;308;35;2;3;38;323;20;303;59;0;4;0;0;384;381;3;2;362;2;17
130002905000002;1;1098;1090;1090;0;0;974;9;58;13;36;0;819;11;0;260;1083;122;590;79;145;0;147;7;986;841;125;20;0;104;1002;310;692;88;0;0;0;0;1075;1024;51;15;1012;0;12;553;548;548;0;0;488;6;28;6;20;0;411;9;0;128;543;64;295;37;75;0;72;5;497;422;67;8;0;51;505;156;349;43;0;0;0;0;542;518;24;6;513;0;5;545;542;542;0;0;486;3;30;7;16;0;408;2;0;132;540;58;295;42;70;0;75;2;489;419;58;12;0;53;497;154;343;45;0;0;0;0;533;506;27;9;499;0;7
130002905000003;1;807;806;806;0;0;792;11;1;0;2;0;743;22;0;41;806;143;356;52;15;89;151;0;661;529;109;17;6;145;777;28;749;21;0;8;0;0;805;805;0;1;758;0;47;412;411;411;0;0;403;6;1;0;1;0;379;8;0;24;411;63;179;25;8;45;91;0;321;263;48;6;4;90;394;17;377;13;0;4;0;0;410;410;0;1;382;0;28;395;395;395;0;0;389;5;0;0;1;0;364;14;0;17;395;80;177;27;7;44;60;0;340;266;61;11;2;55;383;11;372;8;0;4;0;0;395;395;0;0;376;0;19
130002905000004;8;118;118;118;0;0;114;0;0;4;0;0;0;2;0;116;111;0;0;6;97;0;8;7;0;0;0;0;0;118;0;0;0;106;3;9;0;0;54;0;54;64;0;0;0;69;69;69;0;0;67;0;0;2;0;0;0;1;0;68;66;0;0;3;58;0;5;3;0;0;0;0;0;69;0;0;0;63;1;5;0;0;32;0;32;37;0;0;0;49;49;49;0;0;47;0;0;2;0;0;0;1;0;48;45;0;0;3;39;0;3;4;0;0;0;0;0;49;0;0;0;43;2;4;0;0;22;0;22;27;0;0;0
130002905000006;8;564;564;564;0;0;543;0;0;0;21;0;130;49;0;385;564;0;8;391;122;18;25;0;3;3;0;0;0;561;0;0;0;369;22;135;38;0;536;0;536;28;0;0;0;324;324;324;0;0;315;0;0;0;9;0;72;31;0;221;324;0;5;222;72;12;13;0;2;2;0;0;0;322;0;0;0;207;13;82;22;0;306;0;306;18;0;0;0;240;240;240;0;0;228;0;0;0;12;0;58;18;0;164;240;0;3;169;50;6;12;0;1;1;0;0;0;239;0;0;0;162;9;53;16;0;230;0;230;10;0;0;0
130002905000007;8;26;26;26;0;0;21;0;0;0;5;0;0;0;0;26;26;0;0;0;0;0;26;0;26;26;0;0;0;0;0;0;0;12;0;0;0;14;26;0;26;0;0;0;0;14;14;14;0;0;11;0;0;0;3;0;0;0;0;14;14;0;0;0;0;0;14;0;14;14;0;0;0;0;0;0;0;7;0;0;0;7;14;0;14;0;0;0;0;12;12;12;0;0;10;0;0;0;2;0;0;0;0;12;12;0;0;0;0;0;12;0;12;12;0;0;0;0;0;0;0;5;0;0;0;7;12;0;12;0;0;0;0
130002905000008;8;55;55;55;0;0;55;0;0;0;0;0;0;0;0;55;55;0;0;0;0;0;55;0;55;55;0;0;0;0;0;0;0;5;0;0;0;50;55;0;55;0;0;0;0;29;29;29;0;0;29;0;0;0;0;0;0;0;0;29;29;0;0;0;0;0;29;0;29;29;0;0;0;0;0;0;0;2;0;0;0;27;29;0;29;0;0;0;0;26;26;26;0;0;26;0;0;0;0;0;0;0;0;26;26;0;0;0;0;0;26;0;26;26;0;0;0;0;0;0;0;3;0;0;0;23;26;0;26;0;0;0;0
130002905000009;8;212;212;212;0;0;186;0;6;0;13;7;77;0;4;131;169;0;0;39;0;119;11;43;43;43;0;0;0;169;6;0;6;181;0;0;25;0;124;116;8;88;77;17;22;119;119;119;0;0;105;0;4;0;6;4;38;0;2;79;96;0;0;22;0;67;7;23;27;27;0;0;0;92;3;0;3;97;0;0;19;0;69;65;4;50;43;10;12;93;93;93;0;0;81;0;2;0;7;3;39;0;2;52;73;0;0;17;0;52;4;20;16;16;0;0;0;77;3;0;3;84;0;0;6;0;55;51;4;38;34;7;10
130002905000010;8;96;96;96;0;0;96;0;0;0;0;0;0;0;0;96;96;0;0;60;36;0;0;0;0;0;0;0;0;96;0;0;0;53;0;43;0;0;90;0;90;6;0;0;0;41;41;41;0;0;41;0;0;0;0;0;0;0;0;41;41;0;0;27;14;0;0;0;0;0;0;0;0;41;0;0;0;22;0;19;0;0;38;0;38;3;0;0;0;55;55;55;0;0;55;0;0;0;0;0;0;0;0;55;55;0;0;33;22;0;0;0;0;0;0;0;0;55;0;0;0;31;0;24;0;0;52;0;52;3;0;0;0
130002905000011;5;446;446;445;0;0;405;0;19;0;22;0;27;0;0;419;434;0;107;314;0;0;13;12;118;118;0;0;0;328;148;23;125;286;6;6;0;0;416;416;0;30;409;0;7;219;219;218;0;0;200;0;8;0;11;0;14;0;0;205;213;0;51;156;0;0;6;6;55;55;0;0;0;164;65;10;55;148;2;4;0;0;201;201;0;18;197;0;4;227;227;227;0;0;205;0;11;0;11;0;13;0;0;214;221;0;56;158;0;0;7;6;63;63;0;0;0;164;83;13;70;138;4;2;0;0;215;215;0;12;212;0;3
