Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132
160005505000001;1;1870;1869;1827;0;30;857;21;126;104;663;98;1811;49;0;9;1817;1534;7;264;0;0;12;52;1732;1253;405;62;12;137;1793;940;853;74;2;0;0;0;1855;1845;10;14;1288;49;508;980;979;956;0;17;435;10;71;56;361;46;948;27;0;4;949;806;4;136;0;0;3;30;907;670;199;30;8;72;940;506;434;38;1;0;0;0;971;967;4;8;676;26;265;890;890;871;0;13;422;11;55;48;302;52;863;22;0;5;868;728;3;128;0;0;9;22;825;583;206;32;4;65;853;434;419;36;1;0;0;0;884;878;6;6;612;23;243
160005505000003;5;892;882;879;0;0;763;0;61;0;58;0;144;699;0;39;876;0;610;249;3;6;8;6;829;692;135;2;0;53;826;826;0;45;0;11;0;0;880;880;0;2;528;3;349;462;455;455;0;0;396;0;34;0;25;0;73;363;0;19;452;0;317;127;1;4;3;3;429;352;76;1;0;26;419;419;0;28;0;8;0;0;455;455;0;0;272;0;183;430;427;424;0;0;367;0;27;0;33;0;71;336;0;20;424;0;293;122;2;2;5;3;400;340;59;1;0;27;407;407;0;17;0;3;0;0;425;425;0;2;256;3;166
160005505000004;8;696;696;696;0;0;642;0;0;5;49;0;333;197;0;166;644;0;23;547;71;0;3;52;275;246;29;0;0;421;473;381;92;183;35;4;1;0;664;664;0;32;233;0;431;394;394;394;0;0;360;0;0;4;30;0;182;114;0;98;370;0;18;309;41;0;2;24;160;139;21;0;0;234;271;213;58;102;18;2;1;0;371;371;0;23;137;0;234;302;302;302;0;0;282;0;0;1;19;0;151;83;0;68;274;0;5;238;30;0;1;28;115;107;8;0;0;187;202;168;34;81;17;2;0;0;293;293;0;9;96;0;197
160005510000001;1;705;704;690;0;4;634;0;39;0;28;3;606;89;0;9;691;7;4;651;12;5;12;13;654;602;50;2;0;50;697;628;69;7;0;0;0;0;701;701;0;3;554;15;132;375;374;368;0;2;340;0;23;0;10;1;324;45;0;5;364;4;1;344;7;4;4;10;347;321;26;0;0;27;370;336;34;4;0;0;0;0;372;372;0;2;287;7;78;330;330;322;0;2;294;0;16;0;18;2;282;44;0;4;327;3;3;307;5;1;8;3;307;281;24;2;0;23;327;292;35;3;0;0;0;0;329;329;0;1;267;8;54
160005510000002;8;217;217;216;0;0;198;0;0;11;8;0;1;211;0;5;217;0;0;201;5;11;0;0;216;216;0;0;0;1;4;3;1;101;112;0;0;0;200;200;0;17;66;0;134;122;122;121;0;0;111;0;0;6;5;0;0;119;0;3;122;0;0;112;3;7;0;0;121;121;0;0;0;1;2;2;0;52;68;0;0;0;113;113;0;9;45;0;68;95;95;95;0;0;87;0;0;5;3;0;1;92;0;2;95;0;0;89;2;4;0;0;95;95;0;0;0;0;2;1;1;49;44;0;0;0;87;87;0;8;21;0;66
160010505000001;1;946;933;929;0;1;796;0;71;5;61;0;89;782;0;62;933;232;6;341;0;31;323;0;567;422;107;29;9;366;933;0;933;0;0;0;0;0;931;931;0;2;905;26;0;506;501;498;0;1;424;0;44;3;30;0;54;414;0;33;501;113;4;183;0;19;182;0;294;224;53;13;4;207;501;0;501;0;0;0;0;0;499;499;0;2;486;13;0;440;432;431;0;0;372;0;27;2;31;0;35;368;0;29;432;119;2;158;0;12;141;0;273;198;54;16;5;159;432;0;432;0;0;0;0;0;432;432;0;0;419;13;0
160010505000002;1;1520;1517;1517;0;0;1404;7;28;0;78;0;21;1429;0;67;1437;0;755;536;131;7;8;80;923;847;71;5;0;594;1481;1440;41;33;0;3;0;0;1507;1507;0;10;1480;3;24;773;772;772;0;0;711;4;17;0;40;0;8;730;0;34;729;0;380;276;66;3;4;43;471;432;36;3;0;301;754;729;25;16;0;2;0;0;765;765;0;7;753;2;10;747;745;745;0;0;693;3;11;0;38;0;13;699;0;33;708;0;375;260;65;4;4;37;452;415;35;2;0;293;727;711;16;17;0;1;0;0;742;742;0;3;727;1;14
160010505000003;1;1108;1088;1080;8;0;938;5;27;62;42;14;167;806;0;115;1008;141;302;307;235;23;0;80;706;544;113;39;10;382;1076;0;1076;12;0;0;0;0;1067;1067;0;21;916;112;39;578;567;564;3;0;487;3;17;29;23;8;89;411;0;67;520;68;153;173;116;10;0;47;366;284;53;24;5;201;561;0;561;6;0;0;0;0;556;556;0;11;475;60;21;530;521;516;5;0;451;2;10;33;19;6;78;395;0;48;488;73;149;134;119;13;0;33;340;260;60;15;5;181;515;0;515;6;0;0;0;0;511;511;0;10;441;52;18
160010505000004;1;1368;1368;1330;0;38;1151;0;133;12;72;0;241;957;0;170;1347;40;888;386;23;10;0;21;1019;918;71;25;5;349;1236;60;1176;124;1;2;0;5;1337;1337;0;31;1291;31;15;688;688;669;0;19;581;0;62;7;38;0;118;489;0;81;677;16;447;198;12;4;0;11;505;455;36;10;4;183;624;40;584;60;0;1;0;3;671;671;0;17;646;17;8;680;680;661;0;19;570;0;71;5;34;0;123;468;0;89;670;24;441;188;11;6;0;10;514;463;35;15;1;166;612;20;592;64;1;1;0;2;666;666;0;14;645;14;7
160010505000005;1;1452;1447;1446;0;1;1272;7;74;4;90;0;260;980;0;207;1330;6;191;1099;33;1;0;117;758;686;47;14;11;689;1358;590;768;89;0;0;0;0;1425;1424;1;22;1338;41;45;760;757;756;0;1;671;3;42;1;40;0;131;513;0;113;690;3;105;565;17;0;0;67;399;356;27;7;9;358;712;302;410;45;0;0;0;0;748;747;1;9;706;20;21;692;690;690;0;0;601;4;32;3;50;0;129;467;0;94;640;3;86;534;16;1;0;50;359;330;20;7;2;331;646;288;358;44;0;0;0;0;677;677;0;13;632;21;24
