Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
160005505000001;1;1;1242934;1242424;510;16;38;80;130;132;37;38;17;8;17;
160005505000003;5;2;170241;166443;3798;27;35;66;51;7;5;4;1;0;21;
160005505000004;8;0;174711;174711;0;18;33;32;42;23;4;12;0;0;16;
160005510000001;1;0;217895;217895;0;3;19;64;53;28;5;4;1;0;10;
160005510000002;8;0;37160;37160;0;7;11;17;8;2;2;0;0;0;5;
160010505000001;1;0;555221;555221;0;17;27;47;39;33;19;8;15;7;12;
160010505000002;1;0;374006;374006;0;53;54;79;62;31;8;6;4;1;20;
160010505000003;1;1;641136;640136;1000;10;26;43;63;41;26;16;11;3;1;
160010505000004;1;0;491848;491848;0;27;47;78;66;46;15;10;5;0;18;
160010505000005;1;0;405672;405672;0;29;70;90;87;31;7;8;4;2;14;
160010505000006;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
160010505000007;8;0;21178;21178;0;4;2;11;9;4;0;0;0;0;4;
160010505000009;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
160010505000010;8;0;38768;38768;0;7;15;16;13;4;2;0;0;0;5;
160010505000011;8;0;54856;54856;0;13;16;18;10;3;2;1;0;0;2;
160010515000001;1;0;125278;125278;0;9;31;21;17;5;6;3;0;0;0;
160010515000003;8;0;64785;64785;0;5;16;16;15;2;1;2;0;1;11;
160010515000004;8;0;9690;9690;0;0;3;3;5;0;0;0;0;0;1;
160015405000001;1;6;528533;517953;10580;32;46;78;83;59;15;15;7;1;3;
160015405000002;1;9;597013;559643;37370;15;39;70;69;42;12;16;8;2;13;
160015405000003;5;0;249903;249903;0;10;25;43;38;29;7;5;0;2;2;
160015405000004;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
160015405000005;8;12;438916;433873;5043;46;67;135;145;64;11;3;2;0;24;
160015405000006;8;0;47149;47149;0;10;13;8;11;10;0;0;0;0;11;
160015405000008;5;0;5320;5320;0;0;1;1;1;1;0;0;0;0;4;
160015405000009;5;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
