Cod_setor;Situacao_setor;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216;V217;V218;V219;V220;V221;V222;V223;V224;V225;V226;V227;V228;V229;V230;V231;V232;V233;V234;V235;V236;V237;V238;V239;V240;V241;V242;V243;V244;V245;V246;V247;V248;V249;V250;V251;V252;V253;V254;V255;V256;V257;V258;V259;V260;V261;V262;V263;V264;V265;V266;V267;V268;V269;V270;V271;V272;V273;V274;V275;V276;V277;V278;V279;V280;V281;V282;V283;V284;V285;V286;V287;V288;V289;V290;V291;V292;V293;V294;V295;V296;V297;V298;V299;V300;V301;V302;V303;V304;V305;V306;V307;V308;V309;V310;V311;V312;V313;V314;V315;V316;V317;V318;V319;V320;V321;V322;V323;V324;V325;V326;V327;V328;V329;V330;V331;V332;V333;V334;V335;V336;V337;V338;V339;V340;V341;V342;V343;V344;V345;V346;V347;V348;V349;V350;V351;V352;V353;V354;V355;V356;V357;V358;V359;V360;V361;V362;V363;V364;V365;V366;V367;V368;V369;V370;V371;V372;V373;V374;V375;V376;V377;V378;V379;V380;V381;V382;V383;V384;V385;V386;V387;V388;V389;V390;V391;V392;V393;V394;V395;V396;V397;V398;V399;V400;V401;V402;V403;V404;V405;V406;V407;V408;V409;V410;V411;V412;V413;V414;V415;V416;V417;V418;V419;V420;V421
160005505000001;1;274;126;9;91;3;9;372;28;85;15;12;0;328;72;29;71;12;0;311;89;28;72;12;0;0;400;0;100;0;12;18;382;8;92;0;12;0;400;0;100;0;12;399;1;100;0;12;0;18;382;26;74;0;12;0;400;0;100;0;12;22;32;31;49;66;63;83;49;77;23;7;10;46;8;69;11;117;12;122;10;100;0;15;2;31;23;44;36;85;44;105;27;95;5;9;8;31;23;43;37;84;45;101;31;83;17;9;8;0;54;0;80;0;129;0;132;0;100;0;17;1;53;3;77;10;119;7;125;4;96;1;16;0;54;0;80;0;129;0;132;0;100;0;17;54;0;80;0;129;0;131;1;100;0;17;0;8;46;13;67;15;114;4;128;1;99;3;14;0;54;0;80;0;129;0;132;0;100;0;17;191;116;95;110;284;23;185;20;241;66;128;77;228;79;123;82;0;307;0;205;14;293;12;193;0;307;0;205;307;0;204;1;18;289;26;179;0;307;0;205
160005505000003;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
160005505000004;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
160005510000001;1;0;3;0;184;0;0;3;0;144;40;0;0;0;3;0;184;0;0;0;3;0;184;0;0;0;3;0;184;0;0;0;3;6;178;0;0;0;3;0;184;0;0;3;0;152;32;0;0;0;3;0;184;0;0;0;3;0;184;0;0;0;22;0;64;0;53;0;28;0;10;0;10;15;7;53;11;42;11;21;7;8;2;8;2;0;22;0;64;0;53;0;28;0;10;0;10;0;22;0;64;0;53;0;28;0;10;0;10;0;22;0;64;0;53;0;28;0;10;0;10;2;20;2;62;2;51;0;28;0;10;0;10;0;22;0;64;0;53;0;28;0;10;0;10;18;4;50;14;49;4;25;3;8;2;5;5;0;22;0;64;0;53;0;28;0;10;0;10;0;22;0;64;0;53;0;28;0;10;0;10;0;65;0;122;47;18;100;22;0;65;0;122;0;65;0;122;0;65;0;122;0;65;6;116;0;65;0;122;54;11;101;21;0;65;0;122;0;65;0;122
160005510000002;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
160010505000001;1;1;0;174;22;0;0;1;0;196;0;0;0;1;0;109;87;0;0;1;0;81;115;0;0;1;0;98;98;0;0;0;1;48;148;0;0;1;0;74;122;0;0;1;0;118;78;0;0;0;1;0;196;0;0;0;1;0;196;0;0;29;4;33;6;31;5;26;3;46;2;10;2;33;0;39;0;36;0;29;0;48;0;12;0;13;20;21;18;19;17;14;15;38;10;5;7;11;22;13;26;12;24;10;19;33;15;3;9;12;21;19;20;16;20;13;16;35;13;4;8;4;29;9;30;7;29;4;25;23;25;1;11;7;26;11;28;11;25;11;18;32;16;3;9;19;14;22;17;21;15;17;12;35;13;5;7;0;33;0;39;0;36;0;29;0;48;0;12;0;33;0;39;0;36;0;29;0;48;0;12;57;10;118;12;67;0;130;0;39;28;71;59;28;39;54;76;32;35;67;63;18;49;30;100;28;39;47;83;41;26;78;52;0;67;0;130;0;67;0;130
160010505000002;1;2;0;311;0;5;0;2;0;311;0;5;0;1;1;119;192;2;3;0;2;0;311;0;5;0;2;0;311;0;5;0;2;0;311;0;5;0;2;0;311;0;5;1;1;211;100;2;3;0;2;0;311;0;5;0;2;0;311;0;5;107;0;79;0;62;0;31;0;19;0;20;0;107;0;79;0;62;0;31;0;19;0;20;0;37;70;26;53;24;38;13;18;14;5;8;12;0;107;0;79;0;62;0;31;0;19;0;20;0;107;0;79;0;62;0;31;0;19;0;20;0;107;0;79;0;62;0;31;0;19;0;20;0;107;0;79;0;62;0;31;0;19;0;20;71;36;49;30;38;24;28;3;14;5;14;6;0;107;0;79;0;62;0;31;0;19;0;20;0;107;0;79;0;62;0;31;0;19;0;20;100;0;218;0;100;0;218;0;43;57;79;139;0;100;0;218;0;100;0;218;0;100;0;218;0;100;0;218;66;34;148;70;0;100;0;218;0;100;0;218
160010505000003;1;5;12;84;136;0;2;17;0;211;9;2;0;17;0;145;75;0;2;12;5;65;155;0;2;12;5;57;163;0;2;6;11;37;183;0;2;0;17;0;220;0;2;9;8;171;49;0;2;0;17;26;194;2;0;0;17;0;220;0;2;14;22;18;25;23;39;12;29;21;35;1;0;34;2;41;2;59;3;39;2;56;0;1;0;15;21;23;20;41;21;31;10;51;5;1;0;1;35;7;36;18;44;21;20;30;26;0;1;1;35;5;38;16;46;20;21;27;29;0;1;0;36;6;37;10;52;13;28;14;42;0;1;0;36;0;43;0;62;0;41;0;56;0;1;22;14;35;8;48;14;32;9;42;14;1;0;12;24;11;32;3;59;1;40;1;55;0;1;0;36;0;43;0;62;0;41;0;56;0;1;42;92;47;58;129;5;101;4;89;45;73;32;47;87;30;75;40;94;29;76;27;107;16;89;0;134;0;105;100;34;80;25;13;121;15;90;0;134;0;105
160010505000004;1;5;41;2;217;0;21;44;2;205;14;16;5;42;4;104;115;1;20;5;41;17;202;0;21;13;33;33;186;0;21;7;39;27;192;0;21;0;46;4;215;0;21;25;21;129;90;10;11;0;46;3;216;4;17;0;46;0;219;0;21;1;71;0;72;0;59;4;37;2;24;0;16;63;9;69;3;56;3;38;3;26;0;13;3;23;49;40;32;33;26;29;12;19;7;3;13;0;72;7;65;3;56;6;35;5;21;1;15;4;68;10;62;8;51;16;25;7;19;1;15;3;69;9;63;8;51;10;31;3;23;1;15;0;72;1;71;0;59;1;40;2;24;0;16;39;33;45;27;35;24;23;18;12;14;10;6;3;69;2;70;1;58;0;41;0;26;1;15;0;72;0;72;0;59;0;41;0;26;0;16;5;118;2;161;112;11;153;10;69;54;78;85;14;109;8;155;29;94;17;146;19;104;15;148;4;119;0;163;77;46;87;76;3;120;4;159;0;123;0;163
160010505000005;1;2;6;35;277;0;16;8;0;288;24;14;2;7;1;248;64;10;6;1;7;3;309;0;16;1;7;3;309;0;16;0;8;0;312;0;16;0;8;0;312;0;16;1;7;6;306;0;16;2;6;50;262;1;15;0;8;1;311;0;16;8;90;9;80;11;75;4;27;3;15;2;12;92;6;83;6;81;5;29;2;14;4;11;3;78;20;71;18;67;19;25;6;13;5;11;3;0;98;1;88;1;85;1;30;1;17;0;14;0;98;1;88;1;85;1;30;1;17;0;14;0;98;0;89;0;86;0;31;0;18;0;14;0;98;0;89;0;86;0;31;0;18;0;14;0;98;1;88;2;84;3;28;1;17;0;14;12;86;14;75;18;68;6;25;1;17;2;12;0;98;0;89;0;86;0;31;1;17;0;14;15;89;22;210;98;6;212;20;82;22;183;49;2;102;2;230;2;102;2;230;0;104;0;232;0;104;0;232;4;100;3;229;19;85;34;198;0;104;1;231
160010505000006;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
160010505000007;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
160010505000009;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
160010505000010;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
