Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
160005505000001;1;1581;15;38;29;43;46;53;36;45;42;34;37;35;34;28;36;26;27;38;42;37;32;33;51;38;52;31;36;34;28;30;37;37;26;27;24;18;11;19;16;22;16;29;12;21;13;17;8;20;6;10;8;12;8;10;9;4;7;4;5;5;5;7;7;3;3;1;0;1;1;1;2;0;0;0;0;3;491;345;374;13;29;32;84;36;
160005505000003;5;665;4;11;16;24;26;26;33;20;26;29;18;25;16;20;15;10;17;15;15;17;11;9;14;18;6;11;17;10;15;9;12;4;13;11;2;6;14;10;8;3;6;1;2;3;5;7;8;3;5;3;5;4;0;1;1;6;5;3;0;3;0;2;0;0;1;0;1;0;1;0;0;0;1;0;0;2;182;124;236;1;12;6;12;6;
160005505000004;8;499;2;9;15;9;11;16;19;17;21;24;17;19;17;12;22;15;9;9;6;17;9;7;7;9;11;3;7;9;5;10;7;9;8;3;4;8;9;6;3;5;4;1;1;8;4;3;14;1;3;3;1;5;1;4;2;2;1;2;0;1;0;2;3;3;0;0;1;0;1;1;0;0;0;0;0;2;137;101;178;1;13;2;18;3;
160005510000001;1;497;2;7;13;17;12;22;15;14;11;12;11;7;14;10;10;11;14;18;15;8;21;11;16;14;10;17;13;14;13;10;6;4;7;5;7;7;7;1;5;2;7;11;6;2;6;3;5;2;2;2;2;3;2;1;1;0;0;1;2;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;147;114;153;1;8;4;16;0;
160005510000002;8;135;0;0;6;5;3;4;5;6;6;3;4;7;3;7;5;5;1;2;3;3;4;3;1;0;4;2;2;3;2;3;2;2;2;0;5;4;4;1;1;0;0;1;1;1;1;0;1;0;2;1;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;30;21;59;0;6;2;1;0;
160010505000001;1;709;2;7;7;11;15;17;18;16;22;15;20;19;17;24;20;20;13;19;17;22;20;19;17;16;15;20;4;16;12;11;6;10;11;8;11;12;12;7;7;9;6;6;3;9;4;5;9;9;6;7;3;6;3;7;8;5;4;2;4;2;3;3;3;3;2;2;6;2;1;3;3;1;1;1;0;3;191;122;249;8;34;10;40;1;
160010505000002;1;1154;9;18;21;31;33;51;32;41;38;45;37;44;28;37;29;19;29;28;24;37;33;32;21;17;18;28;18;16;20;22;12;20;24;10;9;13;12;4;13;10;15;14;11;12;5;8;12;6;9;9;8;1;5;3;3;6;2;3;6;2;1;4;2;2;1;4;4;3;4;2;0;1;1;0;0;2;266;194;469;10;30;15;45;4;
160010505000003;1;933;8;18;20;20;24;28;23;20;21;28;22;21;26;23;23;17;27;21;24;17;19;17;13;25;16;20;19;16;27;16;14;14;10;10;11;11;12;14;16;12;12;10;9;10;13;10;10;4;6;7;5;4;4;9;8;3;4;5;4;6;2;3;4;3;5;5;1;3;2;2;1;2;1;1;1;11;223;155;329;6;49;13;46;7;
160010505000004;1;1094;3;7;17;36;32;36;36;30;34;34;35;28;31;29;23;28;18;23;22;20;31;30;22;19;23;21;29;23;23;24;14;13;20;17;13;14;6;17;16;11;14;10;6;9;10;10;10;8;11;8;3;2;7;6;3;8;2;8;5;4;4;5;4;4;1;5;0;1;1;0;1;3;1;1;1;10;284;204;378;6;35;15;57;15;
160010505000005;1;1077;6;11;21;36;29;35;44;45;43;35;35;43;29;25;14;30;20;30;29;33;20;22;13;26;22;21;21;15;14;16;23;15;17;23;13;16;12;14;8;9;16;6;4;6;2;7;6;7;5;5;5;1;11;4;9;4;2;3;1;2;8;6;4;2;3;4;2;2;1;2;0;0;1;0;1;2;292;181;344;14;42;38;44;3;
