Cod_setor;Situacao_setor;V001;V002;V003
160005505000001;1;469;2;0
160005505000003;5;266;2;0
160005505000004;8;176;0;0
160005510000001;1;202;1;1
160005510000002;8;55;0;0
160010505000001;1;212;1;0
160010505000002;1;396;3;0
160010505000003;1;254;0;0
160010505000004;1;336;2;0
160010505000005;1;405;2;0
160010505000006;8;3;"X";"X"
160010505000007;8;16;0;0
160010505000009;8;13;"X";"X"
160010505000010;8;70;1;0
160010505000011;8;93;0;0
160010515000001;1;180;0;0
160010515000003;8;99;1;0
160010515000004;8;16;0;0
160015405000001;1;340;0;3
160015405000002;1;359;4;0
160015405000003;5;224;0;0
160015405000004;8;5;"X";"X"
160015405000005;8;390;2;0
160015405000006;8;73;1;0
160015405000008;5;12;0;0
160015405000009;5;6;"X";"X"
160015405000010;5;92;8;0
160015405000011;5;21;0;0
160015405000012;5;34;0;0
160015405000013;8;223;3;0
160015405000014;8;270;0;0
160015405000015;1;372;2;0
160015405000016;1;559;5;1
160020405000001;1;256;8;0
160020405000002;1;358;7;0
160020405000003;1;208;0;0
160020405000004;1;444;5;0
160020405000005;8;45;0;0
160020405000006;8;103;2;0
160020405000007;1;349;2;0
160020410000001;1;9;0;0
160020410000002;5;192;0;0
160020410000003;8;3;0;0
160020410000004;8;41;0;0
160020415000001;1;160;18;0
160020415000002;5;27;5;0
160020415000003;8;10;0;0
160020415000005;1;255;9;1
160021205000001;1;92;0;0
160021205000002;1;402;4;0
160021205000003;5;224;4;0
160021205000004;8;371;6;0
160021205000005;8;111;6;1
160021205000006;1;161;0;0
160023805000001;1;226;1;0
160023805000002;1;403;1;0
160023805000003;1;247;1;0
160023805000004;5;122;"X";"X"
160023805000005;8;118;3;0
160023805000006;8;200;14;0
160023805000007;8;4;"X";"X"
160023805000008;1;254;3;5
160025305000001;1;232;0;0
160025305000002;5;86;1;0
160025305000003;5;140;4;0
160025305000004;8;22;0;0
160025305000005;8;431;19;0
160025305000006;8;64;1;0
160025305000007;1;247;2;0
160027905000001;1;106;7;0
160027905000002;1;314;10;0
160027905000003;1;124;5;0
160027905000004;1;103;4;0
160027905000005;1;129;1;4
160027905000006;1;268;15;0
160027905000007;1;274;6;0
160027905000008;1;317;5;0
160027905000009;1;295;16;0
160027905000010;1;250;4;0
160027905000011;1;197;10;0
160027905000012;1;184;2;0
160027905000013;1;204;0;1
160027905000014;1;191;0;2
160027905000015;1;239;2;0
160027905000016;1;369;1;0
160027905000017;1;253;10;1
160027905000018;1;199;0;0
160027905000019;1;178;3;0
160027905000020;1;198;1;1
