Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
160005505000001;1;205;0;0;0;1;0;0;1;1;3;2;1;8;3;3;7;5;4;10;9;11;7;11;5;5;6;5;9;4;6;4;4;4;4;3;3;4;7;3;2;5;1;2;2;2;6;1;1;1;1;2;1;3;0;2;1;1;1;1;1;0;1;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;194;1;7;22;39;34;27;17;19;12;4;6;3;2;1;0
160005505000003;5;94;0;0;0;0;1;0;0;2;1;0;1;1;2;1;4;2;2;2;3;0;2;0;2;2;0;6;3;5;5;0;6;1;2;0;1;2;0;1;0;4;3;5;1;2;1;3;0;0;0;1;0;1;0;2;1;0;1;0;0;2;1;2;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;77;1;3;9;9;6;17;9;6;10;3;1;2;0;0;1
160005505000004;8;38;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;1;1;0;0;1;2;3;2;1;2;1;1;0;1;0;1;0;0;0;2;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;2;0;0;0;3;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;1;1;2;1;3;10;2;2;1;3;0;0;1;0;0
160005510000001;1;122;0;0;0;0;0;0;1;1;2;2;1;4;0;4;1;9;4;5;6;4;5;4;5;5;1;1;3;2;3;1;4;1;1;3;1;2;3;4;2;1;1;4;2;2;0;1;0;2;1;1;0;0;0;3;0;0;0;2;0;1;1;0;0;0;0;1;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;0;6;10;28;20;9;8;10;4;3;1;1;1;0;0
160005510000002;8;31;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;1;0;1;2;2;0;1;1;1;0;1;0;3;2;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;1;3;2;5;4;3;0;0;0;1;0;0;0;0
160010505000001;1;145;0;0;0;0;0;0;0;1;1;1;1;0;1;1;3;4;3;2;3;7;5;1;4;7;2;2;0;3;4;3;6;2;2;2;5;2;0;1;5;0;3;6;4;1;1;2;3;1;5;4;3;1;2;2;2;0;2;3;1;2;1;4;3;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125;0;3;6;17;17;12;15;8;11;14;9;6;6;1;0
160010505000002;1;219;0;0;0;0;0;0;0;0;3;2;1;4;4;4;7;9;10;4;6;4;4;3;10;5;6;4;7;9;0;4;4;6;3;6;5;12;6;4;7;3;1;3;1;3;5;6;0;2;3;0;3;2;2;2;2;0;2;2;3;0;2;1;1;4;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188;0;5;20;30;25;21;20;25;12;8;9;5;8;0;0
160010505000003;1;106;0;0;0;0;0;0;0;0;0;1;1;1;0;2;2;0;1;3;0;2;4;3;0;2;3;5;0;0;2;3;1;1;2;4;2;3;1;2;4;4;2;2;0;2;3;3;1;1;2;4;0;0;1;1;3;1;2;2;0;3;3;0;2;0;0;0;2;0;1;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;94;0;1;5;5;12;9;10;12;9;10;4;5;4;3;5
160010505000004;1;180;0;0;1;1;0;0;0;1;0;1;2;0;4;3;4;6;4;5;6;3;5;7;8;6;7;1;2;7;2;3;5;2;7;6;2;4;3;0;1;6;4;2;4;1;5;0;1;2;2;1;1;2;1;3;1;4;4;0;1;0;3;0;1;0;0;1;3;0;0;2;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;165;2;2;13;24;31;14;18;13;14;6;7;8;4;5;4
160010505000005;1;237;0;0;1;0;0;2;0;2;2;0;6;2;2;6;7;5;4;6;8;6;5;8;7;6;8;13;6;7;6;7;11;3;9;2;5;6;2;4;3;2;2;1;5;3;1;0;0;8;2;4;2;4;2;0;3;6;1;1;1;1;1;0;0;1;1;0;0;0;0;2;2;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;202;1;6;23;26;33;35;25;11;10;12;7;9;1;1;2
