Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194;V195;V196;V197;V198;V199;V200;V201;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216
160005505000001;1;513;0;0;0;1;0;0;1;2;6;5;3;11;8;8;12;10;11;19;17;25;12;20;14;17;17;19;23;12;16;12;10;7;9;9;12;11;19;7;11;10;11;5;10;6;7;3;8;6;8;3;3;5;0;4;3;3;4;5;3;1;1;0;2;1;2;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;491;1;14;42;81;80;81;42;53;37;25;14;15;4;1;1;308;0;0;0;0;0;0;0;1;3;3;2;3;5;5;5;5;7;9;8;14;5;9;9;12;11;14;14;8;10;8;6;3;5;6;9;7;12;4;9;5;10;3;8;4;1;2;7;5;7;1;2;2;0;2;2;2;3;4;2;1;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;297;0;7;20;42;46;54;25;34;25;21;8;12;2;0;1
160005505000003;5;218;0;0;0;0;1;0;0;2;1;0;2;2;2;7;8;6;4;5;8;0;7;9;5;4;4;10;3;11;9;2;6;5;8;2;4;6;0;2;2;6;5;9;4;3;2;6;5;0;1;1;7;4;1;2;2;0;1;0;0;3;1;3;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;183;1;3;21;23;29;31;19;13;19;7;12;2;1;0;2;124;0;0;0;0;0;0;0;0;0;0;1;1;0;6;4;4;2;3;5;0;5;9;3;2;4;4;0;6;4;2;0;4;6;2;3;4;0;1;2;2;2;4;3;1;1;3;5;0;1;0;7;3;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;0;0;12;14;23;14;10;7;9;4;11;0;1;0;1
160005505000004;8;180;0;0;0;0;1;0;1;0;0;7;5;1;0;2;8;2;4;1;5;3;2;4;1;2;5;4;6;6;3;3;4;4;6;4;2;2;1;1;6;2;3;12;2;3;2;0;5;3;4;3;1;1;2;3;3;2;4;1;4;1;4;2;0;1;2;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;137;1;8;16;15;13;20;17;8;17;11;3;5;2;0;1;142;0;0;0;0;0;0;1;0;0;6;5;1;0;2;6;2;4;1;5;2;1;3;1;2;4;2;3;4;2;1;3;3;6;3;2;1;1;1;6;0;3;11;2;2;2;0;4;3;3;2;1;1;2;3;3;2;2;1;4;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;110;0;7;14;14;10;10;15;6;16;8;3;5;1;0;1
160005510000001;1;187;0;0;0;0;0;0;1;1;3;3;1;4;1;5;3;10;4;8;7;5;8;7;8;5;4;1;3;3;4;1;7;1;1;5;1;6;10;5;2;2;1;4;2;3;0;1;2;3;1;3;1;0;1;5;1;4;0;2;0;3;2;1;0;0;1;2;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147;0;8;13;34;32;11;11;21;5;5;4;2;1;0;0;65;0;0;0;0;0;0;0;0;1;1;0;0;1;1;2;1;0;3;1;1;3;3;3;0;3;0;0;1;1;0;3;0;0;2;0;4;7;1;0;1;0;0;0;1;0;0;2;1;0;2;1;0;1;2;1;4;0;0;0;2;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;2;3;6;12;2;3;11;1;2;3;1;0;0;0
160005510000002;8;52;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;1;0;1;2;2;3;2;2;1;0;2;1;3;2;1;0;1;0;0;0;2;3;0;0;3;0;2;1;2;1;1;1;0;0;0;1;1;0;1;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;1;3;2;9;5;4;2;2;0;1;1;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0;1;1;0;0;1;0;0;0;0;0;1;2;0;0;2;0;1;1;2;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;4;1;1;2;2;0;0;1;0;0;0
160010505000001;1;227;0;0;0;0;0;0;0;1;1;1;2;0;1;2;5;5;5;4;3;8;7;1;7;8;6;2;3;7;6;5;8;3;4;6;8;3;0;3;6;0;4;9;6;5;3;2;5;2;6;5;4;3;2;4;2;2;2;3;3;2;6;5;3;1;2;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;194;0;3;10;23;26;21;24;12;21;19;14;9;10;1;1;82;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;1;2;2;0;1;2;0;3;1;4;0;3;4;2;2;2;1;2;4;3;1;0;2;1;0;1;3;2;4;2;0;2;1;1;1;1;2;0;2;0;2;0;0;2;0;5;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;0;0;4;6;9;9;9;4;10;5;5;3;4;0;1
160010505000002;1;319;0;0;0;0;0;0;0;0;3;2;1;6;5;4;9;9;12;6;9;6;5;5;11;9;8;6;12;14;3;4;6;8;4;10;7;14;8;5;11;4;4;7;4;5;6;9;1;5;4;1;5;2;4;4;3;1;2;3;3;0;2;4;2;4;2;0;0;4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;267;0;5;24;38;35;36;30;33;22;13;12;6;11;1;1;100;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;2;2;3;2;1;2;1;4;2;2;5;5;3;0;2;2;1;4;2;2;2;1;4;1;3;4;3;2;1;3;1;3;1;1;2;0;2;2;1;1;0;1;0;0;0;3;1;0;1;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;0;4;8;10;15;10;8;10;5;3;1;3;1;1
160010505000003;1;245;0;0;0;0;0;0;0;0;0;2;1;2;0;2;4;2;3;5;2;7;4;5;3;10;6;8;3;3;6;6;5;5;5;8;4;8;7;6;6;6;8;8;2;2;5;4;3;4;7;6;1;2;4;3;3;2;2;5;3;3;4;0;2;2;1;0;2;1;1;1;1;1;2;2;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;228;0;2;8;18;28;24;26;31;24;23;12;12;8;4;8;139;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;2;2;2;2;5;0;2;3;8;3;3;3;3;4;3;4;4;3;4;2;5;6;4;2;2;6;6;2;0;2;1;2;3;5;2;1;2;3;2;0;1;0;3;3;0;1;0;0;2;1;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;0;1;3;13;16;15;16;19;15;13;8;7;4;1;3
160010505000004;1;312;0;0;1;1;0;0;0;1;1;3;3;0;5;3;5;8;9;7;7;6;7;13;11;8;12;7;6;11;9;5;6;3;11;11;6;7;6;3;5;8;6;6;6;4;6;1;2;3;4;1;4;3;8;4;2;6;5;2;2;0;4;0;1;0;0;1;3;1;0;2;2;2;0;0;1;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;1;284;2;5;16;36;47;35;33;27;25;11;18;13;5;6;5;132;0;0;0;0;0;0;0;0;1;2;1;0;1;0;1;2;5;2;1;3;2;6;3;2;5;6;4;4;7;2;1;1;4;5;4;3;3;3;4;2;2;4;2;3;1;1;1;1;2;0;3;1;7;1;1;2;1;2;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;119;0;3;3;12;16;21;15;14;11;5;11;5;1;1;1
160010505000005;1;343;0;0;1;0;0;2;2;2;3;0;8;2;5;8;13;7;7;6;14;10;5;11;11;7;13;15;6;10;9;9;11;6;12;6;5;8;4;6;5;4;3;3;7;3;3;3;1;10;2;5;3;4;2;0;3;7;6;5;2;1;2;1;0;3;2;0;0;0;0;3;2;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;293;1;9;36;40;43;45;35;20;16;17;8;17;3;1;2;106;0;0;0;0;0;0;2;0;1;0;2;0;3;2;6;2;3;0;6;4;0;3;4;1;5;2;0;3;3;2;0;3;3;4;0;2;2;2;2;2;1;2;2;0;2;3;1;2;0;1;1;0;0;0;0;1;5;4;1;0;1;1;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;0;3;13;14;10;10;10;9;6;5;1;8;2;0;0
160010505000006;8;3;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X"
160010505000007;8;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;3;0;1;0;0;1;0;1;0;4;0;0;0;1;3;1;1;0;0;1;0;1;0;2;0;0;1;1;0;0;0;0;2;1;0;4;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;1;5;2;5;6;2;3;0;4;2;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;3;0;1;0;0;1;0;0;0;4;0;0;0;0;3;1;1;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;1;5;2;4;5;2;2;0;3;1;0;0;0
160010505000009;8;11;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X"
160010505000010;8;62;0;0;0;0;0;0;0;0;2;0;0;0;1;0;2;0;1;2;2;0;1;0;3;1;2;3;1;2;4;2;2;1;2;1;2;1;1;0;1;1;2;0;0;0;1;4;2;0;0;1;0;2;0;2;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;54;0;2;3;4;6;12;8;3;3;5;3;1;3;1;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;1;0;1;1;2;1;1;1;3;2;2;1;1;0;1;0;1;0;1;0;2;0;0;0;1;2;2;0;0;1;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;4;4;8;5;2;3;3;2;0;1;0;0
160010505000011;8;65;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;5;2;3;0;1;1;2;0;1;1;2;3;1;3;2;3;1;0;0;2;1;2;2;2;1;2;1;0;6;1;0;1;0;0;0;1;0;1;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;3;10;3;8;6;7;6;8;2;5;0;0;2;55;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;4;1;3;0;0;0;1;0;1;1;2;2;1;2;1;3;1;0;0;2;1;2;2;2;1;2;1;0;6;1;0;1;0;0;0;1;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;2;8;1;7;4;7;6;8;2;4;0;0;2
160010515000001;1;92;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;2;2;2;4;1;5;5;5;4;3;4;1;0;4;1;4;2;2;4;1;1;2;0;1;1;3;0;2;1;1;1;1;2;2;0;2;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;2;5;7;18;6;6;4;6;4;2;1;1;1;1;52;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;2;0;1;3;0;1;1;2;2;1;3;1;0;2;0;1;2;0;4;0;1;1;0;1;1;3;0;2;0;1;1;1;0;2;0;2;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;3;3;4;3;3;3;5;2;2;1;1;1;1
160010515000003;8;69;0;0;0;0;0;0;0;0;0;0;1;1;2;3;1;1;4;3;4;2;3;4;1;1;0;1;1;1;1;5;0;0;1;3;0;4;0;1;0;1;2;1;0;0;0;0;2;0;0;1;1;1;2;0;1;0;2;0;0;2;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;6;14;8;5;3;5;1;3;3;2;1;0;1;38;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;2;2;0;1;1;2;0;1;0;1;0;0;0;3;0;0;0;2;0;4;0;0;0;1;1;0;0;0;0;0;2;0;0;1;1;1;2;0;0;0;2;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;4;5;4;1;1;4;1;3;3;2;1;0;0
160010515000004;8;12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;3;0;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;1;0;4;3;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;2;0;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;1;0;3;3;0;0;0;0;0;0;0;0;0
160015405000001;1;339;0;0;0;0;1;0;0;0;2;0;2;2;3;9;5;11;10;16;7;16;8;14;15;6;10;11;9;12;5;5;7;5;17;9;5;7;10;2;2;13;3;4;9;4;3;3;3;6;4;3;4;4;4;4;0;0;0;4;2;2;3;1;2;2;1;0;0;0;0;1;5;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;295;1;2;21;55;49;39;40;28;16;18;13;7;4;0;2;214;0;0;0;0;1;0;0;0;2;0;1;1;2;8;3;7;6;13;7;10;5;6;5;4;8;9;6;8;3;3;5;3;10;5;3;5;7;1;2;6;3;3;4;2;1;2;2;5;1;1;4;2;3;2;0;0;0;2;2;1;1;1;0;1;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;193;1;2;15;38;27;27;26;18;10;10;10;4;3;0;2
160015405000002;1;309;0;0;0;1;0;2;0;2;4;3;7;6;8;6;12;12;14;11;11;12;11;11;7;5;8;11;8;6;6;7;2;7;4;4;5;5;10;7;9;8;5;5;7;4;3;3;2;2;2;1;3;2;1;1;0;8;1;0;0;0;0;2;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;278;1;11;39;60;41;33;20;34;18;8;3;7;2;0;1;120;0;0;0;0;0;1;0;0;2;1;2;1;1;1;6;4;8;4;3;5;3;6;4;3;2;4;2;0;4;4;0;3;0;2;0;2;3;4;1;5;3;1;4;3;1;2;2;2;1;0;1;1;1;0;0;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;0;4;11;24;17;13;4;15;8;6;1;6;1;0;0
