Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
160005505000001;1;23;104;122;65;63;43;8;2;7;76;3594;50454;96938;85329;126987;158528;50600;17000;120600;513;437;710030;10;55;86;47;39;33;6;1;6;25;1800;27042;68967;61929;77957;124168;39100;9000;105600;308;283;515563;13;49;36;18;24;10;2;1;1;51;1794;23412;27971;23400;49030;34360;11500;8000;15000;205;154;194467;23;103;122;65;63;43;8;2;7;76;3594;49944;96938;85329;126987;158528;50600;17000;120600;512;436;709520;10;54;86;47;39;33;6;1;6;25;1800;26532;68967;61929;77957;124168;39100;9000;105600;307;282;515053;13;49;36;18;24;10;2;1;1;51;1794;23412;27971;23400;49030;34360;11500;8000;15000;205;154;194467;
160005505000003;5;27;56;54;16;8;3;0;0;0;54;5216;25755;41082;19733;15672;8900;0;0;0;218;164;116358;6;30;39;12;5;2;0;0;0;30;1300;14570;30862;14903;9600;5900;0;0;0;124;94;77135;21;26;15;4;3;1;0;0;0;24;3916;11185;10220;4830;6072;3000;0;0;0;94;70;39223;26;56;53;16;8;2;0;0;0;54;4966;25755;40352;19733;15672;5900;0;0;0;215;161;112378;6;30;38;12;5;1;0;0;0;30;1300;14570;30132;14903;9600;2900;0;0;0;122;92;73405;20;26;15;4;3;1;0;0;0;24;3666;11185;10220;4830;6072;3000;0;0;0;93;69;38973;
160005505000004;8;20;57;37;13;17;1;0;0;0;35;3459;26736;28915;15731;32067;4300;0;0;0;180;145;111208;13;41;28;11;17;1;0;0;0;31;2050;19667;22155;13216;32067;4300;0;0;0;142;111;93455;7;16;9;2;0;0;0;0;0;4;1409;7069;6760;2515;0;0;0;0;0;38;34;17753;20;57;37;13;17;1;0;0;0;35;3459;26736;28915;15731;32067;4300;0;0;0;180;145;111208;13;41;28;11;17;1;0;0;0;31;2050;19667;22155;13216;32067;4300;0;0;0;142;111;93455;7;16;9;2;0;0;0;0;0;4;1409;7069;6760;2515;0;0;0;0;0;38;34;17753;
160005510000001;1;19;49;49;10;11;4;0;0;0;45;2296;22116;34259;11923;21150;13014;0;0;0;187;142;104758;0;17;21;5;10;2;0;0;0;10;0;7600;14851;5883;19150;6150;0;0;0;65;55;53634;19;32;28;5;1;2;0;0;0;35;2296;14516;19408;6040;2000;6864;0;0;0;122;87;51124;19;49;49;10;11;4;0;0;0;45;2296;22116;34259;11923;21150;13014;0;0;0;187;142;104758;0;17;21;5;10;2;0;0;0;10;0;7600;14851;5883;19150;6150;0;0;0;65;55;53634;19;32;28;5;1;2;0;0;0;35;2296;14516;19408;6040;2000;6864;0;0;0;122;87;51124;
160005510000002;8;11;17;7;2;0;0;0;0;0;15;1639;8406;5800;2900;0;0;0;0;0;52;37;18745;1;7;6;1;0;0;0;0;0;6;112;3570;5100;1400;0;0;0;0;0;21;15;10182;10;10;1;1;0;0;0;0;0;9;1527;4836;700;1500;0;0;0;0;0;31;22;8563;11;17;7;2;0;0;0;0;0;15;1639;8406;5800;2900;0;0;0;0;0;52;37;18745;1;7;6;1;0;0;0;0;0;6;112;3570;5100;1400;0;0;0;0;0;21;15;10182;10;10;1;1;0;0;0;0;0;9;1527;4836;700;1500;0;0;0;0;0;31;22;8563;
160010505000001;1;18;73;32;12;21;23;9;3;2;34;2775;34412;24861;15818;42236;94997;55300;25000;32000;227;193;327399;7;26;9;7;8;8;3;2;2;10;1260;12490;6800;8988;14613;34310;17400;17000;32000;82;72;144861;11;47;23;5;13;15;6;1;0;24;1515;21922;18061;6830;27623;60687;37900;8000;0;145;121;182538;18;72;32;12;21;23;9;3;2;32;2775;33902;24861;15818;42236;94997;55300;25000;32000;224;192;326889;7;25;9;7;8;8;3;2;2;10;1260;11980;6800;8988;14613;34310;17400;17000;32000;81;71;144351;11;47;23;5;13;15;6;1;0;22;1515;21922;18061;6830;27623;60687;37900;8000;0;143;121;182538;
160010505000002;1;78;102;46;17;14;7;2;1;0;52;14728;45700;33648;21291;28367;22436;12400;9000;0;319;267;187570;21;26;20;5;7;2;2;1;0;16;3420;12600;14746;5754;14700;5936;12400;9000;0;100;84;78556;57;76;26;12;7;5;0;0;0;36;11308;33100;18902;15537;13667;16500;0;0;0;219;183;109014;78;101;46;17;14;7;2;1;0;52;14728;45400;33648;21291;28367;22436;12400;9000;0;318;266;187270;21;26;20;5;7;2;2;1;0;16;3420;12600;14746;5754;14700;5936;12400;9000;0;100;84;78556;57;75;26;12;7;5;0;0;0;36;11308;32800;18902;15537;13667;16500;0;0;0;218;182;108714;
160010505000003;1;23;66;44;25;30;25;6;0;5;21;3634;30895;36978;31344;62896;94875;41200;0;63300;245;224;365122;8;35;31;18;16;14;5;0;4;8;1190;16560;26154;23446;32526;53950;36000;0;51500;139;131;241326;15;31;13;7;14;11;1;0;1;13;2444;14335;10824;7898;30370;40925;5200;0;11800;106;93;123796;23;66;42;23;29;24;6;0;5;21;3634;30895;35178;28614;60840;92075;41200;0;63300;239;218;355736;8;35;29;16;15;14;5;0;4;8;1190;16560;24354;20716;30470;53950;36000;0;51500;134;126;234740;15;31;13;7;14;10;1;0;1;13;2444;14335;10824;7898;30370;38125;5200;0;11800;105;92;120996;
160010505000004;1;36;102;52;29;25;15;2;1;0;50;5646;46564;42692;39347;51910;52050;14000;8000;0;312;262;260209;14;33;32;14;15;8;2;1;0;13;2020;14450;26680;18432;32049;29150;14000;8000;0;132;119;144781;22;69;20;15;10;7;0;0;0;37;3626;32114;16012;20915;19861;22900;0;0;0;180;143;115428;36;102;52;29;25;15;2;1;0;50;5646;46564;42692;39347;51910;52050;14000;8000;0;312;262;260209;14;33;32;14;15;8;2;1;0;13;2020;14450;26680;18432;32049;29150;14000;8000;0;132;119;144781;22;69;20;15;10;7;0;0;0;37;3626;32114;16012;20915;19861;22900;0;0;0;180;143;115428;
160010505000005;1;63;113;70;10;12;12;1;1;2;59;12054;49682;53275;13300;25572;39838;7000;8768;27000;343;284;236489;14;39;23;5;0;7;1;0;2;15;2287;18338;18260;6410;0;24182;7000;0;27000;106;91;103477;49;74;47;5;12;5;0;1;0;44;9767;31344;35015;6890;25572;15656;0;8768;0;237;193;133012;63;113;70;10;12;12;1;1;2;58;12054;49682;53275;13300;25572;39838;7000;8768;27000;342;284;236489;14;39;23;5;0;7;1;0;2;15;2287;18338;18260;6410;0;24182;7000;0;27000;106;91;103477;49;74;47;5;12;5;0;1;0;43;9767;31344;35015;6890;25572;15656;0;8768;0;236;193;133012;
