Cod_setor;Situacao_setor;V001;V002;V003
290010805000001;1;114;0;0
290010805000002;1;53;0;0
290010805000003;1;102;0;0
290010805000004;1;61;0;0
290010805000005;1;26;0;0
290010805000006;8;101;0;0
290010805000007;8;49;0;0
290010805000008;8;10;0;0
290010805000009;8;71;0;0
290010805000010;8;73;0;0
290010810000001;1;72;0;0
290010810000002;8;89;0;0
290010810000003;8;56;2;0
290010810000004;8;19;0;0
290010810000005;5;73;0;0
290010810000006;8;29;0;0
290010810000007;5;20;0;0
290010810000008;1;85;0;0
290020705000001;1;199;0;0
290020705000002;1;159;0;0
290020705000003;1;56;0;0
290020705000004;1;145;0;0
290020705000006;8;68;0;0
290020705000007;8;12;0;0
290020705000008;8;77;0;0
290020705000009;1;146;0;1
290020705000010;1;123;0;0
290020705000011;1;147;0;0
290020705000012;1;284;1;0
290020710000001;1;108;0;0
290020710000002;1;271;0;0
290020710000003;8;2;0;0
290020710000004;5;74;0;0
290020710000005;8;37;0;0
290020710000006;8;377;2;0
290020710000007;8;120;0;0
290020710000008;5;104;0;1
290020710000009;5;50;0;0
290020710000010;5;65;1;0
290020710000011;5;53;0;0
290020710000012;5;75;0;0
290020710000013;5;81;0;0
290020710000014;8;274;1;0
290020710000015;8;21;0;0
290020710000016;8;29;0;3
290020710000017;8;16;0;0
290020710000018;8;74;0;0
290020710000019;1;103;1;0
290020710000020;1;324;0;0
290020710000021;8;130;0;0
290020710000022;8;21;0;0
290030605000001;1;37;0;0
290030605000002;1;136;0;0
290030605000003;1;359;0;0
290030605000004;1;72;1;0
290030605000005;1;148;0;0
290030605000006;1;135;0;0
290030605000007;1;202;0;0
290030605000008;1;147;0;1
290030605000009;1;89;0;1
290030605000010;1;157;0;0
290030605000011;1;89;0;0
290030605000012;1;211;1;0
290030605000013;1;116;0;0
290030605000014;8;137;0;0
290030605000015;8;89;0;0
290030605000016;8;70;0;0
290030605000017;8;27;0;0
290030605000018;5;78;0;0
290030605000019;1;92;4;0
290030605000020;1;111;0;0
290030605000021;1;212;0;0
290030605000022;1;60;0;0
290030605000023;1;104;0;0
290030605000024;1;149;0;0
290030605000025;8;2;"X";"X"
290030605000026;8;23;"X";"X"
290035505000001;1;117;3;0
290035505000002;1;136;0;0
290035505000003;1;140;0;0
290035505000004;1;141;0;0
290035505000005;8;73;0;0
290035505000006;8;52;0;0
290035505000007;8;62;0;0
