Cod_setor;Cod_Grandes Regiões;Nome_Grande_Regiao;Cod_UF;Nome_da_UF ;Cod_meso;Nome_da_meso;Cod_micro;Nome_da_micro;Cod_RM;Nome_da_RM;Cod_municipio;Nome_do_municipio;Cod_distrito;Nome_do_distrito;Cod_subdistrito;Nome_do_subdistrito;Cod_bairro;Nome_do_bairro;Situacao_setor;Tipo_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012
320010205000001;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;89;247;2,78;2,02;2202,33;13081000,06;2279,15;13365525,94;1362,31;6489284,11;1704,79;7542698,24
320010205000002;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;202;576;2,85;1,55;800,33;561370,25;929,12;531875,66;632,95;455048,67;839,46;430091,48
320010205000003;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;377;1167;3,1;2,7;741,66;1221497,63;798,87;1270160,17;471,31;647150,07;672,63;788363,86
320010205000004;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;209;694;3,32;3,52;462,69;116314,94;508,96;104333,97;295,35;103513,95;449,1;88309,38
320010205000005;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;189;598;3,16;2,11;942,75;1097040;989,88;1105277,33;560,39;631959,75;843,79;712650,4
320010205000006;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;193;577;2,99;1,91;896,83;969938,37;994,76;978482,84;586,79;695803,83;865,89;785341,58
320010205000007;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;144;415;2,88;1,71;1003,67;1167172,11;1054,96;1172748,45;632,42;726976,69;852,49;792582,95
320010205000008;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;163;459;2,82;1,57;1756,58;3432820,79;1800,77;3439646,43;1198,25;2506773,05;1541,65;2696352,22
320010205000009;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;254;738;2,91;1,4;986,8;1042641,48;1044,36;1043348,72;658,58;771054,13;906,58;836715,51
320010205000010;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010205;AFONSO CLÁUDIO;32001020500;AFONSO CLÁUDIO;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;196;556;2,84;1,68;946,88;979318,49;1019,72;980383,08;615,44;685517,24;835,12;746924,14
