Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
320010205000001;1;0;304647;304647;0;0;0;7;18;32;13;6;10;2;1;
320010205000002;1;0;316477;316477;0;1;9;28;76;66;12;5;3;0;2;
320010205000003;1;0;443684;443684;0;12;50;98;119;62;19;5;6;0;6;
320010205000004;1;0;163921;163921;0;13;25;72;77;17;3;0;0;0;2;
320010205000005;1;1;295328;294818;510;2;6;35;85;45;5;6;3;0;3;
320010205000006;1;0;302197;302197;0;3;11;32;76;40;10;8;6;0;7;
320010205000007;1;0;232731;232731;0;1;7;26;57;33;10;4;5;0;1;
320010205000008;1;0;492941;492941;0;0;5;8;39;46;25;21;13;3;3;
320010205000009;1;0;432834;432834;0;1;7;49;88;73;23;4;4;2;3;
320010205000010;1;1;294797;294287;510;4;10;28;82;48;11;7;3;0;4;
320010205000011;1;0;386649;386649;0;3;21;87;124;39;8;12;1;0;14;
320010205000012;1;0;492167;492167;0;1;4;32;77;68;27;13;9;2;4;
320010205000013;8;0;95991;95991;0;15;22;30;41;7;0;1;0;0;5;
320010205000014;8;0;269010;269010;0;13;16;57;68;28;8;4;3;1;6;
320010205000015;8;0;200782;200782;0;11;13;29;65;25;7;1;1;0;15;
320010205000016;8;0;70181;70181;0;7;17;26;25;8;1;0;1;0;3;
320010205000017;8;0;256629;256629;0;7;23;49;63;26;10;4;0;1;7;
320010205000018;8;0;217173;217173;0;5;19;23;35;10;4;4;1;3;8;
320010205000019;1;0;259912;259912;0;8;21;54;107;32;1;4;1;0;4;
320010205000020;1;0;261495;261495;0;2;10;31;65;43;11;5;1;1;1;
320010205000021;1;1;163020;160020;3000;10;22;62;58;20;4;1;0;0;5;
320010205000022;8;0;141777;141777;0;11;26;49;58;16;2;0;0;0;0;
320010205000023;1;0;249960;249960;0;0;1;5;25;23;15;9;7;0;0;
320010205000024;1;0;188577;188577;0;0;1;9;25;16;9;4;5;1;3;
320010205000025;1;0;408591;408591;0;3;4;31;82;50;23;8;5;2;1;
320010205000026;1;0;151002;151002;0;1;13;16;38;27;2;5;0;0;19;
320010205000027;1;0;210488;210488;0;2;6;29;56;37;10;0;3;0;4;
320010205000028;1;0;145734;145734;0;4;11;34;53;28;3;0;1;0;8;
320010205000029;1;0;486215;486215;0;0;12;41;96;54;18;13;6;3;2;
320010205000030;1;4;335999;333169;2830;2;4;31;96;53;12;5;3;0;3;
320010213000001;1;0;222463;222463;0;7;28;38;80;36;5;3;0;0;29;
320010213000002;8;0;178684;178684;0;4;30;50;57;22;5;3;0;0;0;
320010213000003;8;0;130379;130379;0;12;31;49;45;16;1;1;0;0;3;
320010215000001;1;0;10000;10000;0;1;2;3;4;2;0;0;0;0;16;
320010215000002;8;2;152142;151332;810;7;13;27;37;13;2;1;1;1;17;
320010215000003;8;2;157942;157942;0;14;32;31;24;12;0;1;4;1;28;
320010215000004;8;1;142380;141870;510;5;11;14;19;7;2;8;4;1;12;
320010228000001;8;2;236241;234931;1310;13;51;66;98;19;4;0;1;0;4;
320010228000002;8;1;122885;122375;510;16;43;39;36;12;0;3;0;0;2;
320010230000001;1;0;77531;77531;0;1;7;17;24;6;5;1;0;0;0;
320010230000002;8;0;146733;146733;0;12;28;46;35;12;3;1;2;0;3;
320010230000003;8;0;152598;152598;0;7;24;39;23;16;2;3;1;1;5;
320010230000004;8;0;101462;101462;0;6;14;26;24;3;3;0;1;1;0;
320010230000005;8;0;126575;126575;0;4;11;20;33;19;1;1;1;1;3;
320010230000006;8;0;208139;208139;0;26;23;65;59;12;4;1;1;1;21;
320010230000007;8;0;143753;143753;0;11;38;42;35;15;3;1;1;0;0;
320010235000001;1;0;236973;236973;0;12;30;50;81;31;9;1;1;0;37;
320010235000002;8;1;109875;109475;400;12;14;29;27;20;2;0;0;0;3;
320010235000003;8;0;68542;68542;0;3;17;21;28;7;1;1;0;0;2;
320010235000004;8;1;176698;175753;945;5;24;41;46;22;4;2;2;0;1;
320010237000001;1;0;30555;30555;0;2;5;8;16;3;2;0;0;0;14;
320010237000002;8;1;236244;234624;1620;18;25;44;59;25;6;4;1;1;19;
320010239000001;1;0;24137;24137;0;1;4;6;7;4;0;0;0;0;1;
320010239000002;8;0;75696;75696;0;4;7;31;20;11;0;2;0;0;1;
320010239000003;8;0;129090;129090;0;27;34;41;57;8;2;0;0;0;15;
320010239000004;8;1;151734;151533;201;4;25;38;45;36;1;2;0;0;0;
320010239000005;8;1;137073;137073;0;3;23;38;40;15;3;3;0;0;2;
320010240000001;1;0;393470;393470;0;3;17;48;129;66;16;7;3;0;2;
320010240000002;8;0;253003;253003;0;13;35;41;74;39;6;4;0;0;1;
320010240000003;8;0;175736;175736;0;6;34;45;44;18;4;5;0;0;1;
320010240000004;8;1;154495;153985;510;26;37;40;62;16;2;0;0;0;0;
320013605000001;1;2;600393;598383;2010;3;4;20;72;95;32;22;8;3;2;
320013605000002;1;1;538208;536708;1500;2;17;50;102;72;23;12;2;2;2;
320013605000003;1;1;306075;304265;1810;9;21;47;70;52;7;5;3;0;1;
320013605000004;8;1;156338;156238;100;13;29;46;38;22;3;4;0;0;1;
320013605000005;8;1;111796;111546;250;7;17;35;39;14;0;3;0;0;0;
320013605000006;8;0;79842;79842;0;4;21;27;23;14;1;0;1;0;2;
320013605000007;8;0;43105;43105;0;0;1;4;5;1;0;0;0;1;0;
320013605000008;8;1;104271;104271;0;6;19;39;35;16;0;0;0;0;1;
320013605000009;8;2;90686;89876;810;5;15;29;22;10;2;2;0;0;0;
320013605000010;8;4;234496;233986;510;9;28;51;62;45;4;1;0;0;4;
320013605000011;8;2;140682;138132;2550;12;13;28;40;19;2;3;1;0;0;
320013605000012;8;3;164679;162635;2044;7;13;35;42;22;2;5;1;0;4;
320013605000013;8;0;52994;52994;0;2;6;7;18;14;0;0;0;0;0;
320013605000014;8;0;19584;19584;0;1;2;4;9;0;2;0;0;0;3;
320013605000015;1;0;288348;288348;0;1;7;29;63;40;9;9;1;2;7;
320013605000016;8;0;129329;129329;0;13;14;33;39;20;1;1;0;0;11;
320013605000017;8;11;175853;170459;5394;12;32;33;40;27;6;3;2;0;2;
320013605000018;8;0;122216;122216;0;1;8;23;28;23;5;1;0;0;2;
320013605000019;8;0;124043;124043;0;8;18;28;37;16;4;1;0;0;2;
320013605000020;8;10;161698;156288;5410;2;18;26;34;20;3;3;1;1;2;
320013610000001;1;0;90788;90788;0;2;5;22;31;24;1;1;0;0;0;
320013610000002;8;0;183716;183716;0;8;29;44;69;23;2;4;0;0;0;
320013610000003;8;0;55521;55521;0;2;6;18;23;7;0;1;0;0;0;
320016905000001;1;0;336339;336339;0;5;14;39;86;44;13;10;2;1;12;
320016905000002;1;0;223703;223703;0;2;9;33;72;28;6;5;3;0;3;
320016905000003;1;1;219550;218520;1030;24;31;65;95;15;1;6;0;0;14;
320016905000004;8;0;77042;77042;0;0;11;23;21;8;3;0;1;0;0;
320016905000005;8;0;84554;84554;0;38;18;34;26;5;2;2;0;0;25;
320016905000006;8;1;73664;73064;600;10;23;29;39;7;0;0;0;0;0;
320016905000007;1;1;164959;164449;510;1;11;31;48;12;10;4;1;1;2;
320016905000008;1;0;211614;211614;0;1;8;36;54;38;5;4;1;0;4;
320016905000009;1;0;151779;151779;0;5;21;44;45;14;5;4;1;0;3;
320016905000010;8;0;72429;72429;0;17;17;28;28;4;1;1;0;0;10;
320016910000001;1;1;227897;227387;510;11;12;64;88;29;2;7;1;0;10;
320016910000002;5;1;73295;73295;0;0;10;21;35;11;1;0;0;0;3;
320016910000003;8;0;89788;89788;0;13;10;27;28;6;3;1;0;0;23;
320016910000004;8;0;166276;166276;0;11;30;63;69;10;1;2;0;0;11;
320016910000005;8;1;81179;80159;1020;13;17;28;33;12;1;0;0;0;2;
320016910000006;1;1;246075;244475;1600;5;20;55;111;40;5;3;0;0;0;
320016915000001;1;2;186622;186062;560;5;22;57;78;17;8;4;0;0;3;
320016915000002;8;0;107516;107516;0;15;21;42;28;7;1;3;1;0;11;
