Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
320010205000001;1;231;2;1;1;1;5;5;2;2;2;3;4;6;5;5;2;3;3;4;6;6;5;4;7;5;2;6;6;2;2;2;4;3;3;2;2;4;4;1;2;4;4;3;4;1;6;4;3;4;2;2;4;1;3;0;2;2;5;4;0;4;2;0;0;1;0;4;3;0;1;2;2;1;1;1;3;14;87;55;54;4;2;1;14;3;
320010205000002;1;494;4;4;8;7;7;11;11;6;5;6;11;6;9;10;13;8;11;8;14;9;14;8;12;11;6;8;6;14;4;6;7;6;4;15;6;7;8;11;12;7;8;8;6;12;5;2;5;8;8;2;10;7;7;2;7;3;2;4;3;1;5;2;1;4;1;5;4;2;5;4;0;0;1;3;0;7;182;119;120;19;7;5;10;2;
320010205000003;1;857;0;8;9;16;20;21;24;16;22;22;19;18;15;20;15;16;21;22;14;16;22;20;22;22;19;26;13;16;22;19;15;17;18;17;17;16;4;18;15;9;7;10;5;4;9;6;3;9;9;5;9;4;4;7;2;5;4;7;7;5;2;9;3;1;3;3;3;3;7;1;3;2;2;0;0;13;285;200;224;7;27;19;19;3;
320010205000004;1;512;5;8;16;18;12;20;14;18;15;19;19;14;11;16;9;13;10;9;12;9;9;3;8;11;10;9;9;7;9;11;9;10;7;6;7;9;6;5;7;7;3;5;10;3;6;4;5;7;6;3;1;1;1;2;1;2;2;2;3;1;3;1;1;2;2;0;0;1;0;0;3;0;0;1;0;4;150;88;166;4;22;3;14;5;
320010205000005;1;498;3;2;7;5;12;5;7;14;8;11;9;15;9;11;10;13;7;13;8;18;8;10;6;6;12;6;6;8;9;8;8;8;15;10;13;12;7;4;7;10;3;10;11;9;4;2;6;6;10;8;3;8;4;8;5;4;1;4;5;2;0;2;3;3;0;1;1;0;0;2;1;0;1;2;1;8;161;110;159;6;11;11;9;2;
320010205000006;1;492;0;2;9;2;8;18;9;8;16;13;13;9;12;5;12;9;10;15;7;9;8;14;6;4;5;19;13;10;6;9;9;9;8;9;10;6;10;14;7;6;7;5;4;2;6;6;10;7;5;5;3;1;5;2;3;3;2;1;3;3;3;1;2;5;2;1;5;2;4;1;1;1;3;0;1;9;168;120;155;2;9;2;9;5;
320010205000007;1;353;0;3;8;5;8;8;8;6;6;4;10;5;4;9;7;4;8;7;8;7;6;6;5;5;5;4;7;10;5;8;6;3;6;12;4;5;6;2;5;7;7;7;5;8;5;5;4;5;3;7;5;6;1;3;2;3;4;3;2;1;1;1;1;1;2;3;0;2;1;0;0;4;2;2;1;4;124;75;95;6;9;8;10;0;
320010205000008;1;425;1;1;8;10;4;2;5;8;3;5;4;6;7;4;4;2;8;9;12;8;7;9;13;15;10;9;6;9;8;4;5;10;10;4;7;9;10;5;5;4;4;10;8;3;7;7;4;12;8;5;4;6;3;6;2;7;5;2;3;2;5;2;1;2;1;1;5;2;5;6;3;1;0;3;2;8;154;97;99;7;3;9;15;0;
320010205000009;1;659;3;9;9;14;7;14;11;13;14;12;14;20;8;11;11;7;16;9;8;9;11;12;11;21;10;7;13;9;9;8;15;16;18;10;16;12;10;10;6;10;11;11;10;7;8;10;11;4;9;5;7;8;7;8;4;9;7;3;7;5;7;1;5;4;3;2;2;2;1;1;2;7;2;2;4;10;230;148;192;2;18;3;16;7;
320010205000010;1;443;0;4;7;11;6;7;11;4;8;12;13;8;9;12;10;9;7;7;9;8;4;2;9;8;18;6;12;12;7;8;9;4;7;11;8;7;10;8;7;10;2;6;6;6;8;3;7;5;2;3;8;2;5;3;0;5;1;3;2;2;3;5;4;4;0;1;2;0;0;2;1;2;1;3;0;7;166;111;117;3;7;5;6;0;
