Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
320010205000001;1;28;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;1;0;0;2;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;2;0;0;1;0;1;0;1;1;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;26;0;0;1;2;2;4;2;1;1;1;1;0;4;3;4
320010205000002;1;120;1;0;0;0;0;1;1;1;1;2;2;0;1;1;3;1;1;7;4;3;3;1;1;0;1;3;1;2;5;1;1;2;3;2;3;5;2;3;4;0;0;3;4;1;0;1;4;1;1;3;0;2;2;1;1;3;2;0;2;3;2;2;1;2;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;108;1;6;7;16;6;11;11;14;7;9;4;6;7;1;2
320010205000003;1;136;0;0;0;0;0;0;0;0;1;0;0;1;1;2;1;4;7;3;1;3;4;1;1;5;1;3;2;5;5;1;3;2;6;4;2;4;2;1;2;3;0;0;5;2;2;1;2;1;0;2;2;2;7;3;2;0;3;0;0;1;4;1;3;0;3;1;1;0;0;0;5;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;0;1;5;17;12;16;16;7;7;2;9;1;3;0;2
320010205000004;1;116;0;0;0;0;0;0;1;0;0;0;2;1;2;3;3;1;0;0;1;2;1;2;3;1;1;3;1;2;4;1;5;2;4;3;4;3;2;1;4;2;3;3;1;3;4;2;3;1;2;1;4;3;1;2;0;2;2;0;2;2;1;0;2;3;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;72;0;1;11;4;7;7;14;4;10;3;5;5;0;0;1
320010205000005;1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;2;0;2;0;2;1;1;1;3;0;5;1;1;2;0;0;1;0;0;2;1;3;1;0;3;3;2;1;1;1;1;2;0;1;1;1;1;0;0;0;0;1;2;1;0;0;1;2;2;0;0;0;0;1;0;0;0;2;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;51;0;0;3;5;5;9;3;7;8;2;3;1;1;1;3
320010205000006;1;98;0;0;0;0;0;0;1;0;0;0;3;0;1;0;2;2;3;2;0;0;2;1;1;1;1;2;2;5;1;0;3;1;2;5;0;2;2;3;1;1;2;4;0;3;2;2;2;1;1;2;3;2;0;2;1;1;1;1;1;1;0;3;1;2;2;1;1;0;0;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;82;0;1;6;7;5;9;10;7;9;6;6;5;6;2;3
320010205000007;1;60;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;2;3;1;1;0;1;4;1;1;2;0;0;4;2;0;2;0;1;1;4;0;0;4;0;1;0;3;0;0;4;0;0;0;0;1;0;1;2;0;0;0;1;2;0;2;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;2;3;7;7;7;5;7;4;3;1;1;4;1
320010205000008;1;54;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;1;0;0;2;0;0;0;4;1;0;0;4;0;1;2;0;3;1;1;0;1;0;2;1;0;1;2;0;1;0;2;1;0;0;1;0;0;1;1;1;1;2;0;2;2;0;0;0;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;49;0;2;1;3;3;5;7;5;4;3;3;2;6;3;2
320010205000009;1;111;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;4;0;1;0;1;3;0;1;1;2;3;4;2;2;2;2;3;1;2;2;4;1;1;1;4;5;1;2;3;2;3;1;1;5;1;3;4;1;2;0;2;2;2;0;1;2;2;0;1;0;2;3;3;0;1;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;95;0;0;3;6;7;13;10;11;11;9;6;4;3;7;5
320010205000010;1;63;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;3;0;0;3;3;1;1;0;1;2;4;2;2;1;2;1;0;0;1;1;0;1;1;1;2;0;0;1;3;1;0;1;0;0;0;0;2;2;2;1;0;1;0;0;0;3;1;2;1;1;0;0;2;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;50;0;1;1;4;6;7;8;2;4;3;1;4;2;3;4
320010205000011;1;102;0;0;0;0;0;0;0;0;0;2;0;0;0;1;2;2;3;0;2;1;1;2;0;1;3;1;0;2;2;1;3;1;3;2;2;3;1;0;0;3;1;2;3;4;2;0;2;3;1;1;4;0;2;2;4;4;1;0;2;1;2;0;1;1;3;1;1;0;1;0;1;2;0;0;2;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;79;0;2;3;8;7;6;10;7;8;5;9;5;4;2;3
320010205000012;1;161;0;0;0;0;0;0;0;0;0;0;2;0;1;5;2;1;3;1;3;5;5;4;3;5;3;4;3;3;2;3;6;4;1;3;4;2;6;1;2;5;8;2;2;0;7;3;2;1;1;5;1;3;4;3;1;1;4;0;3;1;1;1;0;0;3;5;0;1;1;1;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;155;0;0;10;13;20;15;18;16;18;12;11;8;5;5;4
320010205000013;8;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;1;0;1;1;2;1;0;0;1;1;1;1;1
320010205000014;8;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;2;0;0;0;1;0;1;1;0;1;0;1;0;0;2;2;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;1;2;2;1;0;0;1;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;21;0;0;0;3;3;2;2;3;1;0;1;2;2;1;1
320010205000015;8;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;2;0;1;0;0;0;1;1;0;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;1;0;1;0;0;0;0;1;1;3;1;1;3
320010205000016;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2;2;1;1;0;0;0
