Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
320010205000001;1;1;16;24;16;12;7;6;3;1;3;35;8110;20693;21434;24700;27035;38000;26000;30000;89;86;196007;0;9;15;10;11;4;5;3;1;3;0;4590;12540;13730;22700;16500;31000;26000;30000;61;58;157060;1;7;9;6;1;3;1;0;0;0;35;3520;8153;7704;2000;10535;7000;0;0;28;28;38947;1;16;24;16;12;7;6;3;1;3;35;8110;20693;21434;24700;27035;38000;26000;30000;89;86;196007;0;9;15;10;11;4;5;3;1;3;0;4590;12540;13730;22700;16500;31000;26000;30000;61;58;157060;1;7;9;6;1;3;1;0;0;0;35;3520;8153;7704;2000;10535;7000;0;0;28;28;38947;
320010205000002;1;13;58;63;19;14;7;0;0;0;28;1888;28615;53183;24918;29060;24003;0;0;0;202;174;161667;6;25;28;9;7;5;0;0;0;2;1050;12500;22990;12341;13960;17748;0;0;0;82;80;80589;7;33;35;10;7;2;0;0;0;26;838;16115;30193;12577;15100;6255;0;0;0;120;94;81078;13;58;63;19;14;7;0;0;0;28;1888;28615;53183;24918;29060;24003;0;0;0;202;174;161667;6;25;28;9;7;5;0;0;0;2;1050;12500;22990;12341;13960;17748;0;0;0;82;80;80589;7;33;35;10;7;2;0;0;0;26;838;16115;30193;12577;15100;6255;0;0;0;120;94;81078;
320010205000003;1;36;170;97;23;9;12;1;1;1;27;5515;78900;75302;31378;17610;40400;7500;8000;15000;377;350;279605;14;105;72;17;2;10;1;1;1;18;2524;50000;55902;22852;4000;34300;7500;8000;15000;241;223;200078;22;65;25;6;7;2;0;0;0;9;2991;28900;19400;8526;13610;6100;0;0;0;136;127;79527;36;170;97;23;9;12;1;1;1;27;5515;78900;75302;31378;17610;40400;7500;8000;15000;377;350;279605;14;105;72;17;2;10;1;1;1;18;2524;50000;55902;22852;4000;34300;7500;8000;15000;241;223;200078;22;65;25;6;7;2;0;0;0;9;2991;28900;19400;8526;13610;6100;0;0;0;136;127;79527;
320010205000004;1;36;101;47;4;1;1;0;0;0;19;4331;47101;35442;5186;2040;2603;0;0;0;209;190;96703;8;46;25;4;1;0;0;0;0;9;1324;21816;19467;5186;2040;0;0;0;0;93;84;49833;28;55;22;0;0;1;0;0;0;10;3007;25285;15975;0;0;2603;0;0;0;116;106;46870;36;101;47;4;1;1;0;0;0;19;4331;47101;35442;5186;2040;2603;0;0;0;209;190;96703;8;46;25;4;1;0;0;0;0;9;1324;21816;19467;5186;2040;0;0;0;0;93;84;49833;28;55;22;0;0;1;0;0;0;10;3007;25285;15975;0;0;2603;0;0;0;116;106;46870;
320010205000005;1;3;73;68;17;9;8;2;1;0;9;470;34680;54049;22810;18090;28590;12000;8000;0;190;181;178689;2;36;50;16;7;7;2;1;0;3;350;17270;40128;21310;14540;25390;12000;8000;0;124;121;138988;1;37;18;1;2;1;0;0;0;6;120;17410;13921;1500;3550;3200;0;0;0;66;60;39701;3;72;68;17;9;8;2;1;0;9;470;34170;54049;22810;18090;28590;12000;8000;0;189;180;178179;2;36;50;16;7;7;2;1;0;3;350;17270;40128;21310;14540;25390;12000;8000;0;124;121;138988;1;36;18;1;2;1;0;0;0;6;120;16900;13921;1500;3550;3200;0;0;0;65;59;39191;
320010205000006;1;15;69;46;21;7;15;1;0;0;19;2560;33693;36615;28121;13800;51800;6500;0;0;193;174;173089;1;28;24;16;4;11;1;0;0;10;250;13313;18774;21702;7800;37900;6500;0;0;95;85;106239;14;41;22;5;3;4;0;0;0;9;2310;20380;17841;6419;6000;13900;0;0;0;98;89;66850;15;69;46;21;7;15;1;0;0;19;2560;33693;36615;28121;13800;51800;6500;0;0;193;174;173089;1;28;24;16;4;11;1;0;0;10;250;13313;18774;21702;7800;37900;6500;0;0;95;85;106239;14;41;22;5;3;4;0;0;0;9;2310;20380;17841;6419;6000;13900;0;0;0;98;89;66850;
320010205000007;1;4;66;35;8;12;11;0;1;0;7;545;32170;30228;11790;24690;36606;0;8500;0;144;137;144529;1;38;16;7;9;8;0;1;0;4;100;18700;13843;10530;18100;26156;0;8500;0;84;80;95929;3;28;19;1;3;3;0;0;0;3;445;13470;16385;1260;6590;10450;0;0;0;60;57;48600;4;66;35;8;12;11;0;1;0;7;545;32170;30228;11790;24690;36606;0;8500;0;144;137;144529;1;38;16;7;9;8;0;1;0;4;100;18700;13843;10530;18100;26156;0;8500;0;84;80;95929;3;28;19;1;3;3;0;0;0;3;445;13470;16385;1260;6590;10450;0;0;0;60;57;48600;
320010205000008;1;3;37;32;27;31;23;3;3;1;4;490;18630;27535;36389;64800;82879;17200;24900;15000;164;160;287823;0;21;25;19;24;16;2;3;0;0;0;10710;21105;26099;49900;57570;11200;24900;0;110;110;201484;3;16;7;8;7;7;1;0;1;4;490;7920;6430;10290;14900;25309;6000;0;15000;54;50;86339;3;37;32;26;31;23;3;3;1;4;490;18630;27535;34889;64800;82879;17200;24900;15000;163;159;286323;0;21;25;18;24;16;2;3;0;0;0;10710;21105;24599;49900;57570;11200;24900;0;109;109;199984;3;16;7;8;7;7;1;0;1;4;490;7920;6430;10290;14900;25309;6000;0;15000;54;50;86339;
320010205000009;1;9;94;77;27;16;15;1;1;0;14;1822;45982;62533;37894;33345;55070;6000;8000;0;254;240;250646;2;46;44;20;10;11;1;1;0;8;455;22350;34797;27634;19575;39400;6000;8000;0;143;135;158211;7;48;33;7;6;4;0;0;0;6;1367;23632;27736;10260;13770;15670;0;0;0;111;105;92435;9;94;77;27;16;15;1;1;0;14;1822;45982;62533;37894;33345;55070;6000;8000;0;254;240;250646;2;46;44;20;10;11;1;1;0;8;455;22350;34797;27634;19575;39400;6000;8000;0;143;135;158211;7;48;33;7;6;4;0;0;0;6;1367;23632;27736;10260;13770;15670;0;0;0;111;105;92435;
320010205000010;1;9;76;54;21;12;8;3;0;0;14;1505;36670;47336;28740;24908;29600;17340;0;0;197;183;186099;5;51;35;15;9;7;3;0;0;9;925;24540;30040;20260;18870;24900;17340;0;0;134;125;136875;4;25;19;6;3;1;0;0;0;5;580;12130;17296;8480;6038;4700;0;0;0;63;58;49224;9;75;54;21;12;8;3;0;0;14;1505;36160;47336;28740;24908;29600;17340;0;0;196;182;185589;5;50;35;15;9;7;3;0;0;9;925;24030;30040;20260;18870;24900;17340;0;0;133;124;136365;4;25;19;6;3;1;0;0;0;5;580;12130;17296;8480;6038;4700;0;0;0;63;58;49224;
