Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
520005005000001;1;0;320889;320889;0;1;3;15;44;32;17;7;3;2;0;
520005005000002;1;0;380552;380552;0;4;5;46;123;57;7;8;4;0;7;
520005005000003;1;0;819037;819037;0;4;26;74;160;112;37;22;6;1;22;
520005005000004;1;0;475638;475638;0;1;5;35;94;78;22;8;1;0;2;
520005005000005;8;1;119105;119105;0;1;8;10;27;18;6;7;0;0;15;
520005005000006;8;3;128527;125107;3420;2;6;36;34;24;3;2;1;0;14;
520005005000007;5;0;94976;94976;0;1;10;25;43;10;1;0;0;0;7;
520005005000008;8;0;371751;371751;0;1;14;42;76;51;11;8;4;4;1;
520005005000009;1;1;419340;418140;1200;0;5;29;63;64;12;10;5;1;2;
520005005000010;1;0;433825;433825;0;1;10;62;98;68;7;8;3;0;3;
520005005000011;4;0;66538;66538;0;1;6;22;29;8;1;0;0;0;1;
520010005000001;1;0;270797;270797;0;0;11;35;61;44;10;4;1;2;5;
520010005000002;1;9;233323;217999;15324;2;8;50;77;32;2;3;1;1;2;
520010005000003;1;0;517780;517780;0;2;7;44;136;77;17;5;4;1;2;
520010005000004;1;0;352112;352112;0;1;15;43;95;51;11;9;1;0;5;
520010005000005;1;0;341834;341834;0;5;21;97;153;39;1;1;0;0;3;
520010005000006;1;0;202278;202278;0;2;27;58;93;14;2;0;0;0;6;
520010005000007;1;1;629739;629469;270;4;14;75;127;55;18;17;9;8;23;
520010005000008;1;0;817750;817750;0;0;10;62;156;99;27;22;6;3;10;
520010005000009;1;0;549704;549704;0;1;7;32;119;66;21;10;4;1;8;
520010005000010;1;0;259405;259405;0;2;8;37;82;35;2;6;0;0;8;
520010005000011;1;0;385014;385014;0;1;15;41;104;53;8;6;4;0;2;
520010005000012;8;0;215737;215737;0;3;15;68;91;16;6;2;2;0;57;
520010005000013;8;0;79815;79815;0;0;0;6;24;11;0;4;1;0;1;
520010005000014;8;0;93350;93350;0;1;10;13;29;2;1;1;2;2;11;
520010005000015;8;0;168220;168220;0;0;0;22;74;26;5;1;0;0;0;
520010005000016;8;0;90686;90686;0;0;0;18;35;9;2;1;1;0;2;
520010005000017;8;0;99984;99984;0;0;8;24;40;7;0;0;0;0;1;
520010005000018;8;1;160247;159647;600;0;12;28;56;16;3;1;1;0;1;
520010005000019;8;0;102944;102944;0;0;5;32;33;8;1;1;0;0;0;
520010005000020;1;0;206843;206843;0;4;14;67;106;28;0;1;0;0;2;
520010005000021;1;0;85114;85114;0;8;14;19;18;6;1;1;0;1;1;
520010010000001;1;0;140302;140302;0;1;8;24;51;23;1;3;1;0;3;
520010010000002;8;0;130523;130523;0;0;8;21;27;14;4;4;2;1;13;
520010010000003;8;0;89596;89596;0;1;3;11;19;13;4;1;0;1;1;
520010010000004;8;0;127920;127920;0;0;1;11;34;27;2;0;2;0;0;
520010010000005;8;5;189050;183210;5840;0;5;52;59;7;4;1;1;1;6;
520010010000006;8;0;62025;62025;0;2;4;9;9;4;0;2;1;0;0;
520010010000007;5;2;341478;339794;1684;0;9;38;43;50;19;11;3;0;4;
520013405000001;1;0;726115;726115;0;0;7;19;48;53;25;25;12;8;3;
520013405000002;1;0;465191;465191;0;2;6;26;50;61;15;10;10;4;0;
520013405000003;1;0;596139;596139;0;0;0;23;85;67;19;17;12;4;1;
520013405000004;1;0;395911;395911;0;2;5;58;124;71;13;4;1;0;11;
520013405000005;1;0;241013;241013;0;3;9;37;96;42;1;4;0;0;3;
520013405000006;1;1;576417;574417;2000;1;4;36;71;68;29;21;7;2;10;
520013405000007;1;0;475452;475452;0;0;1;13;44;41;15;12;10;5;2;
520013405000008;1;1;274986;274476;510;3;12;57;102;52;5;0;0;0;25;
520013405000009;1;0;347335;347335;0;7;6;51;87;43;7;4;0;1;13;
520013405000010;1;1;351896;351326;570;6;9;36;80;67;18;7;2;1;7;
520013405000011;1;0;244307;244307;0;0;8;44;71;29;6;2;0;2;7;
520013405000012;1;1;341323;340303;1020;5;14;79;129;38;9;5;0;0;3;
520013405000013;1;0;464930;464930;0;0;3;10;36;53;30;18;8;4;3;
520013405000014;1;0;255578;255578;0;16;22;76;81;35;7;1;1;0;20;
520013405000015;1;0;446962;446962;0;0;16;82;115;55;19;4;4;1;9;
520013405000016;1;24;373295;356200;17095;11;30;67;115;63;11;2;0;0;25;
520013405000017;1;0;591662;591662;0;0;7;42;99;82;25;9;7;2;8;
520013405000018;1;0;292071;292071;0;4;5;29;72;50;13;5;5;0;2;
520013405000019;1;5;682638;676736;5902;0;0;1;39;37;24;20;10;10;3;
520013405000020;1;5;389982;382512;7470;3;16;50;86;64;18;5;5;1;9;
520013405000021;1;0;234342;234342;0;6;19;67;78;35;5;2;0;1;8;
520013405000022;1;1;340011;338111;1900;4;13;38;81;45;14;6;2;1;14;
520013405000023;1;0;362960;362960;0;7;33;117;125;58;7;0;0;0;4;
520013405000024;8;1;168200;168200;0;0;1;7;10;5;1;1;0;2;2;
520013405000025;8;3;197413;195583;1830;1;4;34;53;20;8;3;4;1;3;
520013405000026;5;2;159022;157912;1110;5;21;57;70;22;3;0;1;0;4;
520013405000027;8;0;168902;168902;0;1;1;37;42;21;5;4;1;1;0;
520013405000028;8;4;246571;241741;4830;0;2;29;61;31;4;7;0;1;1;
520013405000029;8;6;260333;256053;4280;0;6;25;42;16;6;3;2;2;5;
520013405000030;1;3;162603;160581;2022;0;6;33;44;23;5;1;1;1;5;
520013405000031;5;0;200795;200795;0;1;10;32;55;36;11;0;2;0;3;
520013405000032;2;0;42478;42478;0;1;6;13;17;5;1;0;0;0;2;
520013405000033;2;0;2752;2752;0;1;0;3;1;0;0;0;0;0;8;
520013405000034;2;0;30642;30642;0;0;0;13;11;2;1;0;0;0;0;
520013405000035;2;0;8140;8140;0;0;0;1;3;0;2;0;0;0;0;
