Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
520005005000001;1;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;2;1;2;1;0;0;0;2;2;3;2;0;3;0;3;3;2;1;0;1;0;2;1;1;1;3;1;2;4;0;1;1;1;2;1;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;1;4;4;9;9;4;8;7;4;0;2;0;2
520005005000002;1;142;0;0;0;0;0;0;1;1;1;0;3;2;1;0;4;1;3;2;0;0;1;1;4;0;0;6;5;2;3;5;4;2;4;4;1;5;4;2;3;2;1;5;1;4;3;3;3;1;2;4;2;2;3;0;1;1;2;4;4;1;6;3;0;0;5;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;124;0;3;10;6;6;20;14;14;14;11;7;9;8;1;1
520005005000003;1;156;0;0;0;0;0;0;0;0;1;0;0;0;2;3;1;3;2;4;1;1;2;4;7;4;1;1;5;5;6;2;5;6;4;7;3;1;1;2;5;0;3;1;4;0;3;2;2;4;3;2;5;4;3;3;5;0;0;2;2;2;3;1;2;1;2;2;1;1;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;0;1;6;10;18;17;25;9;11;11;16;3;6;2;2
520005005000004;1;57;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;1;0;3;0;1;3;1;2;6;1;1;2;0;3;1;1;0;1;1;0;1;0;1;2;1;1;3;0;2;0;0;1;0;1;2;0;0;0;1;0;1;0;2;2;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;1;3;4;13;7;4;3;4;1;3;4;1;1;0
520005005000005;8;10;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0
520005005000006;8;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;1;0;1;1;1;1;4;1;1;1
520005005000007;5;42;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;4;0;1;1;0;1;1;0;0;1;0;0;1;0;2;1;0;1;1;4;2;1;0;2;0;2;1;0;1;0;3;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;1;2;1;7;3;2;4;5;4;0;1;2;0;0
520005005000008;8;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;1;0;1;0;0;0;1;1;0;1;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;1;1;3;2;2;3;1;1;2;0;0
520005005000009;1;134;0;0;0;0;0;2;0;1;1;1;2;2;1;2;4;1;3;1;1;3;3;4;2;2;1;5;4;5;0;5;3;6;2;4;3;3;2;2;4;3;2;5;1;4;2;5;2;2;2;1;1;2;2;1;0;1;2;1;0;1;2;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;132;0;5;11;9;12;19;18;14;14;12;6;4;4;3;1
520005005000010;1;114;0;0;0;0;0;1;0;0;1;1;0;2;4;0;1;2;2;4;1;0;3;2;1;3;7;2;3;5;2;1;0;4;2;0;2;1;3;6;5;3;1;3;0;3;0;1;0;2;0;0;2;0;5;2;3;2;2;1;0;2;0;0;2;1;2;0;1;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;0;3;7;9;16;12;8;17;4;2;6;4;1;4;1
