Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194;V195;V196;V197;V198;V199;V200;V201;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216
210005505000001;1;307;0;0;0;0;0;0;0;1;0;0;4;5;4;6;2;8;9;12;10;11;9;12;6;4;5;8;8;7;6;3;10;8;4;12;6;6;6;6;2;7;6;5;7;11;5;2;4;4;5;2;4;0;6;2;4;4;4;1;3;1;2;2;0;4;0;1;1;2;2;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;265;0;1;21;49;34;29;37;26;25;14;11;7;5;2;4;206;0;0;0;0;0;0;0;1;0;0;2;4;4;2;1;6;5;8;5;9;8;7;4;3;4;7;7;5;4;2;6;4;3;9;5;4;5;6;2;5;6;4;5;6;3;1;1;2;3;1;1;0;4;2;2;3;1;1;2;1;2;2;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;179;0;1;13;32;26;23;25;21;17;6;7;3;3;1;1
210005505000002;1;492;0;0;0;0;0;1;0;2;0;2;4;5;7;9;0;16;10;16;17;12;10;27;16;12;16;14;8;13;15;9;17;9;12;4;10;7;8;13;9;8;4;5;13;10;10;5;11;8;4;7;5;5;4;4;5;6;7;5;3;2;6;3;2;2;5;3;1;0;1;1;3;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;383;0;5;25;69;72;49;45;33;26;24;15;7;8;3;2;337;0;0;0;0;0;1;0;1;0;0;3;4;6;7;0;12;8;12;12;7;6;24;13;10;13;11;7;8;11;6;12;7;5;2;5;5;7;8;7;4;2;2;11;9;8;3;3;3;2;5;4;3;3;4;3;2;4;3;3;2;2;1;2;1;2;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;277;0;2;20;49;58;34;26;25;22;14;13;5;7;2;0
210005505000003;1;287;0;0;0;0;0;0;0;2;0;0;0;3;3;4;4;9;6;12;11;10;6;9;7;6;6;9;4;7;7;6;5;4;6;5;4;6;4;5;9;4;9;4;8;3;1;2;5;10;2;5;2;5;2;4;5;2;0;6;5;3;0;4;2;4;2;0;2;1;1;2;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;215;0;2;14;45;30;30;19;20;14;13;9;10;5;2;2;181;0;0;0;0;0;0;0;2;0;0;0;3;2;3;3;6;1;11;9;8;6;7;4;5;5;6;1;5;4;4;3;3;4;2;4;2;3;1;7;2;8;3;1;2;1;0;2;4;1;1;1;3;2;3;3;1;0;5;3;2;0;2;1;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144;0;2;11;32;23;18;12;11;8;5;8;7;3;2;2
210005505000004;1;358;0;0;0;0;0;0;0;0;0;1;0;4;6;13;9;10;12;7;5;9;15;6;7;12;7;6;3;16;9;7;11;8;8;10;5;12;9;10;2;3;7;6;7;2;9;6;2;7;3;4;4;6;6;2;5;4;1;4;2;3;5;3;1;2;4;0;1;0;1;2;0;3;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;270;0;1;31;39;45;41;31;31;17;13;9;4;7;0;1;243;0;0;0;0;0;0;0;0;0;1;0;3;2;10;7;8;11;5;2;6;15;5;5;7;5;4;1;11;6;4;8;7;5;10;4;8;7;7;1;2;3;4;5;2;6;2;1;5;1;2;4;5;2;2;3;1;1;2;1;2;2;1;0;2;3;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;192;0;1;21;30;36;26;26;23;11;5;7;1;4;0;1
210005505000005;1;378;0;0;0;0;0;0;0;0;1;2;5;3;9;4;6;6;8;7;11;11;10;8;13;9;7;15;15;11;13;9;11;8;11;6;12;8;7;6;10;2;11;10;8;3;4;4;9;4;4;5;7;3;2;4;7;2;0;2;4;3;2;2;2;2;3;1;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;311;0;3;27;42;44;53;42;26;28;18;15;7;4;2;0;274;0;0;0;0;0;0;0;0;0;1;4;1;8;3;5;5;6;6;9;11;10;6;12;8;5;10;12;9;10;7;9;6;7;3;10;6;6;5;6;2;7;7;7;1;3;1;5;1;3;2;4;1;2;2;4;2;0;0;3;3;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;232;0;1;21;36;38;40;31;19;22;7;10;5;1;1;0
210005505000006;1;275;0;0;0;0;0;1;0;1;0;1;1;2;10;6;5;6;4;6;9;6;4;7;10;10;5;8;8;6;7;4;10;6;8;10;9;8;6;6;2;5;5;1;5;6;3;3;6;5;2;4;3;1;3;4;2;2;1;4;2;0;2;4;0;0;1;1;0;2;1;0;0;1;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;193;0;3;22;29;32;25;30;14;13;13;6;1;2;1;2;164;0;0;0;0;0;1;0;0;0;0;0;0;5;4;4;5;3;4;5;6;3;3;5;6;3;5;6;2;5;1;5;3;3;5;7;6;6;4;1;3;3;0;5;3;0;1;5;4;1;1;2;1;2;1;2;1;0;4;2;0;0;2;0;0;1;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;0;1;11;21;18;16;16;11;7;6;5;1;1;1;1
210005505000007;1;360;0;0;0;0;0;0;1;4;1;3;3;7;2;3;4;5;3;4;11;9;10;11;7;5;10;4;6;5;7;9;11;8;5;11;14;12;6;9;8;4;6;6;4;4;10;11;9;6;2;6;7;5;1;1;3;5;3;7;9;6;3;4;0;5;1;2;0;2;0;0;0;5;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;274;0;9;18;31;39;25;38;35;24;18;9;14;8;1;5;190;0;0;0;0;0;0;0;1;0;1;1;3;2;1;2;2;1;2;4;4;6;4;6;4;7;2;5;3;2;5;7;3;3;6;7;7;3;4;7;3;3;4;1;1;5;5;4;5;1;5;5;3;1;0;1;3;1;3;3;2;2;3;0;3;0;1;0;1;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;149;0;2;9;12;26;15;18;22;10;11;7;7;6;1;3
210005505000008;1;305;0;0;0;0;0;0;0;1;0;1;4;2;4;6;6;8;6;6;5;10;13;7;11;9;7;8;7;9;3;4;6;3;9;9;5;6;7;6;6;6;9;6;5;3;4;4;2;6;3;2;0;3;3;3;4;3;4;4;2;4;2;4;6;3;2;2;2;4;0;0;1;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229;0;2;22;32;44;27;24;25;17;10;7;7;7;3;2;193;0;0;0;0;0;0;0;0;0;1;2;1;4;5;3;5;2;5;4;5;11;4;8;5;4;5;5;6;2;3;4;2;4;7;3;2;5;5;5;4;5;4;3;1;3;2;1;4;2;2;0;1;0;1;2;2;4;3;2;2;1;4;5;0;0;2;1;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;1;15;19;30;19;16;17;11;6;1;6;5;3;1
210005505000009;1;387;0;0;0;0;0;0;0;1;2;4;1;4;7;9;9;8;6;14;12;11;9;14;5;9;13;10;12;9;5;7;4;7;7;9;7;4;5;4;4;6;8;5;8;4;7;6;6;6;5;8;5;3;8;4;5;4;4;4;7;6;6;4;1;0;3;0;4;3;2;1;2;1;2;1;0;3;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;252;0;7;30;47;44;37;22;15;17;12;10;7;3;1;0;286;0;0;0;0;0;0;0;1;2;4;1;3;6;8;7;6;5;12;11;9;9;12;4;8;12;9;10;7;4;7;3;3;5;6;5;2;5;2;3;4;7;3;5;2;5;5;2;3;3;6;4;2;3;4;5;3;1;3;3;6;3;2;1;0;1;0;3;2;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;201;0;7;25;40;39;32;14;11;12;8;8;3;2;0;0
210005505000010;1;295;0;0;0;0;0;0;0;0;0;1;0;6;3;4;4;4;2;8;7;5;10;8;7;6;6;4;5;11;8;2;6;11;9;7;6;9;5;1;2;4;1;5;5;6;2;6;4;3;8;2;5;6;5;3;5;4;6;5;8;1;6;2;6;2;2;4;1;0;1;2;1;3;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;244;0;1;17;26;34;28;38;18;17;16;14;17;9;7;2;194;0;0;0;0;0;0;0;0;0;1;0;5;0;4;3;3;2;7;6;3;9;8;5;4;5;4;4;8;6;2;2;10;6;5;4;8;2;0;2;1;0;1;4;2;0;5;1;2;3;0;1;5;4;2;5;1;3;3;4;1;2;2;4;1;0;2;1;0;1;1;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;163;0;1;12;21;28;23;27;10;6;7;11;7;5;4;1
