Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
210005505000001;1;13;107;85;23;26;18;2;3;2;28;2175;51889;68374;32120;52083;67900;13000;28000;30000;307;279;345541;4;64;68;18;21;13;2;3;1;12;630;31460;55124;25190;41683;47100;13000;28000;12000;206;194;254187;9;43;17;5;5;5;0;0;1;16;1545;20429;13250;6930;10400;20800;0;0;18000;101;85;91354;13;106;85;23;26;18;2;3;2;28;2175;51589;68374;32120;52083;67900;13000;28000;30000;306;278;345241;4;63;68;18;21;13;2;3;1;12;630;31160;55124;25190;41683;47100;13000;28000;12000;205;193;253887;9;43;17;5;5;5;0;0;1;16;1545;20429;13250;6930;10400;20800;0;0;18000;101;85;91354;
210005505000002;1;29;181;127;31;34;30;3;3;3;51;4558;86368;102168;38863;68296;116910;18200;27000;80000;492;441;542363;11;110;108;24;24;27;3;3;3;24;2060;52232;86705;30343;48354;107610;18200;27000;80000;337;313;452504;18;71;19;7;10;3;0;0;0;27;2498;34136;15463;8520;19942;9300;0;0;0;155;128;89859;29;179;126;31;34;30;3;3;3;51;4558;85348;101218;38863;68296;116910;18200;27000;80000;489;438;540393;11;108;107;24;24;27;3;3;3;24;2060;51212;85755;30343;48354;107610;18200;27000;80000;334;310;450534;18;71;19;7;10;3;0;0;0;27;2498;34136;15463;8520;19942;9300;0;0;0;155;128;89859;
210005505000003;1;23;128;68;27;10;7;2;1;1;20;3650;61466;51351;35069;20000;26200;11692;8000;12000;287;267;229428;7;76;48;21;9;4;2;1;1;12;1250;37190;36305;27469;17500;16200;11692;8000;12000;181;169;167606;16;52;20;6;1;3;0;0;0;8;2400;24276;15046;7600;2500;10000;0;0;0;106;98;61822;23;128;68;26;10;7;2;1;1;20;3650;61466;51351;33869;20000;26200;11692;8000;12000;286;266;228228;7;76;48;20;9;4;2;1;1;12;1250;37190;36305;26269;17500;16200;11692;8000;12000;180;168;166406;16;52;20;6;1;3;0;0;0;8;2400;24276;15046;7600;2500;10000;0;0;0;106;98;61822;
210005505000004;1;21;138;100;25;16;17;2;2;1;36;3646;67051;79821;33490;32550;57630;13000;18000;22000;358;322;327188;11;86;75;21;14;13;2;2;1;18;1870;41644;59770;27810;29350;44630;13000;18000;22000;243;225;258074;10;52;25;4;2;4;0;0;0;18;1776;25407;20051;5680;3200;13000;0;0;0;115;97;69114;21;138;100;25;16;17;2;2;1;36;3646;67051;79821;33490;32550;57630;13000;18000;22000;358;322;327188;11;86;75;21;14;13;2;2;1;18;1870;41644;59770;27810;29350;44630;13000;18000;22000;243;225;258074;10;52;25;4;2;4;0;0;0;18;1776;25407;20051;5680;3200;13000;0;0;0;115;97;69114;
210005505000005;1;16;118;136;24;19;10;4;2;2;47;2342;57131;105977;30799;37146;33600;24700;18000;55000;378;331;364695;8;81;105;17;18;10;4;2;2;27;1250;39667;81201;21544;35146;33600;24700;18000;55000;274;247;310108;8;37;31;7;1;0;0;0;0;20;1092;17464;24776;9255;2000;0;0;0;0;104;84;54587;16;118;136;24;19;10;4;2;2;47;2342;57131;105977;30799;37146;33600;24700;18000;55000;378;331;364695;8;81;105;17;18;10;4;2;2;27;1250;39667;81201;21544;35146;33600;24700;18000;55000;274;247;310108;8;37;31;7;1;0;0;0;0;20;1092;17464;24776;9255;2000;0;0;0;0;104;84;54587;
210005505000006;1;29;119;56;9;13;4;1;1;0;43;5067;56120;44575;11860;25500;17359;6800;10000;0;275;232;177281;6;82;45;7;8;3;1;1;0;11;1305;38750;36286;9400;15900;12300;6800;10000;0;164;153;130741;23;37;11;2;5;1;0;0;0;32;3762;17370;8289;2460;9600;5059;0;0;0;111;79;46540;29;119;56;9;13;4;1;1;0;43;5067;56120;44575;11860;25500;17359;6800;10000;0;275;232;177281;6;82;45;7;8;3;1;1;0;11;1305;38750;36286;9400;15900;12300;6800;10000;0;164;153;130741;23;37;11;2;5;1;0;0;0;32;3762;17370;8289;2460;9600;5059;0;0;0;111;79;46540;
210005505000007;1;31;146;70;24;12;8;2;0;0;67;4876;68179;56365;32060;22011;29115;13000;0;0;360;293;225606;10;73;44;21;8;6;1;0;0;27;1730;34465;35070;27890;14861;23660;6000;0;0;190;163;143676;21;73;26;3;4;2;1;0;0;40;3146;33714;21295;4170;7150;5455;7000;0;0;170;130;81930;31;146;70;24;12;8;2;0;0;67;4876;68179;56365;32060;22011;29115;13000;0;0;360;293;225606;10;73;44;21;8;6;1;0;0;27;1730;34465;35070;27890;14861;23660;6000;0;0;190;163;143676;21;73;26;3;4;2;1;0;0;40;3146;33714;21295;4170;7150;5455;7000;0;0;170;130;81930;
210005505000008;1;28;143;70;16;8;2;0;0;0;38;4988;67601;54854;20128;17280;7000;0;0;0;305;267;171851;10;93;54;15;6;2;0;0;0;13;1870;44355;42149;18928;13300;7000;0;0;0;193;180;127602;18;50;16;1;2;0;0;0;0;25;3118;23246;12705;1200;3980;0;0;0;0;112;87;44249;28;143;70;16;8;2;0;0;0;38;4988;67601;54854;20128;17280;7000;0;0;0;305;267;171851;10;93;54;15;6;2;0;0;0;13;1870;44355;42149;18928;13300;7000;0;0;0;193;180;127602;18;50;16;1;2;0;0;0;0;25;3118;23246;12705;1200;3980;0;0;0;0;112;87;44249;
210005505000009;1;29;187;112;17;5;2;0;1;0;34;4702;90220;85900;22506;10380;8500;0;8000;0;387;353;230208;10;134;90;15;5;2;0;1;0;29;1910;64248;67324;19920;10380;8500;0;8000;0;286;257;180282;19;53;22;2;0;0;0;0;0;5;2792;25972;18576;2586;0;0;0;0;0;101;96;49926;29;187;112;17;5;2;0;1;0;34;4702;90220;85900;22506;10380;8500;0;8000;0;387;353;230208;10;134;90;15;5;2;0;1;0;29;1910;64248;67324;19920;10380;8500;0;8000;0;286;257;180282;19;53;22;2;0;0;0;0;0;5;2792;25972;18576;2586;0;0;0;0;0;101;96;49926;
210005505000010;1;10;149;69;12;10;5;1;1;0;38;1745;73770;59244;16590;19540;16600;6500;9600;0;295;257;203589;4;95;51;8;7;4;1;1;0;23;905;47550;42734;10630;13900;14000;6500;9600;0;194;171;145819;6;54;18;4;3;1;0;0;0;15;840;26220;16510;5960;5640;2600;0;0;0;101;86;57770;10;148;69;12;10;5;1;1;0;38;1745;73260;59244;16590;19540;16600;6500;9600;0;294;256;203079;4;94;51;8;7;4;1;1;0;23;905;47040;42734;10630;13900;14000;6500;9600;0;193;170;145309;6;54;18;4;3;1;0;0;0;15;840;26220;16510;5960;5640;2600;0;0;0;101;86;57770;
