Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
310010405000001;1;0;358401;358401;0;1;16;67;128;67;10;3;2;0;12;
310010405000002;1;0;435032;435032;0;0;4;44;119;62;11;9;8;1;4;
310010405000003;1;2;486861;484441;2420;2;7;36;121;92;17;2;6;1;3;
310010405000004;1;4;315271;310481;4790;1;27;88;148;39;3;2;2;0;4;
310010405000005;1;2;386976;384966;2010;5;16;53;125;67;11;5;2;2;26;
310010405000006;8;1;131896;131696;200;1;12;27;48;11;2;6;1;0;4;
310010405000007;8;0;134853;134853;0;0;8;13;26;15;4;5;1;1;2;
310010405000008;8;3;287316;286096;1220;1;9;19;49;29;3;3;3;2;1;
310010405000009;8;1;239076;239076;0;1;3;25;37;23;4;8;4;0;4;
310010405000010;8;1;157312;156802;510;1;10;33;61;25;3;2;0;0;0;
310010405000011;8;0;170069;170069;0;1;7;15;33;18;3;7;3;0;0;
310010405000012;8;0;147806;147806;0;3;14;20;24;17;5;0;1;1;2;
310010405000013;8;0;179959;179959;0;1;2;16;52;34;13;3;0;0;2;
310020305000001;1;1;974875;973675;1200;0;2;20;47;68;41;38;25;14;3;
310020305000002;1;0;176422;176422;0;0;2;8;59;25;10;6;3;0;2;
310020305000003;1;0;136944;136944;0;0;2;8;36;17;9;4;0;1;4;
310020305000004;1;0;590262;590262;0;1;14;61;177;104;26;6;4;2;5;
310020305000005;1;0;649130;649130;0;0;12;45;130;94;20;29;9;1;3;
310020305000006;1;0;245060;245060;0;2;3;36;97;32;6;3;1;1;1;
310020305000007;1;0;559770;559770;0;1;14;75;198;98;10;6;4;0;2;
310020305000008;1;0;290558;290558;0;2;14;71;116;49;9;3;0;0;11;
310020305000009;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
310020305000010;1;2;300337;299027;1310;1;5;35;115;55;6;6;1;0;2;
310020305000011;1;0;410223;410223;0;1;2;21;89;71;11;10;3;2;5;
310020305000012;1;0;202536;202536;0;0;1;11;37;37;12;3;2;0;4;
310020305000013;1;2;905981;903851;2130;2;5;25;74;85;27;36;18;10;14;
310020305000014;1;1;991437;990672;765;0;6;46;130;112;47;39;17;4;4;
310020305000015;1;0;394312;394312;0;1;16;87;171;70;6;1;0;0;8;
310020305000016;1;0;379440;379440;0;4;18;92;158;57;8;0;2;0;10;
310020305000017;1;0;334483;334483;0;8;44;109;157;44;1;2;0;0;8;
310020305000018;1;0;299458;299458;0;1;12;90;130;30;5;0;2;0;12;
310020305000019;1;1;250752;248852;1900;4;21;69;107;27;3;1;0;0;7;
310020305000020;1;0;247874;247874;0;4;17;61;109;35;0;2;0;0;3;
310020305000021;1;0;304353;304353;0;2;12;86;113;43;5;2;1;0;6;
310020305000022;2;0;26065;26065;0;0;1;2;11;3;0;0;1;0;0;
310020305000023;2;0;358205;358205;0;2;34;96;130;36;4;2;2;2;19;
310020305000024;3;0;22350;22350;0;0;1;4;7;3;3;1;0;0;0;
310020305000025;8;0;370793;370793;0;1;6;38;81;26;4;8;1;4;2;
