Cod_setor;Situacao_setor;V001;V002;V003
310010405000001;1;119;0;0
310010405000002;1;91;0;0
310010405000003;1;86;1;0
310010405000004;1;145;0;3
310010405000005;1;144;0;0
310010405000006;8;54;0;0
310010405000007;8;30;1;0
310010405000008;8;32;0;0
310010405000009;8;42;0;0
310010405000010;8;71;0;0
310010405000011;8;31;1;0
310010405000012;8;28;0;0
310010405000013;8;41;0;0
310020305000001;1;66;0;0
310020305000002;1;24;0;0
310020305000003;1;24;0;0
310020305000004;1;144;0;0
310020305000005;1;99;1;0
310020305000006;1;72;0;0
310020305000007;1;172;0;0
310020305000008;1;92;0;0
310020305000009;1;0;0;0
310020305000010;1;76;0;0
310020305000011;1;71;0;0
310020305000012;1;22;0;0
310020305000013;1;93;0;0
310020305000014;1;163;0;0
310020305000015;1;181;0;0
310020305000016;1;182;0;0
310020305000017;1;201;0;1
310020305000018;1;123;0;0
310020305000019;1;131;0;0
310020305000020;1;125;0;0
310020305000021;1;132;0;0
310020305000022;2;3;0;0
310020305000023;2;160;0;0
310020305000024;3;6;0;0
310020305000025;8;80;0;0
310020305000026;8;77;0;0
310020305000027;8;68;0;0
310020305000028;8;53;0;0
310020305000029;5;30;0;0
310020305000030;8;43;0;0
310020305000031;8;55;0;0
310020305000032;8;39;0;0
310020305000033;8;54;0;0
310020305000034;1;40;0;0
310020305000035;1;120;1;0
310020305000036;1;124;0;0
310020305000037;1;69;0;0
310020305000038;3;3;0;0
310030205000001;1;120;0;0
310030205000002;1;0;0;0
310030205000003;1;178;0;0
310030205000004;1;116;0;0
310030205000005;1;195;0;0
310030205000006;1;117;0;0
310030205000007;1;182;0;0
310030205000008;8;96;0;0
310030205000009;8;82;0;0
310030205000010;8;104;0;0
310030205000011;8;107;0;0
310030205000012;8;107;0;0
310030205000013;8;89;0;0
310030205000014;5;63;1;0
310030205000015;8;46;0;0
310030205000016;8;57;0;0
310030205000017;1;128;0;0
310030210000001;1;90;0;0
310030210000002;8;62;0;0
310030210000003;8;107;2;0
310030210000004;8;29;0;0
310030210000005;8;60;0;0
310030210000006;8;35;0;0
310040105000001;1;104;0;0
310040105000002;1;154;0;0
310040105000003;1;179;0;0
310040105000004;8;47;0;0
310040105000005;8;53;0;0
310040105000006;8;49;0;0
310040105000007;5;7;0;0
310040105000008;5;16;0;0
310050005000001;1;96;0;0
310050005000002;1;106;0;0
310050005000003;8;66;0;0
310050005000004;8;91;0;0
310050005000005;8;80;0;0
310050005000006;8;47;0;0
310050005000007;8;29;0;0
310050005000008;8;70;0;0
310050005000009;8;8;0;0
310050005000010;1;147;0;0
310050005000011;1;91;0;0
310050005000012;5;33;0;0
310050005000013;5;18;0;0
310050010000001;1;77;0;0
310050010000002;8;73;0;0
310050010000003;8;102;0;0
310050010000004;8;67;0;0
