Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
500020305000001;1;3;560506;556186;4320;0;6;26;72;66;23;16;10;2;2;
500020305000002;1;1;285784;285272;512;1;6;31;64;40;9;7;4;0;4;
500020305000003;1;3;348961;346461;2500;1;10;22;62;58;9;12;2;1;5;
500020305000004;1;0;433756;433756;0;0;5;17;45;60;15;19;7;2;4;
500020305000005;1;0;705955;705955;0;0;1;17;69;72;22;26;10;4;7;
500020305000006;1;2;550051;547591;2460;1;11;65;113;79;18;15;6;1;7;
500020305000007;1;0;237100;237100;0;9;17;63;81;23;7;0;2;0;20;
500020305000008;1;0;451925;451925;0;1;9;43;87;73;21;7;3;1;19;
500020305000009;1;0;218696;218696;0;1;10;46;75;32;2;4;1;0;11;
500020305000010;1;1;634310;634310;0;0;6;22;77;64;31;21;11;6;3;
500020305000011;8;0;59764;59764;0;0;2;4;21;9;1;1;1;0;0;
500020305000012;8;2;108932;107912;1020;1;4;18;43;22;1;5;1;0;1;
500020305000013;8;0;31194;31194;0;0;0;10;14;5;0;0;0;0;2;
500020305000014;8;0;139335;139335;0;0;4;24;39;23;6;2;1;0;3;
500020305000015;6;1;104460;104060;400;0;2;19;49;22;0;1;0;0;3;
500020305000016;6;0;238082;238082;0;0;16;63;78;35;0;1;0;1;0;
500020305000017;8;0;123847;123847;0;0;7;34;53;24;2;0;0;0;1;
500020305000018;8;0;140152;140152;0;0;2;27;39;29;3;2;1;0;0;
500020305000019;8;1;181096;176096;5000;1;1;15;24;18;1;3;3;3;0;
500020305000020;1;2;389122;385071;4051;6;18;62;116;66;8;8;2;1;4;
500020305000021;1;0;298107;298107;0;1;10;28;68;41;13;10;2;0;2;
500020305000022;1;0;323852;323852;0;4;15;38;74;46;12;6;2;1;9;
500020310000001;2;0;78520;78520;0;0;3;4;18;15;5;3;0;0;1;
500020310000002;8;0;54004;54004;0;0;0;3;17;11;1;3;0;0;0;
500020310000003;8;0;49275;49275;0;0;1;5;18;8;1;1;1;0;0;
500020310000004;8;0;29212;29212;0;0;1;3;7;7;0;2;0;0;0;
500020310000005;8;0;38629;38629;0;0;0;6;16;8;3;0;0;0;0;
500020310000006;8;0;60964;60964;0;0;0;8;25;13;4;1;0;0;0;
500020310000007;8;0;14860;14860;0;0;0;1;8;6;0;0;0;0;0;
500020310000008;8;0;66471;66471;0;0;0;10;22;8;2;2;1;0;0;
500020310000009;8;0;102650;102650;0;0;1;11;26;21;0;4;2;0;0;
500020315000001;8;0;33300;33300;0;0;0;5;7;6;0;1;1;0;1;
500020315000002;8;0;118566;118566;0;0;1;23;33;28;3;2;1;0;1;
500020315000003;8;0;6570;6570;0;0;0;2;2;2;0;0;0;0;0;
500020315000004;8;0;28003;28003;0;0;0;3;14;6;1;0;0;0;0;
500020315000005;8;0;147781;147781;0;0;4;11;32;14;4;3;3;1;4;
500020315000006;8;0;133084;133084;0;0;0;15;39;36;3;2;0;0;1;
500020315000007;5;0;112915;112915;0;0;1;11;30;19;6;3;2;0;1;
500020315000008;8;0;9984;9984;0;0;0;1;6;3;0;0;0;0;0;
500025205000001;1;0;560087;560087;0;3;10;44;103;74;18;19;5;3;2;
500025205000002;1;0;420902;420902;0;2;8;28;92;55;24;10;4;3;6;
500025205000003;1;0;295779;295779;0;3;5;69;80;52;13;8;3;0;8;
500025205000004;1;0;618132;618132;0;0;4;31;74;54;18;15;8;2;0;
500025205000005;8;0;223561;223561;0;0;2;23;52;32;3;6;2;2;2;
500025205000006;8;0;328752;328752;0;0;2;25;65;37;8;3;1;4;5;
500025205000007;8;0;132377;132377;0;0;0;8;38;24;6;2;2;0;1;
500025205000008;8;0;116386;116386;0;0;2;9;26;15;4;0;1;2;0;
500025205000009;8;0;138406;138406;0;0;1;27;45;22;6;1;0;0;0;
500025205000010;1;0;101002;101002;0;2;3;9;25;21;4;2;3;0;2;
500025205000011;2;0;66832;66832;0;1;0;9;19;7;2;1;1;0;0;
500060905000001;1;0;358090;358090;0;3;20;76;112;57;14;3;0;0;10;
500060905000002;1;0;341309;341309;0;2;10;51;75;55;14;9;2;0;36;
500060905000003;1;0;650675;650675;0;0;3;4;20;26;16;24;17;8;4;
500060905000004;1;2;265498;264088;1410;0;3;17;59;42;8;10;4;0;4;
500060905000005;1;1;229008;228008;1000;3;12;23;33;32;12;7;2;1;26;
500060905000006;1;2;688224;684824;3400;1;3;14;67;55;25;33;14;8;5;
500060905000007;1;0;397458;397458;0;0;1;16;33;36;13;14;12;3;29;
500060905000008;1;6;468502;460762;7740;1;2;24;60;61;28;15;6;5;11;
500060905000009;1;0;324524;324524;0;2;3;16;63;55;10;13;6;0;3;
500060905000010;1;2;313709;309599;4110;0;2;6;55;45;17;12;4;0;2;
500060905000011;1;0;331593;331593;0;3;6;45;88;50;16;6;3;0;9;
500060905000012;1;0;285955;285955;0;0;8;23;70;50;6;7;1;2;0;
500060905000013;1;0;299863;299863;0;1;7;24;63;49;14;10;3;0;5;
500060905000014;1;0;363442;363442;0;0;8;44;103;52;16;7;3;0;4;
500060905000015;1;0;324701;324701;0;4;5;47;63;41;12;7;4;2;8;
500060905000016;1;0;125990;125990;0;0;2;1;2;10;9;4;5;0;1;
