Cod_setor;Situacao_setor;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216;V217;V218;V219;V220;V221;V222;V223;V224;V225;V226;V227;V228;V229;V230;V231;V232;V233;V234;V235;V236;V237;V238;V239;V240;V241;V242;V243;V244;V245;V246;V247;V248;V249;V250;V251;V252;V253;V254;V255;V256;V257;V258;V259;V260;V261;V262;V263;V264;V265;V266;V267;V268;V269;V270;V271;V272;V273;V274;V275;V276;V277;V278;V279;V280;V281;V282;V283;V284;V285;V286;V287;V288;V289;V290;V291;V292;V293;V294;V295;V296;V297;V298;V299;V300;V301;V302;V303;V304;V305;V306;V307;V308;V309;V310;V311;V312;V313;V314;V315;V316;V317;V318;V319;V320;V321;V322;V323;V324;V325;V326;V327;V328;V329;V330;V331;V332;V333;V334;V335;V336;V337;V338;V339;V340;V341;V342;V343;V344;V345;V346;V347;V348;V349;V350;V351;V352;V353;V354;V355;V356;V357;V358;V359;V360;V361;V362;V363;V364;V365;V366;V367;V368;V369;V370;V371;V372;V373;V374;V375;V376;V377;V378;V379;V380;V381;V382;V383;V384;V385;V386;V387;V388;V389;V390;V391;V392;V393;V394;V395;V396;V397;V398;V399;V400;V401;V402;V403;V404;V405;V406;V407;V408;V409;V410;V411;V412;V413;V414;V415;V416;V417;V418;V419;V420;V421
500020305000001;1;2;1;127;88;0;2;3;0;214;1;2;0;2;1;139;76;0;2;0;3;108;107;0;2;2;1;139;76;0;2;2;1;104;111;0;2;0;3;0;215;0;2;3;0;215;0;2;0;0;3;5;210;1;1;0;3;3;212;1;1;1;5;14;11;35;36;45;21;33;17;1;1;6;0;24;1;71;0;66;0;50;0;2;0;1;5;12;13;37;34;49;17;41;9;1;1;1;5;10;15;26;45;37;29;33;17;1;1;1;5;12;13;37;34;49;17;41;9;1;1;1;5;9;16;32;39;35;31;29;21;0;2;0;6;0;25;0;71;0;66;0;50;0;2;6;0;25;0;71;0;66;0;50;0;2;0;1;5;1;24;2;69;1;65;1;49;0;2;1;5;1;24;2;69;0;66;0;50;0;2;88;59;41;32;146;1;73;0;98;49;43;30;76;71;32;41;98;49;43;30;69;78;37;36;0;147;0;73;147;0;73;0;5;142;1;72;4;143;0;73
500020305000002;1;3;4;91;66;0;1;7;0;152;5;1;0;0;7;32;125;0;1;0;7;22;135;0;1;0;7;32;125;0;1;0;7;6;151;0;1;0;7;0;157;0;1;7;0;144;13;1;0;0;7;1;156;0;1;0;7;8;149;0;1;4;3;16;14;32;32;27;13;14;6;1;3;7;0;29;1;62;2;39;1;19;1;4;0;0;7;1;29;9;55;10;30;12;8;0;4;0;7;1;29;6;58;8;32;7;13;0;4;0;7;1;29;9;55;10;30;12;8;0;4;0;7;0;30;2;62;1;39;3;17;0;4;0;7;0;30;0;64;0;40;0;20;0;4;7;0;27;3;59;5;38;2;18;2;3;1;0;7;0;30;1;63;0;40;0;20;0;4;0;7;3;27;4;60;1;39;0;20;0;4;54;47;40;24;98;3;62;2;15;86;17;47;9;92;13;51;15;86;17;47;5;96;1;63;0;101;0;64;93;8;59;5;1;100;0;64;6;95;2;62
500020305000003;1;0;0;88;91;0;0;0;0;179;0;0;0;0;0;77;102;0;0;0;0;25;154;0;0;0;0;77;102;0;0;0;0;0;179;0;0;0;0;2;177;0;0;0;0;179;0;0;0;0;0;0;179;0;0;0;0;0;179;0;0;6;5;11;11;29;32;29;27;12;12;1;4;11;0;22;0;61;0;56;0;24;0;5;0;4;7;10;12;28;33;25;31;10;14;0;5;0;11;3;19;7;54;11;45;4;20;0;5;4;7;10;12;28;33;25;31;10;14;0;5;0;11;0;22;0;61;0;56;0;24;0;5;0;11;0;22;2;59;0;56;0;24;0;5;11;0;22;0;61;0;56;0;24;0;5;0;0;11;0;22;0;61;0;56;0;24;0;5;0;11;0;22;0;61;0;56;0;24;0;5;62;69;26;22;131;0;48;0;55;76;22;26;21;110;4;44;55;76;22;26;0;131;0;48;2;129;0;48;131;0;48;0;0;131;0;48;0;131;0;48
500020305000004;1;1;1;81;91;0;0;2;0;172;0;0;0;2;0;163;9;0;0;1;1;130;42;0;0;2;0;163;9;0;0;0;2;43;129;0;0;0;2;20;152;0;0;2;0;169;3;0;0;0;2;0;172;0;0;0;2;0;172;0;0;0;5;6;11;22;23;30;30;22;21;2;2;5;0;17;0;45;0;60;0;43;0;4;0;5;0;16;1;42;3;57;3;41;2;4;0;2;3;11;6;35;10;49;11;31;12;3;1;5;0;16;1;42;3;57;3;41;2;4;0;1;4;2;15;14;31;14;46;9;34;3;1;0;5;0;17;6;39;10;50;4;39;0;4;5;0;16;1;44;1;60;0;42;1;4;0;0;5;0;17;0;45;0;60;0;43;0;4;0;5;0;17;0;45;0;60;0;43;0;4;66;61;16;31;127;0;47;0;120;7;45;2;92;35;39;8;120;7;45;2;33;94;10;37;16;111;4;43;126;1;45;2;0;127;0;47;0;127;0;47
500020305000005;1;0;2;123;103;0;0;2;0;226;0;0;0;2;0;226;0;0;0;2;0;217;9;0;0;2;0;221;5;0;0;0;2;5;221;0;0;0;2;105;121;0;0;2;0;226;0;0;0;0;2;1;225;0;0;0;2;1;225;0;0;1;0;6;11;37;32;43;29;34;28;2;5;1;0;17;0;69;0;72;0;62;0;7;0;1;0;17;0;69;0;72;0;62;0;7;0;1;0;16;1;68;1;69;3;59;3;6;1;1;0;16;1;69;0;69;3;61;1;7;0;0;1;0;17;2;67;2;70;1;61;0;7;1;0;10;7;29;40;36;36;25;37;4;3;1;0;17;0;69;0;72;0;62;0;7;0;0;1;0;17;0;69;1;71;0;62;0;7;0;1;0;17;0;69;1;71;0;62;0;7;86;66;37;39;152;0;76;0;152;0;76;0;146;6;73;3;149;3;74;2;1;151;4;72;66;86;39;37;152;0;76;0;0;152;1;75;0;152;1;75
500020305000006;1;1;2;103;208;0;0;3;0;301;10;0;0;1;2;42;269;0;0;0;3;21;290;0;0;1;2;39;272;0;0;0;3;0;311;0;0;0;3;11;300;0;0;3;0;307;4;0;0;0;3;0;311;0;0;1;2;24;287;0;0;6;6;22;43;44;67;22;57;7;33;3;4;12;0;61;4;107;4;79;0;38;2;7;0;0;12;7;58;20;91;10;69;5;35;1;6;0;12;3;62;9;102;6;73;2;38;1;6;0;12;6;59;18;93;10;69;5;35;1;6;0;12;0;65;0;111;0;79;0;40;0;7;0;12;2;63;6;105;2;77;1;39;0;7;12;0;63;2;110;1;79;0;39;1;7;0;0;12;0;65;0;111;0;79;0;40;0;7;0;12;8;57;5;106;8;71;4;36;0;7;65;141;39;69;197;9;107;1;30;176;13;95;12;194;9;99;27;179;13;95;0;206;0;108;9;197;2;106;203;3;107;1;0;206;0;108;21;185;4;104
500020305000007;1;0;23;12;187;0;0;23;0;195;4;0;0;1;22;32;167;0;0;0;23;23;176;0;0;1;22;32;167;0;0;0;23;0;199;0;0;0;23;0;199;0;0;19;4;176;23;0;0;0;23;0;199;0;0;0;23;0;199;0;0;1;25;3;60;4;77;0;23;2;7;2;18;25;1;61;2;80;1;23;0;9;0;20;0;2;24;6;57;13;68;7;16;1;8;4;16;1;25;5;58;7;74;5;18;1;8;4;16;2;24;6;57;13;68;7;16;1;8;4;16;0;26;0;63;0;81;0;23;0;9;0;20;0;26;0;63;0;81;0;23;0;9;0;20;22;4;49;14;73;8;23;0;8;1;20;0;0;26;0;63;0;81;0;23;0;9;0;20;0;26;0;63;0;81;0;23;0;9;0;20;7;155;5;55;159;3;59;1;27;135;6;54;20;142;3;57;27;135;6;54;0;162;0;60;0;162;0;60;144;18;51;9;0;162;0;60;0;162;0;60
500020305000008;1;1;0;119;144;0;0;1;0;262;1;0;0;1;0;69;194;0;0;0;1;34;229;0;0;1;0;72;191;0;0;0;1;0;263;0;0;0;1;26;237;0;0;1;0;263;0;0;0;0;1;0;263;0;0;0;1;0;263;0;0;5;5;21;22;40;47;34;39;11;21;9;10;10;0;43;0;87;0;72;1;32;0;19;0;3;7;11;32;28;59;15;58;6;26;7;12;0;10;5;38;12;75;9;64;5;27;3;16;5;5;13;30;27;60;14;59;6;26;8;11;0;10;0;43;0;87;0;73;0;32;0;19;0;10;3;40;10;77;6;67;4;28;3;16;10;0;43;0;87;0;73;0;32;0;19;0;0;10;0;43;0;87;0;73;0;32;0;19;0;10;0;43;0;87;0;73;0;32;0;19;86;104;34;40;189;1;74;0;54;136;16;58;25;165;9;65;54;136;19;55;0;190;0;74;19;171;7;67;190;0;74;0;0;190;0;74;0;190;0;74
500020305000009;1;37;12;95;38;0;0;44;5;126;7;0;0;0;49;23;110;0;0;0;49;14;119;0;0;0;49;22;111;0;0;0;49;3;130;0;0;0;49;0;133;0;0;46;3;129;4;0;0;0;49;0;133;0;0;0;49;0;133;0;0;4;7;31;15;59;16;25;7;5;2;8;3;9;2;43;3;73;2;29;3;7;0;9;2;0;11;4;42;13;62;5;27;1;6;0;11;0;11;1;45;9;66;3;29;1;6;0;11;0;11;3;43;13;62;5;27;1;6;0;11;0;11;0;46;3;72;0;32;0;7;0;11;0;11;0;46;0;75;0;32;0;7;0;11;11;0;45;1;72;3;30;2;7;0;10;1;0;11;0;46;0;75;0;32;0;7;0;11;0;11;0;46;0;75;0;32;0;7;0;11;66;28;66;22;90;4;80;8;9;85;14;74;5;89;9;79;8;86;14;74;2;92;1;87;0;94;0;88;91;3;84;4;0;94;0;88;0;94;0;88
500020305000010;1;1;3;103;133;0;0;4;0;231;5;0;0;1;3;97;139;0;0;1;3;103;133;0;0;1;3;96;140;0;0;0;4;46;190;0;0;1;3;82;154;0;0;3;1;214;22;0;0;0;4;5;231;0;0;0;4;0;236;0;0;1;5;9;13;40;37;25;39;29;40;0;2;6;0;21;1;77;0;63;1;66;3;2;0;0;6;7;15;24;53;36;28;31;38;0;2;0;6;5;17;24;53;39;25;36;33;0;2;0;6;6;16;24;53;36;28;31;38;0;2;0;6;3;19;11;66;14;50;18;51;0;2;0;6;4;18;21;56;27;37;31;38;0;2;6;0;21;1;69;8;58;6;61;8;2;0;0;6;0;22;2;75;2;62;1;68;0;2;0;6;0;22;0;77;0;64;0;69;0;2;62;92;42;44;150;4;85;1;65;89;33;53;70;84;34;52;64;90;33;53;28;126;18;68;57;97;26;60;140;14;77;9;3;151;2;84;0;154;0;86
