Cod_setor;Situacao_setor;V001;V002;V003
500020305000001;1;113;1;0
500020305000002;1;87;2;0
500020305000003;1;104;0;0
500020305000004;1;71;0;0
500020305000005;1;89;0;0
500020305000006;1;216;0;0
500020305000007;1;196;0;0
500020305000008;1;186;0;0
500020305000009;1;148;0;0
500020305000010;1;130;0;0
500020305000011;8;24;0;0
500020305000012;8;54;0;0
500020305000013;8;25;0;0
500020305000014;8;67;0;0
500020305000015;6;71;0;0
500020305000016;6;186;0;0
500020305000017;8;84;0;0
500020305000018;8;66;0;0
500020305000019;8;41;0;0
500020305000020;1;218;0;0
500020305000021;1;132;0;0
500020305000022;1;177;0;0
500020310000001;2;22;0;0
500020310000002;8;12;0;0
500020310000003;8;28;0;0
500020310000004;8;16;0;0
500020310000005;8;17;0;0
500020310000006;8;40;0;0
500020310000007;8;3;0;0
500020310000008;8;32;0;0
500020310000009;8;43;0;0
500020315000001;8;14;0;0
500020315000002;8;53;0;0
500020315000003;8;7;0;0
500020315000004;8;14;0;0
500020315000005;8;52;1;0
500020315000006;8;64;0;0
500020315000007;5;44;0;0
500020315000008;8;4;0;0
500025205000001;1;159;0;0
500025205000002;1;92;0;0
500025205000003;1;135;0;0
500025205000004;1;94;0;0
500025205000005;8;44;0;0
500025205000006;8;60;0;0
500025205000007;8;27;0;0
500025205000008;8;25;0;0
500025205000009;8;66;0;0
500025205000010;1;38;0;0
500025205000011;2;16;0;0
500060905000001;1;183;0;0
500060905000002;1;124;0;0
500060905000003;1;58;0;0
500060905000004;1;69;0;0
500060905000005;1;69;0;0
500060905000006;1;81;0;0
500060905000007;1;39;0;0
500060905000008;1;85;0;0
500060905000009;1;51;0;0
500060905000010;1;65;0;0
500060905000011;1;125;0;0
500060905000012;1;95;0;0
500060905000013;1;70;0;0
500060905000014;1;109;0;1
500060905000015;1;106;0;0
500060905000016;1;27;0;0
500060905000017;1;30;0;0
500060905000018;1;96;0;0
500060905000019;1;92;0;0
500060905000020;1;135;0;0
500060905000021;1;342;0;0
500060905000022;4;132;0;0
500060905000023;1;117;0;0
500060905000024;1;142;0;0
500060905000025;1;186;0;0
500060905000026;1;155;0;0
500060905000027;8;25;0;0
500060905000028;8;34;0;0
500060905000029;8;20;0;0
500060905000030;8;136;0;0
500060905000031;8;49;0;0
500060905000032;8;89;0;0
500060905000033;8;59;0;0
500060905000034;8;60;0;0
500060905000035;8;32;0;0
500060905000036;8;81;1;0
500060905000037;8;70;0;0
500060905000038;8;34;0;0
500060905000039;8;24;0;0
500060905000040;8;113;19;0
500060905000041;8;64;0;0
500060905000042;8;125;0;0
500060905000043;8;404;13;0
500060905000044;8;426;3;0
500060905000045;8;247;11;0
500060905000046;8;438;11;0
500060905000047;8;278;1;0
500060905000048;8;324;1;0
500060905000049;8;356;2;0
500060905000050;8;17;0;0
500060905000051;8;39;0;0
500060905000052;1;78;0;0
500060905000053;1;75;0;3
500060905000054;1;64;0;0
500060905000055;1;82;0;0
500060905000056;1;38;0;0
500060905000057;1;80;0;0
500060905000058;1;65;0;0
500060905000059;1;63;2;0
500060905000060;1;97;0;0
500060905000061;1;182;1;2
500060905000062;1;137;0;0
500060905000063;1;137;0;0
500060905000064;1;72;0;1
500070805000001;1;70;0;0
500070805000002;1;82;0;0
500070805000003;1;108;0;2
500070805000004;1;126;0;0
500070805000005;1;81;1;0
500070805000006;1;90;0;0
500070805000007;1;98;0;0
500070805000008;1;169;0;0
500070805000009;1;143;0;0
500070805000010;1;117;0;0
500070805000011;1;209;0;0
500070805000012;1;127;0;0
500070805000013;1;103;0;0
500070805000014;1;114;0;0
500070805000015;1;132;0;0
500070805000016;1;126;0;0
500070805000017;1;82;0;0
500070805000018;1;136;0;0
500070805000019;1;143;0;0
500070805000020;1;127;0;0
500070805000021;1;189;1;0
500070805000022;1;123;0;1
500070805000023;1;243;0;0
500070805000024;8;109;0;0
500070805000025;8;64;1;0
500070805000026;8;57;0;0
500070805000027;8;66;0;0
500070805000028;8;100;0;0
500070805000029;8;28;0;0
500070805000030;8;17;0;0
500070805000031;8;38;0;0
500070805000032;8;113;0;0
500070805000033;8;35;0;0
500070805000034;8;48;0;0
500070805000035;8;21;0;0
500070805000036;1;131;0;0
500070805000037;1;270;0;0
500070805000038;1;85;0;0
500070805000039;1;149;0;0
500070805000040;2;27;0;0
500070805000041;1;118;1;0
500080705000001;1;65;0;0
500080705000002;1;102;0;0
500080705000003;1;138;0;0
500080705000004;1;130;0;0
500080705000005;1;24;0;0
500080705000006;1;142;0;0
500080705000007;1;108;0;0
500080705000008;8;102;0;0
500080705000009;8;91;0;0
500080705000010;8;30;0;0
500080705000011;8;38;0;0
500080705000012;5;81;0;0
500080705000013;8;118;0;0
500080705000014;8;10;"X";"X"
500080705000015;8;39;0;0
500080705000016;8;67;0;0
500080705000017;8;37;0;1
500080705000018;8;47;0;0
500080705000019;8;74;0;0
500080705000020;8;52;1;0
500080705000021;3;3;"X";"X"
500085605000001;1;107;0;0
500085605000002;1;2;0;0
500085605000003;1;15;0;0
500085605000004;1;11;0;0
500085605000005;1;100;0;0
500085605000006;1;33;0;0
500085605000007;1;22;0;0
500085605000008;1;38;0;0
500085605000009;1;14;0;0
500085605000010;1;17;0;0
500085605000011;1;22;0;0
500085605000012;1;9;0;0
500085605000013;1;99;0;0
500085605000014;1;77;1;0
500085605000015;1;9;0;0
500085605000016;1;176;0;0
500085605000017;1;59;0;0
500085605000018;1;61;0;0
500085605000019;1;116;0;0
500085605000020;2;53;0;0
500085605000021;2;42;0;0
500085605000022;8;48;0;0
500085605000023;8;28;0;0
500085605000024;8;32;0;0
500085605000025;8;14;0;0
500085605000026;8;63;0;0
500085605000027;2;34;0;0
500085610000001;1;201;0;0
500085610000002;8;26;0;0
500085610000003;8;35;0;0
500085610000004;6;3;0;0
500090605000001;1;71;0;0
500090605000002;1;82;0;0
500090605000003;1;85;0;0
500090605000004;1;53;0;0
500090605000005;1;185;1;0
500090605000006;1;146;2;0
500090605000007;1;41;0;0
500090605000008;1;131;0;0
500090605000009;1;124;0;0
500090605000010;1;67;0;0
500090605000011;1;81;0;0
500090605000012;1;19;0;0
500090605000013;2;18;0;0
500090605000014;8;81;0;0
500090605000015;1;60;0;0
500090605000016;1;59;0;0
500090605000017;8;33;0;0
500090605000018;8;37;0;0
500090610000001;2;146;4;0
500090610000002;2;71;1;1
500090610000003;8;39;0;0
500090610000004;8;29;0;0
500090610000005;8;157;5;0
500100305000001;1;46;0;0
500100305000002;1;80;0;0
500100305000003;1;124;0;0
500100305000004;1;110;0;0
500100305000005;1;123;1;0
500100305000006;1;99;0;0
500100305000007;1;107;0;0
500100305000008;1;140;0;0
500100305000009;1;92;0;0
500100305000010;1;52;0;0
500100305000011;1;107;0;0
500100305000012;1;87;0;0
500100305000013;2;71;0;0
500100305000014;1;109;0;0
500100305000015;1;129;0;0
500100305000016;1;96;0;0
500100305000017;1;155;0;0
500100305000018;1;129;0;0
500100305000019;1;112;0;0
500100305000020;1;162;0;0
500100305000021;2;260;0;0
500100305000022;1;183;0;0
500100305000023;8;30;0;0
500100305000024;8;49;0;0
500100305000025;8;34;0;0
500100305000026;8;25;0;0
500100305000027;8;52;0;0
500100305000028;8;33;0;0
500100305000029;8;37;0;0
500100305000030;8;44;0;0
500100305000031;8;55;0;0
500100305000032;1;97;0;0
500100305000033;1;121;1;0
500100305000034;1;135;1;0
500100305000035;1;83;0;0
500100305000036;1;171;0;0
500110205000001;1;101;0;0
500110205000002;1;130;0;0
500110205000003;1;117;0;0
500110205000004;1;96;0;0
500110205000005;1;93;0;0
500110205000006;1;90;0;0
500110205000007;1;33;0;0
500110205000008;1;42;0;0
500110205000009;1;53;0;0
500110205000010;1;103;0;0
500110205000011;1;82;0;0
500110205000012;1;74;0;0
500110205000013;1;68;0;0
500110205000014;1;129;0;0
500110205000015;1;137;0;0
500110205000016;1;154;0;0
500110205000017;1;189;0;0
500110205000018;1;177;0;0
500110205000019;1;186;0;0
500110205000020;1;154;0;0
500110205000021;1;138;0;0
500110205000022;1;180;0;0
500110205000023;1;173;0;0
500110205000024;1;174;0;0
500110205000025;1;156;1;0
500110205000026;1;76;0;0
500110205000027;1;126;0;0
500110205000028;1;128;0;0
500110205000029;1;147;0;0
500110205000030;1;64;1;0
500110205000031;1;110;1;0
500110205000032;1;154;0;0
500110205000033;1;79;0;0
500110205000034;1;120;0;0
500110205000035;1;146;0;0
500110205000036;1;130;0;0
500110205000037;1;92;0;1
500110205000038;1;229;0;0
500110205000039;1;178;1;0
500110205000040;1;154;0;0
500110205000041;1;211;0;0
500110205000042;1;98;0;0
500110205000043;1;0;0;0
500110205000044;8;70;0;0
500110205000045;8;41;1;0
500110205000046;8;44;0;3
500110205000047;8;61;0;0
500110205000048;8;79;0;0
500110205000049;8;26;0;0
500110205000050;8;97;0;0
500110205000051;8;30;0;0
500110205000052;8;69;0;0
500110205000053;8;230;3;0
500110205000054;8;47;0;0
500110205000055;1;88;0;0
500110205000056;1;71;0;0
500110205000057;1;160;0;0
500110205000058;1;190;1;0
500110205000059;1;128;0;0
500110205000060;1;109;0;0
500110205000061;1;146;0;0
500110205000062;1;160;0;0
500110205000063;8;80;0;0
500110205000064;8;67;0;0
500110210000001;1;40;0;0
500110210000002;8;60;0;0
500110215000001;1;67;1;0
500110215000002;8;76;0;0
500110220000001;1;42;0;0
500110220000002;8;34;0;0
500110225000001;1;76;0;0
500110225000002;8;50;0;0
500110225000003;8;37;0;0
500110225000004;8;163;1;0
500110225000005;8;85;0;0
500110225000006;8;150;1;0
500110225000007;8;280;5;0
500110225000008;8;9;0;0
500110225000009;8;229;2;0
500110225000010;8;41;0;0
500110225000011;8;5;0;0
500110225000013;8;4;"X";"X"
