Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
500020305000001;1;20;112;153;61;56;32;2;2;4;208;2043;53930;118632;77421;113160;119380;14000;19350;65000;650;442;582916;8;57;96;43;40;18;2;2;4;68;725;28050;74295;54650;81708;71200;14000;19350;65000;338;270;408978;12;55;57;18;16;14;0;0;0;140;1318;25880;44337;22771;31452;48180;0;0;0;312;172;173938;19;110;148;56;56;31;2;2;4;204;1793;52910;114982;71011;113160;116370;14000;19350;65000;632;428;568576;8;56;93;38;40;18;2;2;4;66;725;27540;71765;48240;81708;71200;14000;19350;65000;327;261;399528;11;54;55;18;16;13;0;0;0;138;1068;25370;43217;22771;31452;45170;0;0;0;305;167;169048;
500020305000002;1;10;120;98;18;22;22;0;2;1;178;1459;57646;74909;23520;42750;72400;0;18100;29000;471;293;319784;1;54;64;14;18;15;0;1;0;70;250;26790;49819;18210;35150;49600;0;8100;0;237;167;187919;9;66;34;4;4;7;0;1;1;108;1209;30856;25090;5310;7600;22800;0;10000;29000;234;126;131865;10;120;97;18;22;21;0;2;0;174;1459;57646;74397;23520;42750;67400;0;18100;0;464;290;285272;1;54;63;14;18;14;0;1;0;68;250;26790;49307;18210;35150;44600;0;8100;0;233;165;182407;9;66;34;4;4;7;0;1;0;106;1209;30856;25090;5310;7600;22800;0;10000;0;231;125;102865;
500020305000003;1;34;94;140;34;15;17;1;3;1;151;5800;43575;111985;44001;30100;65500;6000;25000;17000;490;339;348961;11;42;94;24;9;14;1;3;0;52;1794;19535;77896;30970;17400;55600;6000;25000;0;250;198;234195;23;52;46;10;6;3;0;0;1;99;4006;24040;34089;13031;12700;9900;0;0;17000;240;141;114766;34;93;138;34;15;17;1;3;1;151;5800;43075;109985;44001;30100;65500;6000;25000;17000;487;336;346461;11;41;92;24;9;14;1;3;0;52;1794;19035;75896;30970;17400;55600;6000;25000;0;247;195;231695;23;52;46;10;6;3;0;0;1;99;4006;24040;34089;13031;12700;9900;0;0;17000;240;141;114766;
500020305000004;1;17;75;120;50;33;30;3;1;1;142;2930;36616;96200;68020;64220;109970;18800;10000;27000;472;330;433756;3;25;74;32;22;22;2;1;1;48;725;12540;62182;43320;42600;83870;12800;10000;27000;230;182;295037;14;50;46;18;11;8;1;0;0;94;2205;24076;34018;24700;21620;26100;6000;0;0;242;148;138719;17;75;120;50;33;30;3;1;1;142;2930;36616;96200;68020;64220;109970;18800;10000;27000;472;330;433756;3;25;74;32;22;22;2;1;1;48;725;12540;62182;43320;42600;83870;12800;10000;27000;230;182;295037;14;50;46;18;11;8;1;0;0;94;2205;24076;34018;24700;21620;26100;6000;0;0;242;148;138719;
500020305000005;1;22;95;140;57;68;36;3;5;4;179;3039;46440;109713;76618;138145;133600;20400;46000;132000;609;430;705955;8;39;83;33;42;28;3;3;4;55;965;19430;67999;43360;85000;105300;20400;26000;132000;298;243;500454;14;56;57;24;26;8;0;2;0;124;2074;27010;41714;33258;53145;28300;0;20000;0;311;187;205501;22;95;140;57;68;36;3;5;4;179;3039;46440;109713;76618;138145;133600;20400;46000;132000;609;430;705955;8;39;83;33;42;28;3;3;4;55;965;19430;67999;43360;85000;105300;20400;26000;132000;298;243;500454;14;56;57;24;26;8;0;2;0;124;2074;27010;41714;33258;53145;28300;0;20000;0;311;187;205501;
500020305000006;1;37;174;244;50;43;22;4;2;0;314;5665;82650;190606;66200;88340;74200;24900;20000;0;890;576;552561;8;76;169;40;31;14;3;1;0;100;1035;37160;135795;52050;64440;47200;19100;10000;0;442;342;366780;29;98;75;10;12;8;1;1;0;214;4630;45490;54811;14150;23900;27000;5800;10000;0;448;234;185781;37;173;241;50;43;22;4;2;0;313;5665;82140;188656;66200;88340;74200;24900;20000;0;885;572;550101;8;76;166;40;31;14;3;1;0;100;1035;37160;133845;52050;64440;47200;19100;10000;0;439;339;364830;29;97;75;10;12;8;1;1;0;213;4630;44980;54811;14150;23900;27000;5800;10000;0;446;233;185271;
500020305000007;1;32;121;136;23;12;5;1;0;0;286;4996;54560;100274;29690;25380;17510;6000;0;0;616;330;238410;13;67;103;19;11;2;1;0;0;85;1788;31422;78384;24860;22880;6500;6000;0;0;301;216;171834;19;54;33;4;1;3;0;0;0;201;3208;23138;21890;4830;2500;11010;0;0;0;315;114;66576;32;121;136;23;12;5;1;0;0;286;4996;54560;100274;29690;25380;17510;6000;0;0;616;330;238410;13;67;103;19;11;2;1;0;0;85;1788;31422;78384;24860;22880;6500;6000;0;0;301;216;171834;19;54;33;4;1;3;0;0;0;201;3208;23138;21890;4830;2500;11010;0;0;0;315;114;66576;
500020305000008;1;21;92;206;58;32;19;4;2;0;291;3148;44061;154143;77139;66744;64710;24000;17980;0;725;434;451925;9;44;141;44;21;14;3;1;0;102;1080;21280;108195;57939;43244;50110;18000;9980;0;379;277;309828;12;48;65;14;11;5;1;1;0;189;2068;22781;45948;19200;23500;14600;6000;8000;0;346;157;142097;21;92;206;58;32;19;4;2;0;291;3148;44061;154143;77139;66744;64710;24000;17980;0;725;434;451925;9;44;141;44;21;14;3;1;0;102;1080;21280;108195;57939;43244;50110;18000;9980;0;379;277;309828;12;48;65;14;11;5;1;1;0;189;2068;22781;45948;19200;23500;14600;6000;8000;0;346;157;142097;
500020305000009;1;18;132;129;15;14;2;0;0;0;191;2278;63785;95823;20360;27850;8600;0;0;0;501;310;218696;6;75;94;12;8;2;0;0;0;57;652;37220;72050;16700;15850;8600;0;0;0;254;197;151072;12;57;35;3;6;0;0;0;0;134;1626;26565;23773;3660;12000;0;0;0;0;247;113;67624;18;132;129;15;14;2;0;0;0;191;2278;63785;95823;20360;27850;8600;0;0;0;501;310;218696;6;75;94;12;8;2;0;0;0;57;652;37220;72050;16700;15850;8600;0;0;0;254;197;151072;12;57;35;3;6;0;0;0;0;134;1626;26565;23773;3660;12000;0;0;0;0;247;113;67624;
500020305000010;1;7;104;133;65;54;34;2;3;7;184;1206;50954;109740;88640;110750;133900;12350;27000;100500;593;409;635040;0;48;74;44;31;26;1;2;7;61;0;23874;62670;60000;63800;107300;6000;19000;100500;294;233;443144;7;56;59;21;23;8;1;1;0;123;1206;27080;47070;28640;46950;26600;6350;8000;0;299;176;191896;7;104;132;65;54;34;2;3;7;178;1206;50954;109010;88640;110750;133900;12350;27000;100500;586;408;634310;0;48;73;44;31;26;1;2;7;58;0;23874;61940;60000;63800;107300;6000;19000;100500;290;232;442414;7;56;59;21;23;8;1;1;0;120;1206;27080;47070;28640;46950;26600;6350;8000;0;296;176;191896;
