Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
500020305000001;1;74;0;0;0;0;0;0;0;0;0;1;1;1;0;1;2;1;1;1;0;2;2;3;0;1;0;1;1;2;3;3;2;1;3;0;0;0;3;2;5;1;1;1;4;0;0;3;1;1;0;1;0;1;1;2;1;1;0;1;0;1;0;1;0;2;1;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;1;5;5;6;9;6;10;5;6;3;3;2;2;2
500020305000002;1;64;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;3;1;3;1;3;2;0;6;1;0;1;1;0;2;1;1;3;2;4;2;0;2;0;1;2;2;2;1;1;0;2;2;0;2;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;2;1;8;12;3;8;7;7;3;3;2;0;1;1
500020305000003;1;48;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;3;0;0;1;0;2;3;2;0;0;0;1;1;4;3;2;0;1;0;1;0;1;1;0;0;2;1;3;2;0;1;0;0;0;1;0;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;1;2;4;8;2;10;2;4;1;1;4;1;0;0
500020305000004;1;47;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;3;1;0;3;1;0;2;0;1;0;1;1;3;2;0;2;0;3;1;1;1;3;0;1;1;0;3;0;0;0;4;0;0;1;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;3;4;5;4;8;5;4;7;1;1;1;0;0
500020305000005;1;76;0;0;0;0;0;0;0;0;0;1;1;0;1;2;3;1;0;1;1;0;1;1;2;2;1;3;3;2;0;5;1;2;2;2;4;2;3;5;3;1;0;0;0;1;3;2;1;0;1;0;1;0;1;0;1;0;0;1;0;0;0;2;0;0;0;0;1;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;0;1;7;3;7;13;11;13;3;3;2;1;1;3;1
500020305000006;1;109;0;0;0;0;0;0;1;0;0;1;0;0;1;1;3;4;2;1;1;3;1;4;8;5;4;6;6;1;2;6;5;0;4;0;1;4;1;2;5;1;6;2;1;2;0;0;0;1;0;1;0;2;0;2;1;0;1;0;0;2;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;2;4;11;21;21;9;11;9;2;2;1;3;1;0
500020305000007;1;60;0;0;0;1;0;0;0;0;2;2;3;0;1;1;2;3;1;5;0;0;0;1;1;0;4;1;1;1;1;2;1;1;2;1;0;2;0;0;0;3;0;1;2;1;1;1;1;1;0;0;1;0;0;0;2;2;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;1;4;7;9;4;6;4;4;4;2;2;1;1;0;0
500020305000008;1;74;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;2;3;1;1;3;3;3;3;1;2;2;3;1;3;2;1;4;1;0;4;2;0;1;4;4;1;2;2;1;1;2;1;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;6;10;12;10;9;10;5;2;1;0;0;0;0
500020305000009;1;88;0;0;0;1;0;0;1;3;1;0;2;2;2;6;1;2;2;5;4;1;3;5;3;2;2;1;2;5;1;4;1;1;3;2;2;0;0;0;1;3;1;0;1;3;1;1;2;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;1;5;13;14;15;12;7;3;6;4;2;1;0;0;0
500020305000010;1;86;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;4;2;0;4;3;3;5;3;3;2;2;1;2;3;5;2;3;3;4;1;1;0;0;1;2;4;2;1;0;2;2;0;0;0;1;1;0;0;1;0;1;2;0;1;0;1;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;1;3;13;15;13;11;2;9;1;0;2;1;0;0
