Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
500020305000001;1;1;39;68;38;37;21;2;1;4;13;250;19070;52851;48755;76660;81340;14000;9350;65000;224;211;367276;1;16;51;30;27;16;2;1;4;2;250;7950;39471;38640;57008;64000;14000;9350;65000;150;148;295669;0;23;17;8;10;5;0;0;0;11;0;11120;13380;10115;19652;17340;0;0;0;74;63;71607;1;39;66;36;37;21;2;1;4;13;250;19070;51521;46215;76660;81340;14000;9350;65000;220;207;363406;1;16;50;28;27;16;2;1;4;2;250;7950;38741;36100;57008;64000;14000;9350;65000;147;145;292399;0;23;16;8;10;5;0;0;0;11;0;11120;12780;10115;19652;17340;0;0;0;73;62;71007;
500020305000002;1;1;53;53;11;16;16;0;1;0;16;200;25426;40857;14210;31450;54600;0;8100;0;167;151;174843;0;28;34;10;14;11;0;1;0;5;0;14280;26353;13110;27450;37500;0;8100;0;103;98;126793;1;25;19;1;2;5;0;0;0;11;200;11146;14504;1100;4000;17100;0;0;0;64;53;48050;1;53;52;11;16;15;0;1;0;16;200;25426;40345;14210;31450;49600;0;8100;0;165;149;169331;0;28;33;10;14;10;0;1;0;5;0;14280;25841;13110;27450;32500;0;8100;0;101;96;121281;1;25;19;1;2;5;0;0;0;11;200;11146;14504;1100;4000;17100;0;0;0;64;53;48050;
500020305000003;1;5;33;78;22;12;14;1;3;0;14;990;15395;64350;28334;24100;55800;6000;25000;0;182;168;219969;4;22;59;18;8;13;1;3;0;6;740;10245;49961;23410;15400;51800;6000;25000;0;134;128;182556;1;11;19;4;4;1;0;0;0;8;250;5150;14389;4924;8700;4000;0;0;0;48;40;37413;5;32;76;22;12;14;1;3;0;14;990;14895;62350;28334;24100;55800;6000;25000;0;179;165;217469;4;21;57;18;8;13;1;3;0;6;740;9745;47961;23410;15400;51800;6000;25000;0;131;125;180056;1;11;19;4;4;1;0;0;0;8;250;5150;14389;4924;8700;4000;0;0;0;48;40;37413;
500020305000004;1;3;23;57;29;23;20;3;1;1;14;675;11136;47502;38620;44980;77500;18800;10000;27000;174;160;276213;0;12;48;20;17;18;2;1;1;8;0;5930;40572;26520;33100;71300;12800;10000;27000;127;119;227222;3;11;9;9;6;2;1;0;0;6;675;5206;6930;12100;11880;6200;6000;0;0;47;41;48991;3;23;57;29;23;20;3;1;1;14;675;11136;47502;38620;44980;77500;18800;10000;27000;174;160;276213;0;12;48;20;17;18;2;1;1;8;0;5930;40572;26520;33100;71300;12800;10000;27000;127;119;227222;3;11;9;9;6;2;1;0;0;6;675;5206;6930;12100;11880;6200;6000;0;0;47;41;48991;
500020305000005;1;2;33;67;30;43;25;3;4;3;18;320;16140;54492;39468;88285;92000;20400;36000;112000;228;210;459105;1;13;50;19;32;22;3;3;3;6;200;6450;42629;24810;65290;80500;20400;26000;112000;152;146;378279;1;20;17;11;11;3;0;1;0;12;120;9690;11863;14658;22995;11500;0;10000;0;76;64;80826;2;33;67;30;43;25;3;4;3;18;320;16140;54492;39468;88285;92000;20400;36000;112000;228;210;459105;1;13;50;19;32;22;3;3;3;6;200;6450;42629;24810;65290;80500;20400;26000;112000;152;146;378279;1;20;17;11;11;3;0;1;0;12;120;9690;11863;14658;22995;11500;0;10000;0;76;64;80826;
500020305000006;1;8;71;133;38;24;15;3;1;0;23;1410;33320;107492;50850;48840;49000;19100;10000;0;316;293;320012;1;27;107;31;22;10;3;1;0;5;200;13520;88188;40750;44840;33200;19100;10000;0;207;202;249798;7;44;26;7;2;5;0;0;0;18;1210;19800;19304;10100;4000;15800;0;0;0;109;91;70214;8;70;132;38;24;15;3;1;0;23;1410;32810;106792;50850;48840;49000;19100;10000;0;314;291;318802;1;27;106;31;22;10;3;1;0;5;200;13520;87488;40750;44840;33200;19100;10000;0;206;201;249098;7;43;26;7;2;5;0;0;0;18;1210;19290;19304;10100;4000;15800;0;0;0;108;90;69704;
500020305000007;1;8;56;87;13;10;4;1;0;0;43;1274;25666;65900;16590;20880;12510;6000;0;0;222;179;148820;3;39;77;12;10;2;1;0;0;18;330;18390;59430;15510;20880;6500;6000;0;0;162;144;127040;5;17;10;1;0;2;0;0;0;25;944;7276;6470;1080;0;6010;0;0;0;60;35;21780;8;56;87;13;10;4;1;0;0;43;1274;25666;65900;16590;20880;12510;6000;0;0;222;179;148820;3;39;77;12;10;2;1;0;0;18;330;18390;59430;15510;20880;6500;6000;0;0;162;144;127040;5;17;10;1;0;2;0;0;0;25;944;7276;6470;1080;0;6010;0;0;0;60;35;21780;
500020305000008;1;1;37;105;43;18;12;3;1;0;44;250;18091;79108;56739;36544;41610;18000;9980;0;264;220;260322;1;22;78;35;14;10;3;1;0;26;250;10670;60239;46039;27844;35610;18000;9980;0;190;164;208632;0;15;27;8;4;2;0;0;0;18;0;7421;18869;10700;8700;6000;0;0;0;74;56;51690;1;37;105;43;18;12;3;1;0;44;250;18091;79108;56739;36544;41610;18000;9980;0;264;220;260322;1;22;78;35;14;10;3;1;0;26;250;10670;60239;46039;27844;35610;18000;9980;0;190;164;208632;0;15;27;8;4;2;0;0;0;18;0;7421;18869;10700;8700;6000;0;0;0;74;56;51690;
500020305000009;1;7;52;57;8;10;1;0;0;0;47;1036;24635;43221;10960;19600;5000;0;0;0;182;135;104452;0;28;41;7;6;1;0;0;0;11;0;14150;31378;9900;11600;5000;0;0;0;94;83;72028;7;24;16;1;4;0;0;0;0;36;1036;10485;11843;1060;8000;0;0;0;0;88;52;32424;7;52;57;8;10;1;0;0;0;47;1036;24635;43221;10960;19600;5000;0;0;0;182;135;104452;0;28;41;7;6;1;0;0;0;11;0;14150;31378;9900;11600;5000;0;0;0;94;83;72028;7;24;16;1;4;0;0;0;0;36;1036;10485;11843;1060;8000;0;0;0;0;88;52;32424;
500020305000010;1;1;51;60;41;27;29;1;2;6;23;200;25424;50560;55840;54250;114200;6000;19000;85500;241;218;410974;0;29;39;31;20;25;1;2;6;2;0;14544;33440;42500;40800;102500;6000;19000;85500;155;153;344284;1;22;21;10;7;4;0;0;0;21;200;10880;17120;13340;13450;11700;0;0;0;86;65;66690;1;51;60;41;27;29;1;2;6;22;200;25424;50560;55840;54250;114200;6000;19000;85500;240;218;410974;0;29;39;31;20;25;1;2;6;1;0;14544;33440;42500;40800;102500;6000;19000;85500;154;153;344284;1;22;21;10;7;4;0;0;0;21;200;10880;17120;13340;13450;11700;0;0;0;86;65;66690;
