Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
510010205000001;1;0;356664;356664;0;4;39;72;90;51;12;3;2;1;15;
510010205000002;1;0;378461;378461;0;12;27;60;71;42;17;8;4;1;0;
510010205000003;1;0;229617;229617;0;0;8;37;73;20;6;4;4;1;1;
510010205000004;8;0;33470;33470;0;4;7;18;13;2;0;0;0;0;6;
510010205000005;8;0;94676;94676;0;8;11;40;54;7;1;1;0;0;66;
510010205000006;8;0;84746;84746;0;2;19;24;38;11;1;0;0;0;14;
510010205000007;8;0;108063;108063;0;9;27;38;52;7;2;0;0;0;23;
510010207000001;1;0;128612;128612;0;1;11;25;46;15;4;1;2;0;2;
510010207000002;8;0;77739;77739;0;3;21;23;24;11;1;1;1;0;0;
510010207000003;8;0;38044;38044;0;9;17;12;20;2;1;0;0;0;18;
510010210000001;1;1;113842;112852;990;1;5;32;47;14;1;1;0;0;6;
510010210000002;8;0;138317;138317;0;3;22;69;60;6;4;1;1;0;8;
510020105000001;1;0;790417;790417;0;0;3;10;43;63;35;26;13;9;0;
510020105000002;1;0;707429;707429;0;1;2;22;80;97;39;20;13;2;20;
510020105000003;1;0;440850;440850;0;1;8;37;91;72;20;7;4;0;7;
510020105000004;1;1;523271;522971;300;0;12;36;116;78;17;6;3;2;11;
510020105000005;1;1;358755;357755;1000;3;4;32;82;68;9;2;3;1;8;
510020105000006;1;3;980931;978461;2470;1;5;34;89;135;35;34;16;6;10;
510020105000007;1;0;296818;296818;0;3;17;43;74;58;6;1;2;0;10;
510020105000008;1;0;407800;407800;0;2;6;30;66;78;23;10;3;1;7;
510020105000009;1;0;96909;96909;0;1;2;7;17;23;2;1;1;0;0;
510020105000010;1;0;41230;41230;0;0;2;7;13;8;0;0;0;0;3;
510020105000011;1;0;123049;123049;0;0;2;11;22;18;6;3;1;0;1;
510020105000012;1;0;397750;397750;0;0;0;1;12;33;18;16;13;2;9;
510020105000013;1;0;462178;462178;0;0;2;11;37;35;29;21;10;3;2;
510020105000014;1;0;436531;436531;0;2;0;11;35;62;18;13;15;2;0;
510020105000015;1;0;989531;989531;0;0;1;7;51;81;47;33;17;9;4;
510020105000016;1;0;586035;586035;0;2;9;42;141;99;16;7;4;1;5;
510020105000017;1;0;95808;95808;0;2;5;22;25;17;1;0;2;0;1;
510020105000018;1;0;266732;266732;0;2;10;53;99;44;5;1;1;0;3;
510020105000019;8;1;242284;241484;800;0;5;24;63;46;6;6;2;0;2;
510020105000020;8;0;35855;35855;0;0;1;3;7;6;0;0;0;1;0;
510020105000021;8;0;106388;106388;0;0;3;18;28;16;3;1;2;0;8;
510020105000022;8;0;151455;151455;0;0;4;25;48;15;1;2;0;1;0;
510020105000023;8;0;55919;55919;0;0;0;4;19;10;1;0;3;0;2;
510020105000024;8;0;58730;58730;0;0;2;9;7;14;5;1;0;0;1;
510020105000025;8;0;47676;47676;0;3;4;21;21;5;1;1;1;0;6;
510020105000026;8;0;90719;90719;0;0;5;12;32;10;1;3;3;0;0;
510020105000027;1;0;627773;627773;0;0;0;3;22;51;23;27;15;1;9;
510020105000028;1;0;346880;346880;0;1;11;50;112;56;10;3;1;0;8;
510020105000029;1;0;283047;283047;0;5;20;56;80;48;8;1;0;0;6;
510020105000030;1;0;479103;479103;0;0;1;9;34;73;29;20;4;1;0;
510020105000031;1;0;277036;277036;0;1;12;63;92;49;4;4;0;0;4;
510020105000032;1;5;367196;359696;7500;2;11;45;74;62;18;7;1;2;5;
510020105000033;1;4;642057;639835;2222;4;13;45;120;86;22;16;9;1;7;
510020105000034;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
510020105000035;2;0;224393;224393;0;0;3;17;38;38;9;11;1;1;1;
510020105000036;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
510020105000037;1;0;11335;11335;0;0;1;1;5;3;0;0;0;0;1;
510020105000038;8;0;10332;10332;0;1;8;1;2;0;0;0;0;0;0;
510020105000039;8;0;4092;4092;0;2;1;3;0;0;0;0;0;0;0;
510020105000040;8;0;7528;7528;0;3;4;1;1;0;0;0;0;0;2;
510020105000041;8;0;11390;11390;0;0;0;0;4;1;0;0;1;0;0;
510020115000001;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
510020115000002;8;1;84625;84115;510;0;0;16;28;10;6;0;1;0;4;
510020115000003;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
510020115000005;8;0;221933;221933;0;3;17;50;79;25;6;2;1;0;12;
510020125000001;1;0;74075;74075;0;1;5;12;23;14;3;3;0;0;2;
510020125000002;8;0;160774;160774;0;3;2;32;48;20;7;1;2;0;19;
510020125000003;8;0;63997;63997;0;0;1;5;24;13;1;0;1;0;3;
510020125000004;8;3;103456;102286;1170;1;8;30;45;15;3;0;0;0;0;
510025005000001;1;0;481772;481772;0;0;3;24;46;48;20;9;9;2;2;
510025005000002;1;5;809345;799715;9630;1;3;12;34;63;27;22;11;5;2;
510025005000003;1;6;428192;419347;8845;0;2;37;92;67;13;13;2;0;8;
510025005000004;1;3;438295;434275;4020;2;6;34;88;55;15;16;11;0;9;
510025005000005;1;3;612055;605413;6642;1;5;21;71;75;28;13;14;3;4;
510025005000006;1;0;383870;383870;0;2;14;37;82;62;19;2;4;0;2;
510025005000007;1;4;503442;493382;10060;0;8;32;73;62;21;10;7;2;1;
510025005000008;1;0;450923;450923;0;2;5;21;49;53;17;15;10;6;15;
510025005000009;1;2;592305;586285;6020;2;4;15;59;63;22;25;7;4;1;
510025005000010;1;0;568801;568801;0;0;1;11;45;54;25;22;14;2;1;
510025005000011;1;0;514475;514475;0;0;0;9;26;50;20;17;12;4;5;
510025005000012;1;0;391159;391159;0;0;2;7;25;30;15;15;9;2;4;
510025005000013;1;0;871721;871721;0;0;1;24;71;92;24;28;16;8;9;
510025005000014;1;0;877256;877256;0;1;5;22;72;80;37;30;17;4;15;
510025005000015;1;0;695275;695275;0;1;2;5;25;43;22;13;22;8;4;
510025005000016;1;1;661191;659991;1200;1;6;48;94;88;30;17;8;3;5;
510025005000017;1;0;409630;409630;0;1;13;43;72;67;16;4;6;0;1;
510025005000018;1;3;231544;229284;2260;1;2;25;59;38;7;4;0;1;9;
510025005000019;1;2;195336;188536;6800;1;11;33;66;27;7;3;1;0;2;
510025005000020;1;0;321602;321602;0;3;19;44;92;64;10;0;2;0;8;
510025005000021;1;1;394944;393674;1270;2;9;53;102;59;18;9;3;0;0;
510025005000022;1;0;197394;197394;0;0;7;21;51;26;5;2;1;0;4;
510025005000023;1;1;513085;512585;500;3;15;65;133;82;10;2;2;2;13;
510025005000024;1;3;411879;408669;3210;1;7;41;87;70;19;5;1;1;2;
510025005000025;1;0;208222;208222;0;0;10;31;52;28;6;5;3;0;4;
510025005000026;1;2;270936;269936;1000;0;3;19;48;53;11;4;2;0;4;
510025005000027;1;1;390592;390082;510;3;2;30;72;51;16;8;0;2;6;
510025005000028;1;0;482733;482733;0;0;6;55;113;92;19;6;3;0;3;
510025005000029;1;0;317435;317435;0;1;6;28;59;52;12;6;2;0;9;
510025005000030;1;0;422106;422106;0;0;5;24;82;53;15;11;6;1;6;
510025005000031;2;0;374061;374061;0;3;17;81;124;52;8;4;2;0;2;
510025005000032;2;0;99716;99716;0;2;2;13;16;17;4;4;0;0;1;
