Cod_setor;Setor_Precoleta;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216;V217;V218;V219;V220;V221;V222;V223;V224;V225;V226;V227;V228;V229;V230;V231;V232;V233;V234;V235;V236;V237;V238;V239;V240;V241;V242;V243;V244;V245;V246;V247;V248;V249;V250;V251;V252;V253;V254;V255;V256;V257;V258;V259;V260;V261;V262;V263;V264;V265;V266;V267;V268;V269;V270;V271;V272;V273;V274;V275;V276;V277;V278;V279;V280;V281;V282;V283;V284;V285;V286;V287;V288;V289;V290;V291;V292;V293;V294;V295;V296;V297;V298;V299;V300;V301;V302;V303;V304;V305;V306;V307;V308;V309;V310;V311;V312;V313;V314;V315;V316;V317;V318;V319;V320;V321;V322;V323;V324;V325;V326;V327;V328;V329;V330;V331;V332;V333;V334;V335;V336;V337;V338;V339;V340;V341;V342;V343;V344;V345;V346;V347;V348;V349;V350;V351;V352;V353;V354;V355;V356;V357;V358;V359;V360;V361;V362;V363;V364;V365;V366;V367;V368;V369;V370;V371;V372;V373;V374;V375;V376;V377;V378;V379;V380;V381;V382;V383;V384;V385;V386;V387;V388;V389;V390;V391;V392;V393;V394;V395;V396;V397;V398;V399;V400;V401;V402;V403;V404;V405;V406;V407;V408;V409;V410;V411;V412;V413;V414;V415;V416;V417;V418;V419;V420;V421
510010205000001;1;0;3;78;207;0;0;3;0;134;151;0;0;1;2;69;216;0;0;0;3;0;285;0;0;1;2;70;215;0;0;0;3;0;285;0;0;0;3;0;285;0;0;1;2;44;241;0;0;0;3;0;285;0;0;0;3;24;261;0;0;7;36;13;59;29;61;16;35;9;8;4;11;19;24;37;35;38;52;25;26;9;8;9;6;4;39;10;62;27;63;19;32;7;10;3;12;0;43;0;72;0;90;0;51;0;17;0;15;4;39;10;62;27;63;19;32;8;9;3;12;0;43;0;72;0;90;0;51;0;17;0;15;0;43;0;72;0;90;0;51;0;17;0;15;7;36;5;67;21;69;6;45;3;14;3;12;0;43;0;72;0;90;0;51;0;17;0;15;4;39;8;64;3;87;7;44;0;17;2;13;50;140;28;70;81;109;56;42;43;147;27;71;0;190;0;98;43;147;28;70;0;190;0;98;0;190;0;98;26;164;19;79;0;190;0;98;15;175;9;89
510010205000002;1;0;1;60;181;0;0;1;0;131;110;0;0;0;1;97;144;0;0;0;1;0;241;0;0;0;1;88;153;0;0;0;1;0;241;0;0;0;1;0;241;0;0;0;1;49;192;0;0;0;1;10;231;0;0;0;1;9;232;0;0;1;38;8;52;16;55;21;21;14;16;0;0;21;18;30;30;36;35;25;17;20;10;0;0;18;21;28;32;20;51;18;24;13;17;0;0;0;39;0;60;0;71;0;42;0;30;0;0;13;26;24;36;20;51;18;24;13;17;0;0;0;39;0;60;0;71;0;42;0;30;0;0;0;39;0;60;0;71;0;42;0;30;0;0;1;38;6;54;13;58;16;26;13;17;0;0;4;35;2;58;4;67;0;42;0;30;0;0;1;38;1;59;4;67;2;40;1;29;0;0;41;130;19;52;87;84;45;26;65;106;32;39;0;171;0;71;59;112;29;42;0;171;0;71;0;171;0;71;34;137;15;56;9;162;1;70;8;163;1;70
510010205000003;1;0;0;71;83;0;0;0;0;77;77;0;0;0;0;39;115;0;0;0;0;0;154;0;0;0;0;36;118;0;0;0;0;6;148;0;0;0;0;0;154;0;0;0;0;1;153;0;0;0;0;0;154;0;0;0;0;30;124;0;0;2;6;15;22;33;40;11;9;10;5;0;1;4;4;16;21;36;37;14;6;7;8;0;1;1;7;6;31;17;56;9;11;6;9;0;1;0;8;0;37;0;73;0;20;0;15;0;1;1;7;5;32;17;56;8;12;5;10;0;1;0;8;0;37;4;69;1;19;1;14;0;1;0;8;0;37;0;73;0;20;0;15;0;1;0;8;0;37;0;73;0;20;1;14;0;1;0;8;0;37;0;73;0;20;0;15;0;1;1;7;7;30;15;58;5;15;2;13;0;1;48;64;23;19;58;54;19;23;25;87;14;28;0;112;0;42;23;89;13;29;1;111;5;37;0;112;0;42;1;111;0;42;0;112;0;42;23;89;7;35
510010205000004;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510010205000005;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510010205000006;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510010205000007;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510010207000001;1;0;2;0;105;0;0;1;1;51;54;0;0;0;2;34;71;0;0;0;2;0;105;0;0;0;2;29;76;0;0;0;2;0;105;0;0;0;2;0;105;0;0;0;2;0;105;0;0;0;2;0;105;0;0;0;2;0;105;0;0;0;12;0;25;0;46;0;15;0;7;0;2;7;5;10;15;23;23;7;8;5;2;0;2;2;10;8;17;16;30;6;9;2;5;0;2;0;12;0;25;0;46;0;15;0;7;0;2;2;10;8;17;12;34;5;10;2;5;0;2;0;12;0;25;0;46;0;15;0;7;0;2;0;12;0;25;0;46;0;15;0;7;0;2;0;12;0;25;0;46;0;15;0;7;0;2;0;12;0;25;0;46;0;15;0;7;0;2;0;12;0;25;0;46;0;15;0;7;0;2;0;82;0;25;41;41;11;14;25;57;9;16;0;82;0;25;22;60;7;18;0;82;0;25;0;82;0;25;0;82;0;25;0;82;0;25;0;82;0;25
510010207000002;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510010207000003;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
