Cod_setor;Situacao_setor;V422;V423;V424;V425;V426;V427;V428;V429;V430;V431;V432;V433;V434;V435;V436;V437;V438;V439;V440;V441;V442;V443;V444;V445;V446;V447;V448;V449;V450;V451;V452;V453;V454;V455;V456;V457;V458;V459;V460;V461;V462;V463;V464;V465;V466;V467;V468;V469;V470;V471;V472;V473;V474;V475;V476;V477;V478;V479;V480;V481;V482;V483;V484;V485;V486;V487;V488;V489;V490;V491;V492;V493;V494;V495;V496;V497;V498;V499;V500;V501;V502;V503;V504;V505;V506;V507;V508;V509;V510;V511;V512;V513;V514;V515;V516;V517;V518;V519;V520;V521;V522;V523;V524;V525;V526;V527;V528;V529;V530;V531;V532;V533;V534;V535;V536;V537;V538;V539;V540;V541;V542;V543;V544;V545;V546;V547;V548;V549;V550;V551;V552;V553;V554;V555;V556;V557;V558;V559;V560;V561;V562;V563;V564;V565;V566;V567;V568;V569;V570;V571;V572;V573;V574;V575;V576;V577;V578;V579;V580;V581;V582;V583;V584;V585;V586;V587;V588;V589;V590;V591;V592;V593;V594;V595;V596;V597;V598;V599;V600;V601;V602;V603;V604;V605;V606;V607;V608;V609;V610;V611;V612;V613;V614;V615;V616;V617;V618;V619;V620;V621;V622
510010205000001;1;987;225;612;14;58;17;56;403;434;32;40;30;43;172;665;26;46;32;41;0;837;0;72;0;73;175;662;26;46;32;41;0;837;0;72;0;73;0;837;0;72;0;73;119;718;7;65;20;53;0;837;0;72;0;73;68;769;6;66;3;70;256;726;0;0;465;517;0;0;230;752;0;0;0;982;0;0;233;749;0;0;0;982;0;0;0;982;0;0;146;836;0;0;0;982;0;0;77;905;0;0;1;9;0;0;9;2;9;1;0;0;4;7;2;8;0;0;0;11;0;10;0;0;0;11;2;8;0;0;0;11;0;10;0;0;0;11;0;10;0;0;0;11;4;6;0;0;0;11;0;10;0;0;0;11;0;10;0;0;0;11;250;667;0;5;432;485;5;0;224;693;0;5;0;917;0;5;227;690;0;5;0;917;0;5;0;917;0;5;142;775;0;5;0;917;0;5;63;854;0;5
510010205000002;1;856;163;594;24;36;14;25;405;352;48;12;25;14;334;423;29;31;14;25;0;757;0;60;0;39;293;464;29;31;14;25;0;757;0;60;0;39;0;757;0;60;0;39;134;623;23;37;14;25;39;718;0;60;0;39;18;739;11;49;0;39;201;655;0;0;478;378;0;0;377;479;0;0;0;856;0;0;336;520;0;0;0;856;0;0;0;856;0;0;171;685;0;0;39;817;0;0;29;827;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;201;655;0;0;478;378;0;0;377;479;0;0;0;856;0;0;336;520;0;0;0;856;0;0;0;856;0;0;171;685;0;0;39;817;0;0;29;827;0;0
510010205000003;1;437;168;236;9;9;14;1;196;208;8;10;10;5;90;314;2;16;6;9;0;404;0;18;0;15;83;321;2;16;4;11;4;400;2;16;1;14;0;404;0;18;0;15;4;400;0;18;0;15;0;404;0;18;0;15;91;313;0;18;0;15;191;246;0;0;214;223;0;0;98;339;0;0;0;437;0;0;89;348;0;0;7;430;0;0;0;437;0;0;4;433;0;0;0;437;0;0;91;346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191;242;0;0;214;219;0;0;98;335;0;0;0;433;0;0;89;344;0;0;7;426;0;0;0;433;0;0;4;429;0;0;0;433;0;0;91;342;0;0
510010205000004;8;171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510010205000005;8;502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510010205000006;8;364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510010205000007;8;531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510010207000001;1;318;0;285;0;20;0;13;147;138;7;13;4;9;91;194;0;20;7;6;0;285;0;20;0;13;79;206;0;20;7;6;0;285;0;20;0;13;0;285;0;20;0;13;0;285;0;20;0;13;0;285;0;20;0;13;0;285;0;20;0;13;0;318;0;0;158;160;0;0;98;220;0;0;0;318;0;0;86;232;0;0;0;318;0;0;0;318;0;0;0;318;0;0;0;318;0;0;0;318;0;0;0;0;0;6;0;0;0;0;4;2;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;309;0;0;158;151;0;0;98;211;0;0;0;309;0;0;86;223;0;0;0;309;0;0;0;309;0;0;0;309;0;0;0;309;0;0;0;309;0;0
510010207000002;8;268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510010207000003;8;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510010210000001;1;328;0;322;0;0;0;6;259;63;0;0;3;3;48;274;0;0;1;5;0;322;0;0;0;6;42;280;0;0;1;5;0;322;0;0;0;6;0;322;0;0;0;6;4;318;0;0;0;6;0;322;0;0;0;6;10;312;0;0;0;6;0;328;0;0;262;66;0;0;49;279;0;0;0;328;0;0;43;285;0;0;0;328;0;0;0;328;0;0;4;324;0;0;0;328;0;0;10;318;0;0;0;0;0;72;0;0;0;0;52;20;0;0;0;0;12;60;0;0;0;0;0;72;0;0;0;0;6;66;0;0;0;0;0;72;0;0;0;0;0;72;0;0;0;0;0;72;0;0;0;0;0;72;0;0;0;0;0;72;0;0;0;1;0;320;1;0;255;65;0;1;49;271;0;1;0;320;0;1;43;277;0;1;0;320;0;1;0;320;0;1;4;316;0;1;0;320;0;1;10;310
510010210000002;8;523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510020105000001;1;630;118;249;44;203;8;8;367;0;247;0;16;0;367;0;247;0;16;0;247;120;181;66;11;5;367;0;247;0;16;0;0;367;0;247;0;16;22;345;4;243;0;16;362;5;245;2;16;0;0;367;0;247;0;16;0;367;0;247;0;16;161;376;9;83;537;0;92;0;537;0;92;0;383;154;55;37;537;0;92;0;0;537;0;92;22;515;4;88;530;7;92;0;0;537;0;92;0;537;0;92;4;15;14;55;0;0;19;0;69;0;0;0;19;0;69;0;0;0;12;7;60;9;0;0;19;0;69;0;0;0;0;19;0;69;0;0;0;19;5;64;0;0;16;3;67;2;0;0;0;19;0;69;0;0;0;19;0;69;0;0;170;444;0;0;614;0;0;0;614;0;0;0;423;191;0;0;614;0;0;0;0;614;0;0;26;588;0;0;607;7;0;0;0;614;0;0;0;614;0;0
