Cod_setor;Situacao_setor;V623;V624;V625;V626;V627;V628;V629;V630;V631;V632;V633;V634;V635;V636;V637;V638;V639;V640;V641;V642;V643;V644;V645;V646;V647;V648;V649;V650;V651;V652;V653;V654;V655;V656;V657;V658;V659;V660;V661;V662;V663;V664;V665;V666;V667;V668;V669;V670;V671;V672;V673;V674;V675;V676;V677;V678;V679;V680;V681;V682;V683;V684;V685;V686;V687;V688;V689;V690;V691;V692;V693;V694;V695;V696;V697;V698;V699;V700;V701;V702;V703;V704;V705;V706;V707;V708;V709;V710;V711;V712;V713;V714;V715;V716;V717;V718;V719;V720;V721;V722;V723;V724;V725;V726;V727;V728;V729;V730;V731;V732;V733;V734;V735;V736;V737;V738;V739;V740;V741;V742;V743;V744;V745;V746;V747;V748;V749;V750;V751;V752;V753;V754;V755;V756;V757;V758;V759;V760;V761;V762;V763;V764;V765;V766;V767;V768;V769;V770;V771;V772;V773;V774;V775;V776;V777;V778;V779;V780;V781;V782;V783;V784;V785;V786;V787;V788;V789;V790;V791;V792;V793;V794;V795;V796;V797;V798;V799;V800;V801;V802;V803;V804;V805;V806;V807;V808;V809;V810;V811;V812;V813;V814;V815;V816;V817;V818;V819;V820;V821;V822;V823;V824;V825;V826;V827;V828;V829;V830;V831;V832;V833;V834;V835;V836;V837;V838;V839;V840;V841;V842
510010205000001;1;0;9;256;717;0;0;9;0;456;517;0;0;2;7;228;745;0;0;0;9;0;973;0;0;2;7;231;742;0;0;0;9;0;973;0;0;0;9;0;973;0;0;4;5;142;831;0;0;0;9;0;973;0;0;0;9;77;896;0;0;36;172;57;223;78;167;47;104;23;21;15;39;93;115;136;144;103;142;82;69;23;21;28;26;23;185;40;240;76;169;60;91;18;26;13;41;0;208;0;280;0;245;0;151;0;44;0;54;23;185;40;240;76;169;60;91;21;23;13;41;0;208;0;280;0;245;0;151;0;44;0;54;0;208;0;280;0;245;0;151;0;44;0;54;36;172;18;262;58;187;15;136;6;38;13;41;0;208;0;280;0;245;0;151;0;44;0;54;20;188;26;254;8;237;19;132;0;44;4;50;173;520;83;206;308;385;157;132;156;537;74;215;0;693;0;289;156;537;77;212;0;693;0;289;0;693;0;289;91;602;55;234;0;693;0;289;48;645;29;260
510010205000002;1;0;3;201;652;0;0;3;0;475;378;0;0;0;3;377;476;0;0;0;3;0;853;0;0;0;3;336;517;0;0;0;3;0;853;0;0;0;3;0;853;0;0;0;3;171;682;0;0;0;3;39;814;0;0;0;3;29;824;0;0;6;178;34;197;52;176;68;67;41;37;0;0;102;82;123;108;113;115;82;53;58;20;0;0;92;92;121;110;63;165;59;76;42;36;0;0;0;184;0;231;0;228;0;135;0;78;0;0;67;117;105;126;63;165;59;76;42;36;0;0;0;184;0;231;0;228;0;135;0;78;0;0;0;184;0;231;0;228;0;135;0;78;0;0;6;178;28;203;42;186;56;79;39;39;0;0;19;165;8;223;12;216;0;135;0;78;0;0;4;180;1;230;17;211;5;130;2;76;0;0;146;487;55;168;332;301;146;77;263;370;114;109;0;633;0;223;239;394;97;126;0;633;0;223;0;633;0;223;128;505;43;180;37;596;2;221;26;607;3;220
510010205000003;1;0;0;191;246;0;0;0;0;214;223;0;0;0;0;98;339;0;0;0;0;0;437;0;0;0;0;89;348;0;0;0;0;7;430;0;0;0;0;0;437;0;0;0;0;4;433;0;0;0;0;0;437;0;0;0;0;91;346;0;0;5;24;52;80;86;102;27;25;21;10;0;5;10;19;60;72;95;93;36;16;13;18;0;5;1;28;23;109;40;148;21;31;13;18;0;5;0;29;0;132;0;188;0;52;0;31;0;5;1;28;21;111;40;148;18;34;9;22;0;5;0;29;0;132;4;184;2;50;1;30;0;5;0;29;0;132;0;188;0;52;0;31;0;5;0;29;0;132;0;188;0;52;4;27;0;5;0;29;0;132;0;188;0;52;0;31;0;5;4;25;23;109;43;145;16;36;5;26;0;5;137;204;54;42;177;164;37;59;73;268;25;71;0;341;0;96;67;274;22;74;1;340;6;90;0;341;0;96;4;337;0;96;0;341;0;96;70;271;21;75
510010205000004;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510010205000005;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510010205000006;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510010205000007;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510010207000001;1;0;6;0;312;0;0;4;2;154;158;0;0;0;6;98;214;0;0;0;6;0;312;0;0;0;6;86;226;0;0;0;6;0;312;0;0;0;6;0;312;0;0;0;6;0;312;0;0;0;6;0;312;0;0;0;6;0;312;0;0;0;57;0;82;0;111;0;46;0;17;0;5;35;22;35;47;53;58;23;23;12;5;0;5;6;51;25;57;39;72;23;23;5;12;0;5;0;57;0;82;0;111;0;46;0;17;0;5;6;51;25;57;32;79;18;28;5;12;0;5;0;57;0;82;0;111;0;46;0;17;0;5;0;57;0;82;0;111;0;46;0;17;0;5;0;57;0;82;0;111;0;46;0;17;0;5;0;57;0;82;0;111;0;46;0;17;0;5;0;57;0;82;0;111;0;46;0;17;0;5;0;249;0;69;128;121;30;39;78;171;20;49;0;249;0;69;69;180;17;52;0;249;0;69;0;249;0;69;0;249;0;69;0;249;0;69;0;249;0;69
510010207000002;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510010207000003;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
