Cod_setor;Situacao_setor;V001;V002;V003
510010205000001;1;177;2;0
510010205000002;1;164;0;0
510010205000003;1;63;0;0
510010205000004;8;28;0;0
510010205000005;8;80;0;0
510010205000006;8;70;1;0
510010205000007;8;102;0;0
510010207000001;1;49;0;0
510010207000002;8;40;0;0
510010207000003;8;32;0;0
510010210000001;1;46;0;0
510010210000002;8;71;0;1
510020105000001;1;98;0;0
510020105000002;1;136;0;0
510020105000003;1;154;1;0
510020105000004;1;162;0;0
510020105000005;1;155;0;0
510020105000006;1;202;1;0
510020105000007;1;147;3;0
510020105000008;1;144;0;0
510020105000009;1;28;0;0
510020105000010;1;22;2;0
510020105000011;1;48;0;0
510020105000012;1;37;0;0
510020105000013;1;59;0;0
510020105000014;1;66;0;0
510020105000015;1;109;0;0
510020105000016;1;205;3;0
510020105000017;1;47;1;0
510020105000018;1;152;0;0
510020105000019;8;72;1;0
510020105000020;8;11;0;1
510020105000021;8;41;0;0
510020105000022;8;74;0;0
510020105000023;8;18;0;0
510020105000024;8;24;0;0
510020105000025;8;23;0;0
510020105000026;8;27;0;0
510020105000027;1;57;0;0
510020105000028;1;169;2;0
510020105000029;1;171;1;0
510020105000030;1;105;0;0
510020105000031;1;169;0;0
510020105000032;1;156;1;0
510020105000033;1;168;0;0
510020105000034;1;2;"X";"X"
510020105000035;2;65;1;0
510020105000036;1;0;"X";"X"
510020105000037;1;9;0;0
510020105000038;8;32;0;0
510020105000039;8;16;0;0
510020105000040;8;38;3;0
510020105000041;8;0;0;0
510020115000001;1;2;"X";"X"
510020115000002;8;41;1;0
510020115000003;8;25;"X";"X"
510020115000005;8;80;1;0
510020125000001;1;38;0;0
510020125000002;8;85;0;0
510020125000003;8;26;1;0
510020125000004;8;49;0;0
510025005000001;1;79;0;0
510025005000002;1;86;0;0
510025005000003;1;117;1;0
510025005000004;1;89;0;0
510025005000005;1;97;0;0
510025005000006;1;120;1;0
510025005000007;1;108;0;0
510025005000008;1;89;0;0
510025005000009;1;77;1;0
510025005000010;1;74;0;0
510025005000011;1;54;0;0
510025005000012;1;42;0;0
510025005000013;1;113;0;0
510025005000014;1;135;0;0
510025005000015;1;80;2;0
510025005000016;1;147;1;0
510025005000017;1;146;1;0
510025005000018;1;90;0;0
510025005000019;1;82;1;0
510025005000020;1;174;1;0
510025005000021;1;133;0;0
510025005000022;1;63;0;0
510025005000023;1;179;0;0
510025005000024;1;119;1;0
510025005000025;1;100;0;0
510025005000026;1;71;0;0
510025005000027;1;96;0;0
510025005000028;1;160;1;0
510025005000029;1;106;0;0
510025005000030;1;118;0;0
510025005000031;2;243;0;0
510025005000032;2;35;0;0
510025005000033;1;172;0;0
510025005000034;2;25;0;0
510025005000035;1;224;1;1
510025005000036;2;164;0;0
510025005000037;2;39;0;0
510025005000038;1;166;2;0
510025005000039;1;138;1;0
510025005000040;1;66;0;0
510025005000041;1;94;0;0
510025005000042;1;156;1;0
510025005000043;1;135;0;0
510025005000044;1;88;1;0
510025005000045;1;103;0;0
510025005000046;1;112;0;0
510025005000047;1;115;0;0
510025005000048;1;109;1;0
510025005000049;1;161;0;0
510025005000050;8;56;0;0
510025005000051;8;25;0;0
510025005000052;8;43;0;0
510025005000053;8;40;0;0
510025005000054;8;34;0;0
510025005000055;8;51;0;0
510025005000056;8;50;0;0
510025005000057;8;16;0;0
510025005000058;8;48;0;0
510025005000059;8;46;0;0
510025005000060;8;42;0;0
510025005000061;8;63;0;0
510025005000062;8;64;0;0
510025005000063;5;64;1;0
510025005000064;8;76;0;0
510025005000065;8;36;0;0
510025005000066;8;46;0;0
510025005000067;8;74;0;0
510025005000068;8;55;1;0
510025005000069;1;40;0;0
510025005000070;1;115;0;0
510025005000071;1;165;0;0
510025005000072;1;95;0;0
510025005000073;1;96;0;0
510025005000074;1;126;0;0
510025005000075;1;166;2;0
510025005000076;1;121;0;0
510025005000077;1;125;0;0
510025005000078;1;91;0;0
510025005000079;1;51;0;0
510025005000080;1;63;0;0
510025005000081;1;91;0;0
510025005000082;1;16;0;0
510025005000083;1;58;0;0
510025005000084;1;106;2;0
510025005000085;1;106;0;0
510025005000086;1;111;1;0
510025005000087;1;148;0;0
510025005000088;1;76;1;0
510025005000089;8;25;0;0
510025005000090;8;119;0;0
510030005000001;1;84;0;0
510030005000002;1;133;0;0
510030005000003;1;163;0;0
510030005000004;1;137;0;0
510030005000005;1;354;1;0
510030005000006;1;167;0;0
510030005000007;1;185;0;0
510030005000008;2;11;0;0
510030005000009;1;1;0;0
510030005000010;1;45;0;0
510030005000011;1;55;0;0
510030005000012;1;94;0;0
510030005000013;1;93;0;0
510030005000014;2;7;0;0
510030005000015;1;145;0;0
510030005000016;1;22;0;0
510030005000017;1;45;0;0
510030005000018;1;63;1;0
510030005000019;1;39;0;0
510030005000020;1;91;0;0
510030005000021;8;36;0;0
510030005000022;8;25;0;0
510030005000023;8;63;2;0
510030005000024;8;29;0;0
510030005000025;8;20;0;0
510030005000026;8;69;0;0
510030005000027;1;268;0;0
510030005000028;1;103;0;0
510030005000029;1;33;0;0
510030007000001;1;56;0;0
510030007000002;8;41;0;0
510030007000003;8;42;0;0
510035905000001;1;111;1;0
510035905000002;1;160;0;0
510035905000003;1;243;2;0
510035905000004;5;54;2;0
510035905000005;8;356;10;0
510035905000006;8;12;0;0
510035905000007;8;34;0;0
510035905000008;8;98;2;0
510035905000009;1;117;0;0
510040905000001;1;69;0;0
510040905000002;1;117;0;0
510040905000003;1;103;1;0
510040905000004;1;156;0;0
510040905000005;1;103;0;0
510040905000006;1;82;1;0
510040905000007;1;92;0;0
510040905000008;1;275;1;0
510040905000009;1;19;0;0
510040905000010;1;75;0;0
510040905000011;8;70;0;0
510040905000012;8;20;0;0
510040905000013;8;9;0;0
510040905000014;8;20;0;0
510040905000015;8;21;0;0
510040905000016;1;68;0;0
