Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
510010205000001;1;36;222;112;39;24;10;0;1;0;387;6773;111170;94061;52050;49210;34400;0;9000;0;831;444;356664;9;136;76;21;10;5;0;0;0;158;1800;68420;63479;28490;21850;19200;0;0;0;415;257;203239;27;86;36;18;14;5;0;1;0;229;4973;42750;30582;23560;27360;15200;0;9000;0;416;187;153425;36;222;112;39;24;10;0;1;0;387;6773;111170;94061;52050;49210;34400;0;9000;0;831;444;356664;9;136;76;21;10;5;0;0;0;158;1800;68420;63479;28490;21850;19200;0;0;0;415;257;203239;27;86;36;18;14;5;0;1;0;229;4973;42750;30582;23560;27360;15200;0;9000;0;416;187;153425;
510010205000002;1;50;166;109;44;26;17;4;0;1;281;6720;79543;84314;57544;56440;54900;26000;0;13000;698;417;378461;8;89;72;22;15;12;2;0;1;124;1440;42875;56071;29981;32400;40700;14000;0;13000;345;221;230467;42;77;37;22;11;5;2;0;0;157;5280;36668;28243;27563;24040;14200;12000;0;0;353;196;147994;50;166;109;44;26;17;4;0;1;281;6720;79543;84314;57544;56440;54900;26000;0;13000;698;417;378461;8;89;72;22;15;12;2;0;1;124;1440;42875;56071;29981;32400;40700;14000;0;13000;345;221;230467;42;77;37;22;11;5;2;0;0;157;5280;36668;28243;27563;24040;14200;12000;0;0;353;196;147994;
510010205000003;1;29;153;44;26;6;9;1;0;1;114;4923;75360;31641;34503;12000;29390;6800;0;35000;383;269;229617;9;90;25;13;1;7;1;0;1;46;1550;44300;17460;17700;2000;23990;6800;0;35000;193;147;148800;20;63;19;13;5;2;0;0;0;68;3373;31060;14181;16803;10000;5400;0;0;0;190;122;80817;29;153;44;26;6;9;1;0;1;114;4923;75360;31641;34503;12000;29390;6800;0;35000;383;269;229617;9;90;25;13;1;7;1;0;1;46;1550;44300;17460;17700;2000;23990;6800;0;35000;193;147;148800;20;63;19;13;5;2;0;0;0;68;3373;31060;14181;16803;10000;5400;0;0;0;190;122;80817;
510010205000004;8;37;41;8;1;0;0;0;0;0;63;4970;20700;6300;1500;0;0;0;0;0;150;87;33470;17;30;7;0;0;0;0;0;0;27;2200;15090;5300;0;0;0;0;0;0;81;54;22590;20;11;1;1;0;0;0;0;0;36;2770;5610;1000;1500;0;0;0;0;0;69;33;10880;37;41;8;1;0;0;0;0;0;63;4970;20700;6300;1500;0;0;0;0;0;150;87;33470;17;30;7;0;0;0;0;0;0;27;2200;15090;5300;0;0;0;0;0;0;81;54;22590;20;11;1;1;0;0;0;0;0;36;2770;5610;1000;1500;0;0;0;0;0;69;33;10880;
510010205000005;8;14;116;25;5;1;2;0;0;0;271;1379;58586;18731;7080;2000;6900;0;0;0;434;163;94676;1;64;20;4;1;2;0;0;0;147;150;32293;14700;5580;2000;6900;0;0;0;239;92;61623;13;52;5;1;0;0;0;0;0;124;1229;26293;4031;1500;0;0;0;0;0;195;71;33053;14;116;25;5;1;2;0;0;0;271;1379;58586;18731;7080;2000;6900;0;0;0;434;163;94676;1;64;20;4;1;2;0;0;0;147;150;32293;14700;5580;2000;6900;0;0;0;239;92;61623;13;52;5;1;0;0;0;0;0;124;1229;26293;4031;1500;0;0;0;0;0;195;71;33053;
510010205000006;8;29;84;26;11;2;0;0;0;0;149;4716;41276;19734;15020;4000;0;0;0;0;301;152;84746;5;63;18;7;2;0;0;0;0;62;1200;30960;13270;9020;4000;0;0;0;0;157;95;58450;24;21;8;4;0;0;0;0;0;87;3516;10316;6464;6000;0;0;0;0;0;144;57;26296;29;84;26;11;2;0;0;0;0;149;4716;41276;19734;15020;4000;0;0;0;0;301;152;84746;5;63;18;7;2;0;0;0;0;62;1200;30960;13270;9020;4000;0;0;0;0;157;95;58450;24;21;8;4;0;0;0;0;0;87;3516;10316;6464;6000;0;0;0;0;0;144;57;26296;
510010205000007;8;52;142;26;7;1;0;0;0;0;209;6907;69878;19978;8900;2400;0;0;0;0;437;228;108063;20;93;20;5;1;0;0;0;0;122;3550;45594;15616;6350;2400;0;0;0;0;261;139;73510;32;49;6;2;0;0;0;0;0;87;3357;24284;4362;2550;0;0;0;0;0;176;89;34553;52;142;26;7;1;0;0;0;0;209;6907;69878;19978;8900;2400;0;0;0;0;437;228;108063;20;93;20;5;1;0;0;0;0;122;3550;45594;15616;6350;2400;0;0;0;0;261;139;73510;32;49;6;2;0;0;0;0;0;87;3357;24284;4362;2550;0;0;0;0;0;176;89;34553;
510010207000001;1;31;100;30;10;5;6;0;1;0;90;4630;47723;23889;12000;10320;21050;0;9000;0;273;183;128612;9;64;21;5;3;4;0;1;0;42;1862;30350;16769;5850;6520;15250;0;9000;0;149;107;85601;22;36;9;5;2;2;0;0;0;48;2768;17373;7120;6150;3800;5800;0;0;0;124;76;43011;31;100;30;10;5;6;0;1;0;90;4630;47723;23889;12000;10320;21050;0;9000;0;273;183;128612;9;64;21;5;3;4;0;1;0;42;1862;30350;16769;5850;6520;15250;0;9000;0;149;107;85601;22;36;9;5;2;2;0;0;0;48;2768;17373;7120;6150;3800;5800;0;0;0;124;76;43011;
510010207000002;8;36;84;17;2;4;1;1;0;0;87;5621;39822;13366;2530;8100;3100;5200;0;0;232;145;77739;18;54;14;1;4;1;1;0;0;40;3800;25200;10436;1330;8100;3100;5200;0;0;133;93;57166;18;30;3;1;0;0;0;0;0;47;1821;14622;2930;1200;0;0;0;0;0;99;52;20573;36;84;17;2;4;1;1;0;0;87;5621;39822;13366;2530;8100;3100;5200;0;0;232;145;77739;18;54;14;1;4;1;1;0;0;40;3800;25200;10436;1330;8100;3100;5200;0;0;133;93;57166;18;30;3;1;0;0;0;0;0;47;1821;14622;2930;1200;0;0;0;0;0;99;52;20573;
510010207000003;8;56;43;1;0;2;1;0;0;0;99;8644;21400;1000;0;4000;3000;0;0;0;202;103;38044;38;27;0;0;2;1;0;0;0;42;6348;13450;0;0;4000;3000;0;0;0;110;68;26798;18;16;1;0;0;0;0;0;0;57;2296;7950;1000;0;0;0;0;0;0;92;35;11246;56;43;1;0;2;1;0;0;0;99;8644;21400;1000;0;4000;3000;0;0;0;202;103;38044;38;27;0;0;2;1;0;0;0;42;6348;13450;0;0;4000;3000;0;0;0;110;68;26798;18;16;1;0;0;0;0;0;0;57;2296;7950;1000;0;0;0;0;0;0;92;35;11246;
510010210000001;1;20;123;34;8;5;1;0;0;0;97;2128;60860;26828;10800;10626;2600;0;0;0;288;191;113842;4;79;24;5;3;0;0;0;0;38;218;39090;19960;6550;6226;0;0;0;0;153;115;72044;16;44;10;3;2;1;0;0;0;59;1910;21770;6868;4250;4400;2600;0;0;0;135;76;41798;20;123;33;8;5;1;0;0;0;97;2128;60860;25838;10800;10626;2600;0;0;0;287;190;112852;4;79;24;5;3;0;0;0;0;38;218;39090;19960;6550;6226;0;0;0;0;153;115;72044;16;44;9;3;2;1;0;0;0;59;1910;21770;5878;4250;4400;2600;0;0;0;134;75;40808;
