Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194;V195;V196;V197;V198;V199;V200;V201;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216
510010205000001;1;289;0;0;0;0;0;0;0;0;0;1;1;2;0;4;2;5;5;6;8;6;11;7;9;9;10;10;3;4;5;6;7;6;8;4;2;7;7;4;6;3;10;3;6;5;4;5;3;6;1;6;7;6;10;1;5;2;1;3;1;2;4;2;7;0;4;0;0;4;1;1;3;1;0;1;0;3;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;230;0;1;8;30;44;25;25;26;18;11;18;6;10;3;5;190;0;0;0;0;0;0;0;0;0;1;1;2;0;2;2;4;0;5;6;4;9;4;4;8;8;8;3;3;3;5;5;3;7;1;2;5;5;2;3;3;6;2;4;3;3;5;0;3;0;4;4;3;8;1;3;1;0;1;1;1;2;1;4;0;2;0;0;3;1;1;1;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;146;0;1;6;19;31;19;16;17;10;5;11;1;5;3;2
510010205000002;1;242;0;0;0;0;0;0;0;0;0;1;1;2;3;3;1;4;11;6;7;6;5;6;7;7;6;7;4;5;4;4;8;8;3;9;10;5;4;3;6;5;4;4;5;6;1;3;5;1;4;1;4;5;4;3;3;3;0;1;4;1;3;1;0;0;1;4;0;3;0;2;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;206;0;1;9;33;31;24;33;21;13;12;13;5;4;6;1;171;0;0;0;0;0;0;0;0;0;1;1;1;3;3;1;3;8;4;7;6;4;6;5;5;5;5;2;4;4;4;6;6;2;6;6;3;2;1;2;3;4;3;3;3;1;1;4;1;3;1;2;5;2;3;1;3;0;1;1;0;3;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;149;0;1;8;27;25;19;23;10;11;8;10;2;2;3;0
510010205000003;1;154;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;2;0;2;0;1;1;3;5;1;3;1;5;3;1;3;3;0;1;9;5;5;2;1;2;1;3;5;2;8;2;5;0;1;5;6;3;2;1;8;2;6;3;3;3;0;2;1;0;2;2;2;3;1;5;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;0;1;2;4;10;12;6;14;10;8;11;11;1;3;1;112;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;2;0;1;1;2;5;1;3;1;3;3;1;3;3;0;1;9;5;5;1;1;0;1;1;4;1;3;0;5;0;1;3;3;2;2;1;6;2;4;3;1;1;0;0;1;0;2;1;2;1;0;3;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;2;3;9;10;6;13;6;5;7;8;0;1;1
510010205000004;8;50;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;1;0;1;1;0;0;1;0;2;1;1;3;1;5;2;1;2;0;1;2;0;0;2;2;2;0;2;1;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;1;0;1;2;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;1;1;3;3;6;10;3;5;1;4;0;1;3;48;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;1;0;1;1;0;0;1;0;2;1;1;3;1;5;2;1;2;0;1;2;0;0;2;2;2;0;2;1;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;1;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;1;1;3;3;6;10;3;5;1;3;0;1;2
510010205000005;8;188;0;0;0;1;0;0;2;1;1;1;3;1;1;3;0;3;5;5;0;2;3;4;4;3;2;6;3;2;3;2;1;1;1;4;3;4;0;3;1;5;3;3;7;5;1;2;4;2;4;1;4;1;4;6;3;1;2;3;7;6;7;2;5;0;4;3;2;0;1;2;5;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;118;1;4;7;12;12;12;7;11;9;8;9;11;9;3;3;155;0;0;0;1;0;0;0;1;1;1;2;1;1;3;0;3;5;4;0;1;3;4;4;3;2;6;3;2;3;2;1;1;0;3;3;3;0;3;1;3;3;3;7;4;1;2;3;2;4;1;4;1;4;5;3;1;1;3;5;4;2;2;2;0;4;3;0;0;1;1;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;103;1;2;6;11;12;12;6;8;9;7;9;9;6;2;3
510010205000006;8;109;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;2;4;3;3;2;1;0;5;4;2;1;3;5;6;0;2;0;3;3;2;0;1;3;0;2;1;4;2;0;0;2;1;5;0;1;2;1;2;1;1;2;3;2;0;1;0;2;3;0;2;1;0;1;0;0;2;2;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;72;0;0;1;6;8;13;11;5;9;2;7;3;4;1;2;93;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;2;4;3;2;2;1;0;5;4;2;1;3;3;5;0;2;0;3;3;2;0;1;3;0;1;1;4;2;0;0;1;0;3;0;1;1;1;1;0;1;0;3;2;0;1;0;2;3;0;2;1;0;1;0;0;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;65;0;0;1;6;7;13;8;5;8;2;6;3;4;1;1
510010205000007;8;158;0;0;0;0;0;0;0;0;1;0;1;2;3;0;0;6;3;4;3;1;3;3;1;4;4;1;2;2;3;1;3;1;5;5;2;3;1;5;3;3;2;3;3;1;1;0;1;12;5;1;0;2;1;4;7;4;8;1;2;3;3;1;0;2;2;0;1;2;0;0;0;0;1;0;4;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;113;0;1;5;17;13;8;11;11;8;14;10;8;4;2;1;123;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;5;1;1;3;1;3;3;1;3;4;1;1;2;3;0;3;1;4;4;2;3;1;4;3;2;0;3;2;1;1;0;1;11;5;0;0;2;0;4;7;3;5;1;2;3;2;1;0;0;1;0;1;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;3;11;12;6;9;9;5;12;9;6;1;2;0
510010207000001;1;107;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;2;2;1;0;1;1;2;2;3;0;5;0;1;0;4;1;2;5;6;4;0;4;2;2;4;4;1;3;0;6;4;1;3;1;1;3;3;0;3;2;1;1;0;1;3;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;66;1;0;0;4;6;7;6;8;8;7;9;6;1;2;1;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;2;1;0;1;1;1;1;3;0;4;0;1;0;4;1;2;5;6;2;0;3;1;2;3;3;0;1;0;3;4;1;3;1;1;2;3;0;3;2;0;0;0;1;2;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;51;0;0;0;2;5;5;5;8;6;6;6;5;0;2;1
510010207000002;8;85;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;3;2;1;2;0;2;2;2;2;1;1;3;2;3;2;2;2;3;0;1;1;0;4;0;1;1;1;2;5;2;0;2;2;2;2;0;1;1;1;0;2;0;2;0;0;1;1;1;2;0;1;2;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;41;0;0;1;6;6;7;4;4;2;5;2;1;1;1;1;73;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;3;2;1;2;0;2;1;2;2;1;1;3;2;2;1;1;2;3;0;1;1;0;4;0;1;1;1;2;5;2;0;2;2;2;2;0;1;1;1;0;2;0;2;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;1;6;5;7;3;4;2;5;2;1;1;1;1
510010207000003;8;79;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;3;0;1;1;2;0;1;0;0;3;2;0;1;1;0;0;0;0;2;1;1;1;1;5;0;1;1;2;2;3;2;5;2;3;1;1;6;1;2;3;0;2;1;0;2;0;2;1;2;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;1;0;3;5;3;7;2;7;5;11;9;1;2;1;0;73;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;3;0;1;1;2;0;1;0;0;3;2;0;1;1;0;0;0;0;2;1;1;1;1;5;0;1;1;2;2;3;2;4;2;1;1;1;6;1;2;3;0;2;1;0;2;0;1;1;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;1;0;2;5;3;7;2;7;5;10;9;1;1;1;0
