Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
510010205000001;1;12;132;73;28;11;4;0;1;0;28;2720;66288;61476;37647;23750;13200;0;9000;0;289;261;214081;6;91;54;19;5;2;0;0;0;13;1350;45840;45240;25790;11650;6900;0;0;0;190;177;136770;6;41;19;9;6;2;0;1;0;15;1370;20448;16236;11857;12100;6300;0;9000;0;99;84;77311;12;132;73;28;11;4;0;1;0;28;2720;66288;61476;37647;23750;13200;0;9000;0;289;261;214081;6;91;54;19;5;2;0;0;0;13;1350;45840;45240;25790;11650;6900;0;0;0;190;177;136770;6;41;19;9;6;2;0;1;0;15;1370;20448;16236;11857;12100;6300;0;9000;0;99;84;77311;
510010205000002;1;12;81;66;30;19;15;3;0;1;15;1856;39534;51091;40184;40240;49100;20000;0;13000;242;227;255005;4;57;55;18;13;12;2;0;1;9;640;27695;42701;24781;27400;40700;14000;0;13000;171;162;190917;8;24;11;12;6;3;1;0;0;6;1216;11839;8390;15403;12840;8400;6000;0;0;71;65;64088;12;81;66;30;19;15;3;0;1;15;1856;39534;51091;40184;40240;49100;20000;0;13000;242;227;255005;4;57;55;18;13;12;2;0;1;9;640;27695;42701;24781;27400;40700;14000;0;13000;171;162;190917;8;24;11;12;6;3;1;0;0;6;1216;11839;8390;15403;12840;8400;6000;0;0;71;65;64088;
510010205000003;1;7;84;23;18;6;9;1;0;1;5;1050;41850;17190;23980;12000;29390;6800;0;35000;154;149;167260;5;63;17;13;1;7;1;0;1;4;700;31320;12070;17700;2000;23990;6800;0;35000;112;108;129580;2;21;6;5;5;2;0;0;0;1;350;10530;5120;6280;10000;5400;0;0;0;42;41;37680;7;84;23;18;6;9;1;0;1;5;1050;41850;17190;23980;12000;29390;6800;0;35000;154;149;167260;5;63;17;13;1;7;1;0;1;4;700;31320;12070;17700;2000;23990;6800;0;35000;112;108;129580;2;21;6;5;5;2;0;0;0;1;350;10530;5120;6280;10000;5400;0;0;0;42;41;37680;
510010205000004;8;11;23;7;0;0;0;0;0;0;9;1552;11730;5300;0;0;0;0;0;0;50;41;18582;9;23;7;0;0;0;0;0;0;9;1200;11730;5300;0;0;0;0;0;0;48;39;18230;2;0;0;0;0;0;0;0;0;0;352;0;0;0;0;0;0;0;0;2;2;352;11;23;7;0;0;0;0;0;0;9;1552;11730;5300;0;0;0;0;0;0;50;41;18582;9;23;7;0;0;0;0;0;0;9;1200;11730;5300;0;0;0;0;0;0;48;39;18230;2;0;0;0;0;0;0;0;0;0;352;0;0;0;0;0;0;0;0;2;2;352;
510010205000005;8;1;79;19;4;0;2;0;0;0;83;90;39733;14520;5580;0;6900;0;0;0;188;105;66823;0;56;18;3;0;2;0;0;0;76;0;28213;13500;4080;0;6900;0;0;0;155;79;52693;1;23;1;1;0;0;0;0;0;7;90;11520;1020;1500;0;0;0;0;0;33;26;14130;1;79;19;4;0;2;0;0;0;83;90;39733;14520;5580;0;6900;0;0;0;188;105;66823;0;56;18;3;0;2;0;0;0;76;0;28213;13500;4080;0;6900;0;0;0;155;79;52693;1;23;1;1;0;0;0;0;0;7;90;11520;1020;1500;0;0;0;0;0;33;26;14130;
510010205000006;8;3;58;20;7;2;0;0;0;0;19;600;28376;14980;9020;4000;0;0;0;0;109;90;56976;2;51;16;7;2;0;0;0;0;15;500;25170;11650;9020;4000;0;0;0;0;93;78;50340;1;7;4;0;0;0;0;0;0;4;100;3206;3330;0;0;0;0;0;0;16;12;6636;3;58;20;7;2;0;0;0;0;19;600;28376;14980;9020;4000;0;0;0;0;109;90;56976;2;51;16;7;2;0;0;0;0;15;500;25170;11650;9020;4000;0;0;0;0;93;78;50340;1;7;4;0;0;0;0;0;0;4;100;3206;3330;0;0;0;0;0;0;16;12;6636;
510010205000007;8;17;84;16;5;1;0;0;0;0;35;3292;41356;12886;6350;2400;0;0;0;0;158;123;66284;13;65;14;4;1;0;0;0;0;26;2778;31854;11486;5100;2400;0;0;0;0;123;97;53618;4;19;2;1;0;0;0;0;0;9;514;9502;1400;1250;0;0;0;0;0;35;26;12666;17;84;16;5;1;0;0;0;0;35;3292;41356;12886;6350;2400;0;0;0;0;158;123;66284;13;65;14;4;1;0;0;0;0;26;2778;31854;11486;5100;2400;0;0;0;0;123;97;53618;4;19;2;1;0;0;0;0;0;9;514;9502;1400;1250;0;0;0;0;0;35;26;12666;
510010207000001;1;8;61;19;6;5;4;0;1;0;3;1580;29022;15190;6900;10320;15250;0;9000;0;107;104;87262;5;48;15;5;3;4;0;1;0;1;1080;22730;11950;5850;6520;15250;0;9000;0;82;81;72380;3;13;4;1;2;0;0;0;0;2;500;6292;3240;1050;3800;0;0;0;0;25;23;14882;8;61;19;6;5;4;0;1;0;3;1580;29022;15190;6900;10320;15250;0;9000;0;107;104;87262;5;48;15;5;3;4;0;1;0;1;1080;22730;11950;5850;6520;15250;0;9000;0;82;81;72380;3;13;4;1;2;0;0;0;0;2;500;6292;3240;1050;3800;0;0;0;0;25;23;14882;
510010207000002;8;16;47;13;2;4;1;1;0;0;1;3040;22300;10306;2530;8100;3100;5200;0;0;85;84;54576;13;40;12;1;4;1;1;0;0;1;2750;18840;9286;1330;8100;3100;5200;0;0;73;72;48606;3;7;1;1;0;0;0;0;0;0;290;3460;1020;1200;0;0;0;0;0;12;12;5970;16;47;13;2;4;1;1;0;0;1;3040;22300;10306;2530;8100;3100;5200;0;0;85;84;54576;13;40;12;1;4;1;1;0;0;1;2750;18840;9286;1330;8100;3100;5200;0;0;73;72;48606;3;7;1;1;0;0;0;0;0;0;290;3460;1020;1200;0;0;0;0;0;12;12;5970;
510010207000003;8;25;28;0;0;2;1;0;0;0;23;4368;13750;0;0;4000;3000;0;0;0;79;56;25118;23;26;0;0;2;1;0;0;0;21;4068;12940;0;0;4000;3000;0;0;0;73;52;24008;2;2;0;0;0;0;0;0;0;2;300;810;0;0;0;0;0;0;0;6;4;1110;25;28;0;0;2;1;0;0;0;23;4368;13750;0;0;4000;3000;0;0;0;79;56;25118;23;26;0;0;2;1;0;0;0;21;4068;12940;0;0;4000;3000;0;0;0;73;52;24008;2;2;0;0;0;0;0;0;0;2;300;810;0;0;0;0;0;0;0;6;4;1110;
510010210000001;1;5;66;20;4;4;1;0;0;0;7;406;33070;16976;5200;8626;2600;0;0;0;107;100;66878;1;53;17;4;3;0;0;0;0;5;68;26460;14860;5200;6226;0;0;0;0;83;78;52814;4;13;3;0;1;1;0;0;0;2;338;6610;2116;0;2400;2600;0;0;0;24;22;14064;5;66;19;4;4;1;0;0;0;7;406;33070;15986;5200;8626;2600;0;0;0;106;99;65888;1;53;17;4;3;0;0;0;0;5;68;26460;14860;5200;6226;0;0;0;0;83;78;52814;4;13;2;0;1;1;0;0;0;2;338;6610;1126;0;2400;2600;0;0;0;23;21;13074;
510010210000002;8;7;112;34;5;3;1;0;0;0;12;1285;56300;27035;7150;6580;5000;0;0;0;174;162;103350;6;97;33;5;2;1;0;0;0;3;1085;48650;26185;7150;5000;5000;0;0;0;147;144;93070;1;15;1;0;1;0;0;0;0;9;200;7650;850;0;1580;0;0;0;0;27;18;10280;7;112;34;5;3;1;0;0;0;12;1285;56300;27035;7150;6580;5000;0;0;0;174;162;103350;6;97;33;5;2;1;0;0;0;3;1085;48650;26185;7150;5000;5000;0;0;0;147;144;93070;1;15;1;0;1;0;0;0;0;9;200;7650;850;0;1580;0;0;0;0;27;18;10280;
510020105000001;1;0;22;50;24;41;40;3;9;7;6;0;10360;44389;32530;84843;153130;18800;86000;115000;202;196;545052;0;11;28;21;35;33;2;8;6;1;0;4970;25465;28790;72190;128280;12800;76000;98000;145;144;446495;0;11;22;3;6;7;1;1;1;5;0;5390;18924;3740;12653;24850;6000;10000;17000;57;52;98557;0;22;50;24;41;40;3;9;7;6;0;10360;44389;32530;84843;153130;18800;86000;115000;202;196;545052;0;11;28;21;35;33;2;8;6;1;0;4970;25465;28790;72190;128280;12800;76000;98000;145;144;446495;0;11;22;3;6;7;1;1;1;5;0;5390;18924;3740;12653;24850;6000;10000;17000;57;52;98557;
510020105000002;1;2;69;61;30;32;14;3;5;0;80;330;33466;52235;42500;67900;50000;16700;44000;0;296;216;307131;0;12;30;14;16;11;2;4;0;14;0;6030;25475;20100;35600;41000;11200;36000;0;103;89;175405;2;57;31;16;16;3;1;1;0;66;330;27436;26760;22400;32300;9000;5500;8000;0;193;127;131726;2;69;61;30;32;14;3;5;0;80;330;33466;52235;42500;67900;50000;16700;44000;0;296;216;307131;0;12;30;14;16;11;2;4;0;14;0;6030;25475;20100;35600;41000;11200;36000;0;103;89;175405;2;57;31;16;16;3;1;1;0;66;330;27436;26760;22400;32300;9000;5500;8000;0;193;127;131726;
510020105000003;1;14;65;78;30;18;10;0;0;1;31;3009;32040;64002;40826;35730;38600;0;0;14000;247;216;228207;1;20;43;23;11;7;0;0;1;8;200;9920;35809;31486;21330;26600;0;0;14000;114;106;139345;13;45;35;7;7;3;0;0;0;23;2809;22120;28193;9340;14400;12000;0;0;0;133;110;88862;14;65;78;30;18;10;0;0;1;31;3009;32040;64002;40826;35730;38600;0;0;14000;247;216;228207;1;20;43;23;11;7;0;0;1;8;200;9920;35809;31486;21330;26600;0;0;14000;114;106;139345;13;45;35;7;7;3;0;0;0;23;2809;22120;28193;9340;14400;12000;0;0;0;133;110;88862;
510020105000004;1;8;61;86;59;24;7;3;1;2;30;1574;29718;70323;78898;49300;21900;19000;8000;40500;281;251;319213;3;27;68;56;22;7;2;1;2;12;550;13151;56473;75098;45190;21900;13000;8000;40500;200;188;273862;5;34;18;3;2;0;1;0;0;18;1024;16567;13850;3800;4110;0;6000;0;0;81;63;45351;8;60;86;59;24;7;3;1;2;30;1574;29418;70323;78898;49300;21900;19000;8000;40500;280;250;318913;3;27;68;56;22;7;2;1;2;12;550;13151;56473;75098;45190;21900;13000;8000;40500;200;188;273862;5;33;18;3;2;0;1;0;0;18;1024;16267;13850;3800;4110;0;6000;0;0;80;62;45051;
