Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
150010705000001;1;133;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;2;1;0;1;4;3;4;1;1;6;1;2;5;3;0;2;1;1;1;1;0;3;2;4;0;4;4;2;0;0;5;5;3;0;2;3;3;4;7;4;1;2;5;4;0;2;3;3;4;2;2;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;127;1;1;3;4;13;17;5;10;10;13;19;14;11;4;2
150010705000002;1;101;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;2;1;3;2;3;0;4;5;1;0;1;4;0;2;2;5;4;3;2;2;3;0;3;2;3;1;2;3;3;4;3;2;2;1;0;0;0;1;1;5;1;1;0;2;1;0;0;0;2;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;95;0;0;3;8;13;7;16;10;12;11;2;8;1;3;1
150010705000003;1;136;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;3;1;1;3;5;3;6;4;0;3;5;4;3;2;1;0;6;3;2;0;3;4;3;5;4;3;3;1;4;1;2;2;1;1;2;1;4;2;2;3;2;3;2;5;2;0;2;1;0;1;2;0;0;0;1;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;107;0;2;2;12;14;14;10;17;11;5;8;7;3;1;1
150010705000004;1;107;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;2;4;5;2;3;2;1;5;1;1;4;2;3;2;2;0;0;1;2;0;1;1;3;0;1;1;2;3;2;2;2;2;4;1;2;2;2;3;1;0;1;0;0;1;3;2;3;2;1;2;1;2;1;1;0;1;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;88;0;0;3;8;12;11;7;4;6;10;10;3;4;7;3
150010705000005;1;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;2;1;5;1;1;1;0;6;3;1;3;2;2;4;0;2;1;2;0;2;2;0;2;2;0;2;2;3;2;0;3;1;0;0;5;1;0;1;3;3;1;0;1;2;0;2;0;0;1;1;2;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;82;0;0;0;3;10;11;11;7;6;9;9;7;3;2;4
150010705000006;1;95;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;0;0;4;3;4;1;5;1;2;0;1;1;1;3;1;6;4;1;2;2;5;1;0;0;2;2;1;2;4;1;3;1;1;0;2;2;2;1;2;1;1;1;0;2;0;0;0;2;1;0;1;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;4;7;14;5;15;10;6;9;5;4;3;2;1
150010705000007;1;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;1;1;0;3;2;0;0;1;2;0;0;2;0;1;0;0;1;0;0;1;1;1;2;1;0;2;0;0;0;1;0;1;0;0;1;1;0;2;0;1;1;0;0;1;0;0;1;2;0;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;44;0;0;1;4;7;3;3;2;5;3;2;4;1;5;4
150010705000008;1;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;2;3;3;0;1;0;1;0;2;0;3;2;3;1;2;0;5;0;2;0;1;0;0;1;0;0;3;3;1;0;3;0;2;1;0;1;1;1;1;2;4;1;0;0;1;1;1;1;1;2;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;4;9;3;11;7;2;7;5;5;6;6;5
150010705000009;1;126;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;2;2;2;0;4;6;1;4;2;2;3;5;2;2;3;1;1;2;5;0;4;0;2;2;5;2;2;1;2;5;1;2;0;3;2;5;1;3;2;0;1;2;5;3;1;1;3;1;1;2;1;2;2;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;79;0;1;2;6;15;12;8;7;9;8;5;1;2;0;3
150010705000010;1;86;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;1;0;2;3;2;0;2;1;1;5;3;1;0;2;0;3;1;2;1;3;2;0;3;2;4;3;1;1;0;3;3;2;3;1;1;0;1;1;2;3;0;0;1;1;2;1;2;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;75;0;1;3;5;6;11;7;10;9;9;5;4;2;2;1
