Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194;V195;V196;V197;V198;V199;V200;V201;V202;V203;V204;V205;V206;V207;V208;V209;V210;V211;V212;V213;V214;V215;V216
150010705000001;1;352;0;0;0;0;1;0;0;1;1;0;0;1;3;1;4;2;5;5;3;4;8;6;7;10;6;12;8;9;9;11;6;6;5;7;8;5;5;4;8;8;4;11;8;4;8;1;11;10;6;3;3;7;5;8;10;7;2;2;9;4;3;4;6;7;7;4;4;2;2;1;0;3;1;0;1;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;340;1;2;9;19;37;49;32;29;35;29;33;21;25;12;7;219;0;0;0;0;0;0;0;1;0;0;0;0;2;1;3;2;3;4;3;3;4;3;3;9;5;6;7;7;4;8;6;4;4;6;7;4;5;1;6;4;4;7;4;2;8;1;6;5;3;3;1;4;2;4;3;3;1;0;4;0;3;2;3;4;3;2;2;1;2;1;0;2;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;213;0;1;6;15;24;32;27;19;25;16;14;7;14;8;5
150010705000002;1;246;0;0;0;0;0;0;1;0;0;0;0;1;0;1;2;2;3;4;4;5;6;3;7;11;7;7;6;7;3;7;3;7;6;5;4;8;8;3;6;3;7;2;8;7;6;5;6;5;2;3;5;1;3;3;3;7;2;2;2;2;2;1;2;2;3;3;1;3;0;4;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;237;0;1;4;18;34;30;25;28;30;20;15;14;6;11;1;145;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;1;3;1;3;3;3;3;6;6;7;5;3;3;5;1;2;2;2;2;6;5;3;3;1;4;1;6;4;3;1;3;3;0;2;5;1;3;2;2;2;1;1;2;0;1;1;2;2;1;2;1;2;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;0;1;1;10;21;23;9;18;18;9;13;6;5;8;0
150010705000003;1;395;0;0;0;0;0;0;3;1;0;0;1;2;1;2;9;9;3;5;9;18;12;16;9;9;13;10;7;8;12;3;9;14;7;8;3;4;13;8;10;8;9;8;10;4;7;6;10;4;5;6;4;6;7;5;5;3;4;4;7;4;3;4;3;0;3;3;2;0;0;2;2;1;1;2;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;334;0;4;14;41;56;38;36;38;35;26;19;13;7;4;3;259;0;0;0;0;0;0;2;0;0;0;1;1;1;2;8;6;2;4;6;13;9;10;5;9;10;5;3;5;10;2;9;8;4;6;3;1;9;5;5;4;6;5;9;0;6;4;8;3;4;4;3;2;5;3;2;1;1;2;2;2;3;2;2;0;2;1;2;0;0;1;2;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;227;0;2;12;29;42;24;26;21;24;21;11;6;4;3;2
150010705000004;1;338;0;0;0;0;0;0;0;0;1;0;1;1;2;1;1;7;3;6;9;7;17;7;9;8;2;9;6;7;10;7;10;6;4;2;6;6;11;5;4;9;9;2;6;8;7;7;5;5;6;6;6;7;11;7;4;6;6;1;3;2;1;3;3;5;4;3;2;4;1;3;1;3;0;2;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;295;0;1;6;30;41;36;25;32;29;25;30;15;10;9;6;231;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;7;3;4;7;3;12;5;6;6;1;4;5;6;6;5;7;4;2;2;6;5;9;5;3;8;6;2;5;7;5;4;3;3;4;4;2;6;9;5;2;3;5;1;2;2;1;2;0;3;1;1;1;2;0;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;207;0;1;3;22;29;25;18;28;23;15;20;12;6;2;3
150010705000005;1;255;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;1;5;4;3;2;4;5;11;5;2;1;1;9;8;7;7;9;5;11;5;4;5;8;3;6;7;7;4;8;3;5;2;8;4;6;9;1;2;2;7;1;2;2;4;5;5;1;3;2;1;2;0;0;3;1;3;2;0;1;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;239;0;0;5;15;26;26;37;25;26;24;19;13;10;4;9;166;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;1;4;2;3;2;2;4;6;4;1;0;1;3;5;6;4;7;3;7;5;2;4;6;3;4;5;7;2;6;3;3;0;5;2;6;6;0;2;2;2;0;2;1;1;2;4;1;2;0;1;0;0;0;2;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;157;0;0;5;12;16;15;26;18;20;15;10;6;7;2;5
150010705000006;1;287;0;0;0;0;0;0;0;0;0;0;0;1;2;5;1;5;8;3;1;6;6;7;4;11;2;10;3;4;7;5;6;2;11;12;5;8;2;10;2;7;7;6;9;6;5;7;1;4;5;4;6;6;7;5;3;6;1;2;1;7;8;2;2;0;3;3;0;3;1;3;2;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;268;0;0;9;23;30;29;34;29;31;20;22;15;13;8;5;192;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;4;6;3;1;2;3;3;3;6;1;8;3;3;6;4;3;1;5;8;4;6;0;5;1;7;7;4;7;5;3;3;0;1;4;3;6;4;5;3;2;4;0;1;0;7;6;2;2;0;1;2;0;2;1;1;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183;0;0;5;16;16;24;19;19;25;11;17;11;10;6;4
150010705000007;1;124;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;4;3;1;7;0;7;4;2;0;3;3;1;1;5;4;3;3;1;1;1;2;1;3;3;2;3;0;4;1;2;2;2;2;2;1;0;2;1;3;4;1;2;2;0;1;2;3;3;1;3;0;2;2;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;123;0;1;3;7;19;9;16;6;11;11;7;11;7;9;6;79;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;2;1;0;6;0;4;2;2;0;2;1;1;1;3;4;2;3;1;0;1;2;0;2;2;0;2;0;2;1;2;2;1;2;1;1;0;1;0;3;2;1;1;1;0;1;1;3;3;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;79;0;1;2;3;12;6;13;4;6;8;5;7;6;4;2
150010705000008;1;199;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;4;4;8;6;4;2;2;2;2;3;5;2;6;3;6;5;6;3;6;5;5;3;5;4;0;3;4;2;8;6;5;2;6;2;4;1;4;5;3;1;3;3;6;5;1;1;1;1;1;2;3;2;1;1;1;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;197;0;1;0;11;22;14;26;22;16;23;16;14;14;9;9;127;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;4;6;3;1;2;1;2;1;3;3;2;3;1;3;4;4;3;1;5;3;3;4;4;0;2;4;2;5;3;4;2;3;2;2;0;4;4;2;0;2;1;2;4;1;1;0;0;0;1;2;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;127;0;1;0;7;13;11;15;15;14;16;11;9;8;3;4
150010705000009;1;350;0;0;0;0;0;0;0;0;1;1;1;0;1;2;3;4;3;7;9;4;10;12;7;6;11;6;10;9;13;8;5;5;7;5;11;5;5;7;7;6;9;7;6;5;6;14;5;5;5;7;9;11;3;3;2;3;4;5;6;4;4;3;4;2;2;4;1;2;5;2;1;3;1;2;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;268;0;2;7;26;38;42;26;27;26;27;17;10;6;6;8;224;0;0;0;0;0;0;0;0;1;0;1;0;1;1;2;4;1;5;7;4;6;6;6;2;9;4;7;4;11;6;2;4;6;3;6;5;1;7;5;4;4;5;4;4;4;9;4;3;5;4;7;6;2;0;0;3;3;3;1;1;3;2;1;1;1;2;0;0;3;1;1;2;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;189;0;1;5;20;23;30;18;20;17;19;12;9;4;6;5
150010705000010;1;270;0;0;0;0;0;0;0;0;0;1;1;0;0;3;1;3;6;2;5;12;12;3;4;7;6;10;6;6;4;7;7;6;5;6;4;9;8;6;6;6;7;6;3;6;4;6;8;8;4;3;5;2;1;2;2;3;1;2;6;2;4;1;5;1;1;1;3;0;1;0;0;0;1;0;0;2;3;0;0;0;1;1;0;0;0;1;1;0;0;0;0;252;0;1;5;27;32;33;25;34;25;25;12;12;8;5;8;184;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;5;2;3;9;10;3;2;6;5;5;3;5;4;5;7;3;4;4;3;6;6;6;3;4;3;3;2;5;4;3;5;6;1;2;4;2;0;1;0;0;1;2;5;1;2;0;3;1;0;1;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;0;0;0;1;1;0;0;0;0;177;0;0;2;22;26;22;18;24;16;16;7;8;6;3;7
