Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
260005405000001;1;0;195638;195638;0;9;22;54;51;23;6;3;0;0;43;
260005405000002;1;0;260154;260154;0;5;21;59;93;27;9;1;0;0;8;
260005405000003;1;0;236288;236288;0;1;7;37;36;32;9;9;1;1;7;
260005405000004;1;0;320564;320564;0;14;15;95;107;40;8;8;2;0;29;
260005405000005;1;0;186414;186414;0;28;40;80;68;15;2;0;0;0;25;
260005405000006;1;5;334846;330066;4780;12;34;87;106;45;10;2;1;0;9;
260005405000007;1;0;115358;115358;0;12;36;65;52;2;0;0;0;0;17;
260005405000008;1;0;590919;590919;0;11;53;127;127;77;9;10;3;1;39;
260005405000009;1;1;394238;393728;510;6;22;73;126;57;11;4;3;0;4;
260005405000010;1;0;372357;372357;0;12;38;99;138;45;7;4;0;0;11;
260005405000011;1;0;357433;357433;0;8;39;76;121;36;7;6;1;0;23;
260005405000012;1;0;385399;385399;0;9;25;88;118;62;11;5;0;0;7;
260005405000013;1;0;118754;118754;0;7;11;61;41;17;2;1;0;0;3;
260005405000014;1;0;96305;96305;0;19;18;37;28;12;2;1;0;0;6;
260005405000015;1;0;130140;130140;0;32;30;97;40;4;1;0;0;0;22;
260005405000016;1;0;178120;178120;0;14;36;85;75;12;1;2;0;0;1;
260005405000017;1;0;162005;162005;0;6;37;88;58;19;2;1;0;0;110;
260005405000018;1;0;159674;159674;0;11;25;74;68;12;2;0;0;0;5;
260005405000019;1;1;535220;534710;510;16;40;100;140;68;15;11;4;0;6;
260005405000020;1;0;343593;343593;0;15;16;89;109;47;11;4;0;0;14;
260005405000021;1;0;273208;273208;0;7;24;75;114;44;0;2;0;0;3;
260005405000022;1;0;216760;216760;0;5;13;49;73;31;3;4;0;0;10;
260005405000023;1;1;352009;350209;1800;12;39;118;126;32;4;4;1;2;7;
260005405000024;1;0;165070;165070;0;1;22;44;56;22;2;0;0;0;18;
260005405000025;1;0;470064;470064;0;8;16;75;110;75;20;9;2;0;10;
260005405000026;1;0;504647;504647;0;8;30;108;150;62;19;7;2;0;15;
260005405000027;1;0;280769;280769;0;7;22;72;79;42;6;2;0;0;7;
260005405000028;1;0;445250;445250;0;4;17;59;93;68;24;12;5;0;4;
260005405000029;1;0;316814;316814;0;9;11;81;79;37;14;7;2;0;10;
260005405000030;1;0;177169;177169;0;3;13;54;65;16;4;1;2;0;8;
260005405000031;1;0;204454;204454;0;10;23;51;72;37;5;4;1;0;1;
260005405000032;1;0;315577;315577;0;11;19;81;96;57;11;1;0;0;12;
260005405000033;1;0;421758;421758;0;4;18;86;107;66;13;3;1;1;21;
260005405000034;1;0;393706;393706;0;22;49;110;120;49;9;3;1;0;13;
260005405000035;1;0;371165;371165;0;16;48;113;138;41;7;2;0;0;22;
260005405000036;1;0;363330;363330;0;32;57;138;145;36;2;1;1;0;10;
260005405000037;1;0;111084;111084;0;15;37;45;36;7;0;2;0;0;10;
260005405000038;1;0;169849;169849;0;13;35;59;69;20;2;2;0;0;22;
260005405000039;1;0;475786;475786;0;6;22;93;133;74;19;3;1;0;11;
260005405000040;1;0;388382;388382;0;4;22;59;81;67;11;7;0;0;13;
260005405000041;1;1;356436;355726;710;5;30;109;120;37;13;3;2;0;4;
260005405000042;1;0;424319;424319;0;9;26;81;128;66;4;4;2;1;8;
260005405000043;1;0;402560;402560;0;8;37;90;123;56;7;6;1;0;18;
260005405000044;1;0;488777;488777;0;6;19;89;131;83;16;4;1;0;11;
260005405000045;1;0;385413;385413;0;8;28;66;103;52;4;8;2;0;30;
260005405000046;1;0;252135;252135;0;3;9;29;56;47;7;6;1;0;4;
260005405000047;1;0;362248;362248;0;3;13;53;91;57;8;2;5;0;0;
260005405000048;1;0;118075;118075;0;5;24;69;40;7;2;0;0;0;28;
260005405000049;1;0;167422;167422;0;12;28;72;49;20;2;0;0;0;15;
260005405000050;1;0;330903;330903;0;8;15;54;105;44;8;6;1;0;6;
260005405000051;1;0;127586;127586;0;16;26;62;44;14;1;1;0;0;23;
260005405000052;1;0;515209;515209;0;8;25;103;165;83;14;5;1;0;4;
260005405000053;1;0;98484;98484;0;9;35;53;26;10;1;0;0;0;55;
260005405000054;1;0;339277;339277;0;6;20;62;111;59;4;3;0;0;3;
260005405000055;1;0;338361;338361;0;7;38;68;95;46;8;5;1;0;19;
260005405000056;1;1;218799;217999;800;9;24;64;72;34;4;1;1;0;5;
260005405000057;1;0;350806;350806;0;6;22;84;91;64;8;5;0;0;5;
260005405000058;1;0;231061;231061;0;10;25;75;77;26;3;3;0;0;11;
260005405000059;1;0;301104;301104;0;4;16;63;79;52;5;6;2;0;1;
260005405000060;1;1;410046;409046;1000;9;27;64;90;79;15;4;0;0;4;
260005405000061;1;0;256527;256527;0;21;31;76;75;32;6;4;0;0;13;
260005405000062;1;2;199476;198992;484;38;49;91;75;21;4;0;0;0;19;
260005405000063;1;0;328154;328154;0;15;44;106;95;30;4;2;0;1;6;
260005405000064;1;0;195443;195443;0;43;34;74;77;21;0;2;0;0;47;
260005405000065;1;0;171308;171308;0;15;41;74;59;19;1;0;0;0;103;
260005405000066;1;0;412088;412088;0;1;4;26;83;84;16;3;1;0;4;
260005405000067;1;1;406413;406213;200;4;28;81;115;46;8;7;2;0;6;
260005405000068;1;0;370602;370602;0;9;13;55;101;62;18;4;3;0;8;
260005405000069;1;0;212147;212147;0;18;53;96;78;17;2;0;0;0;45;
260005405000070;1;0;296801;296801;0;9;16;61;109;42;5;5;0;0;9;
260005405000071;1;0;308943;308943;0;15;32;98;99;27;9;0;2;0;7;
260005405000072;1;0;281111;281111;0;3;6;48;73;46;11;5;1;0;3;
260005405000073;1;0;252739;252739;0;8;24;89;73;34;4;2;1;1;20;
260005405000074;1;0;433777;433777;0;20;35;105;136;46;12;7;1;0;7;
260005405000075;8;0;69391;69391;0;6;12;24;7;3;1;2;1;0;5;
260005405000076;8;0;272169;272169;0;52;74;151;84;7;2;0;1;0;58;
260005405000077;8;0;54626;54626;0;12;11;34;21;0;2;0;0;0;17;
260005405000078;5;0;144019;144019;0;11;29;69;45;15;1;0;0;0;12;
260005405000079;8;0;145075;145075;0;12;29;71;63;8;0;1;0;0;16;
260005405000080;8;0;151809;151809;0;23;39;60;54;10;2;0;3;0;31;
260005405000081;8;4;150377;146337;4040;13;32;58;50;16;0;0;2;0;2;
260005405000082;5;1;182068;181446;622;7;34;72;53;22;3;2;0;0;6;
260005405000083;5;1;401913;401313;600;32;74;173;139;41;4;1;0;0;13;
260005405000084;7;0;38123;38123;0;5;12;13;13;5;0;0;0;0;4;
260005405000085;8;0;97713;97713;0;6;30;36;25;8;0;3;0;0;6;
260005405000086;1;0;149040;149040;0;6;29;49;44;22;0;2;0;0;24;
260005405000087;1;0;383349;383349;0;4;13;62;80;67;14;9;0;0;19;
260005405000088;1;0;215498;215498;0;9;14;48;82;28;10;1;0;0;15;
260005405000089;1;0;92149;92149;0;6;17;44;32;2;1;1;0;0;5;
260005405000090;1;0;9916;9916;0;2;2;8;3;0;0;0;0;0;0;
260005405000091;1;0;323746;323746;0;22;51;135;130;34;4;0;1;0;6;
260005405000092;1;0;246774;246774;0;10;17;64;80;27;3;1;2;1;8;
260005405000093;1;1;280143;279543;600;7;22;42;61;33;12;6;0;0;9;
260005405000094;1;0;215415;215415;0;7;24;38;52;33;5;2;1;0;12;
260005405000095;1;0;425912;425912;0;6;23;78;129;54;16;6;3;0;8;
260005405000096;1;2;435850;435014;836;5;15;81;110;61;11;10;5;0;7;
260005405000097;1;0;290458;290458;0;17;32;88;111;41;5;0;0;0;6;
260005405000098;1;0;115912;115912;0;7;10;48;45;14;1;1;1;0;2;
260005405000099;1;0;214334;214334;0;4;10;34;62;34;5;1;1;0;2;
260005405000100;1;0;357253;357253;0;7;18;56;86;54;13;1;3;0;5;
260005405000101;1;0;426529;426529;0;5;16;59;104;83;10;9;0;0;5;
260005405000102;1;0;429649;429649;0;8;20;76;101;57;15;12;2;1;31;
260005405000103;1;2;236672;234952;1720;8;16;57;70;31;6;5;0;0;3;
260005405000104;1;1;257424;255624;1800;11;22;68;77;49;4;1;1;0;5;
