Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
260005405000001;1;587;6;7;10;12;15;6;9;19;9;15;15;12;11;15;5;5;11;9;8;8;12;14;17;13;12;10;15;9;9;17;8;12;12;11;11;12;11;13;10;9;7;10;7;3;2;4;4;8;3;7;5;5;3;4;3;5;6;5;3;2;4;2;3;3;2;4;1;0;3;3;2;3;4;2;3;8;175;115;150;22;31;15;28;0;
260005405000002;1;649;1;7;6;8;7;12;15;14;17;9;19;10;13;11;11;12;8;12;19;10;5;12;10;12;10;10;13;11;11;10;13;12;14;16;11;13;14;7;22;14;7;9;7;10;6;7;6;5;7;5;6;3;6;7;7;9;7;5;5;4;6;5;5;3;3;8;4;3;1;2;0;3;2;0;2;13;201;118;197;13;34;15;30;11;
260005405000003;1;357;2;1;3;4;3;6;4;6;4;7;8;2;10;2;5;8;3;9;12;10;5;6;7;6;4;5;5;6;3;8;4;8;9;7;4;6;5;8;10;4;6;8;7;9;6;5;2;6;4;3;5;6;4;3;2;3;4;4;5;3;1;2;2;2;0;4;5;0;2;1;1;0;1;1;0;11;123;65;110;13;13;8;10;2;
260005405000004;1;827;5;6;6;16;18;22;20;16;14;15;16;25;14;12;13;15;22;28;15;16;22;16;18;20;10;22;19;12;18;14;21;13;10;13;8;19;9;18;15;17;17;15;17;13;9;17;11;9;2;6;10;4;5;6;3;7;2;7;3;0;1;2;4;4;1;2;3;4;2;0;3;1;1;0;0;8;282;200;235;6;18;8;23;1;
260005405000005;1;715;5;9;9;8;22;13;27;11;23;13;16;15;17;13;14;15;19;11;24;15;15;11;13;17;11;10;13;16;13;11;12;14;9;15;10;13;17;13;11;12;14;7;11;9;7;13;6;4;9;6;3;6;2;1;8;4;7;4;4;6;2;3;4;3;5;1;2;0;0;1;2;1;2;1;1;1;215;145;209;6;43;7;36;1;
260005405000006;1;793;2;10;12;11;16;12;13;17;17;11;17;19;26;18;15;21;13;20;12;19;15;15;12;17;14;15;14;12;12;7;12;22;13;16;16;17;11;18;5;13;12;15;12;10;14;3;5;10;8;7;10;5;5;7;8;10;5;3;8;5;5;1;7;1;3;8;1;2;3;1;0;1;0;1;1;19;241;153;237;11;57;14;25;3;
260005405000007;1;440;1;7;4;11;16;14;18;10;12;11;10;9;8;9;11;5;8;8;10;9;11;9;4;14;11;10;8;12;10;14;6;16;6;8;6;7;4;5;3;4;3;4;4;2;4;3;2;2;5;5;2;4;7;2;2;4;1;3;2;2;3;3;0;3;1;0;2;2;0;0;1;0;1;1;0;1;127;85;133;1;25;8;17;3;
260005405000008;1;1312;8;16;8;22;25;31;30;22;23;24;29;29;24;18;31;42;25;28;27;26;30;26;35;25;25;22;26;29;18;26;25;19;19;22;23;25;18;27;12;27;17;28;16;14;17;18;23;19;18;13;18;12;14;11;9;9;3;7;9;3;3;4;2;3;5;9;5;3;2;3;3;5;2;2;1;15;404;294;411;17;29;23;54;1;
260005405000009;1;839;4;8;12;12;10;10;18;14;14;12;18;9;15;9;14;14;13;9;17;11;23;20;25;20;18;18;15;22;12;15;17;6;11;14;9;19;20;15;12;7;13;13;19;11;9;22;13;12;4;10;13;12;12;12;2;8;5;8;13;4;6;3;6;3;4;5;2;4;6;4;2;2;2;1;3;10;269;161;243;13;49;20;37;1;
260005405000010;1;973;8;12;12;19;21;16;23;20;22;26;18;17;20;22;8;20;15;17;19;19;15;11;13;21;18;22;14;11;22;27;19;25;20;28;12;36;18;19;19;12;14;21;11;17;9;11;6;9;9;7;7;6;8;7;5;5;9;8;7;3;7;7;3;5;1;7;5;3;3;1;4;3;0;0;1;8;322;217;276;11;31;13;28;1;
260005405000011;1;926;11;8;10;9;13;17;23;12;12;14;25;18;24;17;11;25;17;15;12;16;21;14;19;16;15;15;19;14;20;13;14;16;20;21;15;14;16;17;18;22;15;11;16;14;15;14;18;10;6;4;14;13;8;5;7;10;6;5;2;6;8;11;1;8;3;3;5;3;3;2;9;5;0;2;0;16;295;184;291;21;30;19;35;0;
260005405000012;1;887;4;11;8;19;14;22;14;12;21;16;14;17;20;15;12;19;19;14;12;17;23;12;24;18;13;22;18;20;20;21;21;15;13;10;18;20;16;18;14;16;11;12;14;11;6;4;10;11;9;8;12;10;8;8;8;8;8;12;6;4;4;5;4;9;2;3;1;3;0;2;2;3;0;3;1;13;280;178;276;18;32;15;28;4;
260005405000013;1;356;3;10;5;8;4;6;4;14;9;4;6;11;8;5;4;8;14;9;16;8;11;4;7;9;4;8;9;6;8;6;7;5;8;6;5;5;9;3;3;7;3;3;1;6;4;2;7;2;7;4;0;3;6;1;3;2;1;1;3;1;4;0;1;1;0;0;0;2;0;0;0;0;0;1;0;1;114;59;101;3;18;8;22;1;
260005405000014;1;328;3;2;4;7;6;3;8;6;6;8;10;7;12;6;8;9;8;6;6;8;8;13;5;7;6;8;6;4;6;12;8;6;3;8;2;4;5;3;2;11;6;7;1;3;4;2;1;7;2;1;7;5;3;1;1;3;2;1;0;1;0;1;2;2;0;0;0;1;0;1;0;0;0;1;0;2;99;72;106;4;8;2;13;1;
260005405000015;1;517;3;2;6;7;15;14;23;13;10;15;18;13;11;22;15;10;9;9;14;12;8;17;11;12;15;19;11;4;6;8;11;11;14;9;6;9;4;7;3;5;8;7;4;6;4;3;2;1;6;7;5;4;2;0;3;1;3;0;4;2;2;0;2;0;2;3;1;0;0;0;1;1;0;1;1;0;165;95;149;22;20;17;16;0;
260005405000016;1;562;3;5;12;9;17;17;14;14;11;17;20;15;11;11;13;9;14;18;6;15;13;14;14;12;10;7;8;16;12;13;14;9;11;9;13;10;5;10;8;8;7;4;2;5;6;8;3;4;5;2;3;4;2;5;2;0;6;4;2;3;3;2;2;2;0;1;1;0;1;1;0;0;0;1;0;4;163;116;183;7;24;7;13;3;
260005405000017;1;675;5;7;4;12;16;15;15;18;18;20;18;24;21;20;11;22;20;20;25;20;4;13;19;16;15;15;10;8;11;10;16;14;11;15;14;10;14;9;12;11;4;6;7;5;1;5;3;4;3;3;1;1;4;5;2;5;5;3;4;4;1;1;2;1;0;3;3;3;1;0;0;1;0;0;2;4;213;156;213;2;23;3;20;0;
260005405000018;1;487;5;8;6;11;11;11;20;7;10;9;6;6;11;13;11;5;14;11;7;10;16;11;15;16;13;14;7;9;7;3;11;10;7;3;5;6;2;8;5;7;9;2;5;8;10;8;4;5;5;5;8;4;4;4;7;5;0;4;4;2;2;1;2;1;0;2;1;0;0;0;1;0;0;1;0;6;155;112;116;9;26;11;14;2;
260005405000019;1;1076;3;12;16;20;20;21;18;24;16;21;12;23;14;22;14;29;20;21;15;14;18;23;18;21;15;18;18;18;19;21;22;24;22;20;22;23;14;20;23;22;20;18;22;19;12;18;15;15;9;11;12;10;9;6;6;10;5;4;6;2;8;11;4;5;4;6;4;5;6;2;3;4;2;6;1;20;353;243;293;18;50;16;28;2;
260005405000020;1;824;5;5;14;14;15;19;19;7;13;13;14;15;11;14;17;14;13;17;15;15;16;22;22;11;25;20;15;17;18;16;20;14;12;15;12;12;11;19;13;17;15;8;16;14;4;12;5;7;10;9;13;9;11;4;7;4;3;10;4;5;5;4;8;3;2;7;3;1;4;2;2;1;2;0;4;10;281;182;220;19;23;14;32;0;
260005405000021;1;751;4;7;16;9;21;13;12;14;9;13;9;14;14;18;15;15;16;10;12;10;8;9;19;13;15;17;17;17;20;15;20;22;20;12;11;12;16;12;16;12;16;10;10;5;6;13;10;3;7;7;6;5;5;6;7;5;5;6;3;4;4;2;4;5;6;1;0;5;4;2;3;1;3;6;2;10;235;148;220;10;41;7;24;6;
260005405000022;1;519;2;5;5;5;8;14;7;12;16;9;7;11;5;5;8;7;14;8;6;12;9;15;12;9;9;12;10;12;7;9;9;13;10;9;12;11;8;9;8;4;10;9;2;7;8;7;11;8;9;7;4;7;4;3;4;11;4;1;3;3;3;2;1;5;2;0;6;4;0;1;2;1;1;0;1;5;163;108;159;7;24;3;24;1;
260005405000023;1;895;9;11;13;12;21;21;23;26;18;18;15;14;15;16;25;23;20;13;16;20;13;11;18;19;21;19;15;18;22;30;24;16;19;20;23;8;14;18;9;14;16;14;12;12;13;13;7;7;11;8;4;7;8;5;5;4;4;4;4;3;3;1;0;3;2;1;5;2;3;2;4;2;1;0;1;4;291;200;271;5;28;8;23;3;
260005405000024;1;503;1;6;11;7;7;13;9;10;9;10;8;12;6;5;7;15;5;10;3;11;9;11;14;10;4;10;12;13;14;9;10;7;6;11;11;6;6;6;12;10;6;7;11;6;5;7;11;4;8;8;3;3;4;4;4;4;5;6;3;3;2;1;4;3;3;7;1;2;1;1;0;2;2;0;0;6;151;112;166;6;17;4;12;0;
260005405000025;1;919;10;11;8;16;16;16;20;14;12;16;17;13;11;26;11;18;14;17;11;12;20;13;12;10;13;16;18;26;18;23;8;22;24;17;20;18;10;19;14;16;15;17;14;9;9;18;14;8;9;12;7;11;6;18;10;10;5;6;4;10;7;9;7;3;3;1;7;3;2;2;5;3;1;6;7;15;302;178;257;20;46;23;30;0;
260005405000026;1;1078;15;12;19;18;22;27;27;19;27;22;19;15;15;13;22;17;18;22;19;20;16;26;22;23;28;22;27;25;26;26;21;17;29;24;17;17;26;14;20;17;15;19;13;10;12;14;12;10;7;9;9;10;4;8;8;9;5;5;8;7;5;6;4;5;3;0;2;5;1;1;2;4;0;3;2;10;361;257;283;10;25;12;24;0;
260005405000027;1;696;4;11;9;8;12;10;11;14;13;17;10;12;10;10;22;11;14;15;21;18;12;17;12;6;13;17;11;9;22;14;14;12;14;13;20;18;10;13;15;10;18;10;12;9;6;9;8;6;11;9;5;5;10;6;6;5;2;4;3;1;4;4;1;5;1;3;1;1;3;0;1;0;0;0;2;1;213;163;212;8;12;14;29;0;
260005405000028;1;765;3;5;11;14;17;17;17;10;11;12;14;9;12;13;16;11;23;12;13;16;20;26;13;16;19;21;25;12;17;14;9;12;16;18;12;15;17;13;8;17;12;10;16;12;13;10;12;11;5;5;7;1;7;5;3;8;6;5;7;5;6;1;1;2;5;0;0;0;4;1;0;2;0;1;1;5;266;171;222;9;23;5;17;2;
260005405000029;1;637;3;10;6;10;10;8;13;6;8;11;9;12;10;12;10;11;12;7;16;11;12;18;16;17;14;11;19;15;12;12;10;13;10;8;12;11;8;12;10;10;9;10;11;10;9;9;7;10;6;7;6;8;4;8;6;5;8;3;9;0;2;5;9;2;4;4;2;0;4;3;1;0;3;0;3;5;217;136;175;6;30;11;21;1;
260005405000030;1;450;4;8;5;6;10;11;5;5;10;5;7;9;7;10;6;9;12;8;11;9;13;6;10;7;6;7;11;10;11;13;9;7;7;5;6;6;13;4;7;7;10;5;8;3;1;3;6;6;3;8;7;7;4;5;3;2;2;3;3;5;0;2;0;0;2;5;4;0;1;2;2;1;0;0;1;14;145;79;116;12;19;9;35;1;
260005405000031;1;467;2;5;8;9;11;8;11;7;12;6;7;12;12;11;10;7;17;15;12;17;9;14;10;12;15;12;7;10;9;5;11;6;12;10;11;8;5;1;7;4;8;7;2;7;10;2;5;4;5;2;6;2;3;6;3;2;1;1;2;1;1;3;4;0;0;0;0;0;0;1;0;0;0;0;1;1;159;117;125;1;11;3;15;0;
260005405000032;1;779;3;10;13;15;11;12;16;13;12;20;18;14;17;13;16;18;10;17;16;21;16;16;25;20;20;11;14;10;18;15;11;16;9;19;12;11;10;12;12;7;9;9;10;12;11;18;9;10;6;9;11;11;10;5;7;7;5;3;5;5;4;4;6;5;1;0;3;3;3;1;0;1;3;0;1;3;254;163;237;7;27;7;26;3;
260005405000033;1;928;3;9;9;10;12;14;9;14;9;19;16;9;18;20;10;12;23;15;32;26;30;13;25;26;16;24;7;21;14;15;15;16;12;10;14;16;10;14;14;17;15;20;19;20;16;21;16;16;19;17;15;9;5;9;5;11;10;6;5;5;3;5;3;5;5;5;2;0;3;2;4;1;2;3;0;8;309;206;279;14;22;12;41;0;
260005405000034;1;1084;16;6;11;18;15;27;22;26;34;23;23;23;25;24;21;21;20;30;34;30;16;30;28;34;25;23;21;14;17;15;19;14;15;21;18;15;11;15;19;16;19;16;11;13;19;14;9;11;12;17;15;7;9;8;5;4;8;9;2;4;7;4;3;2;4;3;2;1;1;0;4;2;0;0;1;3;336;244;336;15;32;16;37;1;
260005405000035;1;1049;4;14;15;19;24;24;28;27;14;26;20;21;21;19;22;21;21;18;19;22;15;14;33;23;15;26;15;21;27;33;15;19;26;22;26;24;16;18;10;25;20;12;16;9;6;13;9;14;6;8;6;9;12;6;8;10;10;4;1;7;3;4;5;2;0;6;1;2;0;5;2;1;1;2;2;5;332;217;322;14;40;18;27;3;
260005405000036;1;1126;14;10;20;28;19;35;34;21;26;26;28;25;36;26;25;18;20;24;23;29;20;29;30;22;17;21;31;32;14;27;27;21;27;13;23;30;14;10;12;18;9;11;9;8;10;7;7;15;11;7;5;8;11;5;8;9;3;7;4;6;3;3;2;5;0;3;0;3;2;3;2;1;1;1;2;10;346;231;357;16;39;12;28;2;
260005405000037;1;470;6;9;7;9;9;13;15;18;13;11;14;13;21;10;8;12;9;13;8;5;9;3;6;5;12;6;15;13;12;12;14;11;11;10;5;9;8;3;9;8;4;3;4;2;3;4;3;4;4;2;3;1;0;2;2;0;1;2;1;4;2;2;0;4;2;1;1;0;0;0;1;1;1;1;1;0;132;98;168;4;14;5;8;1;
260005405000038;1;590;7;2;8;9;14;9;14;20;11;14;16;12;16;21;18;12;11;10;15;12;14;9;6;14;10;13;13;3;13;15;17;14;10;12;8;9;8;8;8;17;7;9;9;7;8;7;5;9;4;6;5;6;2;3;3;3;4;2;0;6;0;0;2;0;1;1;1;2;1;0;0;0;0;2;1;2;190;131;196;4;10;2;13;4;
260005405000039;1;1053;6;8;12;13;17;16;17;16;15;13;24;16;22;18;22;26;22;23;16;16;38;25;29;24;23;13;23;15;19;19;22;8;17;23;19;20;16;16;18;14;17;19;11;15;13;24;15;14;17;7;15;12;18;9;12;12;13;9;8;5;9;5;3;4;2;5;2;3;1;5;0;1;0;2;1;6;347;216;272;53;28;32;48;1;
260005405000040;1;824;4;8;12;10;23;13;22;14;12;11;15;12;11;18;16;13;21;21;12;19;29;20;22;20;20;13;23;15;14;13;12;11;8;12;10;10;9;16;9;8;11;10;12;13;7;21;13;14;12;17;10;8;11;5;5;12;6;3;4;6;2;5;5;4;4;3;4;0;1;1;2;2;1;1;1;7;256;189;232;18;32;9;31;0;
260005405000041;1;897;6;12;13;12;17;14;20;15;23;17;13;19;16;21;21;17;20;18;17;20;23;20;26;25;31;16;22;15;24;10;15;15;15;11;14;18;15;10;15;14;13;16;12;15;12;14;15;12;15;12;6;10;8;6;6;4;4;8;1;1;2;3;4;1;0;2;0;0;1;1;1;0;1;1;1;4;294;217;270;12;15;9;15;1;
260005405000042;1;935;5;8;11;20;16;14;20;10;21;17;17;12;18;14;16;15;16;22;22;19;24;26;20;28;18;18;11;22;17;8;16;13;16;19;9;16;9;14;14;24;15;22;15;12;14;22;14;18;16;12;11;13;8;13;5;9;5;9;4;6;5;3;1;0;2;4;2;4;5;1;0;0;1;1;2;6;314;222;276;4;26;12;16;0;
260005405000043;1;1047;12;14;19;15;14;24;14;19;20;20;21;21;21;10;24;18;27;22;20;26;22;30;18;25;22;16;14;21;20;14;11;11;23;21;27;17;21;11;18;20;14;21;19;16;17;22;11;16;19;13;12;10;8;9;8;8;12;5;2;3;4;4;0;0;3;4;0;0;0;2;1;2;3;2;2;12;331;222;324;14;33;5;43;0;
260005405000044;1;1062;8;12;9;26;20;18;12;23;18;19;20;13;21;19;15;19;18;25;28;21;31;27;17;25;26;35;20;23;28;20;18;15;10;15;21;27;26;10;14;17;22;11;18;20;13;18;16;19;12;14;15;10;4;12;5;6;5;7;4;1;5;3;4;1;3;2;3;1;2;2;0;0;2;4;1;8;330;242;329;20;23;13;28;1;
260005405000045;1;970;18;11;8;11;21;16;23;15;12;8;29;11;18;20;17;21;20;20;22;22;13;12;21;18;21;22;15;16;18;23;18;15;15;12;20;18;15;10;14;12;16;13;13;19;17;17;13;17;9;11;15;11;4;11;8;7;9;4;14;5;7;3;4;6;4;4;5;6;4;5;2;2;2;0;2;10;290;180;231;65;43;38;46;7;
260005405000046;1;478;2;6;8;8;3;10;12;11;4;5;8;10;5;1;8;5;9;9;8;11;7;9;8;9;10;11;10;12;9;7;9;10;9;11;5;9;7;5;5;4;7;11;3;7;10;5;3;7;6;4;3;6;8;7;7;11;6;3;5;6;4;2;4;3;4;4;4;1;2;1;3;2;0;1;0;9;148;95;133;8;33;3;28;1;
260005405000047;1;692;6;7;8;12;13;13;13;15;12;11;16;10;7;7;16;12;16;13;9;18;10;16;8;24;18;17;19;16;13;12;11;12;12;18;11;8;7;16;6;9;7;9;13;12;8;8;9;3;10;11;9;8;6;7;6;5;6;5;8;6;3;1;0;5;5;5;3;2;0;2;2;2;1;4;1;3;217;150;197;14;28;8;28;1;
260005405000048;1;448;2;2;6;6;5;15;9;8;13;9;11;11;10;10;10;8;11;8;12;7;10;14;11;9;16;12;11;9;7;6;9;4;7;8;9;11;7;6;9;6;9;3;6;5;9;2;4;2;5;4;5;8;2;4;4;3;2;2;1;0;2;2;0;0;2;2;1;0;0;0;1;0;1;0;2;1;151;103;126;12;12;6;15;0;
260005405000049;1;541;2;7;8;11;14;17;17;15;20;17;8;17;11;9;17;10;7;11;9;9;8;13;11;9;12;19;7;19;13;11;11;14;12;11;11;9;10;8;8;9;12;6;8;3;7;4;2;2;4;5;2;4;0;3;1;0;0;1;3;1;0;2;1;2;0;2;1;0;1;1;0;0;0;1;0;1;172;117;177;3;7;6;17;0;
260005405000050;1;713;2;11;6;20;13;13;12;12;16;15;13;12;5;13;11;15;12;14;17;14;17;12;16;18;14;20;13;10;15;17;14;12;11;14;12;9;11;8;14;16;5;13;12;13;12;9;4;8;10;6;9;6;10;3;8;5;4;5;5;6;4;6;1;2;5;4;5;6;0;1;1;0;1;2;0;3;228;149;219;8;20;8;27;2;
260005405000051;1;478;2;7;12;9;15;18;16;8;7;14;11;10;6;16;14;8;6;7;8;8;6;10;8;6;14;10;8;12;17;13;5;15;11;15;7;19;6;3;8;7;8;5;6;8;5;6;1;2;5;1;4;2;4;1;2;0;2;2;2;1;3;2;1;0;0;0;1;0;0;1;0;0;0;0;0;1;157;114;131;1;7;7;16;0;
