Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
260005405000001;1;109;0;0;0;0;0;0;1;0;1;0;0;1;1;1;1;3;2;2;2;1;1;0;3;2;3;2;4;3;1;3;0;2;2;1;2;3;3;3;2;1;1;1;1;1;1;2;2;2;2;1;2;4;4;2;1;1;2;0;1;1;1;0;1;3;1;2;2;1;2;1;1;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;85;0;2;4;10;8;11;7;11;4;8;6;3;3;5;3
260005405000002;1;95;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;1;0;1;1;1;1;4;3;1;1;2;2;3;3;2;4;2;3;2;0;0;1;1;2;2;3;0;0;2;1;1;2;3;1;4;2;1;3;2;1;0;2;1;1;3;0;3;1;1;0;2;2;0;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;0;0;4;3;9;10;12;4;7;7;11;4;4;5;3
260005405000003;1;72;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;1;0;2;1;0;1;1;2;0;2;2;1;0;1;1;2;1;1;3;3;1;1;3;1;0;3;1;1;1;2;1;3;0;0;4;2;1;1;0;1;3;0;0;1;2;0;1;0;0;0;2;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;2;2;3;5;4;5;11;6;7;7;1;4;1;4
260005405000004;1;137;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;3;4;2;3;3;2;5;3;5;3;1;2;0;0;1;5;4;3;0;4;5;7;3;8;2;2;3;4;1;3;4;2;1;2;0;4;1;2;2;0;1;1;3;1;1;2;1;2;0;0;2;2;1;0;0;2;0;1;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;122;0;0;4;14;17;4;16;24;11;8;8;5;4;4;3
260005405000005;1;119;0;0;0;0;0;0;0;0;0;0;1;2;0;4;1;1;1;0;3;2;2;3;5;2;3;2;3;2;5;1;3;3;1;3;4;4;3;1;3;3;2;2;2;1;2;1;1;1;0;5;2;4;1;2;3;0;1;2;2;1;1;1;0;0;1;2;0;1;1;1;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;96;0;0;7;7;14;11;14;11;7;6;8;4;3;3;1
260005405000006;1;134;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;1;0;4;2;3;0;1;1;1;2;2;7;5;3;4;2;1;3;1;2;4;4;3;1;2;1;3;4;2;0;4;3;3;5;4;5;0;0;2;3;1;1;2;2;5;1;2;1;1;0;1;3;1;1;2;0;2;0;0;2;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;97;0;1;3;7;5;19;9;10;9;15;7;3;3;1;5
260005405000007;1;74;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;1;1;3;4;1;1;3;1;2;1;1;0;2;0;0;0;3;1;1;1;1;0;1;2;5;0;3;1;0;1;2;2;2;1;4;4;1;0;2;2;0;1;1;0;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;1;0;0;4;8;8;3;4;4;4;4;5;1;2;0
260005405000008;1;112;0;0;0;0;0;1;0;0;0;0;2;1;1;0;1;0;1;3;1;2;1;2;1;1;2;1;1;0;1;3;3;0;1;2;5;7;6;0;1;1;3;2;2;2;2;6;0;3;4;2;3;1;1;1;1;0;2;0;3;2;4;2;0;0;1;2;3;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;1;5;7;6;5;11;13;10;13;5;4;5;6;4
260005405000009;1;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;1;2;0;3;7;1;3;1;2;1;0;1;0;1;0;0;7;4;3;0;4;3;3;3;3;1;4;0;6;1;3;2;0;1;2;2;2;1;3;5;2;4;3;1;2;3;1;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;2;3;13;7;2;16;12;12;5;11;7;6
260005405000010;1;145;0;0;0;0;0;0;0;1;0;0;0;0;1;1;2;1;1;1;4;1;4;4;2;3;8;0;3;3;3;3;4;2;5;5;3;3;5;2;3;3;3;0;2;1;2;2;2;2;2;2;2;4;2;2;3;5;1;3;2;1;3;5;1;2;0;1;2;1;1;0;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;0;1;4;8;20;12;19;15;7;10;9;8;10;1;3
