Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
220005305000001;1;0;134306;134306;0;11;24;45;40;14;1;3;0;0;2;
220005305000002;8;0;83571;83571;0;57;32;29;27;3;1;0;0;0;0;
220005305000003;8;0;81075;81075;0;59;15;32;31;3;0;1;0;0;1;
220005305000004;8;0;50386;50386;0;23;14;29;18;0;0;0;0;0;5;
220005305000005;8;0;104222;104222;0;37;25;38;41;10;0;0;0;0;3;
220005305000006;8;0;78178;78178;0;43;16;36;27;5;0;0;0;0;8;
220005305000007;8;0;80425;80425;0;31;12;22;32;7;1;0;0;0;1;
220005305000008;8;0;79838;79838;0;63;26;17;26;6;0;0;0;0;0;
220005305000009;1;0;132463;132463;0;8;17;34;42;15;2;1;2;0;5;
220005305000010;8;0;72256;72256;0;31;21;24;24;5;0;1;0;0;1;
220005305000011;8;0;84515;84515;0;35;36;31;30;9;0;0;1;0;0;
220005305000012;8;0;55657;55657;0;41;16;24;21;6;0;0;0;0;13;
220005305000013;8;0;34541;34541;0;16;4;12;19;1;0;0;0;0;0;
220005305000014;8;0;47155;47155;0;34;15;16;21;3;0;0;0;0;0;
220005305000015;8;0;32744;32744;0;44;9;13;14;2;0;0;0;0;4;
220005305000016;8;0;46117;46117;0;26;24;22;15;0;0;0;1;0;13;
220010305000001;1;0;113537;113537;0;8;11;37;42;12;6;1;0;0;6;
220010305000002;1;0;60064;60064;0;26;17;24;26;2;0;0;0;0;11;
220010305000003;1;1;169784;169684;100;58;27;62;81;15;0;0;0;0;14;
220010305000004;1;0;103608;103608;0;26;15;27;41;13;2;0;0;0;8;
220010305000005;8;0;27613;27613;0;12;5;11;15;1;0;0;0;0;5;
220010305000006;8;0;79375;79375;0;40;29;51;25;3;0;0;0;0;14;
220010305000007;5;0;90207;90207;0;28;18;20;42;11;1;0;0;0;2;
220010305000008;5;0;61005;61005;0;26;12;21;33;2;1;0;0;0;2;
220010305000009;1;2;177948;176878;1070;7;19;25;60;18;4;6;2;0;12;
220010305000010;1;0;120570;120570;0;35;24;46;60;5;2;0;0;0;4;
220010305000011;1;0;110171;110171;0;22;13;40;43;9;2;0;0;0;24;
220010305000012;7;0;4140;4140;0;1;1;1;3;0;0;0;0;0;0;
220020205000001;1;0;369062;369062;0;8;18;58;95;49;12;6;0;0;4;
220020205000002;1;1;419586;419076;510;4;19;51;104;48;17;11;3;2;3;
220020205000003;1;0;257882;257882;0;17;39;57;81;28;4;4;2;0;19;
220020205000004;1;0;154913;154913;0;20;40;63;57;9;0;0;1;0;1;
220020205000005;1;0;302791;302791;0;23;39;78;109;30;5;1;2;1;4;
220020205000006;1;0;239070;239070;0;18;32;69;83;37;3;1;1;0;6;
220020205000007;1;0;156523;156523;0;45;52;82;54;7;1;1;1;0;17;
220020205000008;1;0;294033;294033;0;13;28;50;73;22;7;5;1;2;2;
220020205000009;1;1;243241;242931;310;46;43;82;57;22;8;2;0;0;14;
220020205000010;1;0;184131;184131;0;16;35;56;60;14;2;1;1;0;2;
220020205000011;1;2;172988;172318;670;30;54;68;51;13;2;0;1;0;4;
220020205000012;1;0;359474;359474;0;9;24;51;89;33;13;13;2;3;3;
220020205000013;1;0;247391;247391;0;9;21;44;84;30;7;4;1;0;7;
220020205000014;1;1;301981;298981;3000;8;15;41;63;42;11;3;5;1;4;
220020205000015;5;0;79249;79249;0;28;12;30;26;5;0;1;0;0;6;
220020205000016;8;0;92488;92488;0;65;25;37;39;6;0;0;0;0;8;
220020205000017;8;0;113447;113447;0;13;6;25;47;13;2;1;1;0;2;
220020205000018;8;1;93233;92121;1112;23;24;34;40;6;1;0;0;0;0;
220020205000019;1;0;156746;156746;0;15;16;50;61;15;4;1;0;0;6;
220020205000020;1;0;106592;106592;0;24;40;48;44;4;0;1;0;0;9;
220020205000021;1;0;150747;150747;0;27;32;44;50;16;2;0;1;0;20;
220020205000022;1;0;205594;205594;0;15;25;43;69;31;5;0;0;0;2;
220020205000023;1;0;119594;119594;0;42;49;50;47;8;0;0;0;0;4;
220025105000001;1;0;175752;175752;0;22;21;47;61;30;4;0;0;0;6;
220025105000002;1;0;177101;177101;0;40;32;61;72;23;2;0;2;0;39;
