Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
220005305000001;1;353;3;3;7;12;14;13;9;14;7;8;12;10;11;6;9;11;11;8;5;7;3;6;8;5;11;8;11;9;5;8;6;11;9;6;5;6;7;5;4;2;1;2;5;2;3;1;1;2;1;2;1;0;1;3;2;1;0;1;0;0;1;2;0;0;1;0;0;1;1;0;1;0;1;0;0;1;95;89;116;1;5;2;5;1;
220005305000002;8;360;0;3;5;6;5;10;11;11;14;12;16;9;11;9;18;14;11;9;8;13;12;6;6;10;8;3;6;6;6;3;2;3;5;3;6;6;5;1;2;4;3;5;3;3;9;3;5;2;1;0;5;3;3;0;0;1;1;0;2;0;1;1;1;0;0;1;1;0;1;0;2;0;0;2;0;3;84;89;141;1;6;4;16;0;
220005305000003;8;371;3;4;11;16;10;14;6;10;15;14;15;10;7;9;6;5;5;5;9;14;6;6;7;7;9;7;6;6;5;8;11;7;9;3;4;4;2;6;2;1;4;4;2;3;1;4;3;4;1;3;4;4;1;1;5;3;1;1;2;1;1;2;1;0;2;0;0;1;0;3;0;0;1;1;0;3;96;98;112;3;8;0;9;1;
220005305000004;8;110;0;2;3;3;2;2;2;6;9;5;3;5;2;7;4;7;1;2;3;1;2;2;2;4;5;2;1;3;3;1;0;0;0;1;1;0;1;2;0;0;2;2;0;0;0;0;0;1;1;0;0;1;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;54;0;7;2;5;0;
220005305000005;8;367;0;2;6;6;11;5;16;8;10;8;9;5;12;9;11;6;10;12;15;4;10;9;8;12;5;10;8;7;5;6;8;2;8;4;4;8;4;3;4;8;3;1;2;8;0;6;4;6;2;6;3;0;1;2;1;3;2;4;1;1;2;1;0;1;1;1;0;1;1;2;0;0;0;0;0;3;83;96;140;0;5;1;16;0;
220005305000006;8;322;1;3;4;4;8;11;5;5;19;11;12;8;13;12;11;13;12;8;12;9;11;5;8;6;5;5;3;4;5;2;10;7;5;6;3;3;3;1;7;3;2;5;2;1;4;2;2;1;0;3;0;3;1;1;2;0;2;1;0;0;0;0;2;0;0;0;0;0;1;1;0;0;1;0;0;2;72;65;149;3;4;0;9;0;
220005305000007;8;303;1;3;6;6;10;5;6;9;8;7;3;4;5;15;7;7;8;7;8;8;7;5;4;7;6;7;4;3;2;6;4;6;5;6;5;11;3;6;1;4;6;2;7;4;1;4;2;3;2;3;1;2;3;2;0;1;1;2;4;1;4;1;1;2;1;0;1;0;0;2;0;1;0;1;0;3;81;75;94;0;5;5;13;0;
220005305000008;8;383;2;2;6;7;10;16;11;19;16;13;15;12;8;11;11;10;15;14;6;12;6;6;6;7;8;8;6;7;5;5;11;3;4;6;6;4;3;5;5;2;2;7;2;3;2;1;2;3;3;4;1;4;1;0;2;1;2;1;0;0;1;2;0;0;0;1;0;0;1;2;2;0;0;0;0;4;67;81;190;0;6;0;11;0;
220005305000009;1;294;0;1;2;8;4;6;11;10;11;6;9;5;11;13;10;8;5;6;15;7;10;7;6;10;3;7;3;2;5;4;6;3;5;5;6;1;4;4;2;2;8;2;3;0;2;4;3;1;2;0;1;3;3;0;2;0;0;1;1;1;2;0;1;1;0;0;0;1;1;2;1;0;0;0;2;3;83;71;99;1;16;2;7;0;
220005305000010;8;278;0;7;6;11;11;7;6;8;13;4;4;6;4;9;5;5;9;9;9;8;6;6;10;5;9;5;5;11;6;7;5;4;3;5;3;1;1;2;1;4;2;3;1;1;5;3;0;2;0;0;0;0;2;2;2;2;1;1;1;1;1;0;0;1;0;0;1;1;1;1;0;0;0;1;0;2;78;77;78;1;4;0;5;0;
220005305000011;8;321;0;1;3;8;12;10;8;7;7;8;15;6;12;12;4;13;8;9;11;8;8;4;7;8;7;2;4;3;6;2;4;5;5;5;4;5;2;3;5;3;4;3;2;0;5;3;1;5;3;1;4;2;1;4;4;1;2;1;3;1;1;1;3;0;0;0;0;2;1;0;0;0;1;1;1;6;88;84;104;3;13;0;4;0;
220005305000012;8;261;1;0;8;7;4;8;7;5;9;6;8;5;9;6;4;6;4;5;7;5;3;11;6;10;6;5;7;6;4;4;7;6;7;4;1;0;3;1;3;4;4;3;1;1;5;5;3;1;4;5;2;1;3;1;0;1;0;1;0;0;1;2;0;1;0;1;0;0;0;0;0;0;0;0;1;2;81;56;91;2;3;3;4;0;
220005305000013;8;87;0;0;0;2;2;4;0;3;2;2;2;6;2;3;3;1;1;0;2;3;4;2;2;4;3;1;1;1;0;1;2;2;1;2;0;1;2;1;3;0;0;0;0;1;1;2;1;0;0;2;0;0;0;0;1;0;0;0;1;2;1;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;22;23;35;1;1;0;1;0;
220005305000014;8;147;0;2;2;3;4;2;2;6;3;5;6;2;5;2;7;4;5;3;7;6;2;5;5;3;2;1;1;2;3;4;2;2;2;5;1;0;3;8;1;0;3;1;0;1;1;0;1;0;3;0;2;1;0;1;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;20;43;61;0;5;2;5;0;
220005305000015;8;207;1;2;4;5;4;3;3;3;7;4;7;2;7;4;3;5;6;2;5;1;3;3;5;5;3;6;9;3;2;5;6;2;3;4;1;5;5;4;0;3;3;3;5;3;3;4;3;0;1;0;4;1;0;3;1;2;1;1;1;1;1;1;2;0;1;0;1;1;0;0;0;0;1;1;1;2;62;56;69;0;2;0;2;0;
220005305000016;8;231;1;5;6;4;11;15;6;8;13;14;9;4;9;9;6;6;3;4;3;0;2;2;3;5;7;6;6;5;6;2;4;3;1;4;3;3;3;1;1;3;0;0;1;2;1;1;2;0;0;0;2;0;3;1;0;0;0;1;0;0;1;1;0;0;1;0;0;2;0;0;2;0;1;0;1;2;48;45;93;2;11;1;3;0;
220010305000001;1;257;3;3;0;2;4;11;1;8;7;8;8;10;8;9;4;4;6;6;1;2;4;2;3;4;2;4;2;6;4;8;4;2;6;4;4;5;5;3;1;5;3;5;1;4;4;2;2;3;4;6;2;2;4;2;1;4;0;2;0;2;0;1;2;0;1;1;2;6;0;0;1;2;0;0;0;5;78;63;78;0;21;1;3;0;
220010305000002;1;232;0;3;9;3;3;5;5;6;7;11;9;7;8;6;3;3;6;5;3;10;6;7;2;9;9;4;10;3;2;6;5;2;2;5;3;2;1;2;4;4;1;2;0;2;2;0;3;1;3;1;1;0;2;1;1;0;0;2;1;0;2;1;0;0;1;1;0;1;0;1;0;0;0;1;0;1;70;53;68;3;12;3;5;0;
220010305000003;1;581;3;7;3;13;10;21;27;14;21;24;17;10;23;18;12;9;14;12;13;11;10;11;13;7;9;11;11;10;8;12;9;4;7;8;10;2;8;9;10;9;4;5;7;8;3;6;6;5;5;3;5;5;5;3;3;1;3;4;4;0;3;2;3;3;0;4;1;1;1;4;1;0;2;0;2;9;151;118;202;5;49;3;16;0;
220010305000004;1;325;1;2;0;11;9;3;8;11;5;8;3;9;9;14;9;10;4;7;5;4;6;6;10;2;2;9;8;3;3;7;9;8;7;5;4;6;7;4;4;5;5;3;1;2;2;2;1;4;4;2;3;3;1;2;4;1;2;3;6;4;5;4;1;0;2;2;1;0;0;2;1;0;1;0;1;3;103;56;110;6;10;9;6;1;
220010305000005;8;112;0;0;1;2;2;1;6;6;3;4;5;2;3;2;2;4;3;2;2;2;3;1;2;1;2;1;1;1;1;2;0;1;2;1;1;1;2;6;3;4;2;0;2;0;0;1;1;1;1;1;1;1;3;2;1;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;31;21;38;3;8;3;2;1;
