Cod_setor;Situacao_setor;V001;V002;V003
220005305000001;1;107;0;0
220005305000002;8;112;0;0
220005305000003;8;104;0;0
220005305000004;8;70;0;0
220005305000005;8;80;0;0
220005305000006;8;83;0;0
220005305000007;8;68;0;0
220005305000008;8;120;0;0
220005305000009;1;82;0;0
220005305000010;8;92;0;0
220005305000011;8;98;1;0
220005305000012;8;85;1;0
220005305000013;8;37;0;0
220005305000014;8;41;0;0
220005305000015;8;41;0;0
220005305000016;8;109;0;0
220010305000001;1;49;1;0
220010305000002;1;86;4;0
220010305000003;1;142;2;0
220010305000004;1;64;0;0
220010305000005;8;31;0;0
220010305000006;8;147;0;0
220010305000007;5;74;0;0
220010305000008;5;56;0;0
220010305000009;1;79;0;0
220010305000010;1;88;1;0
220010305000011;1;69;0;0
220010305000012;7;2;0;0
220020205000001;1;157;1;0
220020205000002;1;106;0;0
220020205000003;1;147;1;0
220020205000004;1;133;4;0
220020205000005;1;184;3;0
220020205000006;1;137;1;0
220020205000007;1;214;2;0
220020205000008;1;170;1;0
220020205000009;1;221;1;0
220020205000010;1;126;2;0
220020205000011;1;179;1;0
220020205000012;1;130;1;0
220020205000013;1;108;2;0
220020205000014;1;86;0;0
220020205000015;5;105;1;0
220020205000016;8;153;0;0
220020205000017;8;67;1;0
220020205000018;8;104;0;0
220020205000019;1;87;0;0
220020205000020;1;142;1;0
220020205000021;1;146;0;0
220020205000022;1;115;0;0
220020205000023;1;221;0;0
220025105000001;1;69;0;0
220025105000002;1;124;1;0
220025105000003;8;39;0;0
220025105000004;8;35;0;0
220025105000005;5;60;0;0
220025105000006;8;31;1;0
220025105000007;8;13;0;0
220025105000008;8;9;0;0
220025105000009;8;28;0;0
220025105000010;8;65;1;1
220025105000011;8;102;0;0
220025105000012;8;66;0;0
220025105000013;8;47;0;0
220025105000014;8;66;0;0
220025105000015;8;43;1;0
220025105000016;8;34;2;0
220025105000017;1;96;0;0
220025105000018;1;102;0;0
220025105000019;5;57;0;0
220025105000020;8;33;0;0
220025105000021;8;68;0;0
220027705000001;1;108;2;1
220027705000002;1;61;0;0
220027705000003;8;112;1;0
220027705000004;8;9;0;0
220027705000005;8;124;0;1
220027705000006;8;131;0;0
220027705000007;1;113;6;0
220027705000008;1;219;4;0
220027705000009;5;62;0;0
220030105000001;1;86;1;1
220030105000002;1;118;1;0
220030105000003;1;98;2;0
220030105000004;1;114;0;1
220030105000005;1;222;0;0
220030105000006;1;141;0;0
220030105000007;8;104;0;0
220030105000008;8;56;0;0
220030105000009;8;115;0;0
220030105000010;8;102;0;0
220030105000011;8;76;0;0
220030105000012;8;65;0;0
220030105000013;8;79;1;0
220030105000014;8;96;1;0
220030105000015;8;48;0;0
220030105000016;8;99;0;0
220030105000017;8;115;1;0
220030105000018;8;47;0;0
220030105000019;8;57;0;0
220030105000020;8;43;0;0
220030105000021;7;15;0;0
220030105000022;8;76;2;0
220030105000023;7;38;0;0
220030105000024;1;155;0;0
220030105000025;1;84;0;1
220030105000026;1;83;0;0
220040005000001;1;94;0;0
220040005000002;1;148;3;0
220040005000003;1;97;0;0
220040005000004;1;146;0;0
220040005000005;1;179;5;0
220040005000006;1;202;4;0
220040005000007;1;200;0;3
220040005000008;1;189;0;0
220040005000009;1;95;0;0
220040005000010;1;171;0;0
220040005000011;1;158;0;0
220040005000012;1;148;1;0
220040005000013;1;102;0;0
220040005000014;1;164;0;0
220040005000015;1;211;0;0
220040005000016;1;261;13;0
220040005000017;1;111;0;0
220040005000018;1;193;0;0
220040005000019;1;245;2;0
220040005000020;1;138;1;0
220040005000021;1;173;4;0
220040005000022;1;243;0;0
220040005000023;1;62;0;0
220040005000024;1;55;0;0
220040005000025;1;159;0;0
220040005000026;1;212;1;0
220040005000027;1;226;5;1
220040005000028;1;108;1;1
220040005000029;1;145;2;0
220040005000030;8;136;3;0
220040005000031;8;108;0;0
220040005000032;8;91;2;0
220040005000033;8;154;0;0
220040005000034;8;35;0;0
220040005000035;8;68;0;0
220040005000036;8;102;1;0
220040005000037;8;82;2;0
220040005000038;8;109;0;0
220040005000039;8;50;0;0
220040005000040;8;88;2;0
220040005000041;8;122;0;0
220040005000042;8;81;0;0
220040005000043;8;82;3;0
220040005000044;8;79;0;0
220040005000045;8;133;0;0
220040005000046;8;109;0;0
220040005000047;7;113;0;0
220040005000048;7;38;1;0
220040005000049;7;44;1;0
220040005000050;7;22;1;0
220040005000051;1;80;1;0
220040005000052;1;121;1;0
220040005000053;1;149;1;0
220040005000054;5;41;0;1
220040005000055;8;113;2;0
220040005000056;8;78;2;0
220040005000057;8;108;0;0
220040005000058;7;8;0;0
220045905000001;1;109;2;0
220045905000002;1;261;5;0
220045905000003;8;80;7;0
220045905000004;8;140;1;0
220045905000005;8;28;0;0
220045905000006;8;24;0;0
220045905000007;5;169;3;0
220045905000008;5;31;0;0
220045905000009;7;95;0;0
220045905000011;7;107;3;0
220045905000012;8;126;5;0
220050905000001;1;88;0;1
220050905000002;1;82;0;0
220050905000003;1;123;0;1
220050905000004;1;155;0;0
220050905000005;1;127;1;0
220050905000006;1;97;0;0
220050905000007;1;125;1;0
220050905000008;1;167;0;0
220050905000009;1;67;0;0
220050905000010;8;54;0;0
220050905000011;8;31;1;0
220050905000012;8;103;1;0
220050905000013;8;176;1;0
220050905000014;8;27;1;0
220050905000015;5;76;0;0
220050905000016;8;81;0;0
220050905000017;8;32;0;0
220050905000018;8;124;0;0
220050905000019;8;112;1;0
220050905000020;8;168;2;0
220050905000021;8;111;1;0
220050905000022;8;100;0;0
220050905000023;5;99;1;0
220050905000024;8;75;1;0
220050905000025;5;67;0;0
220050905000026;8;147;0;0
220050905000027;8;134;0;0
220050905000028;5;52;0;0
220050905000029;7;69;2;0
220050905000030;1;122;1;0
220050905000031;1;137;0;0
220050905000032;1;92;0;0
220050905000033;1;84;0;0
220060805000001;1;76;1;0
