Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
220005305000001;1;89;100;35;15;8;1;0;1;0;134;10959;48436;29053;19145;16013;2700;0;8000;0;383;249;134306;37;51;21;9;5;1;0;1;0;50;5213;23990;17479;11720;9540;2700;0;8000;0;175;125;78642;52;49;14;6;3;0;0;0;0;84;5746;24446;11574;7425;6473;0;0;0;0;208;124;55664;89;100;35;15;8;1;0;1;0;134;10959;48436;29053;19145;16013;2700;0;8000;0;383;249;134306;37;51;21;9;5;1;0;1;0;50;5213;23990;17479;11720;9540;2700;0;8000;0;175;125;78642;52;49;14;6;3;0;0;0;0;84;5746;24446;11574;7425;6473;0;0;0;0;208;124;55664;
220005305000002;8;226;85;20;1;1;1;0;0;0;137;21739;40166;15748;1200;1578;3140;0;0;0;471;334;83571;112;44;16;1;1;1;0;0;0;56;9765;19956;12540;1200;1578;3140;0;0;0;231;175;48179;114;41;4;0;0;0;0;0;0;81;11974;20210;3208;0;0;0;0;0;0;240;159;35392;226;85;20;1;1;1;0;0;0;137;21739;40166;15748;1200;1578;3140;0;0;0;471;334;83571;112;44;16;1;1;1;0;0;0;56;9765;19956;12540;1200;1578;3140;0;0;0;231;175;48179;114;41;4;0;0;0;0;0;0;81;11974;20210;3208;0;0;0;0;0;0;240;159;35392;
220005305000003;8;181;78;20;2;0;1;0;0;0;134;16885;38998;17671;2538;0;4983;0;0;0;416;282;81075;92;47;7;2;0;1;0;0;0;72;7631;23400;5371;2538;0;4983;0;0;0;221;149;43923;89;31;13;0;0;0;0;0;0;62;9254;15598;12300;0;0;0;0;0;0;195;133;37152;181;78;20;2;0;1;0;0;0;134;16885;38998;17671;2538;0;4983;0;0;0;416;282;81075;92;47;7;2;0;1;0;0;0;72;7631;23400;5371;2538;0;4983;0;0;0;221;149;43923;89;31;13;0;0;0;0;0;0;62;9254;15598;12300;0;0;0;0;0;0;195;133;37152;
220005305000004;8;63;83;3;0;0;0;0;0;0;128;6856;41210;2320;0;0;0;0;0;0;277;149;50386;21;41;3;0;0;0;0;0;0;72;2690;20000;2320;0;0;0;0;0;0;137;65;25010;42;42;0;0;0;0;0;0;0;56;4166;21210;0;0;0;0;0;0;0;140;84;25376;63;83;3;0;0;0;0;0;0;128;6856;41210;2320;0;0;0;0;0;0;277;149;50386;21;41;3;0;0;0;0;0;0;72;2690;20000;2320;0;0;0;0;0;0;137;65;25010;42;42;0;0;0;0;0;0;0;56;4166;21210;0;0;0;0;0;0;0;140;84;25376;
220005305000005;8;197;109;33;4;1;0;0;0;0;117;19723;52347;25562;4790;1800;0;0;0;0;461;344;104222;107;63;20;3;1;0;0;0;0;54;11147;29388;14560;3750;1800;0;0;0;0;248;194;60645;90;46;13;1;0;0;0;0;0;63;8576;22959;11002;1040;0;0;0;0;0;213;150;43577;197;109;33;4;1;0;0;0;0;117;19723;52347;25562;4790;1800;0;0;0;0;461;344;104222;107;63;20;3;1;0;0;0;0;54;11147;29388;14560;3750;1800;0;0;0;0;248;194;60645;90;46;13;1;0;0;0;0;0;63;8576;22959;11002;1040;0;0;0;0;0;213;150;43577;
220005305000006;8;119;98;17;1;0;0;0;0;0;210;13410;48228;15950;1100;0;0;0;0;0;445;235;78688;48;64;10;1;0;0;0;0;0;119;5470;31398;9290;1100;0;0;0;0;0;242;123;47258;71;34;7;0;0;0;0;0;0;91;7940;16830;6660;0;0;0;0;0;0;203;112;31430;119;98;17;1;0;0;0;0;0;210;13410;48228;15950;1100;0;0;0;0;0;445;235;78688;48;64;10;1;0;0;0;0;0;119;5470;31398;9290;1100;0;0;0;0;0;242;123;47258;71;34;7;0;0;0;0;0;0;91;7940;16830;6660;0;0;0;0;0;0;203;112;31430;
220005305000007;8;93;66;19;4;4;3;0;0;0;129;8917;31597;16691;5520;8500;9200;0;0;0;318;189;80425;53;32;9;3;4;3;0;0;0;56;4726;15044;7818;4360;8500;9200;0;0;0;160;104;49648;40;34;10;1;0;0;0;0;0;73;4191;16553;8873;1160;0;0;0;0;0;158;85;30777;93;66;19;4;4;3;0;0;0;129;8917;31597;16691;5520;8500;9200;0;0;0;318;189;80425;53;32;9;3;4;3;0;0;0;56;4726;15044;7818;4360;8500;9200;0;0;0;160;104;49648;40;34;10;1;0;0;0;0;0;73;4191;16553;8873;1160;0;0;0;0;0;158;85;30777;
220005305000008;8;167;79;30;1;0;0;0;0;0;206;17109;38330;23199;1200;0;0;0;0;0;483;277;79838;86;42;19;1;0;0;0;0;0;113;8108;19670;14736;1200;0;0;0;0;0;261;148;43714;81;37;11;0;0;0;0;0;0;93;9001;18660;8463;0;0;0;0;0;0;222;129;36124;167;79;30;1;0;0;0;0;0;206;17109;38330;23199;1200;0;0;0;0;0;483;277;79838;86;42;19;1;0;0;0;0;0;113;8108;19670;14736;1200;0;0;0;0;0;261;148;43714;81;37;11;0;0;0;0;0;0;93;9001;18660;8463;0;0;0;0;0;0;222;129;36124;
220005305000009;1;37;90;40;16;5;3;0;1;0;156;5415;44253;34650;19820;10125;9700;0;8500;0;348;192;132463;17;46;24;8;3;3;0;1;0;58;2828;22213;20195;9790;6600;9700;0;8500;0;160;102;79826;20;44;16;8;2;0;0;0;0;98;2587;22040;14455;10030;3525;0;0;0;0;188;90;52637;37;90;40;16;5;3;0;1;0;156;5415;44253;34650;19820;10125;9700;0;8500;0;348;192;132463;17;46;24;8;3;3;0;1;0;58;2828;22213;20195;9790;6600;9700;0;8500;0;160;102;79826;20;44;16;8;2;0;0;0;0;98;2587;22040;14455;10030;3525;0;0;0;0;188;90;52637;
220005305000010;8;143;64;16;2;2;2;0;0;0;67;16380;30238;13418;2800;3620;5800;0;0;0;296;229;72256;78;34;10;2;1;2;0;0;0;33;8568;15430;8220;2800;1620;5800;0;0;0;160;127;42438;65;30;6;0;1;0;0;0;0;34;7812;14808;5198;0;2000;0;0;0;0;136;102;29818;143;64;16;2;2;2;0;0;0;67;16380;30238;13418;2800;3620;5800;0;0;0;296;229;72256;78;34;10;2;1;2;0;0;0;33;8568;15430;8220;2800;1620;5800;0;0;0;160;127;42438;65;30;6;0;1;0;0;0;0;34;7812;14808;5198;0;2000;0;0;0;0;136;102;29818;
