Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;
220005305000001;1;33;60;24;10;6;0;0;0;0;7;5522;28574;19723;13200;11650;0;0;0;0;140;133;78669;25;39;16;8;5;0;0;0;0;4;4264;18000;13184;10620;9540;0;0;0;0;97;93;55608;8;21;8;2;1;0;0;0;0;3;1258;10574;6539;2580;2110;0;0;0;0;43;40;23061;33;60;24;10;6;0;0;0;0;7;5522;28574;19723;13200;11650;0;0;0;0;140;133;78669;25;39;16;8;5;0;0;0;0;4;4264;18000;13184;10620;9540;0;0;0;0;97;93;55608;8;21;8;2;1;0;0;0;0;3;1258;10574;6539;2580;2110;0;0;0;0;43;40;23061;
220005305000002;8;84;39;16;0;1;1;0;0;0;8;8986;18383;13040;0;1578;3140;0;0;0;149;141;45127;67;26;13;0;1;1;0;0;0;8;6895;11908;10410;0;1578;3140;0;0;0;116;108;33931;17;13;3;0;0;0;0;0;0;0;2091;6475;2630;0;0;0;0;0;0;33;33;11196;84;39;16;0;1;1;0;0;0;8;8986;18383;13040;0;1578;3140;0;0;0;149;141;45127;67;26;13;0;1;1;0;0;0;8;6895;11908;10410;0;1578;3140;0;0;0;116;108;33931;17;13;3;0;0;0;0;0;0;0;2091;6475;2630;0;0;0;0;0;0;33;33;11196;
220005305000003;8;78;44;10;2;0;1;0;0;0;7;7391;21856;8288;2538;0;4983;0;0;0;142;135;45056;68;36;4;2;0;1;0;0;0;4;6195;17800;2628;2538;0;4983;0;0;0;115;111;34144;10;8;6;0;0;0;0;0;0;3;1196;4056;5660;0;0;0;0;0;0;27;24;10912;78;44;10;2;0;1;0;0;0;7;7391;21856;8288;2538;0;4983;0;0;0;142;135;45056;68;36;4;2;0;1;0;0;0;4;6195;17800;2628;2538;0;4983;0;0;0;115;111;34144;10;8;6;0;0;0;0;0;0;3;1196;4056;5660;0;0;0;0;0;0;27;24;10912;
220005305000004;8;23;45;3;0;0;0;0;0;0;18;2582;22410;2320;0;0;0;0;0;0;89;71;27312;14;34;3;0;0;0;0;0;0;16;1710;17010;2320;0;0;0;0;0;0;67;51;21040;9;11;0;0;0;0;0;0;0;2;872;5400;0;0;0;0;0;0;0;22;20;6272;23;45;3;0;0;0;0;0;0;18;2582;22410;2320;0;0;0;0;0;0;89;71;27312;14;34;3;0;0;0;0;0;0;16;1710;17010;2320;0;0;0;0;0;0;67;51;21040;9;11;0;0;0;0;0;0;0;2;872;5400;0;0;0;0;0;0;0;22;20;6272;
220005305000005;8;69;51;21;3;0;0;0;0;0;10;7903;24028;16440;3640;0;0;0;0;0;154;144;52011;65;45;14;2;0;0;0;0;0;7;7669;20968;9800;2600;0;0;0;0;0;133;126;41037;4;6;7;1;0;0;0;0;0;3;234;3060;6640;1040;0;0;0;0;0;21;18;10974;69;51;21;3;0;0;0;0;0;10;7903;24028;16440;3640;0;0;0;0;0;154;144;52011;65;45;14;2;0;0;0;0;0;7;7669;20968;9800;2600;0;0;0;0;0;133;126;41037;4;6;7;1;0;0;0;0;0;3;234;3060;6640;1040;0;0;0;0;0;21;18;10974;
220005305000006;8;35;49;15;1;0;0;0;0;0;35;4073;24068;14350;1100;0;0;0;0;0;135;100;43591;33;45;9;1;0;0;0;0;0;34;3850;22048;8690;1100;0;0;0;0;0;122;88;35688;2;4;6;0;0;0;0;0;0;1;223;2020;5660;0;0;0;0;0;0;13;12;7903;35;49;15;1;0;0;0;0;0;35;4073;24068;14350;1100;0;0;0;0;0;135;100;43591;33;45;9;1;0;0;0;0;0;34;3850;22048;8690;1100;0;0;0;0;0;122;88;35688;2;4;6;0;0;0;0;0;0;1;223;2020;5660;0;0;0;0;0;0;13;12;7903;
220005305000007;8;40;35;13;3;4;3;0;0;0;8;3668;16340;12202;4360;8500;9200;0;0;0;106;98;54270;39;25;8;3;4;3;0;0;0;8;3578;11510;7142;4360;8500;9200;0;0;0;90;82;44290;1;10;5;0;0;0;0;0;0;0;90;4830;5060;0;0;0;0;0;0;16;16;9980;40;35;13;3;4;3;0;0;0;8;3668;16340;12202;4360;8500;9200;0;0;0;106;98;54270;39;25;8;3;4;3;0;0;0;8;3578;11510;7142;4360;8500;9200;0;0;0;90;82;44290;1;10;5;0;0;0;0;0;0;0;90;4830;5060;0;0;0;0;0;0;16;16;9980;
220005305000008;8;60;40;11;1;0;0;0;0;0;26;5462;19690;9606;1200;0;0;0;0;0;138;112;35958;57;31;8;1;0;0;0;0;0;26;5188;15140;6576;1200;0;0;0;0;0;123;97;28104;3;9;3;0;0;0;0;0;0;0;274;4550;3030;0;0;0;0;0;0;15;15;7854;60;40;11;1;0;0;0;0;0;26;5462;19690;9606;1200;0;0;0;0;0;138;112;35958;57;31;8;1;0;0;0;0;0;26;5188;15140;6576;1200;0;0;0;0;0;123;97;28104;3;9;3;0;0;0;0;0;0;0;274;4550;3030;0;0;0;0;0;0;15;15;7854;
220005305000009;1;20;41;30;12;3;2;0;1;0;17;3269;19930;26935;14820;6600;6200;0;8500;0;126;109;86254;14;31;20;6;3;2;0;1;0;14;2450;14850;17195;7100;6600;6200;0;8500;0;91;77;62895;6;10;10;6;0;0;0;0;0;3;819;5080;9740;7720;0;0;0;0;0;35;32;23359;20;41;30;12;3;2;0;1;0;17;3269;19930;26935;14820;6600;6200;0;8500;0;126;109;86254;14;31;20;6;3;2;0;1;0;14;2450;14850;17195;7100;6600;6200;0;8500;0;91;77;62895;6;10;10;6;0;0;0;0;0;3;819;5080;9740;7720;0;0;0;0;0;35;32;23359;
220005305000010;8;56;32;12;2;1;2;0;0;0;2;6952;14760;10268;2800;1620;5800;0;0;0;107;105;42200;49;25;7;2;1;2;0;0;0;2;6001;11190;5970;2800;1620;5800;0;0;0;88;86;33381;7;7;5;0;0;0;0;0;0;0;951;3570;4298;0;0;0;0;0;0;19;19;8819;56;32;12;2;1;2;0;0;0;2;6952;14760;10268;2800;1620;5800;0;0;0;107;105;42200;49;25;7;2;1;2;0;0;0;2;6001;11190;5970;2800;1620;5800;0;0;0;88;86;33381;7;7;5;0;0;0;0;0;0;0;951;3570;4298;0;0;0;0;0;0;19;19;8819;
