Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
410010305000001;1;1;529942;529432;510;1;7;43;117;86;25;12;3;2;3;
410010305000002;1;0;611161;611161;0;0;9;29;125;83;29;12;9;3;3;
410010305000003;1;0;446825;446825;0;3;41;105;131;57;4;4;1;2;50;
410010305000004;1;1;313176;312516;660;1;20;75;126;51;5;1;0;0;12;
410010305000005;1;2;433367;431706;1661;2;11;65;141;87;9;2;0;0;5;
410010305000006;8;0;84367;84367;0;2;7;20;33;8;1;0;0;0;4;
410010305000007;8;0;90502;90502;0;1;8;18;28;6;2;2;1;0;3;
410010305000008;8;1;147902;147602;300;6;15;32;41;20;4;1;2;0;4;
410010305000009;8;0;118829;118829;0;1;9;30;25;10;1;2;2;2;7;
410010305000010;8;0;192305;192305;0;2;14;36;69;36;1;2;0;0;2;
410010305000011;8;0;80375;80375;0;0;6;18;22;13;1;1;1;0;3;
410010305000012;8;0;31671;31671;0;2;4;8;17;2;1;1;0;0;1;
410010305000013;8;0;1664;1664;0;3;0;2;0;0;0;0;0;0;0;
410010305000014;1;1;345139;344839;300;4;19;63;106;56;8;2;0;1;6;
410010305000015;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
410010305000016;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
410020205000001;1;0;284884;284884;0;1;6;22;52;39;9;11;1;1;2;
410020205000002;1;1;489603;488403;1200;1;7;26;63;61;13;15;9;2;4;
410020205000003;8;0;149881;149881;0;10;22;34;58;13;3;2;2;1;10;
410020205000004;8;0;160886;160886;0;15;28;43;57;27;3;1;1;0;11;
410020205000005;5;1;6855;6260;595;1;1;0;1;4;0;0;0;0;1;
410020205000006;8;0;25628;25628;0;2;5;7;14;0;0;0;0;0;3;
410020205000007;5;0;152506;152506;0;2;9;24;65;22;6;0;0;0;5;
410020205000008;8;0;55832;55832;0;7;16;23;32;2;0;0;0;0;12;
410020205000009;5;0;166520;166520;0;12;16;41;56;29;7;1;0;0;6;
410020205000010;8;0;87911;87911;0;3;19;30;36;10;1;0;0;0;34;
410020205000011;8;0;40339;40339;0;1;6;24;15;3;0;0;0;0;2;
410020205000012;8;0;16002;16002;0;1;3;9;7;1;0;0;0;0;6;
