Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
240010905000001;1;0;73311;73311;0;3;8;35;30;7;1;0;0;0;3;
240010905000002;2;0;127078;127078;0;12;37;50;49;8;0;0;0;0;4;
240010905000003;1;0;230795;230795;0;5;26;66;64;27;1;0;1;1;38;
240010905000004;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
240010905000005;1;0;261054;261054;0;2;5;28;42;32;10;5;1;3;1;
240010905000006;1;0;553815;553815;0;2;12;47;79;77;14;20;7;4;2;
240010905000007;1;0;198925;198925;0;16;27;88;87;12;1;0;2;0;12;
240010905000008;8;0;149528;149528;0;5;21;61;68;12;2;0;0;0;3;
240010905000009;8;1;83997;83667;330;5;19;41;30;4;0;0;1;0;2;
240010905000010;5;1;74236;73726;510;8;16;13;18;6;0;3;0;0;0;
240010905000011;5;0;28238;28238;0;18;15;14;9;2;0;0;0;0;2;
240010905000012;8;2;132938;131666;1272;22;26;59;54;7;1;0;0;0;10;
240010905000013;1;0;171396;171396;0;5;19;51;66;20;0;0;0;0;9;
240010905000014;1;0;53931;53931;0;0;2;8;19;3;3;1;1;0;5;
240010905000015;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
240010905000016;1;0;161534;161534;0;1;12;20;35;23;3;6;1;0;5;
240010905000017;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
240010905000018;1;0;114884;114884;0;5;7;33;48;9;2;1;1;0;1;
240010905000019;1;0;29224;29224;0;2;0;1;5;5;1;0;0;0;0;
240010905000020;1;0;175049;175049;0;2;8;23;39;19;4;3;4;0;1;
240010905000021;1;0;449478;449478;0;4;7;36;77;46;18;10;7;4;1;
240010905000022;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
240010905000023;1;0;116417;116417;0;3;10;28;49;14;0;4;0;0;5;
240010905000024;1;0;173754;173754;0;12;22;77;66;13;4;0;0;0;2;
240010905000025;1;0;57717;57717;0;3;5;14;18;10;0;1;1;0;0;
240010905000026;1;1;102079;100079;2000;0;8;20;33;14;3;1;1;0;0;
240010905000027;1;0;90937;90937;0;13;21;53;32;5;0;0;0;0;19;
240010905000028;1;0;43669;43669;0;0;1;14;12;8;2;0;0;0;3;
240020805000001;1;0;1147868;1147868;0;5;17;48;82;92;36;41;21;13;10;
240020805000002;1;0;513664;513664;0;2;6;29;49;38;13;18;11;5;7;
240020805000003;1;0;412382;412382;0;5;15;50;117;45;14;3;5;0;5;
